          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.4000000E+02  1.0831492E-15  2.1613562E-02 -4.8915938E-18  9.7310925E-03  0.0000000E+00
  2.4000000E+02  6.1595340E-15  1.3803901E-01  3.4391095E-19  9.3216239E-03  0.0000000E+00
  2.4000000E+02 -4.0286075E-15  5.2869301E-02  1.5217375E-18  8.9073861E-03  0.0000000E+00
  2.4000000E+02 -5.4272732E-15  2.1317961E-02  2.3969174E-19  7.9548646E-03  0.0000000E+00
  2.4000000E+02 -1.9950639E-15  2.0845892E-03  5.9097951E-19  6.5224312E-03  0.0000000E+00
  2.4000000E+02  1.8473681E-15 -1.6197097E-02 -1.3556814E-19  4.8538713E-03  0.0000000E+00
  2.4000000E+02 -1.7466252E-15 -3.0686706E-02  4.3053203E-19  3.1280752E-03  0.0000000E+00
  2.4000000E+02  3.9164238E-15 -3.8815109E-02  4.1042171E-19  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -1.3143666E-15 -3.9979859E-02  1.1509174E-19 -1.2526683E-04  0.0000000E+00
  2.4000000E+02  1.1368186E-14 -3.4843575E-02 -3.6122694E-20 -1.5657737E-03  0.0000000E+00
  2.4000000E+02  1.3584685E-14 -2.4835981E-02  3.8760699E-20 -2.8560860E-03  0.0000000E+00
  2.4000000E+02  6.6315649E-15 -1.1818660E-02 -1.1547889E-19 -3.9902521E-03  0.0000000E+00
  2.4000000E+02  1.0209943E-14  1.4366711E-03 -6.2703733E-21 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -3.2867196E-15  1.2189015E-02  2.9180838E-19 -5.8042306E-03  0.0000000E+00
  2.4000000E+02  2.6737734E-15  1.8575244E-02 -7.8874949E-19 -6.5031595E-03  0.0000000E+00
  2.4000000E+02  1.1793031E-15  2.0458935E-02  3.9934475E-23 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -1.0508545E-15  1.9020389E-02 -1.0175828E-18 -7.5489571E-03  0.0000000E+00
  2.4000000E+02 -1.3681509E-15  1.6104650E-02 -2.8036459E-18 -7.9183812E-03  0.0000000E+00
  2.4000000E+02  2.7530922E-16  1.2746886E-02 -3.4080712E-18 -8.1961631E-03  0.0000000E+00
  2.4000000E+02 -5.1706851E-16  9.5328708E-03 -1.4684429E-18 -8.3874184E-03  0.0000000E+00
  2.4000000E+02 -2.9982092E-15  6.6667702E-03  2.0271454E-18 -8.4966252E-03  0.0000000E+00
  2.4000000E+02 -6.5315743E-16  4.1400624E-03  3.4596626E-18 -8.5290863E-03  0.0000000E+00
  2.4000000E+02  6.7868094E-15  2.0683531E-03  7.9006439E-19 -8.4917270E-03  0.0000000E+00
  2.4000000E+02 -3.0956905E-15  9.7101302E-05 -2.2099952E-20 -8.3936333E-03  0.0000000E+00
  2.4000000E+02 -9.0855499E-16 -1.5898983E-03 -4.1496715E-19 -8.2445001E-03  0.0000000E+00
  2.4000000E+02 -1.8810309E-15 -3.0051494E-03 -1.4508561E-18 -8.0552536E-03  0.0000000E+00
  2.4000000E+02 -3.7230895E-15 -4.2417827E-03 -5.1732685E-18 -7.8369852E-03  0.0000000E+00
  2.4000000E+02 -5.7159805E-15 -5.2740709E-03 -9.1690378E-18 -7.5998094E-03  0.0000000E+00
  2.4000000E+02 -3.9151656E-15 -6.0905307E-03 -8.9493998E-18 -7.3524637E-03  0.0000000E+00
  2.4000000E+02 -2.4281242E-15 -6.7022243E-03 -3.6748681E-18 -7.1021535E-03  0.0000000E+00
  2.4000000E+02 -1.3414343E-15 -7.0920900E-03  1.1164006E-18 -6.8545742E-03  0.0000000E+00
  2.4000000E+02 -3.9025799E-16 -7.1711274E-03  1.1707064E-19 -6.6140467E-03  0.0000000E+00
  2.4000000E+02  5.3929593E-16 -7.0872567E-03  8.7030594E-19 -6.3838860E-03  0.0000000E+00
  2.4000000E+02 -1.5568884E-15 -6.9308052E-03  6.6041060E-19 -6.1661954E-03  0.0000000E+00
  2.4000000E+02 -2.1317087E-15 -6.5008605E-03  1.3768594E-18 -5.9620816E-03  0.0000000E+00
  2.4000000E+02 -1.8634544E-15 -6.0080484E-03  8.2334578E-19 -5.7723783E-03  0.0000000E+00
  2.4000000E+02 -8.2635718E-16 -5.4734180E-03  1.3053412E-19 -5.5971807E-03  0.0000000E+00
  2.4000000E+02  7.6164155E-17 -4.8950893E-03  3.7553868E-19 -5.4360250E-03  0.0000000E+00
  2.4000000E+02  2.1926364E-16 -4.3021869E-03  1.5805404E-18 -5.2880752E-03  0.0000000E+00
  2.4000000E+02  1.5888358E-16 -3.7389188E-03  3.0341771E-18 -5.1523009E-03  0.0000000E+00
  2.4000000E+02  6.6912534E-16 -3.2216601E-03  3.8793429E-18 -5.0276266E-03  0.0000000E+00
  2.4000000E+02  3.5810599E-16 -2.7119007E-03  2.9110330E-18 -4.9130361E-03  0.0000000E+00
  2.4000000E+02 -3.3707438E-16 -2.1479151E-03 -3.4721299E-18 -4.8076122E-03  0.0000000E+00
  2.4000000E+02 -3.7568229E-16 -1.7934403E-03  8.2314587E-18 -4.7106691E-03  0.0000000E+00
  2.4000000E+02 -2.6645128E-16 -1.3925415E-03  1.0132756E-17 -4.6211978E-03  0.0000000E+00
  2.4000000E+02 -6.7930769E-16 -9.9822486E-04  1.0687486E-17 -4.5384177E-03  0.0000000E+00
  2.4000000E+02 -1.0546499E-15 -6.7400356E-04  1.1674272E-17 -4.4616631E-03  0.0000000E+00
  2.4000000E+02 -1.0049979E-15 -4.1842508E-04  9.3952968E-18 -4.3902595E-03  0.0000000E+00
  2.4000000E+02 -5.9468932E-16 -2.2107750E-04  4.1719497E-18 -4.3235046E-03  0.0000000E+00
  2.4000000E+02  1.5376976E-16 -8.2396518E-05  2.6762500E-19 -4.2606567E-03  0.0000000E+00
  2.4000000E+02  5.3765301E-16 -9.7208467E-06  1.0765450E-18 -4.2009389E-03  0.0000000E+00
  2.4000000E+02  3.8293036E-16 -2.0430327E-06  4.4174976E-18 -4.1435619E-03  0.0000000E+00
  2.4000000E+02 -1.5177250E-16 -3.5903264E-05  2.7713689E-18 -4.0877763E-03  0.0000000E+00
  2.4000000E+02 -7.3426543E-16 -6.4873388E-05 -6.6986454E-18 -4.0329559E-03  0.0000000E+00
  2.4000000E+02  1.5291221E-16 -4.5078511E-05  2.4947345E-18 -3.9787231E-03  0.0000000E+00
  2.4000000E+02  4.6697332E-16 -2.1504402E-04  3.3759577E-18 -3.9247613E-03  0.0000000E+00
  2.4000000E+02  3.0799834E-17 -2.8865693E-04  4.8285406E-20 -3.8706450E-03  0.0000000E+00
  2.4000000E+02 -3.1411569E-16 -3.4084465E-04  9.3753574E-20 -3.8160268E-03  0.0000000E+00
  2.4000000E+02 -2.6098155E-16 -3.9681476E-04  2.0607359E-18 -3.7607266E-03  0.0000000E+00
  2.4000000E+02  3.0100028E-16 -4.5347470E-04  3.4336963E-18 -3.7046362E-03  0.0000000E+00
  2.4000000E+02  7.4896529E-16 -5.0526896E-04  2.9562369E-18 -3.6476549E-03  0.0000000E+00
  2.4000000E+02  9.2488071E-16 -5.5424876E-04  1.0905661E-18 -3.5896579E-03  0.0000000E+00
  2.4000000E+02  8.8182718E-16 -6.0911701E-04 -6.9903361E-19 -3.5304903E-03  0.0000000E+00
  2.4000000E+02  3.4664331E-16 -6.7799117E-04 -1.1511599E-18 -3.4699823E-03  0.0000000E+00
  2.4000000E+02 -5.8719268E-17 -7.5962691E-04 -2.1308833E-19 -3.4079759E-03  0.0000000E+00
  2.4000000E+02 -3.2091960E-16 -8.3784536E-04  8.4016580E-19 -3.3443601E-03  0.0000000E+00
  2.4000000E+02 -1.3587523E-16 -8.8390658E-04  8.6109906E-19 -3.2791063E-03  0.0000000E+00
  2.4000000E+02 -1.1948247E-16 -9.3044633E-04 -6.1410607E-19 -3.2122988E-03  0.0000000E+00
  2.4000000E+02  2.7859824E-16 -1.0353877E-03 -3.8155791E-18 -3.1440015E-03  0.0000000E+00
  2.4000000E+02  2.3255364E-16 -1.0648046E-03 -1.7993152E-18 -3.0742327E-03  0.0000000E+00
  2.4000000E+02 -2.0788978E-16 -1.0780099E-03  1.3019169E-18 -3.0031665E-03  0.0000000E+00
  2.4000000E+02 -6.3983051E-16 -1.0950975E-03  3.0197028E-18 -2.9310126E-03  0.0000000E+00
  2.4000000E+02 -8.1208618E-16 -1.1195241E-03  2.6344936E-18 -2.8579471E-03  0.0000000E+00
  2.4000000E+02 -7.3457709E-16 -1.1506444E-03  7.8397099E-19 -2.7840841E-03  0.0000000E+00
  2.4000000E+02 -3.5560458E-16 -1.1886592E-03 -1.2103437E-18 -2.7094785E-03  0.0000000E+00
  2.4000000E+02 -3.5705910E-17 -1.2344414E-03 -2.1038437E-18 -2.6341489E-03  0.0000000E+00
  2.4000000E+02  1.7698006E-16 -1.2867007E-03 -1.3825659E-18 -2.5581092E-03  0.0000000E+00
  2.4000000E+02  1.9424943E-16 -1.3389502E-03  3.8449858E-19 -2.4813985E-03  0.0000000E+00
  2.4000000E+02  1.0982698E-16 -1.3787371E-03  1.6889011E-18 -2.4040989E-03  0.0000000E+00
  2.4000000E+02  4.3656980E-18 -1.3915997E-03  9.1643182E-19 -2.3263285E-03  0.0000000E+00
  2.4000000E+02 -8.5167968E-17 -1.3722136E-03 -1.9345945E-18 -2.2482011E-03  0.0000000E+00
  2.4000000E+02 -4.0236236E-17 -1.4242056E-03  2.0746550E-17 -2.1698665E-03  0.0000000E+00
  2.4000000E+02 -6.2886716E-17 -1.4355997E-03 -1.1377747E-18 -2.0912820E-03  0.0000000E+00
  2.4000000E+02 -1.0207476E-16 -1.4294614E-03 -1.7082277E-17 -2.0124418E-03  0.0000000E+00
  2.4000000E+02 -9.8677336E-17 -1.4207414E-03 -1.5599698E-17 -1.9333922E-03  0.0000000E+00
  2.4000000E+02 -8.0706765E-17 -1.4100130E-03 -6.2684084E-18 -1.8542094E-03  0.0000000E+00
  2.4000000E+02 -4.8163847E-17 -1.3941395E-03 -4.2091131E-19 -1.7749873E-03  0.0000000E+00
  2.4000000E+02 -2.4169777E-17 -1.3716342E-03 -2.5403453E-18 -1.6958221E-03  0.0000000E+00
  2.4000000E+02  9.6814705E-18 -1.3440567E-03 -9.3949120E-18 -1.6167987E-03  0.0000000E+00
  2.4000000E+02  4.8042445E-17 -1.3147948E-03 -1.3940159E-17 -1.5379794E-03  0.0000000E+00
  2.4000000E+02  9.3169313E-17 -1.2865732E-03 -1.1019044E-17 -1.4593988E-03  0.0000000E+00
  2.4000000E+02  1.1418763E-16 -1.2590394E-03 -1.8897184E-18 -1.3810669E-03  0.0000000E+00
  2.4000000E+02  8.7803789E-17 -1.2277679E-03  5.3890584E-18 -1.3029835E-03  0.0000000E+00
  2.4000000E+02  1.3966760E-17 -1.1860326E-03  2.6849256E-18 -1.2251664E-03  0.0000000E+00
  2.4000000E+02 -5.5235665E-17 -1.1306898E-03 -1.3985665E-18 -1.1476950E-03  0.0000000E+00
  2.4000000E+02 -2.5814845E-17 -1.1492330E-03  1.0888368E-17 -1.0705271E-03  0.0000000E+00
  2.4000000E+02 -2.9422846E-17 -1.1365229E-03  5.3753765E-18 -9.9367474E-04  0.0000000E+00
  2.4000000E+02 -2.7558977E-17 -1.1212454E-03 -2.0695989E-18 -9.1708772E-04  0.0000000E+00
  2.4000000E+02 -8.9111739E-18 -1.1119018E-03 -4.9930845E-18 -8.4075904E-04  0.0000000E+00
  2.4000000E+02  6.4949464E-18 -1.1072072E-03 -2.9226766E-18 -7.6468589E-04  0.0000000E+00
  2.4000000E+02  1.6605960E-17 -1.1039971E-03  1.7284091E-18 -6.8884773E-04  0.0000000E+00
