          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  2.4000000E+02 -3.7508571E-21  7.6277524E-21  1.0677138E-25  9.7310925E-03  0.0000000E+00
  2.4000000E+02 -4.9187872E-02 -1.0917383E-02 -1.7195400E-07  9.3216239E-03  0.0000000E+00
  2.4000000E+02 -1.1464145E-01 -1.0729135E-02 -3.5385856E-07  8.9073861E-03  0.0000000E+00
  2.4000000E+02 -1.2916972E-01 -6.3580813E-03 -2.6839203E-07  7.9548646E-03  0.0000000E+00
  2.4000000E+02 -1.1437266E-01 -2.2518503E-03 -1.0064210E-07  6.5224312E-03  0.0000000E+00
  2.4000000E+02 -8.6195315E-02  1.7963177E-03  2.7211334E-08  4.8538713E-03  0.0000000E+00
  2.4000000E+02 -5.4897317E-02  5.9763906E-03  5.8820842E-08  3.1280752E-03  0.0000000E+00
  2.4000000E+02 -2.5509307E-02  1.0311464E-02  9.1294035E-09  1.4494507E-03  0.0000000E+00
  2.4000000E+02  7.7329826E-04  1.4564767E-02 -8.1472840E-08 -1.2526683E-04  0.0000000E+00
  2.4000000E+02  2.4651776E-02  1.8225450E-02 -1.8573695E-07 -1.5657737E-03  0.0000000E+00
  2.4000000E+02  4.6695607E-02  2.0720348E-02 -2.9096327E-07 -2.8560860E-03  0.0000000E+00
  2.4000000E+02  6.6244708E-02  2.1729556E-02 -3.9949046E-07 -3.9902521E-03  0.0000000E+00
  2.4000000E+02  8.1602830E-02  2.1438891E-02 -5.3507754E-07 -4.9704063E-03  0.0000000E+00
  2.4000000E+02  9.1310800E-02  2.0384712E-02 -7.0831114E-07 -5.8042306E-03  0.0000000E+00
  2.4000000E+02  9.5511376E-02  1.9143646E-02 -8.9582443E-07 -6.5031595E-03  0.0000000E+00
  2.4000000E+02  9.6204577E-02  1.8030687E-02 -1.0630348E-06 -7.0805810E-03  0.0000000E+00
  2.4000000E+02  9.5766145E-02  1.7007138E-02 -1.1941324E-06 -7.5489571E-03  0.0000000E+00
  2.4000000E+02  9.5584691E-02  1.5873450E-02 -1.2553231E-06 -7.9183812E-03  0.0000000E+00
  2.4000000E+02  9.5961911E-02  1.4524759E-02 -1.2412316E-06 -8.1961631E-03  0.0000000E+00
  2.4000000E+02  9.6632404E-02  1.2943676E-02 -1.1681125E-06 -8.3874184E-03  0.0000000E+00
  2.4000000E+02  9.7176833E-02  1.1180586E-02 -1.0594845E-06 -8.4966252E-03  0.0000000E+00
  2.4000000E+02  9.7250112E-02  9.3174088E-03 -9.4198704E-07 -8.5290863E-03  0.0000000E+00
  2.4000000E+02  9.6594712E-02  7.4244969E-03 -8.5560295E-07 -8.4917270E-03  0.0000000E+00
  2.4000000E+02  9.5055336E-02  5.6009614E-03 -8.1532402E-07 -8.3936333E-03  0.0000000E+00
  2.4000000E+02  9.2617315E-02  3.8936246E-03 -7.9446844E-07 -8.2445001E-03  0.0000000E+00
  2.4000000E+02  8.9370887E-02  2.3585630E-03 -7.6260814E-07 -8.0552536E-03  0.0000000E+00
  2.4000000E+02  8.5496312E-02  1.0433615E-03 -7.1539351E-07 -7.8369852E-03  0.0000000E+00
  2.4000000E+02  8.1191589E-02 -3.7473816E-05 -6.6950262E-07 -7.5998094E-03  0.0000000E+00
  2.4000000E+02  7.6655535E-02 -8.9106353E-04 -6.4170939E-07 -7.3524637E-03  0.0000000E+00
  2.4000000E+02  7.2067644E-02 -1.5372484E-03 -6.3661467E-07 -7.1021535E-03  0.0000000E+00
  2.4000000E+02  6.7570032E-02 -2.0029168E-03 -6.4390746E-07 -6.8545742E-03  0.0000000E+00
  2.4000000E+02  6.3256755E-02 -2.3202588E-03 -6.4602312E-07 -6.6140467E-03  0.0000000E+00
  2.4000000E+02  5.9196041E-02 -2.5182017E-03 -6.3276620E-07 -6.3838860E-03  0.0000000E+00
  2.4000000E+02  5.5433027E-02 -2.6133107E-03 -6.2392466E-07 -6.1661954E-03  0.0000000E+00
  2.4000000E+02  5.1965937E-02 -2.6380616E-03 -6.4601610E-07 -5.9620816E-03  0.0000000E+00
  2.4000000E+02  4.8813412E-02 -2.6052810E-03 -7.0416648E-07 -5.7723783E-03  0.0000000E+00
  2.4000000E+02  4.5971101E-02 -2.5279976E-03 -7.9661895E-07 -5.5971807E-03  0.0000000E+00
  2.4000000E+02  4.3421077E-02 -2.4176949E-03 -9.1661181E-07 -5.4360250E-03  0.0000000E+00
  2.4000000E+02  4.1139779E-02 -2.2836015E-03 -1.0537802E-06 -5.2880752E-03  0.0000000E+00
  2.4000000E+02  3.9103771E-02 -2.1328686E-03 -1.1952071E-06 -5.1523009E-03  0.0000000E+00
  2.4000000E+02  3.7292600E-02 -1.9714858E-03 -1.3262478E-06 -5.0276266E-03  0.0000000E+00
  2.4000000E+02  3.5688042E-02 -1.8057834E-03 -1.4312547E-06 -4.9130361E-03  0.0000000E+00
  2.4000000E+02  3.4269025E-02 -1.6443725E-03 -1.4943256E-06 -4.8076122E-03  0.0000000E+00
  2.4000000E+02  3.3016186E-02 -1.4850179E-03 -1.5004835E-06 -4.7106691E-03  0.0000000E+00
  2.4000000E+02  3.1916166E-02 -1.3346417E-03 -1.4600208E-06 -4.6211978E-03  0.0000000E+00
  2.4000000E+02  3.0947327E-02 -1.1965056E-03 -1.3832104E-06 -4.5384177E-03  0.0000000E+00
  2.4000000E+02  3.0090559E-02 -1.0697329E-03 -1.2823074E-06 -4.4616631E-03  0.0000000E+00
  2.4000000E+02  2.9327580E-02 -9.5432628E-04 -1.1683069E-06 -4.3902595E-03  0.0000000E+00
  2.4000000E+02  2.8641333E-02 -8.5059970E-04 -1.0480454E-06 -4.3235046E-03  0.0000000E+00
  2.4000000E+02  2.8016612E-02 -7.5871073E-04 -9.2381717E-07 -4.2606567E-03  0.0000000E+00
  2.4000000E+02  2.7440668E-02 -6.7837946E-04 -7.9466529E-07 -4.2009389E-03  0.0000000E+00
  2.4000000E+02  2.6903538E-02 -6.0887793E-04 -6.5850946E-07 -4.1435619E-03  0.0000000E+00
  2.4000000E+02  2.6397852E-02 -5.4937530E-04 -5.1427154E-07 -4.0877763E-03  0.0000000E+00
  2.4000000E+02  2.5917848E-02 -4.9972342E-04 -3.6316025E-07 -4.0329559E-03  0.0000000E+00
  2.4000000E+02  2.5457361E-02 -4.6176775E-04 -2.0827605E-07 -3.9787231E-03  0.0000000E+00
  2.4000000E+02  2.5018404E-02 -4.2746288E-04 -7.1355827E-08 -3.9247613E-03  0.0000000E+00
  2.4000000E+02  2.4593417E-02 -4.0046666E-04  4.7860566E-08 -3.8706450E-03  0.0000000E+00
  2.4000000E+02  2.4178324E-02 -3.7864957E-04  1.2473486E-07 -3.8160268E-03  0.0000000E+00
  2.4000000E+02  2.3771312E-02 -3.6038228E-04  1.5577441E-07 -3.7607266E-03  0.0000000E+00
  2.4000000E+02  2.3371353E-02 -3.4478913E-04  1.4718767E-07 -3.7046362E-03  0.0000000E+00
  2.4000000E+02  2.2977671E-02 -3.3139041E-04  1.0750998E-07 -3.6476549E-03  0.0000000E+00
  2.4000000E+02  2.2589551E-02 -3.1983598E-04  4.4780278E-08 -3.5896579E-03  0.0000000E+00
  2.4000000E+02  2.2206377E-02 -3.0974419E-04 -3.3359133E-08 -3.5304903E-03  0.0000000E+00
  2.4000000E+02  2.1827758E-02 -3.0066045E-04 -1.1826783E-07 -3.4699823E-03  0.0000000E+00
  2.4000000E+02  2.1453641E-02 -2.9214933E-04 -1.9924554E-07 -3.4079759E-03  0.0000000E+00
  2.4000000E+02  2.1084259E-02 -2.8403462E-04 -2.6443138E-07 -3.3443601E-03  0.0000000E+00
  2.4000000E+02  2.0719806E-02 -2.7680126E-04 -3.0529215E-07 -3.2791063E-03  0.0000000E+00
  2.4000000E+02  2.0359525E-02 -2.7082692E-04 -3.2521172E-07 -3.2122988E-03  0.0000000E+00
  2.4000000E+02  2.0001153E-02 -2.6348119E-04 -3.3053443E-07 -3.1440015E-03  0.0000000E+00
  2.4000000E+02  1.9643573E-02 -2.5751688E-04 -3.2628709E-07 -3.0742327E-03  0.0000000E+00
  2.4000000E+02  1.9285862E-02 -2.5242634E-04 -3.1454941E-07 -3.0031665E-03  0.0000000E+00
  2.4000000E+02  1.8927644E-02 -2.4785603E-04 -2.9555734E-07 -2.9310126E-03  0.0000000E+00
  2.4000000E+02  1.8568907E-02 -2.4355603E-04 -2.6926460E-07 -2.8579471E-03  0.0000000E+00
  2.4000000E+02  1.8209876E-02 -2.3932967E-04 -2.3623584E-07 -2.7840841E-03  0.0000000E+00
  2.4000000E+02  1.7850915E-02 -2.3499238E-04 -1.9798657E-07 -2.7094785E-03  0.0000000E+00
  2.4000000E+02  1.7492473E-02 -2.3034850E-04 -1.5688521E-07 -2.6341489E-03  0.0000000E+00
  2.4000000E+02  1.7135016E-02 -2.2519505E-04 -1.1573270E-07 -2.5581092E-03  0.0000000E+00
  2.4000000E+02  1.6778962E-02 -2.1936148E-04 -7.7134817E-08 -2.4813985E-03  0.0000000E+00
  2.4000000E+02  1.6424585E-02 -2.1279414E-04 -4.2782578E-08 -2.4040989E-03  0.0000000E+00
  2.4000000E+02  1.6071878E-02 -2.0569451E-04 -1.2756123E-08 -2.3263285E-03  0.0000000E+00
  2.4000000E+02  1.5720351E-02 -1.9872011E-04  1.5032744E-08 -2.2482011E-03  0.0000000E+00
  2.4000000E+02  1.5371578E-02 -1.9057088E-04  4.3171350E-08 -2.1698665E-03  0.0000000E+00
  2.4000000E+02  1.5025176E-02 -1.8243143E-04  7.3115847E-08 -2.0912820E-03  0.0000000E+00
  2.4000000E+02  1.4679054E-02 -1.7421726E-04  1.0479523E-07 -2.0124418E-03  0.0000000E+00
  2.4000000E+02  1.4332800E-02 -1.6577954E-04  1.3758701E-07 -1.9333922E-03  0.0000000E+00
  2.4000000E+02  1.3987035E-02 -1.5718826E-04  1.7056379E-07 -1.8542094E-03  0.0000000E+00
  2.4000000E+02  1.3642979E-02 -1.4864130E-04  2.0264658E-07 -1.7749873E-03  0.0000000E+00
  2.4000000E+02  1.3302101E-02 -1.4037834E-04  2.3278010E-07 -1.6958221E-03  0.0000000E+00
  2.4000000E+02  1.2965836E-02 -1.3260791E-04  2.6009751E-07 -1.6167987E-03  0.0000000E+00
  2.4000000E+02  1.2635364E-02 -1.2545588E-04  2.8404232E-07 -1.5379794E-03  0.0000000E+00
  2.4000000E+02  1.2311434E-02 -1.1894370E-04  3.0441512E-07 -1.4593988E-03  0.0000000E+00
  2.4000000E+02  1.1994222E-02 -1.1300469E-04  3.2131257E-07 -1.3810669E-03  0.0000000E+00
  2.4000000E+02  1.1683202E-02 -1.0754683E-04  3.3492656E-07 -1.3029835E-03  0.0000000E+00
  2.4000000E+02  1.1377038E-02 -1.0257006E-04  3.4517091E-07 -1.2251664E-03  0.0000000E+00
  2.4000000E+02  1.1073455E-02 -9.8346802E-05  3.5110334E-07 -1.1476950E-03  0.0000000E+00
  2.4000000E+02  1.0773373E-02 -9.3689541E-05  3.5552346E-07 -1.0705271E-03  0.0000000E+00
  2.4000000E+02  1.0475577E-02 -8.9177180E-05  3.5134145E-07 -9.9367474E-04  0.0000000E+00
  2.4000000E+02  1.0182074E-02 -8.4999726E-05  3.3963013E-07 -9.1708772E-04  0.0000000E+00
  2.4000000E+02  9.8935179E-03 -8.1189273E-05  3.1793638E-07 -8.4075904E-04  0.0000000E+00
  2.4000000E+02  9.6097640E-03 -7.7698475E-05  2.8459786E-07 -7.6468589E-04  0.0000000E+00
