          atime        pres_st        turb_df           diss        visc_df        garbage
  2.4000000E+02  4.0230451E-06  8.7176858E-06 -6.1802249E-01  5.5394155E-01  1.9385010E-21
  2.4000000E+02 -4.9766706E-05 -3.7911640E-01 -2.1773572E-01  4.6001820E-02 -3.0052714E-02
  2.4000000E+02  5.1680990E-06 -1.4283863E-01 -8.5619027E-02 -6.9614052E-02 -6.2685467E-02
  2.4000000E+02  5.2418276E-06  2.5424818E-02 -6.5669975E-02 -3.5305002E-02 -6.7764035E-02
  2.4000000E+02  2.1010101E-06  7.6138280E-02 -6.0185222E-02 -1.5910173E-02 -5.8312306E-02
  2.4000000E+02  6.1388845E-06  8.2749027E-02 -5.7628067E-02 -8.9808183E-03 -4.2199485E-02
  2.4000000E+02  3.4604290E-06  7.2051460E-02 -5.6157214E-02 -7.2790563E-03 -2.4460434E-02
  2.4000000E+02  6.2611945E-06  5.5160688E-02 -5.5463283E-02 -7.0889565E-03 -7.5989169E-03
  2.4000000E+02  7.5733426E-06  3.8569637E-02 -5.5619686E-02 -6.3141654E-03  7.6689919E-03
  2.4000000E+02  5.1044860E-06  2.4970361E-02 -5.6648809E-02 -4.3939192E-03  2.1438520E-02
  2.4000000E+02  7.4881015E-06  1.4273194E-02 -5.7821384E-02 -2.0685340E-03  3.3707832E-02
  2.4000000E+02  5.7581191E-06  5.7037864E-03 -5.8527458E-02 -4.6165611E-04  4.3986932E-02
  2.4000000E+02  7.1031747E-06 -1.8568030E-03 -5.8162384E-02 -5.9940350E-04  5.1520593E-02
  2.4000000E+02  8.1011214E-06 -9.4685109E-03 -5.6550510E-02 -2.5292488E-03  5.5847402E-02
  2.4000000E+02  7.5885363E-06 -1.7000880E-02 -5.4127613E-02 -4.8479071E-03  5.7327063E-02
  2.4000000E+02  1.0281149E-05 -2.2389477E-02 -5.1899244E-02 -5.8634719E-03  5.7117100E-02
  2.4000000E+02  7.5250394E-06 -2.4385981E-02 -5.0085901E-02 -5.2470028E-03  5.6386044E-02
  2.4000000E+02  9.6455459E-06 -2.3718915E-02 -4.8760022E-02 -4.0005374E-03  5.5728443E-02
  2.4000000E+02  5.9484979E-06 -2.1760916E-02 -4.7761827E-02 -2.8654097E-03  5.5242714E-02
  2.4000000E+02  6.3296436E-06 -1.9446432E-02 -4.6844681E-02 -2.0871140E-03  5.4787456E-02
  2.4000000E+02  9.9039900E-06 -1.7148773E-02 -4.5915992E-02 -1.6617800E-03  5.4178180E-02
  2.4000000E+02  5.2503062E-06 -1.4838029E-02 -4.4937600E-02 -1.4400664E-03  5.3283289E-02
  2.4000000E+02  1.7242766E-05 -1.2346087E-02 -4.3749755E-02 -1.2721965E-03  5.2009177E-02
  2.4000000E+02  7.3389043E-06 -9.8232354E-03 -4.2480654E-02 -1.3039426E-03  5.0327741E-02
  2.4000000E+02  4.8291818E-06 -7.1580933E-03 -4.0876680E-02 -1.2666028E-03  4.8255072E-02
  2.4000000E+02  9.1380755E-06 -4.3317129E-03 -3.9211302E-02 -1.1968939E-03  4.5864344E-02
  2.4000000E+02  5.5474876E-06 -1.5048933E-03 -3.7616081E-02 -1.1153405E-03  4.3269479E-02
  2.4000000E+02  2.3122892E-06  1.2029565E-03 -3.6082130E-02 -1.0153054E-03  4.0576723E-02
  2.4000000E+02  4.5699614E-06  3.7173441E-03 -3.4606112E-02 -8.9937154E-04  3.7881915E-02
  2.4000000E+02  7.1752079E-06  5.9741473E-03 -3.3206612E-02 -7.7027376E-04  3.5264879E-02
  2.4000000E+02  3.3043993E-06  7.8988348E-03 -3.1879943E-02 -6.1495568E-04  3.2783235E-02
  2.4000000E+02  5.6747101E-06  9.4512922E-03 -3.0564496E-02 -4.2032726E-04  3.0467925E-02
  2.4000000E+02  1.7291302E-05  1.0647300E-02 -2.9236909E-02 -3.0495374E-04  2.8338603E-02
  2.4000000E+02 -2.7682464E-07  1.1438995E-02 -2.7885746E-02 -2.2190592E-04  2.6409546E-02
  2.4000000E+02  4.1134503E-06  1.1963821E-02 -2.6562468E-02 -1.1896238E-04  2.4663614E-02
  2.4000000E+02  5.0099632E-06  1.2183391E-02 -2.5359312E-02 -5.6012181E-05  2.3103713E-02
  2.4000000E+02  1.9694087E-06  1.2115549E-02 -2.4276864E-02 -2.4290634E-05  2.1721153E-02
  2.4000000E+02  2.3695551E-07  1.1809214E-02 -2.3292576E-02 -6.5456921E-06  2.0501233E-02
  2.4000000E+02  1.7167809E-06  1.1324939E-02 -2.2390484E-02  2.0381457E-06  1.9427562E-02
  2.4000000E+02  3.6602359E-06  1.0720754E-02 -2.1564456E-02 -2.3418576E-06  1.8484853E-02
  2.4000000E+02  2.4983552E-06  1.0042876E-02 -2.0807269E-02 -1.8046327E-05  1.7659894E-02
  2.4000000E+02  2.4542444E-07  9.3208430E-03 -2.0097835E-02 -2.8191596E-05  1.6940414E-02
  2.4000000E+02  1.0900319E-05  8.5666575E-03 -1.9398882E-02 -9.6059038E-06  1.6311579E-02
  2.4000000E+02  3.2341278E-06  7.7343667E-03 -1.8716425E-02 -5.1645613E-05  1.5764834E-02
  2.4000000E+02 -2.2831181E-07  6.9456302E-03 -1.8037234E-02 -7.0791756E-05  1.5290032E-02
  2.4000000E+02  2.0222914E-06  6.1792799E-03 -1.7399367E-02 -7.4496784E-05  1.4874719E-02
  2.4000000E+02  2.3303216E-06  5.4184215E-03 -1.6820417E-02 -8.3063947E-05  1.4509772E-02
  2.4000000E+02  8.9635221E-07  4.6733689E-03 -1.6296876E-02 -9.7348867E-05  1.4186043E-02
  2.4000000E+02 -1.3126236E-07  3.9633558E-03 -1.5819698E-02 -1.1363282E-04  1.3894843E-02
  2.4000000E+02  3.2054843E-07  3.3061242E-03 -1.5381716E-02 -1.3002345E-04  1.3628489E-02
  2.4000000E+02  1.5001115E-06  2.7136171E-03 -1.4978998E-02 -1.4702322E-04  1.3380747E-02
  2.4000000E+02  1.7434191E-06  2.1919996E-03 -1.4608227E-02 -1.6490576E-04  1.3147001E-02
  2.4000000E+02  4.3666908E-07  1.7442342E-03 -1.4262192E-02 -1.8054041E-04  1.2923981E-02
  2.4000000E+02  4.1719978E-07  1.3734356E-03 -1.3925451E-02 -1.8630520E-04  1.2708881E-02
  2.4000000E+02  1.0201082E-05  1.0852291E-03 -1.3572278E-02 -1.7372852E-04  1.2497693E-02
  2.4000000E+02  6.4417543E-07  7.9211731E-04 -1.3244828E-02 -2.0485087E-04  1.2295435E-02
