          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  2.4000000E+02 -2.2133214E-06 -6.4948581E-08 -8.4222982E-07  9.7310925E-03  0.0000000E+00
  2.4000000E+02  1.2707544E-01  1.4709333E-02  4.6692445E-02  9.3216239E-03  0.0000000E+00
  2.4000000E+02  1.5183560E-01  1.3253146E-02  5.2654368E-02  8.9073861E-03  0.0000000E+00
  2.4000000E+02  1.0907293E-01  1.0331907E-02  2.8238039E-02  7.9548646E-03  0.0000000E+00
  2.4000000E+02  6.9441421E-02  9.0828792E-03  1.0471103E-02  6.5224312E-03  0.0000000E+00
  2.4000000E+02  3.5396898E-02  7.5843507E-03  3.0103906E-04  4.8538713E-03  0.0000000E+00
  2.4000000E+02  5.1553537E-03  5.4020843E-03 -5.6585738E-03  3.1280752E-03  0.0000000E+00
  2.4000000E+02 -2.1614789E-02  2.6392027E-03 -9.6773469E-03  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -4.3258731E-02 -4.4948834E-04 -1.2653695E-02 -1.2526683E-04  0.0000000E+00
  2.4000000E+02 -5.7481641E-02 -3.4764988E-03 -1.4650113E-02 -1.5657737E-03  0.0000000E+00
  2.4000000E+02 -6.3594924E-02 -5.9998377E-03 -1.5547716E-02 -2.8560860E-03  0.0000000E+00
  2.4000000E+02 -6.3059925E-02 -7.6992684E-03 -1.5413934E-02 -3.9902521E-03  0.0000000E+00
  2.4000000E+02 -5.8817778E-02 -8.5561203E-03 -1.4624769E-02 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -5.3569055E-02 -8.8002278E-03 -1.3626046E-02 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -4.8696059E-02 -8.7417329E-03 -1.2718874E-02 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -4.4180929E-02 -8.5828436E-03 -1.1967797E-02 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -3.9468940E-02 -8.3431777E-03 -1.1251813E-02 -7.5489571E-03  0.0000000E+00
  2.4000000E+02 -3.4304642E-02 -7.9429562E-03 -1.0418851E-02 -7.9183812E-03  0.0000000E+00
  2.4000000E+02 -2.8868801E-02 -7.3428355E-03 -9.4293478E-03 -8.1961631E-03  0.0000000E+00
  2.4000000E+02 -2.3447833E-02 -6.5464020E-03 -8.3045044E-03 -8.3874184E-03  0.0000000E+00
  2.4000000E+02 -1.8289993E-02 -5.5953064E-03 -7.0908861E-03 -8.4966252E-03  0.0000000E+00
  2.4000000E+02 -1.3535786E-02 -4.5526371E-03 -5.8343979E-03 -8.5290863E-03  0.0000000E+00
  2.4000000E+02 -9.2370646E-03 -3.4761865E-03 -4.5676562E-03 -8.4917270E-03  0.0000000E+00
