          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  2.4000000E+02 -8.0407275E-01 -1.5014153E-01 -2.8183071E-01  9.7310925E-03  0.0000000E+00
  2.4000000E+02 -2.8267067E-01 -3.3455333E-02 -1.1934544E-01  9.3216239E-03  0.0000000E+00
  2.4000000E+02 -1.1133672E-01 -1.4554447E-02 -4.5346888E-02  8.9073861E-03  0.0000000E+00
  2.4000000E+02 -8.1280186E-02 -1.4689842E-02 -3.5369921E-02  7.9548646E-03  0.0000000E+00
  2.4000000E+02 -7.0590258E-02 -1.5355646E-02 -3.4424539E-02  6.5224312E-03  0.0000000E+00
  2.4000000E+02 -6.4718360E-02 -1.6146243E-02 -3.4391531E-02  4.8538713E-03  0.0000000E+00
  2.4000000E+02 -6.0863459E-02 -1.7071753E-02 -3.4379216E-02  3.1280752E-03  0.0000000E+00
  2.4000000E+02 -5.8483191E-02 -1.8046429E-02 -3.4396947E-02  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -5.7783779E-02 -1.8973960E-02 -3.4481635E-02 -1.2526683E-04  0.0000000E+00
  2.4000000E+02 -5.8776950E-02 -1.9801660E-02 -3.4719007E-02 -1.5657737E-03  0.0000000E+00
  2.4000000E+02 -6.0234504E-02 -2.0497838E-02 -3.4910427E-02 -2.8560860E-03  0.0000000E+00
  2.4000000E+02 -6.0946808E-02 -2.1071295E-02 -3.5036812E-02 -3.9902521E-03  0.0000000E+00
  2.4000000E+02 -5.9748460E-02 -2.1548722E-02 -3.5027585E-02 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -5.6332333E-02 -2.1943090E-02 -3.4825596E-02 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -5.1598959E-02 -2.2244575E-02 -3.4411692E-02 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -4.7396024E-02 -2.2440877E-02 -3.3961588E-02 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -4.4309151E-02 -2.2498423E-02 -3.3364229E-02 -7.5489571E-03  0.0000000E+00
  2.4000000E+02 -4.2374706E-02 -2.2421656E-02 -3.2723681E-02 -7.9183812E-03  0.0000000E+00
  2.4000000E+02 -4.1176729E-02 -2.2241722E-02 -3.2105204E-02 -8.1961631E-03  0.0000000E+00
  2.4000000E+02 -4.0260114E-02 -2.1974441E-02 -3.1454808E-02 -8.3874184E-03  0.0000000E+00
  2.4000000E+02 -3.9445020E-02 -2.1632482E-02 -3.0754482E-02 -8.4966252E-03  0.0000000E+00
  2.4000000E+02 -3.8658378E-02 -2.1225210E-02 -2.9991613E-02 -8.5290863E-03  0.0000000E+00
  2.4000000E+02 -3.7696672E-02 -2.0741005E-02 -2.9061832E-02 -8.4917270E-03  0.0000000E+00
  2.4000000E+02 -3.6624834E-02 -2.0223588E-02 -2.8112886E-02 -8.3936333E-03  0.0000000E+00
  2.4000000E+02 -3.5165437E-02 -1.9636189E-02 -2.6951734E-02 -8.2445001E-03  0.0000000E+00
  2.4000000E+02 -3.3626325E-02 -1.9015544E-02 -2.5780735E-02 -8.0552536E-03  0.0000000E+00
  2.4000000E+02 -3.2143088E-02 -1.8393937E-02 -2.4695137E-02 -7.8369852E-03  0.0000000E+00
  2.4000000E+02 -3.0709983E-02 -1.7778446E-02 -2.3675831E-02 -7.5998094E-03  0.0000000E+00
  2.4000000E+02 -2.9328544E-02 -1.7172853E-02 -2.2710828E-02 -7.3524637E-03  0.0000000E+00
  2.4000000E+02 -2.8021692E-02 -1.6582393E-02 -2.1809139E-02 -7.1021535E-03  0.0000000E+00
  2.4000000E+02 -2.6787136E-02 -1.6008521E-02 -2.0964230E-02 -6.8545742E-03  0.0000000E+00
  2.4000000E+02 -2.5563901E-02 -1.5440890E-02 -2.0124202E-02 -6.6140467E-03  0.0000000E+00
  2.4000000E+02 -2.4315674E-02 -1.4885065E-02 -1.9273078E-02 -6.3838860E-03  0.0000000E+00
  2.4000000E+02 -2.3016326E-02 -1.4351628E-02 -1.8403538E-02 -6.1661954E-03  0.0000000E+00
  2.4000000E+02 -2.1756558E-02 -1.3824767E-02 -1.7543612E-02 -5.9620816E-03  0.0000000E+00
  2.4000000E+02 -2.0623822E-02 -1.3330003E-02 -1.6764799E-02 -5.7723783E-03  0.0000000E+00
  2.4000000E+02 -1.9616693E-02 -1.2869345E-02 -1.6067691E-02 -5.5971807E-03  0.0000000E+00
  2.4000000E+02 -1.8710964E-02 -1.2438408E-02 -1.5435781E-02 -5.4360250E-03  0.0000000E+00
  2.4000000E+02 -1.7889009E-02 -1.2033879E-02 -1.4858080E-02 -5.2880752E-03  0.0000000E+00
  2.4000000E+02 -1.7143712E-02 -1.1654385E-02 -1.4330815E-02 -5.1523009E-03  0.0000000E+00
  2.4000000E+02 -1.6468219E-02 -1.1297837E-02 -1.3848482E-02 -5.0276266E-03  0.0000000E+00
  2.4000000E+02 -1.5842838E-02 -1.0958306E-02 -1.3394525E-02 -4.9130361E-03  0.0000000E+00
  2.4000000E+02 -1.5230333E-02 -1.0625516E-02 -1.2941916E-02 -4.8076122E-03  0.0000000E+00
  2.4000000E+02 -1.4620596E-02 -1.0315799E-02 -1.2496455E-02 -4.7106691E-03  0.0000000E+00
  2.4000000E+02 -1.4015361E-02 -1.0013622E-02 -1.2045486E-02 -4.6211978E-03  0.0000000E+00
  2.4000000E+02 -1.3455384E-02 -9.7236533E-03 -1.1619698E-02 -4.5384177E-03  0.0000000E+00
  2.4000000E+02 -1.2954688E-02 -9.4520514E-03 -1.1234094E-02 -4.4616631E-03  0.0000000E+00
