          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.4000000E+02 -4.8670097E-12  2.1613562E-02 -4.8915938E-18  9.7310925E-03  0.0000000E+00
  2.4000000E+02 -2.0542680E-12  1.3803901E-01  3.9812106E-19  9.3216239E-03  0.0000000E+00
  2.4000000E+02  1.4416924E-12  5.2869301E-02  8.5029918E-19  8.9073861E-03  0.0000000E+00
  2.4000000E+02  1.7104964E-12  2.1317961E-02 -1.0491975E-19  7.9548646E-03  0.0000000E+00
  2.4000000E+02  9.2530559E-13  2.0845892E-03 -1.0909414E-19  6.5224312E-03  0.0000000E+00
  2.4000000E+02  1.3477383E-14 -1.6197097E-02 -4.4335038E-19  4.8538713E-03  0.0000000E+00
  2.4000000E+02 -8.2486928E-13 -3.0686706E-02  7.2835946E-19  3.1280752E-03  0.0000000E+00
  2.4000000E+02 -1.5438956E-12 -3.8815109E-02  6.0389989E-19  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -2.1014516E-12 -3.9979859E-02  2.1796607E-20 -1.2526683E-04  0.0000000E+00
  2.4000000E+02 -2.4654761E-12 -3.4843575E-02 -9.1382661E-20 -1.5657737E-03  0.0000000E+00
  2.4000000E+02 -2.5957605E-12 -2.4835981E-02  2.1158274E-19 -2.8560860E-03  0.0000000E+00
  2.4000000E+02 -2.4613672E-12 -1.1818660E-02 -2.7748859E-19 -3.9902521E-03  0.0000000E+00
  2.4000000E+02 -2.0810943E-12  1.4366711E-03 -1.0771274E-18 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -1.5405920E-12  1.2189015E-02 -3.9683195E-19 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -9.2008760E-13  1.8575244E-02 -6.7274556E-20 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -3.5064209E-13  2.0458935E-02  8.1704986E-19 -7.0805810E-03  0.0000000E+00
  2.4000000E+02  8.4344562E-14  1.9020389E-02 -4.0407102E-19 -7.5489571E-03  0.0000000E+00
  2.4000000E+02  3.8243568E-13  1.6104650E-02 -3.0163427E-18 -7.9183812E-03  0.0000000E+00
  2.4000000E+02  5.7027617E-13  1.2746886E-02 -3.9165220E-18 -8.1961631E-03  0.0000000E+00
  2.4000000E+02  6.8334857E-13  9.5328708E-03 -1.6187568E-18 -8.3874184E-03  0.0000000E+00
  2.4000000E+02  7.5236277E-13  6.6667702E-03  2.2010008E-18 -8.4966252E-03  0.0000000E+00
  2.4000000E+02  7.8837857E-13  4.1400624E-03  3.4786850E-18 -8.5290863E-03  0.0000000E+00
  2.4000000E+02  7.8604465E-13  2.0683531E-03  5.9025586E-19 -8.4917270E-03  0.0000000E+00
  2.4000000E+02  7.7569975E-13  9.7101302E-05 -6.8192399E-21 -8.3936333E-03  0.0000000E+00
  2.4000000E+02  7.5153063E-13 -1.5898983E-03 -3.4920025E-19 -8.2445001E-03  0.0000000E+00
  2.4000000E+02  7.2192143E-13 -3.0051494E-03 -1.6010953E-18 -8.0552536E-03  0.0000000E+00
  2.4000000E+02  6.8923833E-13 -4.2417827E-03 -5.4183517E-18 -7.8369852E-03  0.0000000E+00
  2.4000000E+02  6.5300227E-13 -5.2740709E-03 -9.3079934E-18 -7.5998094E-03  0.0000000E+00
  2.4000000E+02  6.1549718E-13 -6.0905307E-03 -9.0595542E-18 -7.3524637E-03  0.0000000E+00
  2.4000000E+02  5.7843380E-13 -6.7022243E-03 -4.1156573E-18 -7.1021535E-03  0.0000000E+00
  2.4000000E+02  5.3898778E-13 -7.0920900E-03  1.3887986E-19 -6.8545742E-03  0.0000000E+00
  2.4000000E+02  4.9353120E-13 -7.1711274E-03 -8.0986477E-19 -6.6140467E-03  0.0000000E+00
