          atime            tkk            imk        garbage        garbage        garbage
  2.4000000E+02  7.3255402E-22  0.0000000E+00  4.0230451E-06  1.9385013E-21  1.0806781E-02
  2.4000000E+02  1.2851919E-02  0.0000000E+00 -4.9766706E-05 -3.0052714E-02  6.9019504E-02
  2.4000000E+02  3.2546624E-02  0.0000000E+00  5.1680990E-06 -6.2685467E-02  2.6434650E-02
  2.4000000E+02  4.3939694E-02  0.0000000E+00  5.2418276E-06 -6.7764035E-02  1.0658980E-02
  2.4000000E+02  5.1231052E-02  0.0000000E+00  2.1010101E-06 -5.8312306E-02  1.0422946E-03
  2.4000000E+02  5.6462696E-02  0.0000000E+00  6.1388845E-06 -4.2199485E-02 -8.0985484E-03
  2.4000000E+02  6.0446030E-02  0.0000000E+00  3.4604290E-06 -2.4460434E-02 -1.5343353E-02
  2.4000000E+02  6.3459070E-02  0.0000000E+00  6.2611945E-06 -7.5989169E-03 -1.9407555E-02
  2.4000000E+02  6.5617219E-02  0.0000000E+00  7.5733426E-06  7.6689919E-03 -1.9989929E-02
  2.4000000E+02  6.7066374E-02  0.0000000E+00  5.1044860E-06  2.1438520E-02 -1.7421788E-02
  2.4000000E+02  6.8024746E-02  0.0000000E+00  7.4881015E-06  3.3707832E-02 -1.2417990E-02
  2.4000000E+02  6.8722999E-02  0.0000000E+00  5.7581191E-06  4.3986932E-02 -5.9093299E-03
  2.4000000E+02  6.9310554E-02  0.0000000E+00  7.1031747E-06  5.1520593E-02  7.1833553E-04
  2.4000000E+02  6.9784037E-02  0.0000000E+00  8.1011214E-06  5.5847402E-02  6.0945075E-03
  2.4000000E+02  6.9999172E-02  0.0000000E+00  7.5885363E-06  5.7327063E-02  9.2876218E-03
  2.4000000E+02  6.9796517E-02  0.0000000E+00  1.0281149E-05  5.7117100E-02  1.0229467E-02
  2.4000000E+02  6.9128533E-02  0.0000000E+00  7.5250394E-06  5.6386044E-02  9.5101945E-03
  2.4000000E+02  6.8076378E-02  0.0000000E+00  9.6455459E-06  5.5728443E-02  8.0523249E-03
  2.4000000E+02  6.6771627E-02  0.0000000E+00  5.9484979E-06  5.5242714E-02  6.3734432E-03
  2.4000000E+02  6.5329462E-02  0.0000000E+00  6.3296436E-06  5.4787456E-02  4.7664354E-03
  2.4000000E+02  6.3825920E-02  0.0000000E+00  9.9039900E-06  5.4178180E-02  3.3333851E-03
  2.4000000E+02  6.2302359E-02  0.0000000E+00  5.2503062E-06  5.3283289E-02  2.0700312E-03
  2.4000000E+02  6.0779947E-02  0.0000000E+00  1.7242766E-05  5.2009177E-02  1.0341765E-03
  2.4000000E+02  5.9270305E-02  0.0000000E+00  7.3389043E-06  5.0327741E-02  4.8550651E-05
  2.4000000E+02  5.7771755E-02  0.0000000E+00  4.8291818E-06  4.8255072E-02 -7.9494917E-04
  2.4000000E+02  5.6285632E-02  0.0000000E+00  9.1380755E-06  4.5864344E-02 -1.5025747E-03
  2.4000000E+02  5.4815908E-02  0.0000000E+00  5.5474876E-06  4.3269479E-02 -2.1208913E-03
  2.4000000E+02  5.3367586E-02  0.0000000E+00  2.3122892E-06  4.0576723E-02 -2.6370355E-03
  2.4000000E+02  5.1946779E-02  0.0000000E+00  4.5699614E-06  3.7881915E-02 -3.0452654E-03
  2.4000000E+02  5.0560652E-02  0.0000000E+00  7.1752079E-06  3.5264879E-02 -3.3511122E-03
  2.4000000E+02  4.9217344E-02  0.0000000E+00  3.3043993E-06  3.2783235E-02 -3.5460450E-03
  2.4000000E+02  4.7925995E-02  0.0000000E+00  5.6747101E-06  3.0467925E-02 -3.5855637E-03
  2.4000000E+02  4.6697959E-02  0.0000000E+00  1.7291302E-05  2.8338603E-02 -3.5436283E-03
  2.4000000E+02  4.5537915E-02  0.0000000E+00 -2.7682464E-07  2.6409546E-02 -3.4654026E-03
  2.4000000E+02  4.4447792E-02  0.0000000E+00  4.1134503E-06  2.4663614E-02 -3.2504303E-03
  2.4000000E+02  4.3429952E-02  0.0000000E+00  5.0099632E-06  2.3103713E-02 -3.0040242E-03
  2.4000000E+02  4.2483476E-02  0.0000000E+00  1.9694087E-06  2.1721153E-02 -2.7367090E-03
  2.4000000E+02  4.1605664E-02  0.0000000E+00  2.3695551E-07  2.0501233E-02 -2.4475447E-03
  2.4000000E+02  4.0792749E-02  0.0000000E+00  1.7167809E-06  1.9427562E-02 -2.1510935E-03
  2.4000000E+02  4.0040169E-02  0.0000000E+00  3.6602359E-06  1.8484853E-02 -1.8694594E-03
