          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  2.4000000E+02  7.4164430E-01  1.1918077E-01  2.4705803E-01  9.7310925E-03  0.0000000E+00
  2.4000000E+02  6.7053788E-02 -7.8629626E-03  3.2812815E-02  9.3216239E-03  0.0000000E+00
  2.4000000E+02 -8.2723393E-02 -7.9954261E-03 -4.8509284E-02  8.9073861E-03  0.0000000E+00
  2.4000000E+02 -4.3311677E-02  9.7975621E-04 -2.8278082E-02  7.9548646E-03  0.0000000E+00
  2.4000000E+02 -2.2736320E-02  2.5067026E-03 -1.1590729E-02  6.5224312E-03  0.0000000E+00
  2.4000000E+02 -1.6275538E-02  2.0982078E-03 -3.7843069E-03  4.8538713E-03  0.0000000E+00
  2.4000000E+02 -1.5342677E-02  1.5809183E-03 -7.9635394E-04  3.1280752E-03  0.0000000E+00
  2.4000000E+02 -1.5457670E-02  1.1141898E-03  1.6556690E-04  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -1.3700247E-02  6.4396547E-04  4.2795036E-04 -1.2526683E-04  0.0000000E+00
  2.4000000E+02 -9.5941075E-03  1.7057924E-04  6.3568986E-04 -1.5657737E-03  0.0000000E+00
  2.4000000E+02 -4.7536425E-03 -2.6301363E-04  8.7958812E-04 -2.8560860E-03  0.0000000E+00
  2.4000000E+02 -1.3605580E-03 -5.5606248E-04  9.9330828E-04 -3.9902521E-03  0.0000000E+00
  2.4000000E+02 -1.2520382E-03 -6.9980315E-04  7.5303433E-04 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -4.5142361E-03 -7.1857900E-04  1.7431753E-04 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -8.5504340E-03 -6.9063516E-04 -4.5474515E-04 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -1.0151326E-02 -7.0618841E-04 -8.6942929E-04 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -8.7423666E-03 -7.9212956E-04 -9.5950941E-04 -7.5489571E-03  0.0000000E+00
  2.4000000E+02 -6.2924165E-03 -8.9570339E-04 -8.1295488E-04 -7.9183812E-03  0.0000000E+00
  2.4000000E+02 -4.1344899E-03 -9.8225813E-04 -6.1407129E-04 -8.1961631E-03  0.0000000E+00
  2.4000000E+02 -2.6590883E-03 -1.0450555E-03 -4.7008427E-04 -8.3874184E-03  0.0000000E+00
  2.4000000E+02 -1.8383582E-03 -1.0669238E-03 -4.1827795E-04 -8.4966252E-03  0.0000000E+00
  2.4000000E+02 -1.4186527E-03 -1.0334455E-03 -4.2803464E-04 -8.5290863E-03  0.0000000E+00
  2.4000000E+02 -1.1402736E-03 -9.6650269E-04 -4.3761666E-04 -8.4917270E-03  0.0000000E+00
  2.4000000E+02 -1.1929913E-03 -8.5756700E-04 -5.5732700E-04 -8.3936333E-03  0.0000000E+00
  2.4000000E+02 -1.1757313E-03 -7.4368040E-04 -6.1379403E-04 -8.2445001E-03  0.0000000E+00
  2.4000000E+02 -1.1522277E-03 -6.1888697E-04 -6.2267301E-04 -8.0552536E-03  0.0000000E+00
