          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  2.4000000E+02  3.6036241E-07  2.3395525E-04  2.0065862E-16 -1.7086508E-01  0.0000000E+00
  2.4000000E+02 -2.5478068E-01  2.0446088E-01  4.8862390E-02 -1.6358890E-01  0.0000000E+00
  2.4000000E+02  1.4573161E-02 -9.7171363E-02  8.3082714E-02 -1.4838331E-01  0.0000000E+00
  2.4000000E+02  3.0009093E-02 -1.0401188E-01  7.3749035E-02 -1.3362474E-01  0.0000000E+00
  2.4000000E+02  1.4150786E-02 -7.3310478E-02  5.9327477E-02 -1.2177357E-01  0.0000000E+00
  2.4000000E+02  8.1221340E-03 -5.1560571E-02  4.3757189E-02 -1.1262709E-01  0.0000000E+00
  2.4000000E+02  6.6816903E-03 -3.5272975E-02  2.8701573E-02 -1.0538494E-01  0.0000000E+00
  2.4000000E+02  7.5851369E-03 -2.4058251E-02  1.6589817E-02 -9.9472600E-02  0.0000000E+00
  2.4000000E+02  9.8568859E-03 -1.7674297E-02  8.0700291E-03 -9.4568634E-02  0.0000000E+00
  2.4000000E+02  1.1332579E-02 -1.3646329E-02  2.5461256E-03 -9.0444452E-02  0.0000000E+00
  2.4000000E+02  1.2321678E-02 -1.1516895E-02 -6.1516078E-04 -8.6896027E-02  0.0000000E+00
  2.4000000E+02  1.3018013E-02 -1.0551709E-02 -2.2719828E-03 -8.3782882E-02  0.0000000E+00
  2.4000000E+02  1.3521720E-02 -9.9678896E-03 -3.3621868E-03 -8.1009788E-02  0.0000000E+00
  2.4000000E+02  1.3915474E-02 -9.7195588E-03 -4.0206163E-03 -7.8500011E-02  0.0000000E+00
  2.4000000E+02  1.4106814E-02 -9.7648219E-03 -4.1959500E-03 -7.6193839E-02  0.0000000E+00
  2.4000000E+02  1.4191191E-02 -9.6854844E-03 -4.3875741E-03 -7.4044841E-02  0.0000000E+00
  2.4000000E+02  1.4303655E-02 -9.5197604E-03 -4.7005654E-03 -7.2015353E-02  0.0000000E+00
  2.4000000E+02  1.4519669E-02 -9.1572569E-03 -5.3062033E-03 -7.0075636E-02  0.0000000E+00
  2.4000000E+02  1.4812626E-02 -8.5645735E-03 -6.2005612E-03 -6.8204884E-02  0.0000000E+00
  2.4000000E+02  1.5092388E-02 -7.8992631E-03 -7.1336983E-03 -6.6392192E-02  0.0000000E+00
  2.4000000E+02  1.5303193E-02 -7.3373735E-03 -7.8847440E-03 -6.4633143E-02  0.0000000E+00
  2.4000000E+02  1.5482720E-02 -6.8897051E-03 -8.4996535E-03 -6.2924630E-02  0.0000000E+00
  2.4000000E+02  1.5662387E-02 -6.3878208E-03 -9.1902895E-03 -6.1263934E-02  0.0000000E+00
  2.4000000E+02  1.5682495E-02 -5.6772020E-03 -9.9424681E-03 -5.9648596E-02  0.0000000E+00
  2.4000000E+02  1.5723185E-02 -4.9628630E-03 -1.0719717E-02 -5.8074630E-02  0.0000000E+00
  2.4000000E+02  1.5983402E-02 -4.6064191E-03 -1.1349301E-02 -5.6536074E-02  0.0000000E+00
  2.4000000E+02  1.6429761E-02 -4.6609190E-03 -1.1755720E-02 -5.5029537E-02  0.0000000E+00
  2.4000000E+02  1.6895246E-02 -5.0212013E-03 -1.1880081E-02 -5.3552917E-02  0.0000000E+00
  2.4000000E+02  1.7204416E-02 -5.5342993E-03 -1.1692518E-02 -5.2104477E-02  0.0000000E+00
  2.4000000E+02  1.7271176E-02 -6.0662514E-03 -1.1234629E-02 -5.0683851E-02  0.0000000E+00
  2.4000000E+02  1.7131140E-02 -6.5270612E-03 -1.0634292E-02 -4.9293164E-02  0.0000000E+00
  2.4000000E+02  1.6870620E-02 -6.8555537E-03 -1.0035267E-02 -4.7936507E-02  0.0000000E+00
  2.4000000E+02  1.6402849E-02 -6.9151177E-03 -9.4845698E-03 -4.6617048E-02  0.0000000E+00
  2.4000000E+02  1.5938756E-02 -6.7557120E-03 -9.1723354E-03 -4.5340950E-02  0.0000000E+00
  2.4000000E+02  1.5607478E-02 -6.5104299E-03 -9.0659239E-03 -4.4111345E-02  0.0000000E+00
  2.4000000E+02  1.5404727E-02 -6.3058624E-03 -9.0613214E-03 -4.2929718E-02  0.0000000E+00
  2.4000000E+02  1.5339271E-02 -6.2964907E-03 -9.0067833E-03 -4.1794359E-02  0.0000000E+00
  2.4000000E+02  1.5361474E-02 -6.5297406E-03 -8.7963584E-03 -4.0700429E-02  0.0000000E+00
  2.4000000E+02  1.5372169E-02 -6.9211369E-03 -8.4130633E-03 -3.9641701E-02  0.0000000E+00
  2.4000000E+02  1.5275361E-02 -7.3059832E-03 -7.9275088E-03 -3.8612889E-02  0.0000000E+00
  2.4000000E+02  1.5038244E-02 -7.5339972E-03 -7.4577729E-03 -3.7611466E-02  0.0000000E+00
  2.4000000E+02  1.4722046E-02 -7.5733276E-03 -7.0963215E-03 -3.6637880E-02  0.0000000E+00
  2.4000000E+02  1.4447180E-02 -7.5903816E-03 -6.8097729E-03 -3.5693089E-02  0.0000000E+00
  2.4000000E+02  1.4192211E-02 -7.4869187E-03 -6.6625335E-03 -3.4780705E-02  0.0000000E+00
  2.4000000E+02  1.3874574E-02 -7.4979738E-03 -6.3336057E-03 -3.3898960E-02  0.0000000E+00
  2.4000000E+02  1.3596333E-02 -7.6248703E-03 -5.9289617E-03 -3.3050257E-02  0.0000000E+00
  2.4000000E+02  1.3383657E-02 -7.7618603E-03 -5.5810847E-03 -3.2232345E-02  0.0000000E+00
  2.4000000E+02  1.3215551E-02 -7.8488570E-03 -5.3314934E-03 -3.1439955E-02  0.0000000E+00
  2.4000000E+02  1.3051518E-02 -7.8442570E-03 -5.1804554E-03 -3.0667914E-02  0.0000000E+00
  2.4000000E+02  1.2853244E-02 -7.7147321E-03 -5.1193512E-03 -2.9912431E-02  0.0000000E+00
  2.4000000E+02  1.2599549E-02 -7.4382170E-03 -5.1458824E-03 -2.9171212E-02  0.0000000E+00
  2.4000000E+02  1.2293815E-02 -7.0163164E-03 -5.2623110E-03 -2.8443056E-02  0.0000000E+00
  2.4000000E+02  1.1963118E-02 -6.4923568E-03 -5.4569215E-03 -2.7727563E-02  0.0000000E+00
  2.4000000E+02  1.1648288E-02 -5.9713083E-03 -5.6688962E-03 -2.7025618E-02  0.0000000E+00
  2.4000000E+02  1.1384120E-02 -5.6378008E-03 -5.7367914E-03 -2.6341289E-02  0.0000000E+00
  2.4000000E+02  1.1048815E-02 -5.2866315E-03 -5.7642460E-03 -2.5672949E-02  0.0000000E+00
  2.4000000E+02  1.0804514E-02 -5.1346183E-03 -5.6732425E-03 -2.5023826E-02  0.0000000E+00
  2.4000000E+02  1.0569994E-02 -5.1741404E-03 -5.3971303E-03 -2.4392490E-02  0.0000000E+00
  2.4000000E+02  1.0337369E-02 -5.3554563E-03 -4.9813133E-03 -2.3777602E-02  0.0000000E+00
  2.4000000E+02  1.0122189E-02 -5.6093839E-03 -4.5109437E-03 -2.3178022E-02  0.0000000E+00
  2.4000000E+02  9.9314269E-03 -5.8581891E-03 -4.0701469E-03 -2.2592705E-02  0.0000000E+00
  2.4000000E+02  9.7563785E-03 -6.0328451E-03 -3.7187575E-03 -2.2020774E-02  0.0000000E+00
  2.4000000E+02  9.5810592E-03 -6.0905012E-03 -3.4835995E-03 -2.1461658E-02  0.0000000E+00
  2.4000000E+02  9.3966742E-03 -6.0260064E-03 -3.3613452E-03 -2.0915216E-02  0.0000000E+00
  2.4000000E+02  9.2127492E-03 -5.8713291E-03 -3.3299872E-03 -2.0381717E-02  0.0000000E+00
  2.4000000E+02  9.0555013E-03 -5.6767152E-03 -3.3659562E-03 -1.9861591E-02  0.0000000E+00
  2.4000000E+02  8.9440358E-03 -5.4674287E-03 -3.4639189E-03 -1.9354842E-02  0.0000000E+00
  2.4000000E+02  8.8501491E-03 -5.1955956E-03 -3.6449120E-03 -1.8860541E-02  0.0000000E+00
  2.4000000E+02  8.7708070E-03 -4.9457362E-03 -3.8194276E-03 -1.8377839E-02  0.0000000E+00
  2.4000000E+02  8.6774822E-03 -4.7689336E-03 -3.9057659E-03 -1.7904014E-02  0.0000000E+00
  2.4000000E+02  8.5608048E-03 -4.6565046E-03 -3.9017972E-03 -1.7437025E-02  0.0000000E+00
  2.4000000E+02  8.4143416E-03 -4.5592387E-03 -3.8509512E-03 -1.6975187E-02  0.0000000E+00
  2.4000000E+02  8.2364817E-03 -4.4223058E-03 -3.8078059E-03 -1.6517868E-02  0.0000000E+00
  2.4000000E+02  8.0306063E-03 -4.2068281E-03 -3.8158271E-03 -1.6065616E-02  0.0000000E+00
  2.4000000E+02  7.8040996E-03 -3.9003976E-03 -3.8954346E-03 -1.5619877E-02  0.0000000E+00
  2.4000000E+02  7.5667635E-03 -3.5188277E-03 -4.0405780E-03 -1.5182485E-02  0.0000000E+00
  2.4000000E+02  7.3291926E-03 -3.1014228E-03 -4.2219992E-03 -1.4755065E-02  0.0000000E+00
  2.4000000E+02  7.1016717E-03 -2.7020519E-03 -4.3953634E-03 -1.4338540E-02  0.0000000E+00
  2.4000000E+02  6.8941545E-03 -2.3783108E-03 -4.5124373E-03 -1.3932886E-02  0.0000000E+00
  2.4000000E+02  6.7178822E-03 -2.1810599E-03 -4.5334939E-03 -1.3537315E-02  0.0000000E+00
  2.4000000E+02  6.5892038E-03 -2.1466211E-03 -4.4391255E-03 -1.3151047E-02  0.0000000E+00
  2.4000000E+02  6.4567729E-03 -2.1671931E-03 -4.2857273E-03 -1.2771908E-02  0.0000000E+00
  2.4000000E+02  6.3379542E-03 -2.2321148E-03 -4.1011666E-03 -1.2400435E-02  0.0000000E+00
  2.4000000E+02  6.2269230E-03 -2.3023758E-03 -3.9199547E-03 -1.2035146E-02  0.0000000E+00
  2.4000000E+02  6.1237946E-03 -2.3785124E-03 -3.7417634E-03 -1.1675480E-02  0.0000000E+00
  2.4000000E+02  6.0336941E-03 -2.4781345E-03 -3.5535975E-03 -1.1321540E-02  0.0000000E+00
  2.4000000E+02  5.9598356E-03 -2.6117381E-03 -3.3475438E-03 -1.0973618E-02  0.0000000E+00
  2.4000000E+02  5.9005554E-03 -2.7727548E-03 -3.1280549E-03 -1.0631927E-02  0.0000000E+00
  2.4000000E+02  5.8493180E-03 -2.9382853E-03 -2.9113596E-03 -1.0296500E-02  0.0000000E+00
  2.4000000E+02  5.7967095E-03 -3.0769685E-03 -2.7195893E-03 -9.9671945E-03  0.0000000E+00
  2.4000000E+02  5.7334366E-03 -3.1604317E-03 -2.5722121E-03 -9.6437698E-03  0.0000000E+00
  2.4000000E+02  5.6533472E-03 -3.1747718E-03 -2.4773656E-03 -9.3259716E-03  0.0000000E+00
  2.4000000E+02  5.5554903E-03 -3.1285168E-03 -2.4256775E-03 -9.0135906E-03  0.0000000E+00
  2.4000000E+02  5.4442305E-03 -3.0535146E-03 -2.3891673E-03 -8.7064384E-03  0.0000000E+00
  2.4000000E+02  5.3264354E-03 -2.9951990E-03 -2.3278173E-03 -8.4041954E-03  0.0000000E+00
  2.4000000E+02  5.1900368E-03 -2.8866196E-03 -2.3032018E-03 -8.1075249E-03  0.0000000E+00
  2.4000000E+02  5.0637817E-03 -2.7811732E-03 -2.2834704E-03 -7.8141601E-03  0.0000000E+00
  2.4000000E+02  4.9357684E-03 -2.6473008E-03 -2.2897200E-03 -7.5247595E-03  0.0000000E+00
  2.4000000E+02  4.8033706E-03 -2.4791355E-03 -2.3257978E-03 -7.2391838E-03  0.0000000E+00
  2.4000000E+02  4.6674707E-03 -2.2864729E-03 -2.3828474E-03 -6.9572729E-03  0.0000000E+00
  2.4000000E+02  4.5288727E-03 -2.0861571E-03 -2.4446882E-03 -6.6792333E-03  0.0000000E+00
  2.4000000E+02  9.3583148E-02 -9.3491842E-02  5.1148546E-16 -1.4987137E-01  0.0000000E+00
  2.4000000E+02 -4.9127104E-02  3.7477353E-02  1.1581753E-02 -1.4674819E-01  0.0000000E+00
  2.4000000E+02 -3.3212686E-02 -1.1600702E-02  4.4969399E-02 -1.4096271E-01  0.0000000E+00
  2.4000000E+02  2.4737811E-02 -8.2029807E-02  5.7377474E-02 -1.3257173E-01  0.0000000E+00
  2.4000000E+02  1.9905045E-02 -7.8420427E-02  5.8613199E-02 -1.2406770E-01  0.0000000E+00
  2.4000000E+02  1.0605766E-02 -6.4101643E-02  5.3590558E-02 -1.1665210E-01  0.0000000E+00
  2.4000000E+02  7.6758111E-03 -5.0968223E-02  4.3395806E-02 -1.1037037E-01  0.0000000E+00
  2.4000000E+02  7.8894472E-03 -3.9376965E-02  3.1595641E-02 -1.0499142E-01  0.0000000E+00
  2.4000000E+02  9.2973985E-03 -3.0305588E-02  2.1147114E-02 -1.0033255E-01  0.0000000E+00
  2.4000000E+02  1.0851214E-02 -2.3747625E-02  1.3047751E-02 -9.6248477E-02  0.0000000E+00
  2.4000000E+02  1.2161996E-02 -1.9239760E-02  7.2348770E-03 -9.2618439E-02  0.0000000E+00
  2.4000000E+02  1.3026948E-02 -1.6249443E-02  3.3838252E-03 -8.9359757E-02  0.0000000E+00
  2.4000000E+02  1.3571585E-02 -1.4191469E-02  7.8124418E-04 -8.6405096E-02  0.0000000E+00
