          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.4000000E+02  5.8548983E-06 -1.4771337E-06 -5.1793557E-06 -1.7086508E-01  0.0000000E+00
  2.4000000E+02  4.5401673E-02  2.3605407E-03  6.1133234E-03 -1.6358890E-01  0.0000000E+00
  2.4000000E+02 -1.8011773E-02  1.0447736E-02 -7.2391694E-02 -1.4838331E-01  0.0000000E+00
  2.4000000E+02 -1.7270461E-03  8.0403728E-03 -8.7365051E-02 -1.3362474E-01  0.0000000E+00
  2.4000000E+02 -1.1327005E-02 -6.8336393E-04 -3.0753337E-02 -1.2177357E-01  0.0000000E+00
  2.4000000E+02 -2.5597061E-02 -8.7765081E-03 -5.7895720E-04 -1.1262709E-01  0.0000000E+00
  2.4000000E+02 -3.2187976E-02 -1.3883472E-02  4.9942695E-03 -1.0538494E-01  0.0000000E+00
  2.4000000E+02 -2.7406271E-02 -1.8024916E-02  1.6897356E-03 -9.9472600E-02  0.0000000E+00
  2.4000000E+02 -1.9619845E-02 -2.1495767E-02  7.7702902E-05 -9.4568634E-02  0.0000000E+00
  2.4000000E+02 -1.2129782E-02 -2.4532315E-02  1.4970234E-03 -9.0444452E-02  0.0000000E+00
  2.4000000E+02 -5.0654091E-03 -2.7810015E-02  4.3540052E-03 -8.6896027E-02  0.0000000E+00
  2.4000000E+02  1.2851012E-04 -3.1278059E-02  6.5019045E-03 -8.3782882E-02  0.0000000E+00
  2.4000000E+02  3.0683834E-03 -3.4412695E-02  7.5687606E-03 -8.1009788E-02  0.0000000E+00
  2.4000000E+02  4.4982093E-03 -3.6267538E-02  8.0764839E-03 -7.8500011E-02  0.0000000E+00
  2.4000000E+02  5.6931864E-03 -3.6339935E-02  6.7607068E-03 -7.6193839E-02  0.0000000E+00
  2.4000000E+02  5.4319554E-03 -3.4649948E-02  3.8247049E-03 -7.4044841E-02  0.0000000E+00
  2.4000000E+02  3.1625976E-03 -3.1693720E-02  7.5802408E-04 -7.2015353E-02  0.0000000E+00
  2.4000000E+02 -8.2037970E-05 -2.7624610E-02 -3.0233073E-03 -7.0075636E-02  0.0000000E+00
  2.4000000E+02 -4.4058371E-03 -2.2729197E-02 -5.9774206E-03 -6.8204884E-02  0.0000000E+00
  2.4000000E+02 -9.3636898E-03 -1.7393047E-02 -7.1199139E-03 -6.6392192E-02  0.0000000E+00
  2.4000000E+02 -1.3963941E-02 -1.2166927E-02 -7.2001730E-03 -6.4633143E-02  0.0000000E+00
  2.4000000E+02 -1.7326453E-02 -7.7750640E-03 -7.4633662E-03 -6.2924630E-02  0.0000000E+00
  2.4000000E+02 -1.8878900E-02 -4.6217218E-03 -8.1336187E-03 -6.1263934E-02  0.0000000E+00
  2.4000000E+02 -1.7893474E-02 -2.7421869E-03 -8.7090473E-03 -5.9648596E-02  0.0000000E+00
  2.4000000E+02 -1.6988177E-02 -1.4230738E-03 -8.3694547E-03 -5.8074630E-02  0.0000000E+00
  2.4000000E+02 -1.4938079E-02 -4.0094428E-04 -8.0077780E-03 -5.6536074E-02  0.0000000E+00
  2.4000000E+02 -1.2142528E-02  2.4172033E-04 -7.6978486E-03 -5.5029537E-02  0.0000000E+00
  2.4000000E+02 -9.6962272E-03  7.4101303E-04 -7.1025175E-03 -5.3552917E-02  0.0000000E+00
  2.4000000E+02 -8.2791824E-03  1.4892535E-03 -6.0474725E-03 -5.2104477E-02  0.0000000E+00
  2.4000000E+02 -7.8015858E-03  2.7007499E-03 -4.7428347E-03 -5.0683851E-02  0.0000000E+00
  2.4000000E+02 -7.6118583E-03  4.1375367E-03 -3.6415259E-03 -4.9293164E-02  0.0000000E+00
  2.4000000E+02 -7.0760648E-03  5.1269580E-03 -2.9233971E-03 -4.7936507E-02  0.0000000E+00
  2.4000000E+02 -6.3856459E-03  5.2841947E-03 -2.6978601E-03 -4.6617048E-02  0.0000000E+00
  2.4000000E+02 -5.4620458E-03  4.9360032E-03 -1.9569174E-03 -4.5340950E-02  0.0000000E+00
  2.4000000E+02 -4.8928849E-03  4.3813877E-03 -9.9075202E-04 -4.4111345E-02  0.0000000E+00
  2.4000000E+02 -4.3892325E-03  3.8866543E-03 -8.3705185E-04 -4.2929718E-02  0.0000000E+00
  2.4000000E+02 -3.3578598E-03  3.5380911E-03 -9.6067673E-04 -4.1794359E-02  0.0000000E+00
  2.4000000E+02 -1.7482914E-03  3.4441478E-03 -6.0570537E-04 -4.0700429E-02  0.0000000E+00
  2.4000000E+02 -4.7408490E-05  3.7003365E-03  5.5165677E-04 -3.9641701E-02  0.0000000E+00
  2.4000000E+02  1.1707907E-03  4.2592017E-03  2.2683093E-03 -3.8612889E-02  0.0000000E+00
  2.4000000E+02  1.7326745E-03  4.8477041E-03  3.9366293E-03 -3.7611466E-02  0.0000000E+00
  2.4000000E+02  1.9821023E-03  5.0743675E-03  4.9429844E-03 -3.6637880E-02  0.0000000E+00
  2.4000000E+02  2.1195869E-03  4.8685334E-03  5.0013883E-03 -3.5693089E-02  0.0000000E+00
  2.4000000E+02  2.0142879E-03  4.3998562E-03  4.0664354E-03 -3.4780705E-02  0.0000000E+00
  2.4000000E+02  2.0348712E-03  4.0948102E-03  3.4156200E-03 -3.3898960E-02  0.0000000E+00
  2.4000000E+02  2.4441525E-03  3.6753362E-03  2.8580215E-03 -3.3050257E-02  0.0000000E+00
  2.4000000E+02  3.2447944E-03  3.1773943E-03  2.3484657E-03 -3.2232345E-02  0.0000000E+00
  2.4000000E+02  4.1446040E-03  2.8108981E-03  1.9608882E-03 -3.1439955E-02  0.0000000E+00
  2.4000000E+02  4.7990023E-03  2.6909571E-03  1.7017694E-03 -3.0667914E-02  0.0000000E+00
  2.4000000E+02  5.0034329E-03  2.7622166E-03  1.4961202E-03 -2.9912431E-02  0.0000000E+00
  2.4000000E+02  4.7978909E-03  2.8510157E-03  1.2669460E-03 -2.9171212E-02  0.0000000E+00
  2.4000000E+02  4.4457586E-03  2.7800835E-03  1.0291147E-03 -2.8443056E-02  0.0000000E+00
  2.4000000E+02  4.2491285E-03  2.4804958E-03  9.1855496E-04 -2.7727563E-02  0.0000000E+00
