          atime          uvari          vvari          wvari          pvari          tvari
  2.4000000E+02 -1.3125797E-20  2.7448956E-22 -1.5973601E-21  2.0887264E-03  0.0000000E+00
  2.4000000E+02  1.9635339E-02  2.1626916E-04  8.3028412E-03  1.8736054E-03  0.0000000E+00
  2.4000000E+02  3.9260293E-02  1.3133691E-03  2.8735906E-02  1.4321725E-03  0.0000000E+00
  2.4000000E+02  3.7763178E-02  2.9490773E-03  3.7399027E-02  1.1624083E-03  0.0000000E+00
  2.4000000E+02  3.5777336E-02  4.9715834E-03  3.7853388E-02  1.0509434E-03  0.0000000E+00
  2.4000000E+02  3.4949331E-02  7.0454418E-03  3.6148147E-02  1.0217906E-03  0.0000000E+00
  2.4000000E+02  3.4580453E-02  8.9802488E-03  3.4409836E-02  1.0283101E-03  0.0000000E+00
  2.4000000E+02  3.4397872E-02  1.0712145E-02  3.3025262E-02  1.0476476E-03  0.0000000E+00
  2.4000000E+02  3.4267125E-02  1.2238649E-02  3.1912328E-02  1.0683079E-03  0.0000000E+00
  2.4000000E+02  3.4091075E-02  1.3595876E-02  3.0893503E-02  1.0848050E-03  0.0000000E+00
  2.4000000E+02  3.3980393E-02  1.4786913E-02  2.9889044E-02  1.0965319E-03  0.0000000E+00
  2.4000000E+02  3.3978426E-02  1.5798058E-02  2.8938627E-02  1.1044449E-03  0.0000000E+00
  2.4000000E+02  3.4079228E-02  1.6630506E-02  2.8096104E-02  1.1094502E-03  0.0000000E+00
  2.4000000E+02  3.4279822E-02  1.7298442E-02  2.7374076E-02  1.1124319E-03  0.0000000E+00
  2.4000000E+02  3.4560954E-02  1.7818573E-02  2.6744175E-02  1.1139994E-03  0.0000000E+00
  2.4000000E+02  3.4863571E-02  1.8205544E-02  2.6183287E-02  1.1142289E-03  0.0000000E+00
  2.4000000E+02  3.5152037E-02  1.8472122E-02  2.5691876E-02  1.1123354E-03  0.0000000E+00
  2.4000000E+02  3.5430938E-02  1.8630534E-02  2.5281739E-02  1.1077321E-03  0.0000000E+00
  2.4000000E+02  3.5689820E-02  1.8694957E-02  2.4983058E-02  1.1006796E-03  0.0000000E+00
  2.4000000E+02  3.5907196E-02  1.8678438E-02  2.4783863E-02  1.0920908E-03  0.0000000E+00
  2.4000000E+02  3.6080626E-02  1.8594587E-02  2.4627057E-02  1.0830604E-03  0.0000000E+00
  2.4000000E+02  3.6244372E-02  1.8460471E-02  2.4448813E-02  1.0742839E-03  0.0000000E+00
  2.4000000E+02  3.6437691E-02  1.8295321E-02  2.4224827E-02  1.0655306E-03  0.0000000E+00
  2.4000000E+02  3.6630037E-02  1.8112833E-02  2.3984475E-02  1.0556061E-03  0.0000000E+00
  2.4000000E+02  3.6791492E-02  1.7921391E-02  2.3756204E-02  1.0435052E-03  0.0000000E+00
  2.4000000E+02  3.6910862E-02  1.7719756E-02  2.3546859E-02  1.0291000E-03  0.0000000E+00
  2.4000000E+02  3.6976520E-02  1.7508703E-02  2.3342337E-02  1.0124575E-03  0.0000000E+00
  2.4000000E+02  3.6982146E-02  1.7290227E-02  2.3128254E-02  9.9395882E-04  0.0000000E+00
  2.4000000E+02  3.6928990E-02  1.7066003E-02  2.2899889E-02  9.7426024E-04  0.0000000E+00
  2.4000000E+02  3.6822296E-02  1.6836669E-02  2.2662624E-02  9.5410611E-04  0.0000000E+00
  2.4000000E+02  3.6664646E-02  1.6602192E-02  2.2426121E-02  9.3415536E-04  0.0000000E+00
  2.4000000E+02  3.6449005E-02  1.6363543E-02  2.2195517E-02  9.1498435E-04  0.0000000E+00
  2.4000000E+02  3.6160906E-02  1.6125498E-02  2.1964819E-02  8.9709131E-04  0.0000000E+00
  2.4000000E+02  3.5784284E-02  1.5894704E-02  2.1740338E-02  8.8088763E-04  0.0000000E+00
  2.4000000E+02  3.5364383E-02  1.5679353E-02  2.1504583E-02  8.6608285E-04  0.0000000E+00
  2.4000000E+02  3.4920240E-02  1.5483324E-02  2.1257318E-02  8.5206507E-04  0.0000000E+00
  2.4000000E+02  3.4448814E-02  1.5304518E-02  2.1007873E-02  8.3838947E-04  0.0000000E+00
  2.4000000E+02  3.3954558E-02  1.5136482E-02  2.0760930E-02  8.2450506E-04  0.0000000E+00
  2.4000000E+02  3.3454757E-02  1.4971425E-02  2.0512989E-02  8.0983647E-04  0.0000000E+00
  2.4000000E+02  3.2970583E-02  1.4803545E-02  2.0255643E-02  7.9403950E-04  0.0000000E+00
  2.4000000E+02  3.2513872E-02  1.4631593E-02  1.9981844E-02  7.7724908E-04  0.0000000E+00
  2.4000000E+02  3.2079568E-02  1.4459604E-02  1.9691298E-02  7.6013837E-04  0.0000000E+00
  2.4000000E+02  3.1653845E-02  1.4294690E-02  1.9391167E-02  7.4360770E-04  0.0000000E+00
  2.4000000E+02  3.1240843E-02  1.4136022E-02  1.9089008E-02  7.2862883E-04  0.0000000E+00
  2.4000000E+02  3.0833487E-02  1.3984406E-02  1.8784842E-02  7.1566454E-04  0.0000000E+00
  2.4000000E+02  3.0443314E-02  1.3833142E-02  1.8479605E-02  7.0428547E-04  0.0000000E+00
  2.4000000E+02  3.0059103E-02  1.3681894E-02  1.8183846E-02  6.9413583E-04  0.0000000E+00
  2.4000000E+02  2.9667474E-02  1.3533379E-02  1.7905366E-02  6.8476639E-04  0.0000000E+00
  2.4000000E+02  2.9265920E-02  1.3389511E-02  1.7644789E-02  6.7563211E-04  0.0000000E+00
