          atime          uvcov          vwcov          wucov         pm1avg           tavg
  3.6000000E+02  2.4750417E-21  5.4891406E-24 -5.0590688E-23  6.5105713E-03  0.0000000E+00
  3.6000000E+02  2.3939330E-03 -1.8700685E-07  5.1933335E-06  6.2887194E-03  0.0000000E+00
  3.6000000E+02  5.4285154E-03 -1.9548893E-07  2.3756222E-05  5.7909546E-03  0.0000000E+00
  3.6000000E+02  6.3094973E-03 -9.1412074E-07  4.2019210E-05  4.8704733E-03  0.0000000E+00
  3.6000000E+02  5.5584871E-03 -2.1273445E-06  5.2109521E-05  3.6352670E-03  0.0000000E+00
  3.6000000E+02  4.1044082E-03 -3.0988055E-06  5.4271457E-05  2.2488968E-03  0.0000000E+00
  3.6000000E+02  2.4753981E-03 -3.3076563E-06  5.0167643E-05  8.4691746E-04  0.0000000E+00
  3.6000000E+02  8.8412659E-04 -2.5966350E-06  4.1977756E-05 -4.7812702E-04  0.0000000E+00
  3.6000000E+02 -5.7898187E-04 -1.0901643E-06  3.2227943E-05 -1.6690998E-03  0.0000000E+00
  3.6000000E+02 -1.8955493E-03  8.4709311E-07  2.2160291E-05 -2.6952634E-03  0.0000000E+00
  3.6000000E+02 -3.0658756E-03  2.8624452E-06  1.1632248E-05 -3.5436485E-03  0.0000000E+00
  3.6000000E+02 -4.1008634E-03  4.6495014E-06  1.6002311E-06 -4.2143908E-03  0.0000000E+00
  3.6000000E+02 -5.0109695E-03  6.1371135E-06 -5.6127169E-06 -4.7165327E-03  0.0000000E+00
  3.6000000E+02 -5.8051837E-03  7.2690083E-06 -8.2498669E-06 -5.0646970E-03  0.0000000E+00
  3.6000000E+02 -6.4904700E-03  7.9657128E-06 -6.0651328E-06 -5.2766877E-03  0.0000000E+00
  3.6000000E+02 -7.0718583E-03  8.1801920E-06 -4.3245617E-07 -5.3717949E-03  0.0000000E+00
  3.6000000E+02 -7.5531895E-03  7.9524440E-06  6.2201865E-06 -5.3695698E-03  0.0000000E+00
  3.6000000E+02 -7.9385185E-03  7.3682995E-06  1.1492590E-05 -5.2888369E-03  0.0000000E+00
  3.6000000E+02 -8.2318619E-03  6.4685408E-06  1.4444743E-05 -5.1473667E-03  0.0000000E+00
  3.6000000E+02 -8.4339297E-03  5.2008475E-06  1.3806321E-05 -4.9624113E-03  0.0000000E+00
  3.6000000E+02 -8.5566983E-03  3.1979516E-06  1.1784590E-05 -4.7477282E-03  0.0000000E+00
  3.6000000E+02 -8.6071372E-03  5.8732789E-07  1.1240261E-05 -4.5176299E-03  0.0000000E+00
  3.6000000E+02 -8.5954433E-03 -2.5667601E-06  1.3048247E-05 -4.2837977E-03  0.0000000E+00
  3.6000000E+02 -8.5334759E-03 -6.1170756E-06  1.6561824E-05 -4.0553939E-03  0.0000000E+00
  3.6000000E+02 -8.4335324E-03 -9.7995346E-06  2.0283044E-05 -3.8392581E-03  0.0000000E+00
  3.6000000E+02 -8.3074303E-03 -1.3277569E-05  2.2599087E-05 -3.6401607E-03  0.0000000E+00
  3.6000000E+02 -8.1658591E-03 -1.6230651E-05  2.2444286E-05 -3.4610918E-03  0.0000000E+00
  3.6000000E+02 -8.0179676E-03 -1.8452910E-05  1.9747513E-05 -3.3035597E-03  0.0000000E+00
  3.6000000E+02 -7.8711494E-03 -1.9927760E-05  1.5524645E-05 -3.1678751E-03  0.0000000E+00
