          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  3.6000000E+02 -1.2030673E-16 -2.1323028E-01 -1.4422474E-17  6.5105713E-03  0.0000000E+00
  3.6000000E+02 -7.2836102E-16 -5.1657266E-02  7.1233297E-18  6.2887194E-03  0.0000000E+00
  3.6000000E+02  1.4981996E-15  3.7807889E-02  5.4598772E-18  5.7909546E-03  0.0000000E+00
  3.6000000E+02 -1.8735421E-15  6.4917669E-02  9.8944985E-19  4.8704733E-03  0.0000000E+00
  3.6000000E+02 -6.0947994E-16  5.7948346E-02  1.7040541E-18  3.6352670E-03  0.0000000E+00
  3.6000000E+02  1.1367865E-15  4.3503228E-02  3.1175153E-18  2.2488968E-03  0.0000000E+00
  3.6000000E+02  1.4420410E-15  3.1569671E-02 -9.1809355E-19  8.4691746E-04  0.0000000E+00
  3.6000000E+02 -1.2212859E-16  2.3479274E-02 -8.7595179E-20 -4.7812702E-04  0.0000000E+00
  3.6000000E+02  5.0710177E-16  1.8634903E-02  1.9497682E-18 -1.6690998E-03  0.0000000E+00
  3.6000000E+02  7.0590552E-16  1.5268331E-02 -8.4162112E-18 -2.6952634E-03  0.0000000E+00
  3.6000000E+02 -4.6725768E-17  1.2822869E-02 -1.4866672E-17 -3.5436485E-03  0.0000000E+00
  3.6000000E+02 -1.6643745E-16  1.0471867E-02 -7.9310804E-18 -4.2143908E-03  0.0000000E+00
  3.6000000E+02 -1.7341156E-16  7.8492567E-03  6.8441953E-19 -4.7165327E-03  0.0000000E+00
  3.6000000E+02 -2.8823036E-16  4.9103447E-03  2.8060522E-18 -5.0646970E-03  0.0000000E+00
  3.6000000E+02 -4.3020437E-17  1.7692918E-03 -2.3677454E-19 -5.2766877E-03  0.0000000E+00
  3.6000000E+02  7.4939740E-16 -1.4004537E-03 -2.4431420E-18 -5.3717949E-03  0.0000000E+00
  3.6000000E+02  1.1716937E-15 -4.3928275E-03 -1.0375890E-18 -5.3695698E-03  0.0000000E+00
  3.6000000E+02  3.0585788E-16 -6.9129907E-03  3.0481750E-19 -5.2888369E-03  0.0000000E+00
  3.6000000E+02  5.3735491E-17 -8.8000484E-03 -8.6275404E-19 -5.1473667E-03  0.0000000E+00
  3.6000000E+02  5.3796977E-16 -1.0511654E-02 -4.3448498E-18 -4.9624113E-03  0.0000000E+00
  3.6000000E+02  4.1578047E-16 -1.1280416E-02 -5.1181711E-18 -4.7477282E-03  0.0000000E+00
  3.6000000E+02  3.8102809E-17 -1.1558101E-02 -3.6266810E-18 -4.5176299E-03  0.0000000E+00
  3.6000000E+02 -1.3013278E-16 -1.1488488E-02 -1.6299366E-18 -4.2837977E-03  0.0000000E+00
