          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  3.6000000E+02  5.5211368E-01  2.1246688E-02  1.7982099E-01  6.5105713E-03  0.0000000E+00
  3.6000000E+02  1.4901585E-01  5.2525216E-03  8.4143798E-03  6.2887194E-03  0.0000000E+00
  3.6000000E+02 -8.2003648E-02  6.8130251E-04 -3.4562090E-02  5.7909546E-03  0.0000000E+00
  3.6000000E+02 -1.0793958E-01  7.8125464E-04 -2.5011921E-02  4.8704733E-03  0.0000000E+00
  3.6000000E+02 -7.8414925E-02  4.6773108E-04 -1.3083942E-02  3.6352670E-03  0.0000000E+00
  3.6000000E+02 -5.2154541E-02 -2.5452027E-04 -5.6098092E-03  2.2488968E-03  0.0000000E+00
  3.6000000E+02 -3.5959764E-02 -9.2255591E-04 -1.5614937E-03  8.4691746E-04  0.0000000E+00
  3.6000000E+02 -2.4848739E-02 -1.3692227E-03  5.9129828E-04 -4.7812702E-04  0.0000000E+00
  3.6000000E+02 -1.8315218E-02 -1.6643079E-03  1.4088016E-03 -1.6690998E-03  0.0000000E+00
  3.6000000E+02 -1.2420462E-02 -1.7567392E-03  1.6408302E-03 -2.6952634E-03  0.0000000E+00
  3.6000000E+02 -8.8419278E-03 -1.7806590E-03  1.3685527E-03 -3.5436485E-03  0.0000000E+00
  3.6000000E+02 -6.0264033E-03 -1.7136378E-03  9.3481511E-04 -4.2143908E-03  0.0000000E+00
  3.6000000E+02 -3.7190931E-03 -1.5805996E-03  4.8085834E-04 -4.7165327E-03  0.0000000E+00
  3.6000000E+02 -1.9838191E-03 -1.4112157E-03  4.6501968E-05 -5.0646970E-03  0.0000000E+00
  3.6000000E+02 -7.4612543E-04 -1.2241923E-03 -3.4339013E-04 -5.2766877E-03  0.0000000E+00
  3.6000000E+02  2.0818371E-04 -1.0301280E-03 -6.3809470E-04 -5.3717949E-03  0.0000000E+00
  3.6000000E+02  1.0440126E-03 -8.3777716E-04 -7.7129970E-04 -5.3695698E-03  0.0000000E+00
  3.6000000E+02  1.7623902E-03 -6.4854817E-04 -7.2789621E-04 -5.2888369E-03  0.0000000E+00
  3.6000000E+02  2.2323612E-03 -4.5231352E-04 -7.3513058E-04 -5.1473667E-03  0.0000000E+00
  3.6000000E+02  2.3761356E-03 -3.1371041E-04 -7.7874103E-04 -4.9624113E-03  0.0000000E+00
  3.6000000E+02  2.6652095E-03 -1.7326435E-04 -6.2714736E-04 -4.7477282E-03  0.0000000E+00
  3.6000000E+02  2.8697859E-03 -4.7423334E-05 -4.6407055E-04 -4.5176299E-03  0.0000000E+00
  3.6000000E+02  2.9499683E-03  5.3785025E-05 -3.3856634E-04 -4.2837977E-03  0.0000000E+00
  3.6000000E+02  2.9381493E-03  1.2622985E-04 -2.4510322E-04 -4.0553939E-03  0.0000000E+00
  3.6000000E+02  2.8734082E-03  1.7066434E-04 -1.6837493E-04 -3.8392581E-03  0.0000000E+00
  3.6000000E+02  2.7753822E-03  1.9135912E-04 -1.0154588E-04 -3.6401607E-03  0.0000000E+00
  3.6000000E+02  2.6450772E-03  1.9451656E-04 -4.6627491E-05 -3.4610918E-03  0.0000000E+00
  3.6000000E+02  2.4800805E-03  1.8660113E-04 -5.6837312E-06 -3.3035597E-03  0.0000000E+00
  3.6000000E+02  2.2916428E-03  1.7272066E-04  2.8435947E-05 -3.1678751E-03  0.0000000E+00
  3.6000000E+02  2.1110910E-03  1.5519365E-04  7.3138162E-05 -3.0533981E-03  0.0000000E+00
  3.6000000E+02  1.9730390E-03  1.3243750E-04  1.4020341E-04 -2.9587226E-03  0.0000000E+00
  3.6000000E+02  1.8404702E-03  9.9787015E-05  1.7958171E-04 -2.8819071E-03  0.0000000E+00
  3.6000000E+02  1.5479512E-03  7.5951378E-05  1.0201626E-04 -2.8215021E-03  0.0000000E+00
  3.6000000E+02  1.3582726E-03  5.3950718E-05  1.0021707E-04 -2.7742895E-03  0.0000000E+00
  3.6000000E+02  1.1980549E-03  3.4431911E-05  1.1165751E-04 -2.7386581E-03  0.0000000E+00
  3.6000000E+02  1.0399707E-03  1.7646108E-05  1.1406845E-04 -2.7126291E-03  0.0000000E+00
  3.6000000E+02  8.8137328E-04  3.5342896E-06  1.0576962E-04 -2.6941102E-03  0.0000000E+00
  3.6000000E+02  7.2956304E-04 -8.1516390E-06  9.2584147E-05 -2.6810757E-03  0.0000000E+00
  3.6000000E+02  5.9264284E-04 -1.7715434E-05  8.0195154E-05 -2.6716850E-03  0.0000000E+00
  3.6000000E+02  4.7491999E-04 -2.5393994E-05  7.0803421E-05 -2.6643486E-03  0.0000000E+00
  3.6000000E+02  3.7580837E-04 -3.1268956E-05  6.2944843E-05 -2.6577532E-03  0.0000000E+00
  3.6000000E+02  2.9118608E-04 -3.5235628E-05  5.3326688E-05 -2.6508560E-03  0.0000000E+00
  3.6000000E+02  2.1616336E-04 -3.7052466E-05  3.9541490E-05 -2.6428588E-03  0.0000000E+00
  3.6000000E+02  1.4821589E-04 -3.6494327E-05  2.2517476E-05 -2.6331725E-03  0.0000000E+00
  3.6000000E+02  8.9638053E-05 -3.3632704E-05  7.5644258E-06 -2.6213827E-03  0.0000000E+00
  3.6000000E+02  4.8271435E-05 -2.9266172E-05  2.8738442E-06 -2.6072274E-03  0.0000000E+00
  3.6000000E+02  3.5463187E-05 -2.5524252E-05  1.4332330E-05 -2.5905956E-03  0.0000000E+00
  3.6000000E+02  4.7375154E-05 -2.5674194E-05  2.5378829E-05 -2.5715765E-03  0.0000000E+00
  3.6000000E+02 -1.6033866E-05 -2.0908583E-05 -2.4808710E-05 -2.5502752E-03  0.0000000E+00
  3.6000000E+02 -3.5065169E-05 -1.7472754E-05 -2.6372314E-05 -2.5264367E-03  0.0000000E+00
  3.6000000E+02 -3.6961697E-05 -1.4388040E-05 -1.2864187E-05 -2.5002346E-03  0.0000000E+00
  3.6000000E+02 -3.5015154E-05 -1.1251964E-05 -2.9980910E-07 -2.4718795E-03  0.0000000E+00
  3.6000000E+02 -3.3982386E-05 -8.0521019E-06  6.0633566E-06 -2.4415883E-03  0.0000000E+00
  3.6000000E+02 -3.4100503E-05 -5.0019890E-06  6.6927887E-06 -2.4095630E-03  0.0000000E+00
  3.6000000E+02 -3.3881146E-05 -2.4014594E-06  4.2682316E-06 -2.3759774E-03  0.0000000E+00
  3.6000000E+02 -3.1864347E-05 -5.2377560E-07  1.4642053E-06 -2.3409694E-03  0.0000000E+00
  3.6000000E+02 -2.7512399E-05  4.6807156E-07 -1.9752399E-07 -2.3046395E-03  0.0000000E+00
  3.6000000E+02 -2.1424164E-05  5.7352122E-07 -6.5073283E-07 -2.2670541E-03  0.0000000E+00
  3.6000000E+02 -1.5050265E-05 -2.7313464E-08 -9.6801199E-07 -2.2282515E-03  0.0000000E+00
  3.6000000E+02 -1.0089560E-05 -9.9168831E-07 -2.6497407E-06 -2.1882515E-03  0.0000000E+00
  3.6000000E+02 -7.7473553E-06 -1.8709310E-06 -6.7439864E-06 -2.1470661E-03  0.0000000E+00
  3.6000000E+02 -8.0357697E-06 -2.2081767E-06 -1.3022551E-05 -2.1047101E-03  0.0000000E+00
  3.6000000E+02 -9.2966827E-06 -1.6795087E-06 -1.9438385E-05 -2.0612127E-03  0.0000000E+00
  3.6000000E+02 -8.1276969E-06 -2.8087755E-07 -2.2089593E-05 -2.0166262E-03  0.0000000E+00
  3.6000000E+02  1.0845982E-07  1.4368294E-06 -1.5915248E-05 -1.9710331E-03  0.0000000E+00
  3.6000000E+02  2.0010663E-05  2.0821944E-06  3.6517537E-06 -1.9245497E-03  0.0000000E+00
  3.6000000E+02  1.1166428E-06  1.9331438E-06 -1.5993065E-05 -1.8777205E-03  0.0000000E+00
  3.6000000E+02 -4.3932511E-06  2.0952835E-06 -2.1495367E-05 -1.8301561E-03  0.0000000E+00
  3.6000000E+02 -6.5612565E-09  2.4154682E-06 -1.5613817E-05 -1.7819626E-03  0.0000000E+00
  3.6000000E+02  5.9145542E-06  2.8581403E-06 -6.9103310E-06 -1.7333006E-03  0.0000000E+00
  3.6000000E+02  9.8305417E-06  3.3678628E-06  5.0697693E-07 -1.6842938E-03  0.0000000E+00
  3.6000000E+02  1.1091801E-05  3.8729001E-06  5.3015658E-06 -1.6350355E-03  0.0000000E+00
  3.6000000E+02  1.0496761E-05  4.2933093E-06  7.6457627E-06 -1.5855947E-03  0.0000000E+00
  3.6000000E+02  9.2810124E-06  4.5518787E-06  8.3260394E-06 -1.5360196E-03  0.0000000E+00
  3.6000000E+02  8.4778296E-06  4.5862567E-06  8.1647331E-06 -1.4863406E-03  0.0000000E+00
  3.6000000E+02  8.5904009E-06  4.3606100E-06  7.7066743E-06 -1.4365730E-03  0.0000000E+00
  3.6000000E+02  9.5161095E-06  3.8751511E-06  7.1191830E-06 -1.3867179E-03  0.0000000E+00
  3.6000000E+02  1.0663185E-05  3.1718769E-06  6.2538960E-06 -1.3367644E-03  0.0000000E+00
  3.6000000E+02  1.1200060E-05  2.3348565E-06  4.8188863E-06 -1.2866906E-03  0.0000000E+00
  3.6000000E+02  1.0377755E-05  1.4834108E-06  2.6095380E-06 -1.2364658E-03  0.0000000E+00
  3.6000000E+02  7.8656277E-06  7.5652194E-07 -2.5336211E-07 -1.1860528E-03  0.0000000E+00
  3.6000000E+02  4.0408123E-06  2.8681490E-07 -3.1298547E-06 -1.1354115E-03  0.0000000E+00
  3.6000000E+02  1.7167777E-07  1.6245005E-07 -4.7628961E-06 -1.0845038E-03  0.0000000E+00
  3.6000000E+02 -1.5643650E-06  3.7526756E-07 -3.3278445E-06 -1.0332991E-03  0.0000000E+00
  3.6000000E+02  1.7116222E-06  7.5352397E-07  3.3191198E-06 -9.8178339E-04  0.0000000E+00
  3.6000000E+02  1.1618320E-05  8.8958882E-07  1.5461003E-05 -9.2997873E-04  0.0000000E+00
  3.6000000E+02 -2.7255324E-06  1.0513099E-06 -1.3501555E-06 -8.7815644E-04  0.0000000E+00
  3.6000000E+02 -5.9860330E-06  1.3175894E-06 -5.0577159E-06 -8.2606161E-04  0.0000000E+00
  3.6000000E+02 -4.4619092E-06  1.7077377E-06 -3.1615624E-06 -7.7374921E-04  0.0000000E+00
  3.6000000E+02 -1.7237681E-06  2.2229286E-06  1.0079257E-07 -7.2128361E-04  0.0000000E+00
  3.6000000E+02  5.2357782E-07  2.8391859E-06  2.7370129E-06 -6.6873416E-04  0.0000000E+00
  3.6000000E+02  1.7549737E-06  3.5081880E-06  4.1848076E-06 -6.1617114E-04  0.0000000E+00
  3.6000000E+02  2.0979407E-06  4.1640025E-06  4.6799194E-06 -5.6366207E-04  0.0000000E+00
  3.6000000E+02  1.9478157E-06  4.7338613E-06  4.7882875E-06 -5.1126845E-04  0.0000000E+00
  3.6000000E+02  1.7079804E-06  5.1510897E-06  5.0834405E-06 -4.5904315E-04  0.0000000E+00
  3.6000000E+02  1.6381442E-06  5.3682995E-06  5.9501738E-06 -4.0702848E-04  0.0000000E+00
  3.6000000E+02  1.7936494E-06  5.3689585E-06  7.4955660E-06 -3.5525502E-04  0.0000000E+00
  3.6000000E+02  2.0387649E-06  5.1754494E-06  9.5483915E-06 -3.0374139E-04  0.0000000E+00
  3.6000000E+02  2.1169336E-06  4.8517266E-06  1.1727981E-05 -2.5249495E-04  0.0000000E+00
  3.6000000E+02  1.7609425E-06  4.4986865E-06  1.3563588E-05 -2.0151368E-04  0.0000000E+00
  3.6000000E+02  8.2598007E-07  4.2403602E-06  1.4645314E-05 -1.5078920E-04  0.0000000E+00
