          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  3.6000000E+02 -3.1149257E-19 -3.9122196E-20  1.1635977E-25  6.5105713E-03  0.0000000E+00
  3.6000000E+02 -7.3688072E-02 -3.4615110E-03  2.1681977E-08  6.2887194E-03  0.0000000E+00
  3.6000000E+02 -1.4540150E-01 -5.2498901E-03  1.9282677E-08  5.7909546E-03  0.0000000E+00
  3.6000000E+02 -1.3807974E-01 -2.7290143E-03  7.1339362E-08  4.8704733E-03  0.0000000E+00
  3.6000000E+02 -1.0319784E-01  1.3823900E-03  1.3441035E-07  3.6352670E-03  0.0000000E+00
  3.6000000E+02 -6.8279079E-02  5.6424536E-03  1.6646530E-07  2.2488968E-03  0.0000000E+00
  3.6000000E+02 -3.8427728E-02  9.5572037E-03  1.5963069E-07  8.4691746E-04  0.0000000E+00
  3.6000000E+02 -1.3083737E-02  1.2816129E-02  1.1984101E-07 -4.7812702E-04  0.0000000E+00
  3.6000000E+02  8.2803615E-03  1.5191335E-02  5.0295360E-08 -1.6690998E-03  0.0000000E+00
  3.6000000E+02  2.6406016E-02  1.6593386E-02 -3.9296305E-08 -2.6952634E-03  0.0000000E+00
  3.6000000E+02  4.1674490E-02  1.7048246E-02 -1.3383206E-07 -3.5436485E-03  0.0000000E+00
  3.6000000E+02  5.4427382E-02  1.6647851E-02 -2.0746406E-07 -4.2143908E-03  0.0000000E+00
  3.6000000E+02  6.4872968E-02  1.5558252E-02 -2.4045543E-07 -4.7165327E-03  0.0000000E+00
  3.6000000E+02  7.3144562E-02  1.3970639E-02 -2.2635967E-07 -5.0646970E-03  0.0000000E+00
  3.6000000E+02  7.9332691E-02  1.2068222E-02 -1.7424525E-07 -5.2766877E-03  0.0000000E+00
  3.6000000E+02  8.3505443E-02  1.0011206E-02 -1.0591897E-07 -5.3717949E-03  0.0000000E+00
  3.6000000E+02  8.5730428E-02  7.9330866E-03 -4.7875412E-08 -5.3695698E-03  0.0000000E+00
  3.6000000E+02  8.6111817E-02  5.9415249E-03 -1.7699532E-08 -5.2888369E-03  0.0000000E+00
  3.6000000E+02  8.4825234E-02  4.1241648E-03 -7.3264711E-09 -5.1473667E-03  0.0000000E+00
  3.6000000E+02  8.1989315E-02  2.5351543E-03 -1.1124103E-08 -4.9624113E-03  0.0000000E+00
  3.6000000E+02  7.7957751E-02  1.1867894E-03 -8.3619121E-09 -4.7477282E-03  0.0000000E+00
  3.6000000E+02  7.3068213E-02  1.0024553E-04 -6.2603896E-10 -4.5176299E-03  0.0000000E+00
  3.6000000E+02  6.7654727E-02 -7.3102039E-04 -1.3021375E-09 -4.2837977E-03  0.0000000E+00
  3.6000000E+02  6.2022193E-02 -1.3303494E-03 -2.0354669E-08 -4.0553939E-03  0.0000000E+00
  3.6000000E+02  5.6429105E-02 -1.7298153E-03 -5.9315096E-08 -3.8392581E-03  0.0000000E+00
