          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  3.6000000E+02  7.1093767E-16  4.1278819E-17  3.8390325E-16  6.5105713E-03  0.0000000E+00
  3.6000000E+02  1.1089296E-01  4.4684487E-03  5.0208517E-02  6.2887194E-03  0.0000000E+00
  3.6000000E+02  1.5178954E-01  6.5884324E-03  5.8894623E-02  5.7909546E-03  0.0000000E+00
  3.6000000E+02  1.5106011E-01  8.2137889E-03  5.0263931E-02  4.8704733E-03  0.0000000E+00
  3.6000000E+02  1.3482433E-01  8.9205427E-03  3.7971513E-02  3.6352670E-03  0.0000000E+00
  3.6000000E+02  1.1598941E-01  9.4297933E-03  2.7724951E-02  2.2488968E-03  0.0000000E+00
  3.6000000E+02  9.8814274E-02  1.0330796E-02  2.1058048E-02  8.4691746E-04  0.0000000E+00
  3.6000000E+02  8.3740020E-02  1.1672438E-02  1.7788443E-02 -4.7812702E-04  0.0000000E+00
  3.6000000E+02  7.0167403E-02  1.3423613E-02  1.7089042E-02 -1.6690998E-03  0.0000000E+00
  3.6000000E+02  5.7593843E-02  1.4856366E-02  1.8180848E-02 -2.6952634E-03  0.0000000E+00
  3.6000000E+02  4.5366115E-02  1.6251628E-02  2.0149877E-02 -3.5436485E-03  0.0000000E+00
  3.6000000E+02  3.3484649E-02  1.7268542E-02  2.2467899E-02 -4.2143908E-03  0.0000000E+00
  3.6000000E+02  2.2100338E-02  1.7906740E-02  2.4725499E-02 -4.7165327E-03  0.0000000E+00
  3.6000000E+02  1.1439680E-02  1.8245821E-02  2.6639776E-02 -5.0646970E-03  0.0000000E+00
  3.6000000E+02  1.7692382E-03  1.8341027E-02  2.8051172E-02 -5.2766877E-03  0.0000000E+00
  3.6000000E+02 -6.6413689E-03  1.8228663E-02  2.8901839E-02 -5.3717949E-03  0.0000000E+00
  3.6000000E+02 -1.3582451E-02  1.7955586E-02  2.9198357E-02 -5.3695698E-03  0.0000000E+00
  3.6000000E+02 -1.9017693E-02  1.7547039E-02  2.8961621E-02 -5.2888369E-03  0.0000000E+00
  3.6000000E+02 -2.3086387E-02  1.6886323E-02  2.8247902E-02 -5.1473667E-03  0.0000000E+00
  3.6000000E+02 -2.5617655E-02  1.6108647E-02  2.7262262E-02 -4.9624113E-03  0.0000000E+00
  3.6000000E+02 -2.7097510E-02  1.5200702E-02  2.5946986E-02 -4.7477282E-03  0.0000000E+00
  3.6000000E+02 -2.7541355E-02  1.4205910E-02  2.4483126E-02 -4.5176299E-03  0.0000000E+00
  3.6000000E+02 -2.7121212E-02  1.3170310E-02  2.2961244E-02 -4.2837977E-03  0.0000000E+00
  3.6000000E+02 -2.6061603E-02  1.2139646E-02  2.1430161E-02 -4.0553939E-03  0.0000000E+00
  3.6000000E+02 -2.4576871E-02  1.1154384E-02  1.9924559E-02 -3.8392581E-03  0.0000000E+00
  3.6000000E+02 -2.2841078E-02  1.0244644E-02  1.8476457E-02 -3.6401607E-03  0.0000000E+00
  3.6000000E+02 -2.0981659E-02  9.4270481E-03  1.7115594E-02 -3.4610918E-03  0.0000000E+00
  3.6000000E+02 -1.9087982E-02  8.7054802E-03  1.5863750E-02 -3.3035597E-03  0.0000000E+00
