          atime        pres_st        turb_df           diss        visc_df        garbage
  3.6000000E+02  4.3582158E-06  1.0218671E-04 -3.6591676E-01  3.7659068E-01 -1.7530732E-19
  3.6000000E+02  1.5927639E-06 -1.1814227E-01 -1.8217838E-01  8.1341375E-02 -3.8574781E-02
  3.6000000E+02  1.0866275E-05 -1.1014759E-01 -8.7251616E-02 -5.7942218E-02 -7.5325683E-02
  3.6000000E+02  3.2987504E-06 -1.6936367E-02 -5.3798072E-02 -6.6085124E-02 -7.0404341E-02
  3.6000000E+02  4.9326253E-06  3.0747325E-02 -4.3723385E-02 -4.5515568E-02 -5.0907659E-02
  3.6000000E+02  2.4652140E-06  3.9200574E-02 -4.0705373E-02 -2.9009435E-02 -3.1318229E-02
  3.6000000E+02  6.7882848E-06  3.1154291E-02 -4.0048620E-02 -1.9221907E-02 -1.4435182E-02
  3.6000000E+02  1.7387204E-06  1.8381942E-02 -4.0288318E-02 -1.2813332E-02 -1.3374428E-04
  3.6000000E+02  5.3176418E-05  5.0403497E-03 -4.0817699E-02 -9.2853622E-03  1.1735874E-02
  3.6000000E+02  3.3145444E-06 -6.5404013E-03 -4.1524609E-02 -6.2681854E-03  2.1499681E-02
  3.6000000E+02  6.6230623E-06 -1.4952824E-02 -4.1670566E-02 -4.6270170E-03  2.9361301E-02
  3.6000000E+02  1.1091380E-05 -2.0274349E-02 -4.1615945E-02 -3.4026130E-03  3.5537513E-02
  3.6000000E+02  5.7245266E-06 -2.2832495E-02 -4.1408370E-02 -2.4094172E-03  4.0215490E-02
  3.6000000E+02  2.0599270E-06 -2.3044547E-02 -4.1044028E-02 -1.6742665E-03  4.3557487E-02
  3.6000000E+02  7.6192144E-06 -2.1412611E-02 -4.0537451E-02 -1.1568539E-03  4.5700370E-02
  3.6000000E+02  1.3174301E-05 -1.8495080E-02 -3.9887177E-02 -7.3001952E-04  4.6758271E-02
  3.6000000E+02  3.8385964E-06 -1.4824127E-02 -3.9044696E-02 -2.8253214E-04  4.6831733E-02
  3.6000000E+02  3.9942607E-06 -1.0738833E-02 -3.7994046E-02  1.9297292E-04  4.6026662E-02
  3.6000000E+02  6.6709334E-05 -6.3319816E-03 -3.6864311E-02  5.2245856E-04  4.4474696E-02
  3.6000000E+02 -2.5441615E-06 -2.3538926E-03 -3.4948174E-02  6.4184208E-04  4.2262229E-02
  3.6000000E+02  1.5320405E-06  1.4177643E-03 -3.2864524E-02  9.3239892E-04  3.9572266E-02
