          atime            tkk            imk        garbage        garbage        garbage
  3.6000000E+02  8.4354348E-21  0.0000000E+00  4.3582158E-06 -1.7530732E-19 -1.0661514E-01
  3.6000000E+02  1.2828124E-02  0.0000000E+00  1.5927639E-06 -3.8574781E-02 -2.5828633E-02
  3.6000000E+02  3.4586563E-02  0.0000000E+00  1.0866275E-05 -7.5325683E-02  1.8903944E-02
  3.6000000E+02  5.1691522E-02  0.0000000E+00  3.2987504E-06 -7.0404341E-02  3.2458834E-02
  3.6000000E+02  6.2476021E-02  0.0000000E+00  4.9326253E-06 -5.0907659E-02  2.8974173E-02
  3.6000000E+02  6.8731405E-02  0.0000000E+00  2.4652140E-06 -3.1318229E-02  2.1751614E-02
  3.6000000E+02  7.2089382E-02  0.0000000E+00  6.7882848E-06 -1.4435182E-02  1.5784835E-02
  3.6000000E+02  7.3534558E-02  0.0000000E+00  1.7387204E-06 -1.3374428E-04  1.1739637E-02
  3.6000000E+02  7.3713580E-02  0.0000000E+00  5.3176418E-05  1.1735874E-02  9.3174517E-03
  3.6000000E+02  7.3014677E-02  0.0000000E+00  3.3145444E-06  2.1499681E-02  7.6341654E-03
  3.6000000E+02  7.1700484E-02  0.0000000E+00  6.6230623E-06  2.9361301E-02  6.4114345E-03
  3.6000000E+02  6.9949086E-02  0.0000000E+00  1.1091380E-05  3.5537513E-02  5.2359337E-03
  3.6000000E+02  6.7886977E-02  0.0000000E+00  5.7245266E-06  4.0215490E-02  3.9246284E-03
  3.6000000E+02  6.5606767E-02  0.0000000E+00  2.0599270E-06  4.3557487E-02  2.4551723E-03
  3.6000000E+02  6.3179043E-02  0.0000000E+00  7.6192144E-06  4.5700370E-02  8.8464591E-04
  3.6000000E+02  6.0659466E-02  0.0000000E+00  1.3174301E-05  4.6758271E-02 -7.0022687E-04
  3.6000000E+02  5.8093474E-02  0.0000000E+00  3.8385964E-06  4.6831733E-02 -2.1964138E-03
  3.6000000E+02  5.5520956E-02  0.0000000E+00  3.9942607E-06  4.6026662E-02 -3.4564954E-03
  3.6000000E+02  5.2986010E-02  0.0000000E+00  6.6709334E-05  4.4474696E-02 -4.4000242E-03
  3.6000000E+02  5.0520671E-02  0.0000000E+00 -2.5441615E-06  4.2262229E-02 -5.2558271E-03
  3.6000000E+02  4.8137708E-02  0.0000000E+00  1.5320405E-06  3.9572266E-02 -5.6402082E-03
  3.6000000E+02  4.5865190E-02  0.0000000E+00  1.2205626E-05  3.6584229E-02 -5.7790505E-03
  3.6000000E+02  4.3723300E-02  0.0000000E+00  1.1953214E-05  3.3461853E-02 -5.7442442E-03
  3.6000000E+02  4.1725273E-02  0.0000000E+00  4.8805678E-06  3.0345912E-02 -5.5569085E-03
  3.6000000E+02  3.9878346E-02  0.0000000E+00 -4.5533150E-07  2.7349615E-02 -5.2390424E-03
  3.6000000E+02  3.8184696E-02  0.0000000E+00  2.7170858E-07  2.4556506E-02 -4.8277495E-03
  3.6000000E+02  3.6642383E-02  0.0000000E+00  5.0650558E-06  2.2020692E-02 -4.3661835E-03
  3.6000000E+02  3.5246296E-02  0.0000000E+00  8.1972474E-06  1.9769242E-02 -3.8853601E-03
  3.6000000E+02  3.3989110E-02  0.0000000E+00  5.5800683E-06  1.7806585E-02 -3.3909806E-03
  3.6000000E+02  3.2862242E-02  0.0000000E+00  1.0067701E-06  1.6120735E-02 -2.8694148E-03
  3.6000000E+02  3.1856832E-02  0.0000000E+00  1.1360485E-05  1.4691184E-02 -2.3269868E-03
  3.6000000E+02  3.0965688E-02  0.0000000E+00  5.3768270E-05  1.3495794E-02 -1.8874359E-03
  3.6000000E+02  3.0184400E-02  0.0000000E+00  4.7730290E-06  1.2479922E-02 -1.5494375E-03
