          atime          uvari          vvari          wvari          pvari          tvari
  3.6000000E+02  2.3272157E-21  1.0090469E-21  1.3534607E-20  3.9343799E-03  0.0000000E+00
  3.6000000E+02  1.9651766E-02  7.0107505E-04  5.3034071E-03  3.8947666E-03  0.0000000E+00
  3.6000000E+02  5.4767734E-02  1.9871906E-03  1.2418202E-02  3.8282057E-03  0.0000000E+00
  3.6000000E+02  8.3461352E-02  3.3666558E-03  1.6555036E-02  3.7219721E-03  0.0000000E+00
  3.6000000E+02  1.0189450E-01  4.8046974E-03  1.8252843E-02  3.5990812E-03  0.0000000E+00
  3.6000000E+02  1.1255724E-01  6.2712896E-03  1.8634279E-02  3.4791732E-03  0.0000000E+00
  3.6000000E+02  1.1802956E-01  7.7017436E-03  1.8447465E-02  3.3713496E-03  0.0000000E+00
  3.6000000E+02  1.1994124E-01  9.0326059E-03  1.8095265E-02  3.2772264E-03  0.0000000E+00
  3.6000000E+02  1.1941181E-01  1.0221586E-02  1.7793762E-02  3.1952400E-03  0.0000000E+00
  3.6000000E+02  1.1715657E-01  1.1242311E-02  1.7630470E-02  3.1221088E-03  0.0000000E+00
  3.6000000E+02  1.1369368E-01  1.2085970E-02  1.7621313E-02  3.0547803E-03  0.0000000E+00
  3.6000000E+02  1.0940413E-01  1.2751274E-02  1.7742764E-02  2.9903193E-03  0.0000000E+00
  3.6000000E+02  1.0457278E-01  1.3246598E-02  1.7954574E-02  2.9263437E-03  0.0000000E+00
  3.6000000E+02  9.9416560E-02  1.3585925E-02  1.8211049E-02  2.8610674E-03  0.0000000E+00
  3.6000000E+02  9.4102820E-02  1.3786417E-02  1.8468850E-02  2.7932305E-03  0.0000000E+00
  3.6000000E+02  8.8759902E-02  1.3867085E-02  1.8691945E-02  2.7220060E-03  0.0000000E+00
  3.6000000E+02  8.3484517E-02  1.3847868E-02  1.8854564E-02  2.6469620E-03  0.0000000E+00
  3.6000000E+02  7.8350487E-02  1.3748407E-02  1.8943018E-02  2.5681594E-03  0.0000000E+00
  3.6000000E+02  7.3425701E-02  1.3586876E-02  1.8959443E-02  2.4861105E-03  0.0000000E+00
  3.6000000E+02  6.8753054E-02  1.3382975E-02  1.8905313E-02  2.4008046E-03  0.0000000E+00
  3.6000000E+02  6.4347923E-02  1.3149987E-02  1.8777505E-02  2.3136788E-03  0.0000000E+00
  3.6000000E+02  6.0236412E-02  1.2902218E-02  1.8591751E-02  2.2253078E-03  0.0000000E+00
  3.6000000E+02  5.6432655E-02  1.2651823E-02  1.8362123E-02  2.1365056E-03  0.0000000E+00
  3.6000000E+02  5.2941504E-02  1.2408350E-02  1.8100694E-02  2.0481295E-03  0.0000000E+00
  3.6000000E+02  4.9760621E-02  1.2178622E-02  1.7817450E-02  1.9609562E-03  0.0000000E+00
  3.6000000E+02  4.6882087E-02  1.1966884E-02  1.7520421E-02  1.8756187E-03  0.0000000E+00
  3.6000000E+02  4.4293655E-02  1.1775152E-02  1.7215958E-02  1.7925898E-03  0.0000000E+00
  3.6000000E+02  4.1979784E-02  1.1603685E-02  1.6909124E-02  1.7121997E-03  0.0000000E+00
  3.6000000E+02  3.9922569E-02  1.1451531E-02  1.6604120E-02  1.6346738E-03  0.0000000E+00
  3.6000000E+02  3.8102706E-02  1.1317059E-02  1.6304719E-02  1.5601784E-03  0.0000000E+00
  3.6000000E+02  3.6500606E-02  1.1198417E-02  1.6014642E-02  1.4888603E-03  0.0000000E+00
  3.6000000E+02  3.5098979E-02  1.1093720E-02  1.5738676E-02  1.4208132E-03  0.0000000E+00
  3.6000000E+02  3.3886570E-02  1.0999142E-02  1.5483087E-02  1.3556293E-03  0.0000000E+00
  3.6000000E+02  3.2830247E-02  1.0912878E-02  1.5237516E-02  1.2938160E-03  0.0000000E+00
  3.6000000E+02  3.1914122E-02  1.0832490E-02  1.5004449E-02  1.2352476E-03  0.0000000E+00
  3.6000000E+02  3.1121060E-02  1.0755993E-02  1.4784343E-02  1.1798320E-03  0.0000000E+00
  3.6000000E+02  3.0433905E-02  1.0681752E-02  1.4576593E-02  1.1274826E-03  0.0000000E+00
  3.6000000E+02  2.9836322E-02  1.0608414E-02  1.4380159E-02  1.0781017E-03  0.0000000E+00
  3.6000000E+02  2.9313325E-02  1.0534852E-02  1.4193929E-02  1.0315722E-03  0.0000000E+00
  3.6000000E+02  2.8851543E-02  1.0460140E-02  1.4016871E-02  9.8775726E-04  0.0000000E+00
  3.6000000E+02  2.8439280E-02  1.0383540E-02  1.3848039E-02  9.4650463E-04  0.0000000E+00
  3.6000000E+02  2.8066427E-02  1.0304495E-02  1.3686483E-02  9.0765443E-04  0.0000000E+00
  3.6000000E+02  2.7724290E-02  1.0222641E-02  1.3531138E-02  8.7104840E-04  0.0000000E+00
  3.6000000E+02  2.7405382E-02  1.0137813E-02  1.3380742E-02  8.3653844E-04  0.0000000E+00
  3.6000000E+02  2.7103237E-02  1.0050059E-02  1.3233844E-02  8.0399267E-04  0.0000000E+00
  3.6000000E+02  2.6812315E-02  9.9596403E-03  1.3088968E-02  7.7329710E-04  0.0000000E+00
  3.6000000E+02  2.6528042E-02  9.8670334E-03  1.2944989E-02  7.4435087E-04  0.0000000E+00
  3.6000000E+02  2.6247889E-02  9.7728078E-03  1.2802471E-02  7.1702300E-04  0.0000000E+00
  3.6000000E+02  2.5976036E-02  9.6764486E-03  1.2664845E-02  6.9095141E-04  0.0000000E+00
  3.6000000E+02  2.5702579E-02  9.5789679E-03  1.2524037E-02  6.6627884E-04  0.0000000E+00
  3.6000000E+02  2.5427991E-02  9.4804658E-03  1.2382258E-02  6.4283041E-04  0.0000000E+00
  3.6000000E+02  2.5152247E-02  9.3811940E-03  1.2240775E-02  6.2048892E-04  0.0000000E+00
  3.6000000E+02  2.4875135E-02  9.2814769E-03  1.2100239E-02  5.9917304E-04  0.0000000E+00
  3.6000000E+02  2.4596452E-02  9.1816501E-03  1.1960917E-02  5.7882126E-04  0.0000000E+00
  3.6000000E+02  2.4316133E-02  9.0820163E-03  1.1822865E-02  5.5938092E-04  0.0000000E+00
  3.6000000E+02  2.4034304E-02  8.9828149E-03  1.1686034E-02  5.4080149E-04  0.0000000E+00
  3.6000000E+02  2.3751278E-02  8.8842067E-03  1.1550338E-02  5.2303140E-04  0.0000000E+00
  3.6000000E+02  2.3467515E-02  8.7862702E-03  1.1415666E-02  5.0601759E-04  0.0000000E+00
  3.6000000E+02  2.3183553E-02  8.6890086E-03  1.1281889E-02  4.8970702E-04  0.0000000E+00
  3.6000000E+02  2.2899925E-02  8.5923670E-03  1.1148832E-02  4.7404947E-04  0.0000000E+00
  3.6000000E+02  2.2617075E-02  8.4962573E-03  1.1016249E-02  4.5900064E-04  0.0000000E+00
  3.6000000E+02  2.2335291E-02  8.4005896E-03  1.0883802E-02  4.4452508E-04  0.0000000E+00
