          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  3.6000000E+02  2.3988211E-07  5.1391833E-07  6.7386672E-06 -8.3118523E-02  0.0000000E+00
  3.6000000E+02 -3.4686183E-06 -2.0088056E-07 -7.2594146E-06 -8.3064448E-02  0.0000000E+00
  3.6000000E+02 -1.0857558E-04  1.8651478E-06 -1.8693245E-04 -8.2948481E-02  0.0000000E+00
  3.6000000E+02 -5.3880511E-04  2.5169250E-05 -1.6149766E-03 -8.2766361E-02  0.0000000E+00
  3.6000000E+02 -1.1393564E-03  1.2486444E-04 -5.9771001E-03 -8.2501346E-02  0.0000000E+00
  3.6000000E+02 -1.2452704E-03  3.0135533E-04 -1.2987842E-02 -8.2180242E-02  0.0000000E+00
  3.6000000E+02 -7.1606031E-04  4.6329396E-04 -1.9647126E-02 -8.1894352E-02  0.0000000E+00
  3.6000000E+02 -1.3548215E-03  5.5248683E-04 -2.3180131E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02 -1.3548215E-03  5.5248683E-04 -2.3180131E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  2.5453615E-03  6.6363475E-04 -3.3394905E-02 -8.1276904E-02  0.0000000E+00
  3.6000000E+02  1.0331262E-02  2.0215392E-04 -5.3929015E-02 -8.0060716E-02  0.0000000E+00
  3.6000000E+02  1.9630393E-02 -3.0651434E-03 -6.6052865E-02 -7.8252119E-02  0.0000000E+00
  3.6000000E+02  1.8266858E-02 -8.9353303E-03 -6.1577248E-02 -7.6355964E-02  0.0000000E+00
  3.6000000E+02  1.1663897E-02 -1.4602340E-02 -5.0691664E-02 -7.4794716E-02  0.0000000E+00
  3.6000000E+02  5.5386571E-03 -1.8106991E-02 -4.2793525E-02 -7.3733051E-02  0.0000000E+00
  3.6000000E+02  2.9609370E-03 -1.9506324E-02 -3.9331959E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  2.9609370E-03 -1.9506324E-02 -3.9331959E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02 -1.4507362E-03 -2.1318044E-02 -3.4628835E-02 -7.2509973E-02  0.0000000E+00
  3.6000000E+02 -9.7114052E-03 -2.3746353E-02 -2.7156184E-02 -7.0862421E-02  0.0000000E+00
  3.6000000E+02 -1.8524820E-02 -2.3786128E-02 -2.1082439E-02 -6.8478037E-02  0.0000000E+00
  3.6000000E+02 -2.4461377E-02 -2.0649443E-02 -1.7306214E-02 -6.5609308E-02  0.0000000E+00
  3.6000000E+02 -2.6755089E-02 -1.6241590E-02 -1.5970627E-02 -6.2779749E-02  0.0000000E+00
  3.6000000E+02 -2.7011883E-02 -1.2839007E-02 -1.5986297E-02 -6.0619977E-02  0.0000000E+00
  3.6000000E+02 -2.6503700E-02 -1.1375062E-02 -1.6143286E-02 -5.9616522E-02  0.0000000E+00
  3.6000000E+02 -2.6503700E-02 -1.1375062E-02 -1.6143286E-02 -5.9616522E-02  0.0000000E+00
  3.6000000E+02 -2.5748241E-02 -9.5806389E-03 -1.6159450E-02 -5.8261009E-02  0.0000000E+00
  3.6000000E+02 -2.3571965E-02 -6.2536960E-03 -1.6255350E-02 -5.5295207E-02  0.0000000E+00
  3.6000000E+02 -1.9083566E-02 -2.5500644E-03 -1.3504009E-02 -5.1320331E-02  0.0000000E+00
  3.6000000E+02 -1.3140378E-02  6.7239904E-04 -8.7348836E-03 -4.7173717E-02  0.0000000E+00
  3.6000000E+02 -6.9805133E-03  1.8148382E-03 -6.1829658E-03 -4.3642794E-02  0.0000000E+00
  3.6000000E+02 -3.4187645E-03  2.0409219E-03 -4.1712271E-03 -4.1222196E-02  0.0000000E+00
  3.6000000E+02 -1.6344859E-03  1.9010617E-03 -3.0960148E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02 -1.6344859E-03  1.9010617E-03 -3.0960148E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02 -1.6441249E-05  1.8027748E-03 -2.3463338E-03 -3.8919821E-02  0.0000000E+00
  3.6000000E+02  2.8769397E-03  1.0553292E-03 -1.5564200E-03 -3.6348228E-02  0.0000000E+00
  3.6000000E+02  2.7281222E-03  3.7262192E-04 -1.2289274E-03 -3.3157933E-02  0.0000000E+00
  3.6000000E+02  2.3671197E-03 -6.4937464E-04 -2.8363169E-04 -3.0093468E-02  0.0000000E+00
  3.6000000E+02  2.0453487E-03 -1.4135609E-03  1.6830933E-04 -2.7648842E-02  0.0000000E+00
  3.6000000E+02  5.5838110E-04 -1.5451966E-03 -3.5996150E-04 -2.6023429E-02  0.0000000E+00
  3.6000000E+02  8.5222792E-06 -1.4696495E-03 -3.3122104E-04 -2.5319667E-02  0.0000000E+00
  3.6000000E+02  8.5222792E-06 -1.4696495E-03 -3.3122104E-04 -2.5319667E-02  0.0000000E+00
  3.6000000E+02 -6.3355940E-04 -1.4412791E-03 -7.5157591E-04 -2.4539372E-02  0.0000000E+00
  3.6000000E+02 -9.9421624E-04 -1.4877624E-03 -2.7952289E-04 -2.2925384E-02  0.0000000E+00
  3.6000000E+02 -1.2897340E-03 -1.3041194E-03 -4.5033956E-04 -2.0881779E-02  0.0000000E+00
  3.6000000E+02 -2.1630464E-03 -1.0596383E-03 -1.0721711E-03 -1.8808811E-02  0.0000000E+00
  3.6000000E+02 -2.0473550E-03 -4.3963946E-04 -1.4378688E-03 -1.7054689E-02  0.0000000E+00
  3.6000000E+02 -2.1877015E-03 -2.7983656E-04 -1.2837769E-03 -1.5870511E-02  0.0000000E+00
  3.6000000E+02 -2.3427272E-03 -2.9855660E-04 -1.2211430E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02 -2.3427272E-03 -2.9855660E-04 -1.2211430E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02 -2.3535601E-03 -3.6642252E-04 -1.3851407E-03 -1.4817084E-02  0.0000000E+00
  3.6000000E+02 -1.9572540E-03 -4.1265748E-04 -1.6011401E-03 -1.3688742E-02  0.0000000E+00
  3.6000000E+02 -1.1521335E-03 -4.0341214E-04 -7.2428430E-04 -1.2266172E-02  0.0000000E+00
  3.6000000E+02 -8.4378046E-04 -6.4547665E-04 -4.2542350E-04 -1.0855396E-02  0.0000000E+00
  3.6000000E+02 -9.2018964E-04 -4.9716697E-04 -4.4782900E-04 -9.6862525E-03  0.0000000E+00
  3.6000000E+02 -8.0142982E-04 -3.5914198E-04 -4.2751379E-04 -8.8938929E-03  0.0000000E+00
  3.6000000E+02 -7.2417099E-04 -2.6613954E-04 -5.4576514E-04 -8.5501309E-03  0.0000000E+00
  3.6000000E+02 -7.2417099E-04 -2.6613954E-04 -5.4576514E-04 -8.5501309E-03  0.0000000E+00
  3.6000000E+02 -6.8260583E-04 -2.1184479E-04 -6.6630119E-04 -8.2002114E-03  0.0000000E+00
  3.6000000E+02 -6.3789301E-04 -6.2110592E-05 -6.3561544E-04 -7.4765135E-03  0.0000000E+00
  3.6000000E+02 -7.3722339E-04 -1.5320242E-04 -6.5572744E-04 -6.5608715E-03  0.0000000E+00
  3.6000000E+02 -3.5062975E-04 -6.2397126E-05 -4.0393468E-04 -5.6537933E-03  0.0000000E+00
  3.6000000E+02 -7.0256156E-04 -1.6034599E-05 -3.6112476E-06 -4.9101634E-03  0.0000000E+00
  3.6000000E+02 -8.4427874E-04 -6.8409133E-05 -1.2740778E-04 -4.4120319E-03  0.0000000E+00
  3.6000000E+02 -8.9136791E-04 -1.0527464E-04 -1.4385110E-04 -4.1915958E-03  0.0000000E+00
  3.6000000E+02 -8.9136791E-04 -1.0527464E-04 -1.4385110E-04 -4.1915958E-03  0.0000000E+00
  3.6000000E+02 -6.7751154E-04 -1.1609366E-04 -1.1623991E-04 -3.9799060E-03  0.0000000E+00
  3.6000000E+02 -6.4416222E-04 -1.1705492E-04 -2.4975177E-04 -3.5293267E-03  0.0000000E+00
  3.6000000E+02 -4.0693764E-04 -1.1755660E-04 -1.4551265E-04 -2.9532232E-03  0.0000000E+00
  3.6000000E+02 -5.1034472E-05 -1.7265702E-04  2.8775008E-05 -2.3811308E-03  0.0000000E+00
  3.6000000E+02 -1.7083612E-04 -1.4863840E-04 -7.3791572E-05 -1.8970926E-03  0.0000000E+00
  3.6000000E+02 -1.8572017E-04 -1.1455456E-04 -1.2551826E-04 -1.5596437E-03  0.0000000E+00
  3.6000000E+02 -2.3613425E-04 -9.8387533E-05 -1.1448616E-04 -1.4110998E-03  0.0000000E+00
  3.6000000E+02 -2.3613425E-04 -9.8387533E-05 -1.1448616E-04 -1.4110998E-03  0.0000000E+00
  3.6000000E+02 -2.0036160E-04 -9.5133828E-05 -1.2470019E-04 -1.2717417E-03  0.0000000E+00
  3.6000000E+02 -2.4213085E-04 -3.2149567E-05 -2.1391989E-04 -9.8038720E-04  0.0000000E+00
  3.6000000E+02 -2.5057627E-04  2.9183644E-05 -1.7126961E-04 -6.1508943E-04  0.0000000E+00
  3.6000000E+02 -2.4903911E-04  4.3804074E-05 -6.9147417E-05 -2.5258095E-04  0.0000000E+00
  3.6000000E+02 -1.7217207E-04  5.4791948E-05 -5.0589164E-07  4.6245407E-05  0.0000000E+00
  3.6000000E+02 -8.7597077E-05  2.7788389E-05 -1.1784224E-05  2.4469236E-04  0.0000000E+00
  3.6000000E+02 -1.1723447E-04  1.9288419E-05 -1.9547882E-05  3.2966379E-04  0.0000000E+00
  3.6000000E+02 -1.1723447E-04  1.9288419E-05 -1.9547882E-05  3.2966379E-04  0.0000000E+00
  3.6000000E+02 -3.7258960E-05  6.9637440E-06 -1.3086173E-05  4.0487191E-04  0.0000000E+00
  3.6000000E+02 -5.7393446E-06 -1.7092505E-05  7.7087722E-05  5.5674565E-04  0.0000000E+00
  3.6000000E+02  8.4897398E-05 -5.4676142E-05  4.6723776E-05  7.3442946E-04  0.0000000E+00
  3.6000000E+02  7.6738911E-05 -6.8163926E-05 -8.0070869E-05  8.9269919E-04  0.0000000E+00
  3.6000000E+02 -2.7941923E-05 -2.1971436E-05 -1.5585776E-04  1.0117426E-03  0.0000000E+00
  3.6000000E+02 -1.7555329E-04  3.3014006E-05 -7.9435296E-05  1.0867160E-03  0.0000000E+00
  3.6000000E+02 -1.0617138E-04  4.8616651E-05 -3.9226477E-05  1.1179793E-03  0.0000000E+00
  3.6000000E+02 -1.0617138E-04  4.8616651E-05 -3.9226477E-05  1.1179793E-03  0.0000000E+00
  3.6000000E+02 -1.5032186E-04  6.6317619E-05 -2.5591999E-05  1.1434066E-03  0.0000000E+00
  3.6000000E+02  3.3439589E-06  5.9751173E-05 -1.3176176E-05  1.1943183E-03  0.0000000E+00
  3.6000000E+02  7.9813906E-05  2.0333252E-05  6.8507923E-07  1.2568662E-03  0.0000000E+00
  3.6000000E+02  2.7249299E-04 -1.0326478E-05 -3.7864593E-05  1.3302915E-03  0.0000000E+00
  3.6000000E+02  2.2481691E-04  2.6667158E-05  1.2103946E-05  1.4149733E-03  0.0000000E+00
  3.6000000E+02 -2.5270776E-05  6.1667727E-05  5.3317017E-05  1.4931863E-03  0.0000000E+00
  3.6000000E+02 -1.2546558E-04  6.4570839E-05  5.6981503E-05  1.5346633E-03  0.0000000E+00
  3.6000000E+02 -1.2546558E-04  6.4570839E-05  5.6981503E-05  1.5346633E-03  0.0000000E+00
  3.6000000E+02 -3.6403535E-04  5.5073780E-05  5.3774632E-05  1.5715694E-03  0.0000000E+00
  3.6000000E+02 -6.1359202E-04  1.8288263E-05  8.4483224E-05  1.6624505E-03  0.0000000E+00
  3.6000000E+02 -2.9440089E-04 -6.7159080E-05  1.0916744E-04  1.8109479E-03  0.0000000E+00
