          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  3.6000000E+02  8.7991246E-16 -3.6803934E-06 -1.0090172E-16 -8.3118523E-02  0.0000000E+00
  3.6000000E+02 -9.2197666E-04  4.3136823E-03 -3.3778211E-03 -8.3064448E-02  0.0000000E+00
  3.6000000E+02 -1.6709374E-03  1.0334209E-02 -8.6535545E-03 -8.2948481E-02  0.0000000E+00
  3.6000000E+02 -5.5036613E-04  1.3126220E-02 -1.2561450E-02 -8.2766361E-02  0.0000000E+00
  3.6000000E+02  2.3887097E-03  1.1853335E-02 -1.4228529E-02 -8.2501346E-02  0.0000000E+00
  3.6000000E+02  5.5878350E-03  8.8369770E-03 -1.4407174E-02 -8.2180242E-02  0.0000000E+00
  3.6000000E+02  7.7564304E-03  6.2503713E-03 -1.4020791E-02 -8.1894352E-02  0.0000000E+00
  3.6000000E+02  8.6441909E-03  5.1923885E-03 -1.3727532E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  8.6441909E-03  5.1923885E-03 -1.3727532E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  1.0581063E-02  1.9233459E-03 -1.2496727E-02 -8.1276904E-02  0.0000000E+00
  3.6000000E+02  1.1849813E-02 -3.5719529E-03 -8.2414028E-03 -8.0060716E-02  0.0000000E+00
  3.6000000E+02  9.9726081E-03 -9.5444592E-03 -3.8477563E-04 -7.8252119E-02  0.0000000E+00
  3.6000000E+02  7.9633472E-03 -1.5709304E-02  7.7992887E-03 -7.6355964E-02  0.0000000E+00
  3.6000000E+02  7.2471649E-03 -2.0350338E-02  1.3145653E-02 -7.4794716E-02  0.0000000E+00
  3.6000000E+02  7.1838441E-03 -2.2693333E-02  1.5554466E-02 -7.3733051E-02  0.0000000E+00
  3.6000000E+02  7.2182568E-03 -2.3456947E-02  1.6280372E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  7.2182568E-03 -2.3456947E-02  1.6280372E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  7.3395175E-03 -2.4267238E-02  1.6965452E-02 -7.2509973E-02  0.0000000E+00
  3.6000000E+02  7.8783253E-03 -2.4645273E-02  1.6808787E-02 -7.0862421E-02  0.0000000E+00
  3.6000000E+02  9.0061073E-03 -2.3077655E-02  1.4147419E-02 -6.8478037E-02  0.0000000E+00
  3.6000000E+02  1.0160180E-02 -2.0275024E-02  1.0220515E-02 -6.5609308E-02  0.0000000E+00
  3.6000000E+02  1.0802915E-02 -1.7482808E-02  6.7703897E-03 -6.2779749E-02  0.0000000E+00
  3.6000000E+02  1.0998194E-02 -1.5084039E-02  4.1568357E-03 -6.0619977E-02  0.0000000E+00
  3.6000000E+02  1.1054981E-02 -1.3791705E-02  2.8647702E-03 -5.9616522E-02  0.0000000E+00
  3.6000000E+02  1.1054981E-02 -1.3791705E-02  2.8647702E-03 -5.9616522E-02  0.0000000E+00
  3.6000000E+02  1.1096522E-02 -1.2090713E-02  1.0627721E-03 -5.8261009E-02  0.0000000E+00
  3.6000000E+02  1.1758946E-02 -8.8071450E-03 -2.8770064E-03 -5.5295207E-02  0.0000000E+00
  3.6000000E+02  1.2842508E-02 -7.4013099E-03 -5.4143882E-03 -5.1320331E-02  0.0000000E+00
  3.6000000E+02  1.3685356E-02 -9.5263806E-03 -4.1437086E-03 -4.7173717E-02  0.0000000E+00
  3.6000000E+02  1.2858137E-02 -1.0283885E-02 -2.5470057E-03 -4.3642794E-02  0.0000000E+00
  3.6000000E+02  1.1934957E-02 -9.6746727E-03 -2.2028748E-03 -4.1222196E-02  0.0000000E+00
  3.6000000E+02  1.1559681E-02 -9.3565610E-03 -2.1266638E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02  1.1559681E-02 -9.3565610E-03 -2.1266638E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02  1.1106057E-02 -8.6400992E-03 -2.3935010E-03 -3.8919821E-02  0.0000000E+00
  3.6000000E+02  1.0218956E-02 -6.9104221E-03 -3.2537066E-03 -3.6348228E-02  0.0000000E+00
  3.6000000E+02  9.1891977E-03 -4.8295757E-03 -4.3394772E-03 -3.3157933E-02  0.0000000E+00
  3.6000000E+02  8.3300025E-03 -3.4301286E-03 -4.8960128E-03 -3.0093468E-02  0.0000000E+00
  3.6000000E+02  7.6245263E-03 -2.8878235E-03 -4.7265027E-03 -2.7648842E-02  0.0000000E+00
  3.6000000E+02  7.3165479E-03 -2.7771048E-03 -4.5200698E-03 -2.6023429E-02  0.0000000E+00
  3.6000000E+02  7.2192775E-03 -2.7599856E-03 -4.4198540E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02  7.2192775E-03 -2.7599856E-03 -4.4198540E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02  7.1271132E-03 -2.8032295E-03 -4.3148714E-03 -2.4539372E-02  0.0000000E+00
  3.6000000E+02  6.8664866E-03 -2.5054482E-03 -4.3489541E-03 -2.2925384E-02  0.0000000E+00
  3.6000000E+02  6.3766243E-03 -2.2753922E-03 -4.0927645E-03 -2.0881779E-02  0.0000000E+00
  3.6000000E+02  5.9460297E-03 -2.2204223E-03 -3.7212439E-03 -1.8808811E-02  0.0000000E+00
  3.6000000E+02  5.8408826E-03 -2.4964851E-03 -3.3380548E-03 -1.7054689E-02  0.0000000E+00
  3.6000000E+02  5.6777321E-03 -2.6644103E-03 -3.0042482E-03 -1.5870511E-02  0.0000000E+00
  3.6000000E+02  5.5437085E-03 -2.6837111E-03 -2.8365486E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02  5.5437085E-03 -2.6837111E-03 -2.8365486E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02  5.4263898E-03 -2.7718640E-03 -2.6474717E-03 -1.4817084E-02  0.0000000E+00
  3.6000000E+02  5.2023563E-03 -2.8912627E-03 -2.3066163E-03 -1.3688742E-02  0.0000000E+00
  3.6000000E+02  4.8767861E-03 -2.6520259E-03 -2.2212321E-03 -1.2266172E-02  0.0000000E+00
  3.6000000E+02  4.3755921E-03 -2.2550402E-03 -2.1189620E-03 -1.0855396E-02  0.0000000E+00
  3.6000000E+02  3.9110912E-03 -2.0195955E-03 -1.8888798E-03 -9.6862525E-03  0.0000000E+00
  3.6000000E+02  3.6189047E-03 -2.0336084E-03 -1.5797285E-03 -8.8938929E-03  0.0000000E+00
  3.6000000E+02  3.5016288E-03 -2.0488599E-03 -1.4428917E-03 -8.5501309E-03  0.0000000E+00
  3.6000000E+02  3.5016288E-03 -2.0488599E-03 -1.4428917E-03 -8.5501309E-03  0.0000000E+00
  3.6000000E+02  3.3974144E-03 -2.1040233E-03 -1.2909343E-03 -8.2002114E-03  0.0000000E+00
  3.6000000E+02  3.2311644E-03 -2.2100981E-03 -1.0207582E-03 -7.4765135E-03  0.0000000E+00
  3.6000000E+02  3.0411816E-03 -2.0405774E-03 -9.9840814E-04 -6.5608715E-03  0.0000000E+00
  3.6000000E+02  2.7813640E-03 -1.8402720E-03 -9.3898815E-04 -5.6537933E-03  0.0000000E+00
  3.6000000E+02  2.5656334E-03 -1.6335832E-03 -9.3138518E-04 -4.9101634E-03  0.0000000E+00
  3.6000000E+02  2.3863882E-03 -1.4518191E-03 -9.3311619E-04 -4.4120319E-03  0.0000000E+00
  3.6000000E+02  2.2981725E-03 -1.3747241E-03 -9.1777232E-04 -4.1915958E-03  0.0000000E+00
  3.6000000E+02  2.2981725E-03 -1.3747241E-03 -9.1777232E-04 -4.1915958E-03  0.0000000E+00
  3.6000000E+02  2.2154288E-03 -1.3109975E-03 -9.0215556E-04 -3.9799060E-03  0.0000000E+00
  3.6000000E+02  2.0413295E-03 -1.2559860E-03 -7.8391922E-04 -3.5293267E-03  0.0000000E+00
  3.6000000E+02  1.8000498E-03 -1.0944222E-03 -7.0438245E-04 -2.9532232E-03  0.0000000E+00
  3.6000000E+02  1.5073329E-03 -8.1435050E-04 -6.9265282E-04 -2.3811308E-03  0.0000000E+00
  3.6000000E+02  1.2443276E-03 -5.9145637E-04 -6.5289796E-04 -1.8970926E-03  0.0000000E+00
  3.6000000E+02  1.1155895E-03 -4.6808735E-04 -6.4556302E-04 -1.5596437E-03  0.0000000E+00
  3.6000000E+02  1.0831402E-03 -4.4193251E-04 -6.4136285E-04 -1.4110998E-03  0.0000000E+00
  3.6000000E+02  1.0831402E-03 -4.4193251E-04 -6.4136285E-04 -1.4110998E-03  0.0000000E+00
  3.6000000E+02  1.0516546E-03 -4.1497685E-04 -6.3455291E-04 -1.2717417E-03  0.0000000E+00
  3.6000000E+02  9.9239764E-04 -4.1186772E-04 -5.8024853E-04 -9.8038720E-04  0.0000000E+00
  3.6000000E+02  8.9834163E-04 -4.0097414E-04 -4.9702160E-04 -6.1508943E-04  0.0000000E+00
  3.6000000E+02  8.0292362E-04 -2.9490007E-04 -5.0799133E-04 -2.5258095E-04  0.0000000E+00
  3.6000000E+02  7.7854764E-04 -2.1212499E-04 -5.6640326E-04  4.6245407E-05  0.0000000E+00
  3.6000000E+02  7.8523880E-04 -1.4693014E-04 -6.3876754E-04  2.4469236E-04  0.0000000E+00
  3.6000000E+02  7.9188670E-04 -9.9814376E-05 -6.8866277E-04  3.2966379E-04  0.0000000E+00
  3.6000000E+02  7.9188670E-04 -9.9814376E-05 -6.8866277E-04  3.2966379E-04  0.0000000E+00
  3.6000000E+02  7.9806278E-04 -5.6302495E-05 -7.4165673E-04  4.0487191E-04  0.0000000E+00
  3.6000000E+02  8.4152779E-04 -1.0470248E-05 -8.3065017E-04  5.5674565E-04  0.0000000E+00
  3.6000000E+02  9.5171885E-04 -3.7565146E-05 -9.1384325E-04  7.3442946E-04  0.0000000E+00
  3.6000000E+02  1.0831978E-03 -9.0997139E-05 -9.9238443E-04  8.9269919E-04  0.0000000E+00
  3.6000000E+02  1.2541641E-03 -2.1548236E-04 -1.0380690E-03  1.0117426E-03  0.0000000E+00
  3.6000000E+02  1.4557343E-03 -3.8237744E-04 -1.0718098E-03  1.0867160E-03  0.0000000E+00
  3.6000000E+02  1.5753015E-03 -4.6879095E-04 -1.0995903E-03  1.1179793E-03  0.0000000E+00
  3.6000000E+02  1.5753015E-03 -4.6879095E-04 -1.0995903E-03  1.1179793E-03  0.0000000E+00
  3.6000000E+02  1.6862857E-03 -5.5199365E-04 -1.1319502E-03  1.1434066E-03  0.0000000E+00
  3.6000000E+02  1.9560437E-03 -6.9575521E-04 -1.2573681E-03  1.1943183E-03  0.0000000E+00
  3.6000000E+02  2.3055128E-03 -8.4058950E-04 -1.4631082E-03  1.2568662E-03  0.0000000E+00
  3.6000000E+02  2.7837022E-03 -1.0323069E-03 -1.7520503E-03  1.3302915E-03  0.0000000E+00
  3.6000000E+02  3.2846007E-03 -1.1695932E-03 -2.1150758E-03  1.4149733E-03  0.0000000E+00
  3.6000000E+02  3.5938637E-03 -1.2390676E-03 -2.3529287E-03  1.4931863E-03  0.0000000E+00
  3.6000000E+02  3.7435796E-03 -1.2809393E-03 -2.4580609E-03  1.5346633E-03  0.0000000E+00
  3.6000000E+02  3.7435796E-03 -1.2809393E-03 -2.4580609E-03  1.5346633E-03  0.0000000E+00
  3.6000000E+02  3.8534809E-03 -1.3079036E-03 -2.5435582E-03  1.5715694E-03  0.0000000E+00
  3.6000000E+02  4.1394370E-03 -1.4079402E-03 -2.7298154E-03  1.6624505E-03  0.0000000E+00
  3.6000000E+02  4.4957147E-03 -1.4935999E-03 -3.0009492E-03  1.8109479E-03  0.0000000E+00
  3.6000000E+02  4.9060290E-03 -1.7127286E-03 -3.1914493E-03  2.0109763E-03  0.0000000E+00
  3.6000000E+02  5.2057644E-03 -1.9991014E-03 -3.2030855E-03  2.2317787E-03  0.0000000E+00
  3.6000000E+02  5.3331780E-03 -2.1520823E-03 -3.1748255E-03  2.4217317E-03  0.0000000E+00
  3.6000000E+02  5.3733270E-03 -2.2066821E-03 -3.1584745E-03  2.5187028E-03  0.0000000E+00
  3.6000000E+02  5.3733270E-03 -2.2066821E-03 -3.1584745E-03  2.5187028E-03  0.0000000E+00
  3.6000000E+02  5.3652362E-03 -2.1958773E-03 -3.1614660E-03  2.5950484E-03  0.0000000E+00
  3.6000000E+02  5.3114535E-03 -2.1086369E-03 -3.1948321E-03  2.7755027E-03  0.0000000E+00
  3.6000000E+02  5.0825324E-03 -1.7632746E-03 -3.3117620E-03  3.0488324E-03  0.0000000E+00
  3.6000000E+02  4.6585796E-03 -1.1528897E-03 -3.5001184E-03  3.3702789E-03  0.0000000E+00
  3.6000000E+02  4.1806273E-03 -5.4754982E-04 -3.6308351E-03  3.6641446E-03  0.0000000E+00
  3.6000000E+02  3.7726360E-03 -1.4205102E-04 -3.6310063E-03  3.8666854E-03  0.0000000E+00
  3.6000000E+02  3.5613617E-03  3.0344263E-05 -3.5913483E-03  3.9530712E-03  0.0000000E+00
  3.6000000E+02  3.5613617E-03  3.0344263E-05 -3.5913483E-03  3.9530712E-03  0.0000000E+00
  3.6000000E+02  3.4149245E-03  1.3764816E-04 -3.5542335E-03  4.0040159E-03  0.0000000E+00
  3.6000000E+02  3.0653725E-03  3.6665717E-04 -3.4345864E-03  4.1074358E-03  0.0000000E+00
  3.6000000E+02  2.4947165E-03  6.8868334E-04 -3.1857128E-03  4.2298582E-03  0.0000000E+00
  3.6000000E+02  1.7622676E-03  1.0465013E-03 -2.8102670E-03  4.3348888E-03  0.0000000E+00
  3.6000000E+02  1.0497397E-03  1.3624584E-03 -2.4127429E-03  4.4003414E-03  0.0000000E+00
  3.6000000E+02  5.5058782E-04  1.5593773E-03 -2.1100416E-03  4.4296852E-03  0.0000000E+00
  3.6000000E+02  3.4570514E-04  1.6161029E-03 -1.9609756E-03  4.4381356E-03  0.0000000E+00
  3.6000000E+02  3.4570514E-04  1.6161029E-03 -1.9609756E-03  4.4381356E-03  0.0000000E+00
  3.6000000E+02  2.8101871E-04  1.6246759E-03 -1.9057818E-03  4.4404175E-03  0.0000000E+00
  3.6000000E+02  1.5229240E-04  1.6215802E-03 -1.7736977E-03  4.4443670E-03  0.0000000E+00
  3.6000000E+02  9.8056074E-06  1.5411832E-03 -1.5507926E-03  4.4478831E-03  0.0000000E+00
  3.6000000E+02 -8.7140533E-05  1.2947098E-03 -1.2073549E-03  4.4499505E-03  0.0000000E+00
  3.6000000E+02 -9.9136918E-05  8.4147538E-04 -7.4215648E-04  4.4508776E-03  0.0000000E+00
  3.6000000E+02 -4.6130753E-05  3.1607985E-04 -2.6974922E-04  4.4513331E-03  0.0000000E+00
  3.6000000E+02 -1.8181368E-32  1.1409744E-07 -1.9813457E-26  4.4515338E-03  0.0000000E+00
  3.6000000E+02  2.0215178E-03 -2.0265496E-03  4.3702883E-18 -8.3087832E-02  0.0000000E+00
  3.6000000E+02  1.0715805E-03  2.2355247E-03 -3.2938654E-03 -8.3032549E-02  0.0000000E+00
  3.6000000E+02  2.5299475E-04  8.1950856E-03 -8.4390946E-03 -8.2914340E-02  0.0000000E+00
  3.6000000E+02  1.2380698E-03  1.1025574E-02 -1.2250254E-02 -8.2731403E-02  0.0000000E+00
  3.6000000E+02  3.9759124E-03  9.9143895E-03 -1.3877688E-02 -8.2470390E-02  0.0000000E+00
  3.6000000E+02  6.9840864E-03  7.0998078E-03 -1.4067316E-02 -8.2157058E-02  0.0000000E+00
  3.6000000E+02  9.0300887E-03  4.6663455E-03 -1.3713248E-02 -8.1878927E-02  0.0000000E+00
  3.6000000E+02  9.8696727E-03  3.6836748E-03 -1.3442201E-02 -8.1736997E-02  0.0000000E+00
  3.6000000E+02  9.8696727E-03  3.6836748E-03 -1.3442201E-02 -8.1736997E-02  0.0000000E+00
  3.6000000E+02  1.1688788E-02  6.0783787E-04 -1.2291852E-02 -8.1277972E-02  0.0000000E+00
  3.6000000E+02  1.2777517E-02 -4.4546672E-03 -8.2902744E-03 -8.0088928E-02  0.0000000E+00
  3.6000000E+02  1.0642209E-02 -9.8554026E-03 -7.4852434E-04 -7.8306331E-02  0.0000000E+00
