          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  3.6000000E+02 -3.2589982E-05  4.2853157E-07  9.9019181E-07 -8.3118523E-02  0.0000000E+00
  3.6000000E+02  5.4541108E-05 -1.9502017E-07  3.0502609E-06 -8.3064448E-02  0.0000000E+00
  3.6000000E+02  1.2097909E-03 -5.3379538E-09  7.1353663E-05 -8.2948481E-02  0.0000000E+00
  3.6000000E+02  7.3322798E-03  1.2760212E-05  3.5065010E-04 -8.2766361E-02  0.0000000E+00
  3.6000000E+02  1.7174872E-02  1.3253032E-04  5.6528304E-04 -8.2501346E-02  0.0000000E+00
  3.6000000E+02  2.0720626E-02  4.8665808E-04 -1.2569420E-04 -8.2180242E-02  0.0000000E+00
  3.6000000E+02  1.6810241E-02  9.7046150E-04 -1.5980303E-03 -8.1894352E-02  0.0000000E+00
  3.6000000E+02  1.3227951E-02  1.3745110E-03 -2.6700624E-03 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  1.3227951E-02  1.3745110E-03 -2.6700624E-03 -8.1748547E-02  0.0000000E+00
  3.6000000E+02 -1.1940601E-03  2.2682922E-03 -6.2590941E-03 -8.1276904E-02  0.0000000E+00
  3.6000000E+02 -2.6210399E-02  5.0598786E-03 -1.6667777E-02 -8.0060716E-02  0.0000000E+00
  3.6000000E+02 -2.4185039E-02  5.9312724E-03 -2.4148860E-02 -7.8252119E-02  0.0000000E+00
  3.6000000E+02 -6.5017088E-03  1.0992053E-03 -1.9013912E-02 -7.6355964E-02  0.0000000E+00
  3.6000000E+02  1.5569172E-03 -7.4474959E-03 -1.0407493E-02 -7.4794716E-02  0.0000000E+00
  3.6000000E+02  4.0796792E-03 -1.4027345E-02 -4.9191211E-03 -7.3733051E-02  0.0000000E+00
  3.6000000E+02  3.3697657E-03 -1.7015206E-02 -2.5655350E-03 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  3.3697657E-03 -1.7015206E-02 -2.5655350E-03 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  3.4436461E-03 -2.1272296E-02 -1.4389690E-04 -7.2509973E-02  0.0000000E+00
  3.6000000E+02  6.9909873E-04 -2.8066019E-02  2.9716921E-03 -7.0862421E-02  0.0000000E+00
  3.6000000E+02 -4.3328969E-03 -3.1018236E-02  3.3868550E-03 -6.8478037E-02  0.0000000E+00
  3.6000000E+02 -1.0833057E-02 -2.6192937E-02  2.0153374E-03 -6.5609308E-02  0.0000000E+00
  3.6000000E+02 -1.4334782E-02 -1.7919881E-02 -5.3720914E-04 -6.2779749E-02  0.0000000E+00
  3.6000000E+02 -1.6744980E-02 -1.2260392E-02 -3.1597778E-03 -6.0619977E-02  0.0000000E+00
  3.6000000E+02 -1.7492716E-02 -1.0708053E-02 -4.1673851E-03 -5.9616522E-02  0.0000000E+00
  3.6000000E+02 -1.7492716E-02 -1.0708053E-02 -4.1673851E-03 -5.9616522E-02  0.0000000E+00
  3.6000000E+02 -1.8996266E-02 -7.8449114E-03 -5.5614198E-03 -5.8261009E-02  0.0000000E+00
  3.6000000E+02 -1.7838048E-02 -4.1222194E-03 -7.1242622E-03 -5.5295207E-02  0.0000000E+00
  3.6000000E+02 -1.3715030E-02  1.6148834E-03 -6.1488882E-03 -5.1320331E-02  0.0000000E+00
  3.6000000E+02 -9.0827810E-03  7.5407752E-03 -3.5959913E-03 -4.7173717E-02  0.0000000E+00
  3.6000000E+02 -1.9156802E-03  1.0304729E-02 -2.0521981E-03 -4.3642794E-02  0.0000000E+00
  3.6000000E+02  1.1803101E-03  1.0359935E-02 -6.1685445E-04 -4.1222196E-02  0.0000000E+00
  3.6000000E+02  3.0605089E-03  1.0153621E-02  1.0083987E-04 -4.0169478E-02  0.0000000E+00
  3.6000000E+02  3.0605089E-03  1.0153621E-02  1.0083987E-04 -4.0169478E-02  0.0000000E+00
  3.6000000E+02  3.9168721E-03  9.4349007E-03  2.3541123E-04 -3.8919821E-02  0.0000000E+00
  3.6000000E+02  6.5687673E-03  7.1778120E-03  8.6530309E-04 -3.6348228E-02  0.0000000E+00
  3.6000000E+02  6.7644265E-03  3.9577079E-03  1.0807155E-03 -3.3157933E-02  0.0000000E+00
  3.6000000E+02  5.1855523E-03  7.0530028E-04  1.9189289E-03 -3.0093468E-02  0.0000000E+00
  3.6000000E+02  3.7684576E-03 -4.4703413E-04  1.9216854E-03 -2.7648842E-02  0.0000000E+00
  3.6000000E+02  1.9848508E-03 -3.1751087E-04  1.3259246E-03 -2.6023429E-02  0.0000000E+00
  3.6000000E+02  1.3658781E-03 -8.2680308E-05  1.3163666E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02  1.3658781E-03 -8.2680308E-05  1.3163666E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02  6.6229242E-04 -4.1924961E-04  1.3157144E-03 -2.4539372E-02  0.0000000E+00
  3.6000000E+02 -3.5339256E-04 -7.2757706E-05  1.5663854E-03 -2.2925384E-02  0.0000000E+00
  3.6000000E+02 -7.6928465E-04  2.8593598E-05  1.2540527E-03 -2.0881779E-02  0.0000000E+00
  3.6000000E+02 -1.8802798E-03  2.9818823E-04  7.0957128E-05 -1.8808811E-02  0.0000000E+00
  3.6000000E+02 -2.1546205E-03  6.4200137E-04 -7.9877013E-04 -1.7054689E-02  0.0000000E+00
  3.6000000E+02 -2.1701764E-03  3.2060413E-04 -3.7353933E-04 -1.5870511E-02  0.0000000E+00
