          atime        pres_st        turb_df           diss        visc_df        garbage
  3.6000000E+02 -1.8401967E-06 -1.5585630E-05 -1.0934884E-01  1.0998138E-01 -2.9442386E-19
  3.6000000E+02  6.9422778E-06  2.8698175E-05 -1.0481855E-01  1.0256570E-01  3.4805293E-05
  3.6000000E+02  4.8586093E-06  6.4056961E-04 -9.7400516E-02  9.0371426E-02  1.0706794E-03
  3.6000000E+02  7.2020238E-06  3.8478450E-03 -8.8025402E-02  6.9096275E-02  7.0543545E-03
  3.6000000E+02  6.7576113E-06  8.9363426E-03 -7.5449598E-02  3.4697605E-02  2.1339692E-02
  3.6000000E+02  8.8190172E-06  1.0540795E-02 -6.3397450E-02  5.1537669E-05  3.9074193E-02
  3.6000000E+02 -6.9946627E-06  8.0913360E-03 -5.5976372E-02 -1.9590192E-02  5.2003175E-02
  3.6000000E+02  5.4523786E-05  5.9661999E-03 -5.2878597E-02 -2.8044727E-02  5.7262957E-02
  3.6000000E+02  5.4523786E-05  5.9661999E-03 -5.2878597E-02 -2.8044727E-02  5.7262957E-02
  3.6000000E+02  3.8411212E-06 -2.5924310E-03 -4.7538116E-02 -4.0039118E-02  6.8867428E-02
  3.6000000E+02  1.8228443E-05 -1.8909148E-02 -4.1745290E-02 -3.5302051E-02  7.0435817E-02
  3.6000000E+02  2.1686603E-05 -2.1201313E-02 -3.6811540E-02 -1.4734868E-02  4.5428775E-02
  3.6000000E+02  2.6665970E-05 -1.2208208E-02 -3.1518309E-02 -4.0238054E-03  2.1844805E-02
  3.6000000E+02  2.1240105E-05 -8.1490357E-03 -2.8783830E-02 -7.9593438E-04  1.0198257E-02
  3.6000000E+02  2.2488592E-05 -7.4333935E-03 -2.7767391E-02  3.8389227E-04  5.5162647E-03
  3.6000000E+02  2.0840525E-05 -8.1054874E-03 -2.7455856E-02 -1.0644922E-04  3.9067178E-03
  3.6000000E+02  2.0840525E-05 -8.1054874E-03 -2.7455856E-02 -1.0644922E-04  3.9067178E-03
  3.6000000E+02  1.8865590E-05 -8.9862733E-03 -2.7095829E-02  6.1601380E-04  2.0814400E-03
