          atime          uplus          yplus           Wshr          trash          trash
  3.6000000E+02  1.0553564E-14  1.0553564E-14  1.1296892E-02  5.0000000E-02  5.0000000E-02
  3.6000000E+02  2.9681053E-01  2.9720989E-01  1.1296892E-02  5.0585000E-02  5.0585000E-02
  3.6000000E+02  9.4185530E-01  9.4649918E-01  1.1296892E-02  5.1863000E-02  5.1863000E-02
  3.6000000E+02  1.8091506E+00  1.8330483E+00  1.1296892E-02  5.3608000E-02  5.3608000E-02
  3.6000000E+02  2.7232077E+00  2.8039340E+00  1.1296892E-02  5.5519000E-02  5.5519000E-02
  3.6000000E+02  3.5034893E+00  3.6904831E+00  1.1296892E-02  5.7264000E-02  5.7264000E-02
  3.6000000E+02  4.0307971E+00  4.3397724E+00  1.1296892E-02  5.8542000E-02  5.8542000E-02
  3.6000000E+02  4.2579089E+00  4.6369823E+00  1.1296892E-02  5.9127000E-02  5.9127000E-02
  3.6000000E+02  4.2579089E+00  4.6369823E+00  1.1296892E-02  5.9127000E-02  5.9127000E-02
  3.6000000E+02  4.8740377E+00  5.5174349E+00  1.1296892E-02  6.0860000E-02  6.0860000E-02
  3.6000000E+02  5.9200061E+00  7.4404082E+00  1.1296892E-02  6.4645000E-02  6.4645000E-02
  3.6000000E+02  6.7865935E+00  1.0066016E+01  1.1296892E-02  6.9813000E-02  6.9813000E-02
  3.6000000E+02  7.2695369E+00  1.2940569E+01  1.1296892E-02  7.5471000E-02  7.5471000E-02
  3.6000000E+02  7.4957796E+00  1.5566177E+01  1.1296892E-02  8.0639000E-02  8.0639000E-02
  3.6000000E+02  7.5960554E+00  1.7489151E+01  1.1296892E-02  8.4424000E-02  8.4424000E-02
  3.6000000E+02  7.6308041E+00  1.8369603E+01  1.1296892E-02  8.6157000E-02  8.6157000E-02
  3.6000000E+02  7.6308041E+00  1.8369603E+01  1.1296892E-02  8.6157000E-02  8.6157000E-02
  3.6000000E+02  7.6771071E+00  1.9799767E+01  1.1296892E-02  8.8972000E-02  8.8972000E-02
  3.6000000E+02  7.7501880E+00  2.2922249E+01  1.1296892E-02  9.5118000E-02  9.5118000E-02
  3.6000000E+02  7.8195011E+00  2.7185814E+01  1.1296892E-02  1.0351000E-01  1.0351000E-01
  3.6000000E+02  7.8845968E+00  3.1854803E+01  1.1296892E-02  1.1270000E-01  1.1270000E-01
  3.6000000E+02  7.9477779E+00  3.6117352E+01  1.1296892E-02  1.2109000E-01  1.2109000E-01
  3.6000000E+02  7.9983562E+00  3.9241866E+01  1.1296892E-02  1.2724000E-01  1.2724000E-01
  3.6000000E+02  8.0229262E+00  4.0669490E+01  1.1296892E-02  1.3005000E-01  1.3005000E-01
  3.6000000E+02  8.0229262E+00  4.0669490E+01  1.1296892E-02  1.3005000E-01  1.3005000E-01
  3.6000000E+02  8.0571925E+00  4.2595004E+01  1.1296892E-02  1.3384000E-01  1.3384000E-01
  3.6000000E+02  8.1364689E+00  4.6796586E+01  1.1296892E-02  1.4211000E-01  1.4211000E-01
  3.6000000E+02  8.2486917E+00  5.2537563E+01  1.1296892E-02  1.5341000E-01  1.5341000E-01
  3.6000000E+02  8.3752670E+00  5.8817075E+01  1.1296892E-02  1.6577000E-01  1.6577000E-01
  3.6000000E+02  8.4913361E+00  6.4552972E+01  1.1296892E-02  1.7706000E-01  1.7706000E-01
  3.6000000E+02  8.5750251E+00  6.8759635E+01  1.1296892E-02  1.8534000E-01  1.8534000E-01
  3.6000000E+02  8.6129482E+00  7.0680068E+01  1.1296892E-02  1.8912000E-01  1.8912000E-01
  3.6000000E+02  8.6129482E+00  7.0680068E+01  1.1296892E-02  1.8912000E-01  1.8912000E-01
  3.6000000E+02  8.6591688E+00  7.3027264E+01  1.1296892E-02  1.9374000E-01  1.9374000E-01
  3.6000000E+02  8.7585153E+00  7.8148419E+01  1.1296892E-02  2.0382000E-01  2.0382000E-01
  3.6000000E+02  8.8864769E+00  8.5139202E+01  1.1296892E-02  2.1758000E-01  2.1758000E-01
  3.6000000E+02  9.0191971E+00  9.2795532E+01  1.1296892E-02  2.3265000E-01  2.3265000E-01
  3.6000000E+02  9.1378844E+00  9.9786315E+01  1.1296892E-02  2.4641000E-01  2.4641000E-01
  3.6000000E+02  9.2225821E+00  1.0490747E+02  1.1296892E-02  2.5649000E-01  2.5649000E-01
  3.6000000E+02  9.2606369E+00  1.0724959E+02  1.1296892E-02  2.6110000E-01  2.6110000E-01
  3.6000000E+02  9.2606369E+00  1.0724959E+02  1.1296892E-02  2.6110000E-01  2.6110000E-01
  3.6000000E+02  9.3035783E+00  1.0992701E+02  1.1296892E-02  2.6637000E-01  2.6637000E-01
  3.6000000E+02  9.3971522E+00  1.1576960E+02  1.1296892E-02  2.7787000E-01  2.7787000E-01
  3.6000000E+02  9.5218931E+00  1.2374600E+02  1.1296892E-02  2.9357000E-01  2.9357000E-01
  3.6000000E+02  9.6552551E+00  1.3247940E+02  1.1296892E-02  3.1076000E-01  3.1076000E-01
