          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  3.6000000E+02  3.9665782E-16 -1.3804933E-05  3.0066851E-17 -8.3118523E-02  0.0000000E+00
  3.6000000E+02  1.3567805E-03  1.2563649E-02  2.7970223E-04 -8.2652975E-02  0.0000000E+00
  3.6000000E+02  5.4614742E-03  6.2838788E-03 -4.2525690E-05 -8.1781062E-02  0.0000000E+00
  3.6000000E+02  8.6390415E-03  6.7742648E-04 -5.4674910E-04 -8.0447091E-02  0.0000000E+00
  3.6000000E+02  9.5772457E-03 -3.0818407E-03 -5.3854196E-04 -7.8888703E-02  0.0000000E+00
  3.6000000E+02  9.4949040E-03 -6.5469389E-03 -2.3702048E-04 -7.7329230E-02  0.0000000E+00
  3.6000000E+02  9.4158732E-03 -8.4650009E-03 -3.0589560E-05 -7.5877365E-02  0.0000000E+00
  3.6000000E+02  9.6751181E-03 -8.0337327E-03  2.1735230E-04 -7.4548342E-02  0.0000000E+00
  3.6000000E+02  1.0221100E-02 -6.0168714E-03  8.7946369E-04 -7.3306869E-02  0.0000000E+00
  3.6000000E+02  1.0889400E-02 -2.7181253E-03  1.9898763E-03 -7.2103258E-02  0.0000000E+00
  3.6000000E+02  1.1612500E-02  4.7236952E-04  3.3065953E-03 -7.0894573E-02  0.0000000E+00
  3.6000000E+02  1.2309236E-02  3.3090239E-03  4.3939449E-03 -6.9643517E-02  0.0000000E+00
  3.6000000E+02  1.2950487E-02  5.3239918E-03  5.0426152E-03 -6.8332038E-02  0.0000000E+00
  3.6000000E+02  1.3447688E-02  6.2859874E-03  5.2367332E-03 -6.6954060E-02  0.0000000E+00
  3.6000000E+02  1.3669350E-02  6.3088928E-03  5.0860995E-03 -6.5511220E-02  0.0000000E+00
  3.6000000E+02  1.3521637E-02  5.7502861E-03  4.7361724E-03 -6.4010743E-02  0.0000000E+00
  3.6000000E+02  1.3021524E-02  5.0769791E-03  4.2711809E-03 -6.2463781E-02  0.0000000E+00
  3.6000000E+02  1.2291137E-02  4.8746586E-03  3.6257485E-03 -6.0882595E-02  0.0000000E+00
  3.6000000E+02  1.1420226E-02  5.7073644E-03  2.5656426E-03 -5.9277999E-02  0.0000000E+00
  3.6000000E+02  1.0797460E-02  6.5454639E-03  1.0614188E-03 -5.7664825E-02  0.0000000E+00
  3.6000000E+02  1.0323977E-02  7.6925202E-03 -5.4712965E-04 -5.6049671E-02  0.0000000E+00
  3.6000000E+02  9.8494927E-03  8.2353463E-03 -1.7727592E-03 -5.4444259E-02  0.0000000E+00
  3.6000000E+02  9.3719062E-03  7.7384382E-03 -2.3306338E-03 -5.2855621E-02  0.0000000E+00
  3.6000000E+02  8.9074501E-03  6.1745474E-03 -2.1609403E-03 -5.1289256E-02  0.0000000E+00
  3.6000000E+02  8.4348077E-03  3.8153960E-03 -1.3951018E-03 -4.9750505E-02  0.0000000E+00
  3.6000000E+02  7.8930324E-03  1.1005756E-03 -2.8541873E-04 -4.8244651E-02  0.0000000E+00
  3.6000000E+02  7.2130979E-03 -1.4973287E-03  8.8203664E-04 -4.6776311E-02  0.0000000E+00
  3.6000000E+02  6.3629111E-03 -3.5933481E-03  1.8714412E-03 -4.5348667E-02  0.0000000E+00
  3.6000000E+02  5.3856195E-03 -4.9784337E-03  2.5583314E-03 -4.3963056E-02  0.0000000E+00
  3.6000000E+02  4.4110440E-03 -5.6574105E-03  2.9479749E-03 -4.2619493E-02  0.0000000E+00
  3.6000000E+02  3.6200670E-03 -5.8185438E-03  3.1311733E-03 -4.1318649E-02  0.0000000E+00
  3.6000000E+02  3.1375890E-03 -5.7427788E-03  3.1748436E-03 -4.0064815E-02  0.0000000E+00
  3.6000000E+02  2.8159870E-03 -5.3866884E-03  2.9347673E-03 -3.8850910E-02  0.0000000E+00
  3.6000000E+02  2.5587389E-03 -4.4746503E-03  2.3542476E-03 -3.7680383E-02  0.0000000E+00
  3.6000000E+02  2.3363104E-03 -3.3522229E-03  1.7146502E-03 -3.6549992E-02  0.0000000E+00
