          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  3.6000000E+02  3.7507453E-17  8.8079651E-19  1.3501806E-16 -8.3118523E-02  0.0000000E+00
  3.6000000E+02  6.8085147E-04 -3.5560758E-04  1.3839586E-02 -8.2652975E-02  0.0000000E+00
  3.6000000E+02 -3.0002729E-03  8.3825423E-04  1.3727017E-02 -8.1781062E-02  0.0000000E+00
  3.6000000E+02 -3.2054330E-03  2.8128217E-03  9.3620911E-03 -8.0447091E-02  0.0000000E+00
  3.6000000E+02 -1.2314977E-03  4.3732527E-03  3.0081495E-03 -7.8888703E-02  0.0000000E+00
  3.6000000E+02  6.4896312E-04  5.9872556E-03 -3.7725404E-03 -7.7329230E-02  0.0000000E+00
  3.6000000E+02  1.7614962E-03  8.7968846E-03 -9.6210986E-03 -7.5877365E-02  0.0000000E+00
  3.6000000E+02  2.4810545E-03  1.2898626E-02 -1.3573529E-02 -7.4548342E-02  0.0000000E+00
  3.6000000E+02  3.0175613E-03  1.7415079E-02 -1.5301142E-02 -7.3306869E-02  0.0000000E+00
  3.6000000E+02  3.4656456E-03  2.1816811E-02 -1.5065384E-02 -7.2103258E-02  0.0000000E+00
  3.6000000E+02  3.7615522E-03  2.5164274E-02 -1.3528257E-02 -7.0894573E-02  0.0000000E+00
  3.6000000E+02  3.8758289E-03  2.7346239E-02 -1.1371538E-02 -6.9643517E-02  0.0000000E+00
  3.6000000E+02  3.8818455E-03  2.8235432E-02 -9.1093821E-03 -6.8332038E-02  0.0000000E+00
  3.6000000E+02  3.7801314E-03  2.7862339E-02 -7.0168281E-03 -6.6954060E-02  0.0000000E+00
  3.6000000E+02  3.4941114E-03  2.6466041E-02 -5.1711311E-03 -6.5511220E-02  0.0000000E+00
  3.6000000E+02  2.9566553E-03  2.4442732E-02 -3.5517769E-03 -6.4010743E-02  0.0000000E+00
  3.6000000E+02  2.1952366E-03  2.2253504E-02 -2.1349987E-03 -6.2463781E-02  0.0000000E+00
  3.6000000E+02  1.3234938E-03  2.0352975E-02 -9.1860948E-04 -6.0882595E-02  0.0000000E+00
  3.6000000E+02  4.1846709E-04  1.9080240E-02  1.3716907E-04 -5.9277999E-02  0.0000000E+00
  3.6000000E+02 -3.9182051E-04  1.8039571E-02  9.3728043E-04 -5.7664825E-02  0.0000000E+00
  3.6000000E+02 -1.2388689E-03  1.7218757E-02  1.5752554E-03 -5.6049671E-02  0.0000000E+00
  3.6000000E+02 -2.1068935E-03  1.6317391E-02  2.1330625E-03 -5.4444259E-02  0.0000000E+00
  3.6000000E+02 -3.0074496E-03  1.5128121E-02  2.6996925E-03 -5.2855621E-02  0.0000000E+00
  3.6000000E+02 -3.9336744E-03  1.3590844E-02  3.3053208E-03 -5.1289256E-02  0.0000000E+00
  3.6000000E+02 -4.8499887E-03  1.1786150E-02  3.9126316E-03 -4.9750505E-02  0.0000000E+00
  3.6000000E+02 -5.7046547E-03  9.8882755E-03  4.4452442E-03 -4.8244651E-02  0.0000000E+00
  3.6000000E+02 -6.4525866E-03  8.0978609E-03  4.8331792E-03 -4.6776311E-02  0.0000000E+00
  3.6000000E+02 -7.0758115E-03  6.5747667E-03  5.0553041E-03 -4.5348667E-02  0.0000000E+00
  3.6000000E+02 -7.5889780E-03  5.3912432E-03  5.1586974E-03 -4.3963056E-02  0.0000000E+00
  3.6000000E+02 -8.0173084E-03  4.5257182E-03  5.2348689E-03 -4.2619493E-02  0.0000000E+00
  3.6000000E+02 -8.3343924E-03  3.9174847E-03  5.3327770E-03 -4.1318649E-02  0.0000000E+00
  3.6000000E+02 -8.3611356E-03  3.5787748E-03  5.3225548E-03 -4.0064815E-02  0.0000000E+00
  3.6000000E+02 -8.2508734E-03  3.3778306E-03  5.3302329E-03 -3.8850910E-02  0.0000000E+00
  3.6000000E+02 -8.1062647E-03  3.4458498E-03  5.1696210E-03 -3.7680383E-02  0.0000000E+00
  3.6000000E+02 -7.9395693E-03  3.6839036E-03  4.9492366E-03 -3.6549992E-02  0.0000000E+00
  3.6000000E+02 -7.7489120E-03  4.0249691E-03  4.7228642E-03 -3.5458715E-02  0.0000000E+00
  3.6000000E+02 -7.5283918E-03  4.4183390E-03  4.5122997E-03 -3.4406764E-02  0.0000000E+00
  3.6000000E+02 -7.2746749E-03  4.8203582E-03  4.3235434E-03 -3.3394792E-02  0.0000000E+00
  3.6000000E+02 -6.9905505E-03  5.1902957E-03  4.1573465E-03 -3.2423301E-02  0.0000000E+00
  3.6000000E+02 -6.6859259E-03  5.4901647E-03  4.0150174E-03 -3.1492220E-02  0.0000000E+00
  3.6000000E+02 -6.3767405E-03  5.6872987E-03  3.9003924E-03 -3.0600671E-02  0.0000000E+00
  3.6000000E+02 -6.0822740E-03  5.7584951E-03  3.8188766E-03 -2.9746897E-02  0.0000000E+00
  3.6000000E+02 -5.8213289E-03  5.6945359E-03  3.7744606E-03 -2.8928340E-02  0.0000000E+00
  3.6000000E+02 -5.6077627E-03  5.5038963E-03  3.7656175E-03 -2.8141884E-02  0.0000000E+00
  3.6000000E+02 -5.4458501E-03  5.2144508E-03  3.7809869E-03 -2.7384226E-02  0.0000000E+00
  3.6000000E+02 -5.3259502E-03  4.8719873E-03  3.7957503E-03 -2.6652389E-02  0.0000000E+00
  3.6000000E+02 -5.2209585E-03  4.5343396E-03  3.7696035E-03 -2.5944352E-02  0.0000000E+00
  3.6000000E+02 -5.1069928E-03  4.2764471E-03  3.6579472E-03 -2.5259425E-02  0.0000000E+00
  3.6000000E+02 -5.1114724E-03  4.1984344E-03  3.5345814E-03 -2.4593245E-02  0.0000000E+00
  3.6000000E+02 -5.0290590E-03  4.0682644E-03  3.3571675E-03 -2.3946678E-02  0.0000000E+00
  3.6000000E+02 -4.9307332E-03  3.9093887E-03  3.1757047E-03 -2.3317850E-02  0.0000000E+00
  3.6000000E+02 -4.8529477E-03  3.7457213E-03  3.0133082E-03 -2.2705306E-02  0.0000000E+00
  3.6000000E+02 -4.8085207E-03  3.5945341E-03  2.8788140E-03 -2.2107789E-02  0.0000000E+00
  3.6000000E+02 -4.7954956E-03  3.4635417E-03  2.7750048E-03 -2.1524132E-02  0.0000000E+00
  3.6000000E+02 -4.8041207E-03  3.3512468E-03  2.7032318E-03 -2.0953234E-02  0.0000000E+00
  3.6000000E+02 -4.8221056E-03  3.2496149E-03  2.6652075E-03 -2.0394109E-02  0.0000000E+00
