          atime          uvcov          vwcov          wucov         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  6.0293071E-12  0.0000000E+00  0.0000000E+00  4.8925749E-02  0.0000000E+00
  7.8507600E+01  3.5670201E-10  0.0000000E+00  0.0000000E+00  4.8927057E-02  0.0000000E+00
  7.8507600E+01  3.8083759E-09  0.0000000E+00  0.0000000E+00  4.8929164E-02  0.0000000E+00
  7.8507600E+01  1.9388533E-08  0.0000000E+00  0.0000000E+00  4.8931768E-02  0.0000000E+00
  7.8507600E+01  6.4050972E-08  0.0000000E+00  0.0000000E+00  4.8934060E-02  0.0000000E+00
  7.8507600E+01  1.5507603E-07  0.0000000E+00  0.0000000E+00  4.8934343E-02  0.0000000E+00
  7.8507600E+01  2.8444094E-07  0.0000000E+00  0.0000000E+00  4.8929592E-02  0.0000000E+00
  7.8507600E+01  3.6715033E-07  0.0000000E+00  0.0000000E+00  4.8914952E-02  0.0000000E+00
  7.8507600E+01  1.6011858E-07  0.0000000E+00  0.0000000E+00  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -8.4052388E-07  0.0000000E+00  0.0000000E+00  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -3.5057638E-06  0.0000000E+00  0.0000000E+00  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -9.1510579E-06  0.0000000E+00  0.0000000E+00  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -1.9579118E-05  0.0000000E+00  0.0000000E+00  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -3.7023783E-05  0.0000000E+00  0.0000000E+00  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -6.4182027E-05  0.0000000E+00  0.0000000E+00  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -1.0407455E-04  0.0000000E+00  0.0000000E+00  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -1.6018437E-04  0.0000000E+00  0.0000000E+00  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -2.3631424E-04  0.0000000E+00  0.0000000E+00  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -3.3698793E-04  0.0000000E+00  0.0000000E+00  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -4.6724913E-04  0.0000000E+00  0.0000000E+00  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -6.3281229E-04  0.0000000E+00  0.0000000E+00  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -8.3915635E-04  0.0000000E+00  0.0000000E+00  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -1.0915545E-03  0.0000000E+00  0.0000000E+00  4.1097641E-02  0.0000000E+00
  7.8507600E+01 -1.3937627E-03  0.0000000E+00  0.0000000E+00  4.0068958E-02  0.0000000E+00
  7.8507600E+01 -1.7478970E-03  0.0000000E+00  0.0000000E+00  3.9062010E-02  0.0000000E+00
  7.8507600E+01 -2.1540929E-03  0.0000000E+00  0.0000000E+00  3.8093758E-02  0.0000000E+00
  7.8507600E+01 -2.6102809E-03  0.0000000E+00  0.0000000E+00  3.7177695E-02  0.0000000E+00
  7.8507600E+01 -3.1130858E-03  0.0000000E+00  0.0000000E+00  3.6322106E-02  0.0000000E+00
  7.8507600E+01 -3.6569777E-03  0.0000000E+00  0.0000000E+00  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -4.2363160E-03  0.0000000E+00  0.0000000E+00  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -4.8450945E-03  0.0000000E+00  0.0000000E+00  3.4146943E-02  0.0000000E+00
  7.8507600E+01 -5.4774051E-03  0.0000000E+00  0.0000000E+00  3.3543356E-02  0.0000000E+00
  7.8507600E+01 -6.1294191E-03  0.0000000E+00  0.0000000E+00  3.2989523E-02  0.0000000E+00
  7.8507600E+01 -6.7982803E-03  0.0000000E+00  0.0000000E+00  3.2477137E-02  0.0000000E+00
  7.8507600E+01 -7.4828147E-03  0.0000000E+00  0.0000000E+00  3.1997416E-02  0.0000000E+00
  7.8507600E+01 -8.1828357E-03  0.0000000E+00  0.0000000E+00  3.1542068E-02  0.0000000E+00
  7.8507600E+01 -8.9001158E-03  0.0000000E+00  0.0000000E+00  3.1102655E-02  0.0000000E+00
  7.8507600E+01 -9.6337835E-03  0.0000000E+00  0.0000000E+00  3.0672934E-02  0.0000000E+00
  7.8507600E+01 -1.0382734E-02  0.0000000E+00  0.0000000E+00  3.0246408E-02  0.0000000E+00
  7.8507600E+01 -1.1144347E-02  0.0000000E+00  0.0000000E+00  2.9816822E-02  0.0000000E+00
  7.8507600E+01 -1.1912216E-02  0.0000000E+00  0.0000000E+00  2.9381119E-02  0.0000000E+00
  7.8507600E+01 -1.2683549E-02  0.0000000E+00  0.0000000E+00  2.8937767E-02  0.0000000E+00
  7.8507600E+01 -1.3459003E-02  0.0000000E+00  0.0000000E+00  2.8487134E-02  0.0000000E+00
  7.8507600E+01 -1.4237648E-02  0.0000000E+00  0.0000000E+00  2.8033538E-02  0.0000000E+00
  7.8507600E+01 -1.5022179E-02  0.0000000E+00  0.0000000E+00  2.7580725E-02  0.0000000E+00
  7.8507600E+01 -1.5812250E-02  0.0000000E+00  0.0000000E+00  2.7133905E-02  0.0000000E+00
  7.8507600E+01 -1.6600519E-02  0.0000000E+00  0.0000000E+00  2.6701353E-02  0.0000000E+00
  7.8507600E+01 -1.7379805E-02  0.0000000E+00  0.0000000E+00  2.6290318E-02  0.0000000E+00
  7.8507600E+01 -1.8142040E-02  0.0000000E+00  0.0000000E+00  2.5907203E-02  0.0000000E+00
  7.8507600E+01 -1.8873406E-02  0.0000000E+00  0.0000000E+00  2.5558555E-02  0.0000000E+00
  7.8507600E+01 -1.9555003E-02  0.0000000E+00  0.0000000E+00  2.5251885E-02  0.0000000E+00
  7.8507600E+01 -2.0175633E-02  0.0000000E+00  0.0000000E+00  2.4992419E-02  0.0000000E+00
  7.8507600E+01 -2.0723701E-02  0.0000000E+00  0.0000000E+00  2.4786233E-02  0.0000000E+00
  7.8507600E+01 -2.1188167E-02  0.0000000E+00  0.0000000E+00  2.4638669E-02  0.0000000E+00
  7.8507600E+01 -2.1554396E-02  0.0000000E+00  0.0000000E+00  2.4554686E-02  0.0000000E+00
  7.8507600E+01 -2.1811497E-02  0.0000000E+00  0.0000000E+00  2.4535936E-02  0.0000000E+00
  7.8507600E+01 -2.1951021E-02  0.0000000E+00  0.0000000E+00  2.4582006E-02  0.0000000E+00
  7.8507600E+01 -2.1968973E-02  0.0000000E+00  0.0000000E+00  2.4690461E-02  0.0000000E+00
  7.8507600E+01 -2.1866857E-02  0.0000000E+00  0.0000000E+00  2.4857585E-02  0.0000000E+00
  7.8507600E+01 -2.1639883E-02  0.0000000E+00  0.0000000E+00  2.5076332E-02  0.0000000E+00
  7.8507600E+01 -2.1288575E-02  0.0000000E+00  0.0000000E+00  2.5333599E-02  0.0000000E+00
  7.8507600E+01 -2.0817425E-02  0.0000000E+00  0.0000000E+00  2.5618114E-02  0.0000000E+00
  7.8507600E+01 -2.0236072E-02  0.0000000E+00  0.0000000E+00  2.5917972E-02  0.0000000E+00
  7.8507600E+01 -1.9564543E-02  0.0000000E+00  0.0000000E+00  2.6217469E-02  0.0000000E+00
  7.8507600E+01 -1.8813613E-02  0.0000000E+00  0.0000000E+00  2.6507018E-02  0.0000000E+00
  7.8507600E+01 -1.8012311E-02  0.0000000E+00  0.0000000E+00  2.6774874E-02  0.0000000E+00
  7.8507600E+01 -1.7189624E-02  0.0000000E+00  0.0000000E+00  2.7010378E-02  0.0000000E+00
  7.8507600E+01 -1.6368438E-02  0.0000000E+00  0.0000000E+00  2.7202253E-02  0.0000000E+00
  7.8507600E+01 -1.5559477E-02  0.0000000E+00  0.0000000E+00  2.7344730E-02  0.0000000E+00
  7.8507600E+01 -1.4769843E-02  0.0000000E+00  0.0000000E+00  2.7436116E-02  0.0000000E+00
  7.8507600E+01 -1.4016287E-02  0.0000000E+00  0.0000000E+00  2.7473400E-02  0.0000000E+00
  7.8507600E+01 -1.3307965E-02  0.0000000E+00  0.0000000E+00  2.7451676E-02  0.0000000E+00
  7.8507600E+01 -1.2659956E-02  0.0000000E+00  0.0000000E+00  2.7364179E-02  0.0000000E+00
  7.8507600E+01 -1.2083218E-02  0.0000000E+00  0.0000000E+00  2.7208295E-02  0.0000000E+00
  7.8507600E+01 -1.1584517E-02  0.0000000E+00  0.0000000E+00  2.6985437E-02  0.0000000E+00
  7.8507600E+01 -1.1162133E-02  0.0000000E+00  0.0000000E+00  2.6699419E-02  0.0000000E+00
  7.8507600E+01 -1.0806407E-02  0.0000000E+00  0.0000000E+00  2.6355424E-02  0.0000000E+00
  7.8507600E+01 -1.0508170E-02  0.0000000E+00  0.0000000E+00  2.5962072E-02  0.0000000E+00
  7.8507600E+01 -1.0260601E-02  0.0000000E+00  0.0000000E+00  2.5530297E-02  0.0000000E+00
  7.8507600E+01 -1.0056294E-02  0.0000000E+00  0.0000000E+00  2.5065797E-02  0.0000000E+00
  7.8507600E+01 -9.8900016E-03  0.0000000E+00  0.0000000E+00  2.4572863E-02  0.0000000E+00
  7.8507600E+01 -9.7580347E-03  0.0000000E+00  0.0000000E+00  2.4056791E-02  0.0000000E+00
  7.8507600E+01 -9.6565078E-03  0.0000000E+00  0.0000000E+00  2.3519740E-02  0.0000000E+00
  7.8507600E+01 -9.5808806E-03  0.0000000E+00  0.0000000E+00  2.2965453E-02  0.0000000E+00
  7.8507600E+01 -9.5279889E-03  0.0000000E+00  0.0000000E+00  2.2401940E-02  0.0000000E+00
  7.8507600E+01 -9.4917705E-03  0.0000000E+00  0.0000000E+00  2.1836149E-02  0.0000000E+00
  7.8507600E+01 -9.4663104E-03  0.0000000E+00  0.0000000E+00  2.1275657E-02  0.0000000E+00
  7.8507600E+01 -9.4463909E-03  0.0000000E+00  0.0000000E+00  2.0727111E-02  0.0000000E+00
  7.8507600E+01 -9.4271400E-03  0.0000000E+00  0.0000000E+00  2.0192731E-02  0.0000000E+00
  7.8507600E+01 -9.4041740E-03  0.0000000E+00  0.0000000E+00  1.9673491E-02  0.0000000E+00
  7.8507600E+01 -9.3754543E-03  0.0000000E+00  0.0000000E+00  1.9170114E-02  0.0000000E+00
  7.8507600E+01 -9.3401750E-03  0.0000000E+00  0.0000000E+00  1.8678534E-02  0.0000000E+00
  7.8507600E+01 -9.2984945E-03  0.0000000E+00  0.0000000E+00  1.8196094E-02  0.0000000E+00
  7.8507600E+01 -9.2496225E-03  0.0000000E+00  0.0000000E+00  1.7722941E-02  0.0000000E+00
  7.8507600E+01 -9.1914552E-03  0.0000000E+00  0.0000000E+00  1.7256713E-02  0.0000000E+00
  7.8507600E+01 -9.1222858E-03  0.0000000E+00  0.0000000E+00  1.6798886E-02  0.0000000E+00
  7.8507600E+01 -9.0411188E-03  0.0000000E+00  0.0000000E+00  1.6348536E-02  0.0000000E+00
  7.8507600E+01 -8.9487975E-03  0.0000000E+00  0.0000000E+00  1.5905508E-02  0.0000000E+00
  7.8507600E+01 -8.8480968E-03  0.0000000E+00  0.0000000E+00  1.5469726E-02  0.0000000E+00
  7.8507600E+01 -8.7428034E-03  0.0000000E+00  0.0000000E+00  1.5041925E-02  0.0000000E+00
  7.8507600E+01 -8.6356433E-03  0.0000000E+00  0.0000000E+00  1.4621454E-02  0.0000000E+00
  7.8507600E+01 -8.5277064E-03  0.0000000E+00  0.0000000E+00  1.4210983E-02  0.0000000E+00
  7.8507600E+01 -8.4183027E-03  0.0000000E+00  0.0000000E+00  1.3809456E-02  0.0000000E+00
  7.8507600E+01 -8.3065828E-03  0.0000000E+00  0.0000000E+00  1.3414665E-02  0.0000000E+00
  7.8507600E+01 -8.1928570E-03  0.0000000E+00  0.0000000E+00  1.3027983E-02  0.0000000E+00
  7.8507600E+01 -8.0768878E-03  0.0000000E+00  0.0000000E+00  1.2648812E-02  0.0000000E+00
  7.8507600E+01 -7.9594819E-03  0.0000000E+00  0.0000000E+00  1.2277440E-02  0.0000000E+00
  7.8507600E+01 -7.8418083E-03  0.0000000E+00  0.0000000E+00  1.1913860E-02  0.0000000E+00
  7.8507600E+01 -7.7251792E-03  0.0000000E+00  0.0000000E+00  1.1560212E-02  0.0000000E+00
  7.8507600E+01 -7.6108285E-03  0.0000000E+00  0.0000000E+00  1.1217420E-02  0.0000000E+00
  7.8507600E+01 -7.4999799E-03  0.0000000E+00  0.0000000E+00  1.0886510E-02  0.0000000E+00
  7.8507600E+01 -7.3918394E-03  0.0000000E+00  0.0000000E+00  1.0565698E-02  0.0000000E+00
  7.8507600E+01 -7.2851622E-03  0.0000000E+00  0.0000000E+00  1.0255184E-02  0.0000000E+00
  7.8507600E+01 -7.1773397E-03  0.0000000E+00  0.0000000E+00  9.9527241E-03  0.0000000E+00
  7.8507600E+01 -7.0670433E-03  0.0000000E+00  0.0000000E+00  9.6590530E-03  0.0000000E+00
  7.8507600E+01 -6.9542399E-03  0.0000000E+00  0.0000000E+00  9.3757406E-03  0.0000000E+00
  7.8507600E+01 -6.8389974E-03  0.0000000E+00  0.0000000E+00  9.1039669E-03  0.0000000E+00
  7.8507600E+01 -6.7226099E-03  0.0000000E+00  0.0000000E+00  8.8451368E-03  0.0000000E+00
  7.8507600E+01 -6.6054550E-03  0.0000000E+00  0.0000000E+00  8.5979090E-03  0.0000000E+00
