          atime           conv           prod        pres_tr        pres_df        garbage
  7.8507600E+01  9.0093053E-10  0.0000000E+00  0.0000000E+00  1.1448787E-06  1.1456773E-06
  7.8507600E+01 -5.6095717E-09  8.0149388E-10  2.2467510E-04  3.8463593E-04  1.6003410E-04
  7.8507600E+01 -1.5181234E-07  5.0619726E-08  8.9071877E-04  1.5201155E-03  6.2967170E-04
  7.8507600E+01 -1.6859734E-06  5.6832087E-07  1.9744702E-03  3.3631758E-03  1.3893016E-03
  7.8507600E+01 -9.3012139E-06  3.1262978E-06  3.4370203E-03  5.8410683E-03  2.4050781E-03
  7.8507600E+01 -3.4404314E-05  1.1587739E-05  5.2255411E-03  8.8557614E-03  3.6317062E-03
  7.8507600E+01 -9.8794837E-05  3.3292485E-05  7.2714639E-03  1.2282379E-02  5.0127755E-03
  7.8507600E+01 -2.3742483E-04  7.9773333E-05  9.4895719E-03  1.5969887E-02  6.4824111E-03
  7.8507600E+01 -4.9848152E-04  1.6620455E-04  1.1775271E-02  1.9739057E-02  7.9658479E-03
  7.8507600E+01 -9.3943665E-04  3.0857861E-04  1.4001473E-02  2.3380552E-02  9.3804220E-03
  7.8507600E+01 -1.6187479E-03  5.1784076E-04  1.6017959E-02  2.6654689E-02  1.0637374E-02
  7.8507600E+01 -2.5788768E-03  7.9164355E-04  1.7659594E-02  2.9305703E-02  1.1645639E-02
  7.8507600E+01 -3.8316390E-03  1.1057818E-03  1.8761316E-02  3.1083662E-02  1.2321057E-02
  7.8507600E+01 -5.3491663E-03  1.4122588E-03  1.9183914E-02  3.1781511E-02  1.2596971E-02
  7.8507600E+01 -7.0554552E-03  1.6447678E-03  1.8839796E-02  3.1273448E-02  1.2434880E-02
  7.8507600E+01 -8.8455413E-03  1.7376726E-03  1.7711070E-02  2.9544413E-02  1.1835326E-02
  7.8507600E+01 -1.0597023E-02  1.6492253E-03  1.5857141E-02  2.6699758E-02  1.0842507E-02
  7.8507600E+01 -1.2195703E-02  1.3813792E-03  1.3406402E-02  2.2948389E-02  9.5376598E-03
  7.8507600E+01 -1.3547034E-02  9.8640671E-04  1.0535558E-02  1.8577125E-02  8.0342651E-03
  7.8507600E+01 -1.4586163E-02  5.5625007E-04  7.4355710E-03  1.3902519E-02  6.4563607E-03
  7.8507600E+01 -1.5276736E-02  2.0162644E-04  4.2938093E-03  9.2356685E-03  4.9291188E-03
  7.8507600E+01 -1.5601545E-02  2.8632394E-05  1.2667216E-03  4.8409539E-03  3.5611574E-03
  7.8507600E+01 -1.5548558E-02  1.2005344E-04 -1.5280023E-03  9.2363021E-04  2.4389151E-03
  7.8507600E+01 -1.5112770E-02  5.2347591E-04 -4.0261666E-03 -2.4011148E-03  1.6149734E-03
