          atime        pres_st        turb_df           diss        visc_df        garbage
  7.8507600E+01  1.1456773E-06 -3.2185001E-09 -9.5615398E-02  9.5618509E-02  0.0000000E+00
  7.8507600E+01  1.6003410E-04  2.9811403E-08 -9.4994754E-02  9.4610860E-02  8.0149388E-10
  7.8507600E+01  6.2967170E-04  8.6166112E-07 -9.3161084E-02  9.1640500E-02  5.0619726E-08
  7.8507600E+01  1.3893016E-03  9.3383143E-06 -9.0193706E-02  8.6829756E-02  5.6832087E-07
  7.8507600E+01  2.4050781E-03  4.9730891E-05 -8.6209198E-02  8.0328953E-02  3.1262978E-06
  7.8507600E+01  3.6317062E-03  1.7573318E-04 -8.1341062E-02  7.2315037E-02  1.1587739E-05
  7.8507600E+01  5.0127755E-03  4.7577728E-04 -7.5729097E-02  6.2951811E-02  3.3292485E-05
  7.8507600E+01  6.4824111E-03  1.0613730E-03 -6.9513719E-02  5.2343407E-02  7.9773333E-05
  7.8507600E+01  7.9658479E-03  2.0310278E-03 -6.2848208E-02  4.0730460E-02  1.6620455E-04
  7.8507600E+01  9.3804220E-03  3.4153630E-03 -5.5926096E-02  2.8329819E-02  3.0857861E-04
  7.8507600E+01  1.0637374E-02  5.1295702E-03 -4.9011395E-02  1.5709039E-02  5.1784076E-04
  7.8507600E+01  1.1645639E-02  6.9445824E-03 -4.2443610E-02  3.6373856E-03  7.9164355E-04
  7.8507600E+01  1.2321057E-02  8.5488233E-03 -3.6602602E-02 -6.9176521E-03  1.1057818E-03
  7.8507600E+01  1.2596971E-02  9.6518103E-03 -3.1829662E-02 -1.5067860E-02  1.4122588E-03
  7.8507600E+01  1.2434880E-02  1.0099834E-02 -2.8353879E-02 -2.0193688E-02  1.6447678E-03
  7.8507600E+01  1.1835326E-02  9.9651191E-03 -2.6205011E-02 -2.2145504E-02  1.7376726E-03
  7.8507600E+01  1.0842507E-02  9.5333667E-03 -2.5238033E-02 -2.1284494E-02  1.6492253E-03
  7.8507600E+01  9.5376598E-03  9.1849279E-03 -2.5166282E-02 -1.8399465E-02  1.3813792E-03
  7.8507600E+01  8.0342651E-03  9.2512735E-03 -2.5643028E-02 -1.4350709E-02  9.8640671E-04
  7.8507600E+01  6.4563607E-03  9.8931831E-03 -2.6350270E-02 -9.9988354E-03  5.5625007E-04
  7.8507600E+01  4.9291188E-03  1.1126927E-02 -2.7037803E-02 -5.9745067E-03  2.0162644E-04
  7.8507600E+01  3.5611574E-03  1.2855363E-02 -2.7537980E-02 -2.6843605E-03  2.8632394E-05
  7.8507600E+01  2.4389151E-03  1.4905583E-02 -2.7769587E-02 -3.1525009E-04  1.2005344E-04
  7.8507600E+01  1.6149734E-03  1.7096899E-02 -2.7726235E-02  1.1372589E-03  5.2347591E-04
  7.8507600E+01  1.1127157E-03  1.9280668E-02 -2.7450615E-02  1.7920663E-03  1.2507131E-03
  7.8507600E+01  9.3140894E-04  2.1344680E-02 -2.7020784E-02  1.8514694E-03  2.2823915E-03
  7.8507600E+01  1.0485281E-03  2.3238469E-02 -2.6525187E-02  1.5301675E-03  3.5762535E-03
  7.8507600E+01  1.4331031E-03  2.4981724E-02 -2.6044280E-02  1.0258267E-03  5.0775637E-03
