          atime            tkk            imk        garbage        garbage        garbage
  7.8507600E+01  0.0000000E+00  0.0000000E+00  1.1456773E-06  0.0000000E+00  1.1448787E-06
  7.8507600E+01  3.2286516E-07  0.0000000E+00  1.6003410E-04  8.0149388E-10  3.8463593E-04
  7.8507600E+01  5.1151899E-06  0.0000000E+00  6.2967170E-04  5.0619726E-08  1.5201155E-03
  7.8507600E+01  2.5475168E-05  0.0000000E+00  1.3893016E-03  5.6832087E-07  3.3631758E-03
  7.8507600E+01  7.8679905E-05  0.0000000E+00  2.4050781E-03  3.1262978E-06  5.8410683E-03
  7.8507600E+01  1.8649975E-04  0.0000000E+00  3.6317062E-03  1.1587739E-05  8.8557614E-03
  7.8507600E+01  3.7288244E-04  0.0000000E+00  5.0127755E-03  3.3292485E-05  1.2282379E-02
  7.8507600E+01  6.6123882E-04  0.0000000E+00  6.4824111E-03  7.9773333E-05  1.5969887E-02
  7.8507600E+01  1.0713563E-03  0.0000000E+00  7.9658479E-03  1.6620455E-04  1.9739057E-02
  7.8507600E+01  1.6160484E-03  0.0000000E+00  9.3804220E-03  3.0857861E-04  2.3380552E-02
  7.8507600E+01  2.2977511E-03  0.0000000E+00  1.0637374E-02  5.1784076E-04  2.6654689E-02
  7.8507600E+01  3.1059212E-03  0.0000000E+00  1.1645639E-02  7.9164355E-04  2.9305703E-02
  7.8507600E+01  4.0166406E-03  0.0000000E+00  1.2321057E-02  1.1057818E-03  3.1083662E-02
  7.8507600E+01  4.9957125E-03  0.0000000E+00  1.2596971E-02  1.4122588E-03  3.1781511E-02
  7.8507600E+01  5.9998031E-03  0.0000000E+00  1.2434880E-02  1.6447678E-03  3.1273448E-02
  7.8507600E+01  6.9890701E-03  0.0000000E+00  1.1835326E-02  1.7376726E-03  2.9544413E-02
  7.8507600E+01  7.9282538E-03  0.0000000E+00  1.0842507E-02  1.6492253E-03  2.6699758E-02
  7.8507600E+01  8.7971453E-03  0.0000000E+00  9.5376598E-03  1.3813792E-03  2.2948389E-02
  7.8507600E+01  9.5887083E-03  0.0000000E+00  8.0342651E-03  9.8640671E-04  1.8577125E-02
  7.8507600E+01  1.0312926E-02  0.0000000E+00  6.4563607E-03  5.5625007E-04  1.3902519E-02
  7.8507600E+01  1.0989298E-02  0.0000000E+00  4.9291188E-03  2.0162644E-04  9.2356685E-03
  7.8507600E+01  1.1644971E-02  0.0000000E+00  3.5611574E-03  2.8632394E-05  4.8409539E-03
  7.8507600E+01  1.2307479E-02  0.0000000E+00  2.4389151E-03  1.2005344E-04  9.2363021E-04
  7.8507600E+01  1.3002994E-02  0.0000000E+00  1.6149734E-03  5.2347591E-04 -2.4011148E-03
  7.8507600E+01  1.3751350E-02  0.0000000E+00  1.1127157E-03  1.2507131E-03 -5.0870932E-03
  7.8507600E+01  1.4565756E-02  0.0000000E+00  9.3140894E-04  2.2823915E-03 -7.1437578E-03
  7.8507600E+01  1.5452463E-02  0.0000000E+00  1.0485281E-03  3.5762535E-03 -8.6392293E-03
  7.8507600E+01  1.6411355E-02  0.0000000E+00  1.4331031E-03  5.0775637E-03 -9.6604414E-03
  7.8507600E+01  1.7439199E-02  0.0000000E+00  2.0469273E-03  6.7313564E-03 -1.0320920E-02
  7.8507600E+01  1.8528240E-02  0.0000000E+00  2.8486749E-03  8.4864526E-03 -1.0732502E-02
  7.8507600E+01  1.9670207E-02  0.0000000E+00  3.7956413E-03  1.0307093E-02 -1.0999468E-02
  7.8507600E+01  2.0855280E-02  0.0000000E+00  4.8423159E-03  1.2174228E-02 -1.1210868E-02
  7.8507600E+01  2.2072620E-02  0.0000000E+00  5.9440319E-03  1.4084778E-02 -1.1424536E-02
  7.8507600E+01  2.3314398E-02  0.0000000E+00  7.0708497E-03  1.6050774E-02 -1.1637334E-02
  7.8507600E+01  2.4574204E-02  0.0000000E+00  8.1901010E-03  1.8092573E-02 -1.1848745E-02
  7.8507600E+01  2.5848336E-02  0.0000000E+00  9.2837312E-03  2.0241984E-02 -1.2047938E-02
  7.8507600E+01  2.7135172E-02  0.0000000E+00  1.0328292E-02  2.2535355E-02 -1.2234484E-02
  7.8507600E+01  2.8436438E-02  0.0000000E+00  1.1310528E-02  2.5003680E-02 -1.2412763E-02
  7.8507600E+01  2.9748198E-02  0.0000000E+00  1.2214277E-02  2.7665329E-02 -1.2629516E-02
  7.8507600E+01  3.1066028E-02  0.0000000E+00  1.3031518E-02  3.0544736E-02 -1.2939965E-02
  7.8507600E+01  3.2383856E-02  0.0000000E+00  1.3768343E-02  3.3677605E-02 -1.3348237E-02
  7.8507600E+01  3.3690434E-02  0.0000000E+00  1.4427242E-02  3.7097968E-02 -1.3821558E-02
  7.8507600E+01  3.4982109E-02  0.0000000E+00  1.5068370E-02  4.0780998E-02 -1.4282421E-02
  7.8507600E+01  3.6266955E-02  0.0000000E+00  1.5717560E-02  4.4715791E-02 -1.4609455E-02
  7.8507600E+01  3.7552524E-02  0.0000000E+00  1.6445740E-02  4.8862820E-02 -1.4644494E-02
  7.8507600E+01  3.8855447E-02  0.0000000E+00  1.7317797E-02  5.3216283E-02 -1.4342541E-02
  7.8507600E+01  4.0189886E-02  0.0000000E+00  1.8379000E-02  5.7794308E-02 -1.3696070E-02
  7.8507600E+01  4.1558014E-02  0.0000000E+00  1.9630034E-02  6.2627955E-02 -1.2756589E-02
  7.8507600E+01  4.2958005E-02  0.0000000E+00  2.1020642E-02  6.7786018E-02 -1.1671174E-02
  7.8507600E+01  4.4379929E-02  0.0000000E+00  2.2463327E-02  7.3303615E-02 -1.0629272E-02
  7.8507600E+01  4.5796245E-02  0.0000000E+00  2.3879555E-02  7.9072754E-02 -9.8034002E-03
  7.8507600E+01  4.7164952E-02  0.0000000E+00  2.5201893E-02  8.4880299E-02 -9.2914990E-03
  7.8507600E+01  4.8451150E-02  0.0000000E+00  2.6377313E-02  9.0515067E-02 -9.0008771E-03
  7.8507600E+01  4.9633761E-02  0.0000000E+00  2.7356373E-02  9.5863323E-02 -9.0357006E-03
  7.8507600E+01  5.0715103E-02  0.0000000E+00  2.8116042E-02  1.0087187E-01 -9.4636441E-03
  7.8507600E+01  5.1696649E-02  0.0000000E+00  2.8666741E-02  1.0544451E-01 -1.0233713E-02
  7.8507600E+01  5.2571621E-02  0.0000000E+00  2.9051836E-02  1.0947383E-01 -1.1224670E-02
  7.8507600E+01  5.3308706E-02  0.0000000E+00  2.9279147E-02  1.1282894E-01 -1.2310077E-02
  7.8507600E+01  5.3865243E-02  0.0000000E+00  2.9265232E-02  1.1537254E-01 -1.3564463E-02
  7.8507600E+01  5.4191104E-02  0.0000000E+00  2.8939165E-02  1.1707595E-01 -1.5125163E-02
  7.8507600E+01  5.4234233E-02  0.0000000E+00  2.8291935E-02  1.1800840E-01 -1.7051728E-02
  7.8507600E+01  5.3991261E-02  0.0000000E+00  2.7368623E-02  1.1783839E-01 -1.9156614E-02
  7.8507600E+01  5.3500607E-02  0.0000000E+00  2.6253233E-02  1.1617940E-01 -2.1066103E-02
  7.8507600E+01  5.2810814E-02  0.0000000E+00  2.5061663E-02  1.1283340E-01 -2.2385018E-02
  7.8507600E+01  5.1963615E-02  0.0000000E+00  2.3894698E-02  1.0797730E-01 -2.2864891E-02
  7.8507600E+01  5.0961525E-02  0.0000000E+00  2.2734851E-02  1.0194304E-01 -2.2578399E-02
  7.8507600E+01  4.9828571E-02  0.0000000E+00  2.1534874E-02  9.5048488E-02 -2.1972999E-02
  7.8507600E+01  4.8580900E-02  0.0000000E+00  2.0351791E-02  8.7640048E-02 -2.1072060E-02
  7.8507600E+01  4.7247731E-02  0.0000000E+00  1.9238392E-02  8.0200774E-02 -1.9821234E-02
  7.8507600E+01  4.5870362E-02  0.0000000E+00  1.8246306E-02  7.2971725E-02 -1.8182841E-02
  7.8507600E+01  4.4484302E-02  0.0000000E+00  1.7314291E-02  6.6024365E-02 -1.6247073E-02
  7.8507600E+01  4.3130889E-02  0.0000000E+00  1.6359917E-02  5.9449624E-02 -1.4232319E-02
  7.8507600E+01  4.1826222E-02  0.0000000E+00  1.5335444E-02  5.3262051E-02 -1.2266157E-02
  7.8507600E+01  4.0591187E-02  0.0000000E+00  1.4273741E-02  4.7554821E-02 -1.0365941E-02
  7.8507600E+01  3.9439584E-02  0.0000000E+00  1.3209874E-02  4.2429101E-02 -8.7692152E-03
  7.8507600E+01  3.8377605E-02  0.0000000E+00  1.2214816E-02  3.7950809E-02 -7.2462620E-03
  7.8507600E+01  3.7411118E-02  0.0000000E+00  1.1312985E-02  3.4057637E-02 -5.7645186E-03
  7.8507600E+01  3.6548393E-02  0.0000000E+00  1.0555211E-02  3.0695760E-02 -4.3204908E-03
  7.8507600E+01  3.5786010E-02  0.0000000E+00  9.9073841E-03  2.7864230E-02 -3.0733262E-03
  7.8507600E+01  3.5114473E-02  0.0000000E+00  9.3201660E-03  2.5555682E-02 -2.1607341E-03
  7.8507600E+01  3.4516469E-02  0.0000000E+00  8.7567121E-03  2.3699757E-02 -1.5651128E-03
  7.8507600E+01  3.3980704E-02  0.0000000E+00  8.2081167E-03  2.2196401E-02 -1.1451894E-03
  7.8507600E+01  3.3501292E-02  0.0000000E+00  7.6871462E-03  2.0936358E-02 -8.7973896E-04
  7.8507600E+01  3.3068279E-02  0.0000000E+00  7.1908484E-03  1.9901002E-02 -7.9617701E-04
  7.8507600E+01  3.2680675E-02  0.0000000E+00  6.7368032E-03  1.8966173E-02 -8.8826953E-04
  7.8507600E+01  3.2352975E-02  0.0000000E+00  6.3373559E-03  1.8167931E-02 -1.0900446E-03
  7.8507600E+01  3.2075855E-02  0.0000000E+00  6.0009208E-03  1.7564615E-02 -1.3474472E-03
  7.8507600E+01  3.1833240E-02  0.0000000E+00  5.7229397E-03  1.7159031E-02 -1.6396878E-03
  7.8507600E+01  3.1610542E-02  0.0000000E+00  5.4889377E-03  1.6881653E-02 -1.9515621E-03
  7.8507600E+01  3.1396882E-02  0.0000000E+00  5.2838758E-03  1.6625014E-02 -2.2549703E-03
  7.8507600E+01  3.1187473E-02  0.0000000E+00  5.0941455E-03  1.6326434E-02 -2.5135771E-03
  7.8507600E+01  3.0985123E-02  0.0000000E+00  4.9167306E-03  1.6043294E-02 -2.6668434E-03
  7.8507600E+01  3.0788171E-02  0.0000000E+00  4.7540779E-03  1.5808189E-02 -2.7108933E-03
  7.8507600E+01  3.0599866E-02  0.0000000E+00  4.6188857E-03  1.5597959E-02 -2.6149848E-03
  7.8507600E+01  3.0417369E-02  0.0000000E+00  4.5079287E-03  1.5403468E-02 -2.3942605E-03
  7.8507600E+01  3.0230507E-02  0.0000000E+00  4.4015008E-03  1.5218462E-02 -2.1204805E-03
  7.8507600E+01  3.0027727E-02  0.0000000E+00  4.2834681E-03  1.5029990E-02 -1.8716647E-03
  7.8507600E+01  2.9797009E-02  0.0000000E+00  4.1496078E-03  1.4813995E-02 -1.6865930E-03
  7.8507600E+01  2.9530639E-02  0.0000000E+00  4.0081666E-03  1.4542537E-02 -1.5531997E-03
  7.8507600E+01  2.9229213E-02  0.0000000E+00  3.8716703E-03  1.4199856E-02 -1.4448206E-03
  7.8507600E+01  2.8897925E-02  0.0000000E+00  3.7479851E-03  1.3811851E-02 -1.3678741E-03
  7.8507600E+01  2.8548322E-02  0.0000000E+00  3.6328108E-03  1.3414923E-02 -1.3163129E-03
  7.8507600E+01  2.8194277E-02  0.0000000E+00  3.5281728E-03  1.3032746E-02 -1.2735053E-03
  7.8507600E+01  2.7841556E-02  0.0000000E+00  3.4316084E-03  1.2666261E-02 -1.2330747E-03
  7.8507600E+01  2.7491628E-02  0.0000000E+00  3.3397574E-03  1.2308900E-02 -1.2046310E-03
  7.8507600E+01  2.7146977E-02  0.0000000E+00  3.2535212E-03  1.1958946E-02 -1.2026958E-03
  7.8507600E+01  2.6805961E-02  0.0000000E+00  3.1773105E-03  1.1617616E-02 -1.2300147E-03
  7.8507600E+01  2.6463253E-02  0.0000000E+00  3.1113445E-03  1.1289283E-02 -1.2703211E-03
  7.8507600E+01  2.6114183E-02  0.0000000E+00  3.0571003E-03  1.0945337E-02 -1.3038771E-03
  7.8507600E+01  2.5765489E-02  0.0000000E+00  2.9989607E-03  1.0578653E-02 -1.3209748E-03
  7.8507600E+01  2.5425491E-02  0.0000000E+00  2.9308810E-03  1.0190601E-02 -1.3284036E-03
  7.8507600E+01  2.5099202E-02  0.0000000E+00  2.8524537E-03  9.7955409E-03 -1.3244445E-03
  7.8507600E+01  2.4785476E-02  0.0000000E+00  2.7649470E-03  9.4120265E-03 -1.3092894E-03
  7.8507600E+01  2.4480907E-02  0.0000000E+00  2.6708618E-03  9.0630434E-03 -1.2926185E-03
  7.8507600E+01  2.4176081E-02  0.0000000E+00  2.5716270E-03  8.7624269E-03 -1.2904859E-03
  7.8507600E+01  2.3865192E-02  0.0000000E+00  2.4675430E-03  8.5066449E-03 -1.3045542E-03
  7.8507600E+01  2.3552054E-02  0.0000000E+00  2.3642798E-03  8.2686319E-03 -1.3137361E-03
  7.8507600E+01  2.3242621E-02  0.0000000E+00  2.2574353E-03  8.0195080E-03 -1.2981838E-03
  7.8507600E+01  2.2940821E-02  0.0000000E+00  2.1450907E-03  7.7488066E-03 -1.2760872E-03
  7.8507600E+01  2.2644073E-02  0.0000000E+00  2.0331232E-03  7.4637688E-03 -1.2531189E-03
