          atime          uplus          yplus           Wshr          trash          trash
  7.8507600E+01  0.0000000E+00  0.0000000E+00  2.8301570E-03  0.0000000E+00  0.0000000E+00
  7.8507600E+01  9.5660765E-03  9.5738497E-03  2.8301570E-03  3.7649000E-05  3.7649000E-05
  7.8507600E+01  3.8169187E-02  3.8293873E-02  2.8301570E-03  1.5059000E-04  1.5059000E-04
  7.8507600E+01  8.5522662E-02  8.6156765E-02  2.8301570E-03  3.3881000E-04  3.3881000E-04
  7.8507600E+01  1.5112957E-01  1.5314752E-01  2.8301570E-03  6.0225000E-04  6.0225000E-04
  7.8507600E+01  2.3429974E-01  2.3927631E-01  2.8301570E-03  9.4095000E-04  9.4095000E-04
  7.8507600E+01  3.3405401E-01  3.4451517E-01  2.8301570E-03  1.3548000E-03  1.3548000E-03
  7.8507600E+01  4.4911132E-01  4.6883866E-01  2.8301570E-03  1.8437000E-03  1.8437000E-03
  7.8507600E+01  5.7782257E-01  6.1223407E-01  2.8301570E-03  2.4076000E-03  2.4076000E-03
  7.8507600E+01  7.1807544E-01  7.7470141E-01  2.8301570E-03  3.0465000E-03  3.0465000E-03
  7.8507600E+01  8.6716289E-01  9.5621523E-01  2.8301570E-03  3.7603000E-03  3.7603000E-03
  7.8507600E+01  1.0216912E+00  1.1566993E+00  2.8301570E-03  4.5487000E-03  4.5487000E-03
  7.8507600E+01  1.1776247E+00  1.3761026E+00  2.8301570E-03  5.4115000E-03  5.4115000E-03
  7.8507600E+01  1.3304858E+00  1.6146288E+00  2.8301570E-03  6.3495000E-03  6.3495000E-03
  7.8507600E+01  1.4749595E+00  1.8718454E+00  2.8301570E-03  7.3610000E-03  7.3610000E-03
  7.8507600E+01  1.6060589E+00  2.1481340E+00  2.8301570E-03  8.4475000E-03  8.4475000E-03
  7.8507600E+01  1.7185744E+00  2.4431130E+00  2.8301570E-03  9.6075000E-03  9.6075000E-03
  7.8507600E+01  1.8081045E+00  2.7570368E+00  2.8301570E-03  1.0842000E-02  1.0842000E-02
  7.8507600E+01  1.8708414E+00  3.0893968E+00  2.8301570E-03  1.2149000E-02  1.2149000E-02
  7.8507600E+01  1.9042110E+00  3.4405744E+00  2.8301570E-03  1.3530000E-02  1.3530000E-02
  7.8507600E+01  1.9065922E+00  3.8103154E+00  2.8301570E-03  1.4984000E-02  1.4984000E-02
  7.8507600E+01  1.8774443E+00  4.1988740E+00  2.8301570E-03  1.6512000E-02  1.6512000E-02
  7.8507600E+01  1.8172513E+00  4.6057416E+00  2.8301570E-03  1.8112000E-02  1.8112000E-02
  7.8507600E+01  1.7272573E+00  5.0311726E+00  2.8301570E-03  1.9785000E-02  1.9785000E-02
  7.8507600E+01  1.6094247E+00  5.4749126E+00  2.8301570E-03  2.1530000E-02  2.1530000E-02
  7.8507600E+01  1.4652045E+00  5.9369617E+00  2.8301570E-03  2.3347000E-02  2.3347000E-02
  7.8507600E+01  1.3019286E+00  6.4173198E+00  2.8301570E-03  2.5236000E-02  2.5236000E-02
  7.8507600E+01  1.1113288E+00  6.9157326E+00  2.8301570E-03  2.7196000E-02  2.7196000E-02
