          atime          uvcov          vwcov          wucov         pm1avg           tavg
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2723083E-02  0.0000000E+00
  2.0799350E+02  4.5630322E-10  0.0000000E+00  0.0000000E+00  2.2723404E-02  0.0000000E+00
  2.0799350E+02  1.8313745E-09  0.0000000E+00  0.0000000E+00  2.2724345E-02  0.0000000E+00
  2.0799350E+02  6.5072928E-09  0.0000000E+00  0.0000000E+00  2.2725830E-02  0.0000000E+00
  2.0799350E+02  2.1666739E-08  0.0000000E+00  0.0000000E+00  2.2727699E-02  0.0000000E+00
  2.0799350E+02  4.8676468E-08  0.0000000E+00  0.0000000E+00  2.2729641E-02  0.0000000E+00
  2.0799350E+02  4.0452245E-08  0.0000000E+00  0.0000000E+00  2.2731077E-02  0.0000000E+00
  2.0799350E+02 -1.9343488E-07  0.0000000E+00  0.0000000E+00  2.2730983E-02  0.0000000E+00
  2.0799350E+02 -1.1495818E-06  0.0000000E+00  0.0000000E+00  2.2727662E-02  0.0000000E+00
  2.0799350E+02 -3.8655032E-06  0.0000000E+00  0.0000000E+00  2.2718489E-02  0.0000000E+00
  2.0799350E+02 -1.0209038E-05  0.0000000E+00  0.0000000E+00  2.2699682E-02  0.0000000E+00
  2.0799350E+02 -2.3174902E-05  0.0000000E+00  0.0000000E+00  2.2666188E-02  0.0000000E+00
  2.0799350E+02 -4.7119540E-05  0.0000000E+00  0.0000000E+00  2.2611715E-02  0.0000000E+00
  2.0799350E+02 -8.7882337E-05  0.0000000E+00  0.0000000E+00  2.2528901E-02  0.0000000E+00
  2.0799350E+02 -1.5243009E-04  0.0000000E+00  0.0000000E+00  2.2410112E-02  0.0000000E+00
  2.0799350E+02 -2.4858807E-04  0.0000000E+00  0.0000000E+00  2.2247523E-02  0.0000000E+00
  2.0799350E+02 -3.8375224E-04  0.0000000E+00  0.0000000E+00  2.2034465E-02  0.0000000E+00
  2.0799350E+02 -5.6470089E-04  0.0000000E+00  0.0000000E+00  2.1765805E-02  0.0000000E+00
  2.0799350E+02 -7.9609741E-04  0.0000000E+00  0.0000000E+00  2.1438256E-02  0.0000000E+00
  2.0799350E+02 -1.0804194E-03  0.0000000E+00  0.0000000E+00  2.1050610E-02  0.0000000E+00
  2.0799350E+02 -1.4179582E-03  0.0000000E+00  0.0000000E+00  2.0604898E-02  0.0000000E+00
  2.0799350E+02 -1.8077353E-03  0.0000000E+00  0.0000000E+00  2.0104553E-02  0.0000000E+00
  2.0799350E+02 -2.2465306E-03  0.0000000E+00  0.0000000E+00  1.9555830E-02  0.0000000E+00
  2.0799350E+02 -2.7308082E-03  0.0000000E+00  0.0000000E+00  1.8965554E-02  0.0000000E+00
  2.0799350E+02 -3.2559024E-03  0.0000000E+00  0.0000000E+00  1.8342390E-02  0.0000000E+00
  2.0799350E+02 -3.8173679E-03  0.0000000E+00  0.0000000E+00  1.7695361E-02  0.0000000E+00
  2.0799350E+02 -4.4111447E-03  0.0000000E+00  0.0000000E+00  1.7033744E-02  0.0000000E+00
  2.0799350E+02 -5.0334829E-03  0.0000000E+00  0.0000000E+00  1.6367024E-02  0.0000000E+00
  2.0799350E+02 -5.6818727E-03  0.0000000E+00  0.0000000E+00  1.5703609E-02  0.0000000E+00
  2.0799350E+02 -6.3531470E-03  0.0000000E+00  0.0000000E+00  1.5052376E-02  0.0000000E+00
  2.0799350E+02 -7.0449040E-03  0.0000000E+00  0.0000000E+00  1.4420737E-02  0.0000000E+00
  2.0799350E+02 -7.7538570E-03  0.0000000E+00  0.0000000E+00  1.3815992E-02  0.0000000E+00
  2.0799350E+02 -8.4758801E-03  0.0000000E+00  0.0000000E+00  1.3245248E-02  0.0000000E+00
  2.0799350E+02 -9.2091688E-03  0.0000000E+00  0.0000000E+00  1.2713461E-02  0.0000000E+00
  2.0799350E+02 -9.9488838E-03  0.0000000E+00  0.0000000E+00  1.2226883E-02  0.0000000E+00
  2.0799350E+02 -1.0690092E-02  0.0000000E+00  0.0000000E+00  1.1789545E-02  0.0000000E+00
  2.0799350E+02 -1.1426168E-02  0.0000000E+00  0.0000000E+00  1.1405485E-02  0.0000000E+00
  2.0799350E+02 -1.2150729E-02  0.0000000E+00  0.0000000E+00  1.1078202E-02  0.0000000E+00
  2.0799350E+02 -1.2854092E-02  0.0000000E+00  0.0000000E+00  1.0812171E-02  0.0000000E+00
  2.0799350E+02 -1.3527501E-02  0.0000000E+00  0.0000000E+00  1.0610661E-02  0.0000000E+00
  2.0799350E+02 -1.4162485E-02  0.0000000E+00  0.0000000E+00  1.0476335E-02  0.0000000E+00
  2.0799350E+02 -1.4747539E-02  0.0000000E+00  0.0000000E+00  1.0411795E-02  0.0000000E+00
  2.0799350E+02 -1.5271871E-02  0.0000000E+00  0.0000000E+00  1.0418306E-02  0.0000000E+00
