          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.0799350E+02 -7.5798332E-17 -1.5249736E-05  0.0000000E+00  2.2723083E-02  0.0000000E+00
  2.0799350E+02 -4.1107797E-05  1.0071769E-03  0.0000000E+00  2.2723404E-02  0.0000000E+00
  2.0799350E+02 -1.6685718E-04  4.0182076E-03  0.0000000E+00  2.2724345E-02  0.0000000E+00
  2.0799350E+02 -3.8436248E-04  8.8545245E-03  0.0000000E+00  2.2725830E-02  0.0000000E+00
  2.0799350E+02 -7.0488565E-04  1.5258971E-02  0.0000000E+00  2.2727699E-02  0.0000000E+00
  2.0799350E+02 -1.1432274E-03  2.2902715E-02  0.0000000E+00  2.2729641E-02  0.0000000E+00
  2.0799350E+02 -1.7163383E-03  3.1397720E-02  0.0000000E+00  2.2731077E-02  0.0000000E+00
  2.0799350E+02 -2.4420574E-03  4.0316390E-02  0.0000000E+00  2.2730983E-02  0.0000000E+00
  2.0799350E+02 -3.3372279E-03  4.9205591E-02  0.0000000E+00  2.2727662E-02  0.0000000E+00
  2.0799350E+02 -4.4150592E-03  5.7602203E-02  0.0000000E+00  2.2718489E-02  0.0000000E+00
  2.0799350E+02 -5.6813734E-03  6.5054983E-02  0.0000000E+00  2.2699682E-02  0.0000000E+00
  2.0799350E+02 -7.1301875E-03  7.1157218E-02  0.0000000E+00  2.2666188E-02  0.0000000E+00
  2.0799350E+02 -8.7400404E-03  7.5581187E-02  0.0000000E+00  2.2611715E-02  0.0000000E+00
  2.0799350E+02 -1.0472755E-02  7.8090127E-02  0.0000000E+00  2.2528901E-02  0.0000000E+00
  2.0799350E+02 -1.2267161E-02  7.8514213E-02  0.0000000E+00  2.2410112E-02  0.0000000E+00
  2.0799350E+02 -1.4054555E-02  7.6766202E-02  0.0000000E+00  2.2247523E-02  0.0000000E+00
  2.0799350E+02 -1.5757965E-02  7.3059061E-02  0.0000000E+00  2.2034465E-02  0.0000000E+00
  2.0799350E+02 -1.7314170E-02  6.7692365E-02  0.0000000E+00  2.1765805E-02  0.0000000E+00
  2.0799350E+02 -1.8658967E-02  6.0741888E-02  0.0000000E+00  2.1438256E-02  0.0000000E+00
  2.0799350E+02 -1.9771564E-02  5.2806480E-02  0.0000000E+00  2.1050610E-02  0.0000000E+00
  2.0799350E+02 -2.0648137E-02  4.4226676E-02  0.0000000E+00  2.0604898E-02  0.0000000E+00
  2.0799350E+02 -2.1300164E-02  3.5337920E-02  0.0000000E+00  2.0104553E-02  0.0000000E+00
  2.0799350E+02 -2.1751601E-02  2.6481469E-02  0.0000000E+00  1.9555830E-02  0.0000000E+00
  2.0799350E+02 -2.2040249E-02  1.7954378E-02  0.0000000E+00  1.8965554E-02  0.0000000E+00
  2.0799350E+02 -2.2213720E-02  1.0025532E-02  0.0000000E+00  1.8342390E-02  0.0000000E+00
  2.0799350E+02 -2.2327195E-02  2.9104947E-03  0.0000000E+00  1.7695361E-02  0.0000000E+00
  2.0799350E+02 -2.2439513E-02 -3.2285876E-03  0.0000000E+00  1.7033744E-02  0.0000000E+00
  2.0799350E+02 -2.2609131E-02 -8.2844516E-03  0.0000000E+00  1.6367024E-02  0.0000000E+00
  2.0799350E+02 -2.2890236E-02 -1.2214571E-02  0.0000000E+00  1.5703609E-02  0.0000000E+00
  2.0799350E+02 -2.3327938E-02 -1.5028757E-02  0.0000000E+00  1.5052376E-02  0.0000000E+00
  2.0799350E+02 -2.3954591E-02 -1.6794090E-02  0.0000000E+00  1.4420737E-02  0.0000000E+00
  2.0799350E+02 -2.4783645E-02 -1.7608003E-02  0.0000000E+00  1.3815992E-02  0.0000000E+00
  2.0799350E+02 -2.5800291E-02 -1.7558342E-02  0.0000000E+00  1.3245248E-02  0.0000000E+00
  2.0799350E+02 -2.6954311E-02 -1.6745153E-02  0.0000000E+00  1.2713461E-02  0.0000000E+00
  2.0799350E+02 -2.8274190E-02 -1.5607908E-02  0.0000000E+00  1.2226883E-02  0.0000000E+00
  2.0799350E+02 -2.9734532E-02 -1.4112676E-02  0.0000000E+00  1.1789545E-02  0.0000000E+00
  2.0799350E+02 -3.1269854E-02 -1.2550899E-02  0.0000000E+00  1.1405485E-02  0.0000000E+00
  2.0799350E+02 -3.2823078E-02 -1.1134503E-02  0.0000000E+00  1.1078202E-02  0.0000000E+00
  2.0799350E+02 -3.4334268E-02 -1.0014123E-02  0.0000000E+00  1.0812171E-02  0.0000000E+00
  2.0799350E+02 -3.5746802E-02 -9.2813214E-03  0.0000000E+00  1.0610661E-02  0.0000000E+00
  2.0799350E+02 -3.7004175E-02 -8.9822546E-03  0.0000000E+00  1.0476335E-02  0.0000000E+00
  2.0799350E+02 -3.8043328E-02 -9.1261327E-03  0.0000000E+00  1.0411795E-02  0.0000000E+00
  2.0799350E+02 -3.8804769E-02 -9.6840895E-03  0.0000000E+00  1.0418306E-02  0.0000000E+00
  2.0799350E+02 -3.9235105E-02 -1.0591750E-02  0.0000000E+00  1.0496165E-02  0.0000000E+00
  2.0799350E+02 -3.9291479E-02 -1.1740853E-02  0.0000000E+00  1.0643887E-02  0.0000000E+00
  2.0799350E+02 -3.8953427E-02 -1.2990477E-02  0.0000000E+00  1.0858893E-02  0.0000000E+00
  2.0799350E+02 -3.8224641E-02 -1.4177179E-02  0.0000000E+00  1.1137715E-02  0.0000000E+00
  2.0799350E+02 -3.7141880E-02 -1.5147486E-02  0.0000000E+00  1.1474697E-02  0.0000000E+00
  2.0799350E+02 -3.5765095E-02 -1.5848892E-02  0.0000000E+00  1.1864900E-02  0.0000000E+00
  2.0799350E+02 -3.4156053E-02 -1.6471538E-02  0.0000000E+00  1.2305759E-02  0.0000000E+00
  2.0799350E+02 -3.2546944E-02 -1.6952104E-02  0.0000000E+00  1.2783452E-02  0.0000000E+00
  2.0799350E+02 -3.0872004E-02 -1.6691211E-02  0.0000000E+00  1.3291442E-02  0.0000000E+00
  2.0799350E+02 -2.9135709E-02 -1.5987722E-02  0.0000000E+00  1.3820068E-02  0.0000000E+00
  2.0799350E+02 -2.7370419E-02 -1.4970992E-02  0.0000000E+00  1.4355795E-02  0.0000000E+00
  2.0799350E+02 -2.5588694E-02 -1.3664729E-02  0.0000000E+00  1.4887567E-02  0.0000000E+00
  2.0799350E+02 -2.3811418E-02 -1.2068057E-02  0.0000000E+00  1.5402340E-02  0.0000000E+00
  2.0799350E+02 -2.2053733E-02 -1.0189451E-02  0.0000000E+00  1.5891304E-02  0.0000000E+00
  2.0799350E+02 -2.0337999E-02 -8.0802488E-03  0.0000000E+00  1.6346002E-02  0.0000000E+00
  2.0799350E+02 -1.8700810E-02 -5.8570327E-03  0.0000000E+00  1.6755437E-02  0.0000000E+00
  2.0799350E+02 -1.7160662E-02 -3.6564106E-03  0.0000000E+00  1.7112564E-02  0.0000000E+00
  2.0799350E+02 -1.5709929E-02 -1.6012060E-03  0.0000000E+00  1.7413339E-02  0.0000000E+00
  2.0799350E+02 -1.4332695E-02  2.0197382E-04  0.0000000E+00  1.7652017E-02  0.0000000E+00
  2.0799350E+02 -1.2972740E-02  1.7400802E-03  0.0000000E+00  1.7828758E-02  0.0000000E+00
  2.0799350E+02 -1.1577207E-02  3.0567227E-03  0.0000000E+00  1.7944608E-02  0.0000000E+00
  2.0799350E+02 -1.0161766E-02  4.1820493E-03  0.0000000E+00  1.8001569E-02  0.0000000E+00
  2.0799350E+02 -8.8648743E-03  5.0079031E-03  0.0000000E+00  1.8003787E-02  0.0000000E+00
  2.0799350E+02 -7.8761021E-03  5.1596012E-03  0.0000000E+00  1.7954408E-02  0.0000000E+00
  2.0799350E+02 -6.9769778E-03  5.4517252E-03  0.0000000E+00  1.7859773E-02  0.0000000E+00
  2.0799350E+02 -6.3342760E-03  5.7822624E-03  0.0000000E+00  1.7723840E-02  0.0000000E+00
  2.0799350E+02 -5.7827032E-03  5.9670689E-03  0.0000000E+00  1.7552212E-02  0.0000000E+00
  2.0799350E+02 -5.2500473E-03  5.9604446E-03  0.0000000E+00  1.7349455E-02  0.0000000E+00
  2.0799350E+02 -4.7272355E-03  5.7891723E-03  0.0000000E+00  1.7121770E-02  0.0000000E+00
