          atime           conv           prod        pres_tr        pres_df        garbage
  2.0799350E+02  1.1083283E-06  0.0000000E+00  0.0000000E+00 -7.6248679E-06 -6.1539034E-06
  2.0799350E+02  8.8624030E-07  3.1882631E-08  2.8413580E-04  4.8303455E-04  2.0030458E-04
  2.0799350E+02  3.4053135E-07  1.3242748E-07  1.1187771E-03  1.9256752E-03  8.0827397E-04
  2.0799350E+02 -2.8731932E-07  5.6245365E-07  2.4517894E-03  4.2350810E-03  1.7850732E-03
  2.0799350E+02 -9.6324296E-07  2.3605727E-06  4.1996428E-03  7.2770428E-03  3.0804239E-03
  2.0799350E+02 -2.3101054E-06  7.5877060E-06  6.2532657E-03  1.0879744E-02  4.6317396E-03
  2.0799350E+02 -6.0572259E-06  1.8651321E-05  8.4824609E-03  1.4840691E-02  6.3665325E-03
  2.0799350E+02 -1.5370839E-05  3.6340912E-05  1.0743693E-02  1.8937166E-02  8.2051924E-03
  2.0799350E+02 -3.4978654E-05  5.6801338E-05  1.2887029E-02  2.2934181E-02  1.0062275E-02
  2.0799350E+02 -7.1056022E-05  6.8444113E-05  1.4762932E-02  2.6593572E-02  1.1849080E-02
  2.0799350E+02 -1.3087865E-04  5.0511672E-05  1.6229209E-02  2.9686805E-02  1.3479517E-02
  2.0799350E+02 -2.2228584E-04 -2.4640068E-05  1.7159640E-02  3.2013515E-02  1.4879650E-02
  2.0799350E+02 -3.5307128E-04 -1.8408143E-04  1.7454080E-02  3.3420573E-02  1.5996061E-02
  2.0799350E+02 -5.3048250E-04 -4.4212507E-04  1.7047157E-02  3.3808686E-02  1.6793485E-02
  2.0799350E+02 -7.5978908E-04 -7.8459577E-04  1.5918968E-02  3.3123526E-02  1.7236150E-02
  2.0799350E+02 -1.0447398E-03 -1.1597900E-03  1.4096709E-02  3.1355824E-02  1.7288732E-02
  2.0799350E+02 -1.3861612E-03 -1.4795697E-03  1.1658010E-02  2.8650548E-02  1.7024500E-02
  2.0799350E+02 -1.7773164E-03 -1.6304719E-03  8.7056827E-03  2.5189098E-02  1.6508526E-02
  2.0799350E+02 -2.2231375E-03 -1.4935516E-03  5.3880974E-03  2.1041460E-02  1.5665313E-02
  2.0799350E+02 -2.7044539E-03 -9.8185973E-04  1.8358983E-03  1.6517458E-02  1.4680012E-02
  2.0799350E+02 -3.1954416E-03 -3.7689696E-05 -1.8239135E-03  1.1789269E-02  1.3595297E-02
  2.0799350E+02 -3.6761843E-03  1.3609972E-03 -5.4804922E-03  7.0188778E-03  1.2463748E-02
  2.0799350E+02 -4.1313100E-03  3.1987656E-03 -9.0330935E-03  2.3649342E-03  1.1347049E-02
  2.0799350E+02 -4.5511776E-03  5.4352810E-03 -1.2409009E-02 -2.0429357E-03  1.0306004E-02
  2.0799350E+02 -4.9290449E-03  8.0112544E-03 -1.5553145E-02 -6.0940939E-03  9.3981418E-03
  2.0799350E+02 -5.2603869E-03  1.0864901E-02 -1.8433395E-02 -9.7083501E-03  8.6703586E-03
  2.0799350E+02 -5.5414638E-03  1.3942999E-02 -2.1035624E-02 -1.2834050E-02  8.1560946E-03
  2.0799350E+02 -5.7689788E-03  1.7207748E-02 -2.3359372E-02 -1.5446791E-02  7.8744759E-03
  2.0799350E+02 -5.9412876E-03  2.0644378E-02 -2.5418757E-02 -1.7552404E-02  7.8319818E-03
  2.0799350E+02 -6.0593658E-03  2.4248668E-02 -2.7235320E-02 -1.9178348E-02  8.0276233E-03
  2.0799350E+02 -6.1278093E-03  2.8028700E-02 -2.8843460E-02 -2.0374340E-02  8.4579061E-03
  2.0799350E+02 -6.1505459E-03  3.1993255E-02 -3.0284725E-02 -2.1195824E-02  9.1175844E-03
  2.0799350E+02 -6.1165095E-03  3.6164531E-02 -3.1600820E-02 -2.1679316E-02  9.9860883E-03
  2.0799350E+02 -6.0192714E-03  4.0621293E-02 -3.2840241E-02 -2.1849732E-02  1.1010705E-02
  2.0799350E+02 -5.9096220E-03  4.5347484E-02 -3.4104051E-02 -2.1941049E-02  1.2200306E-02
  2.0799350E+02 -5.6670719E-03  5.0421280E-02 -3.5377011E-02 -2.1923604E-02  1.3484491E-02
  2.0799350E+02 -5.3852450E-03  5.5849933E-02 -3.6728628E-02 -2.1910377E-02  1.4842695E-02
  2.0799350E+02 -5.0875690E-03  6.1639379E-02 -3.8208439E-02 -2.1978791E-02  1.6249362E-02
  2.0799350E+02 -4.7580496E-03  6.7762414E-02 -3.9834943E-02 -2.2174196E-02  1.7670459E-02
  2.0799350E+02 -4.3658591E-03  7.4186410E-02 -4.1601503E-02 -2.2514062E-02  1.9074664E-02
  2.0799350E+02 -3.8843546E-03  8.0867523E-02 -4.3476734E-02 -2.2993215E-02  2.0435003E-02
  2.0799350E+02 -3.3029237E-03  8.7709754E-02 -4.5396898E-02 -2.3584730E-02  2.1723080E-02
  2.0799350E+02 -2.6229803E-03  9.4594262E-02 -4.7280434E-02 -2.4244429E-02  2.2916993E-02
  2.0799350E+02 -1.8446134E-03  1.0137438E-01 -4.9034832E-02 -2.4913427E-02  2.3999501E-02
  2.0799350E+02 -9.5207675E-04  1.0782994E-01 -5.0554745E-02 -2.5516166E-02  2.4949190E-02
  2.0799350E+02  1.1268374E-04  1.1373710E-01 -5.1750074E-02 -2.5971952E-02  2.5748525E-02
  2.0799350E+02  1.4519416E-03  1.1884074E-01 -5.2545667E-02 -2.6200910E-02  2.6375077E-02
  2.0799350E+02  3.1743280E-03  1.2285748E-01 -5.2889149E-02 -2.6144683E-02  2.6799397E-02
  2.0799350E+02  5.3080339E-03  1.2555808E-01 -5.2763456E-02 -2.5806994E-02  2.6994344E-02
  2.0799350E+02  7.6018830E-03  1.2680735E-01 -5.2177453E-02 -2.5313795E-02  2.6942750E-02
  2.0799350E+02  1.0621797E-02  1.2639271E-01 -5.1123688E-02 -2.4749524E-02  2.6515031E-02
  2.0799350E+02  1.3630840E-02  1.2417900E-01 -4.9453333E-02 -2.3781607E-02  2.5790081E-02
  2.0799350E+02  1.6479174E-02  1.2034317E-01 -4.7308828E-02 -2.2561715E-02  2.4823163E-02
  2.0799350E+02  1.9263818E-02  1.1509243E-01 -4.4796907E-02 -2.1170705E-02  2.3653757E-02
  2.0799350E+02  2.2017962E-02  1.0865080E-01 -4.1978535E-02 -1.9626712E-02  2.2328492E-02
  2.0799350E+02  2.4687630E-02  1.0129986E-01 -3.8919062E-02 -1.7939738E-02  2.0905150E-02
  2.0799350E+02  2.7175097E-02  9.3289294E-02 -3.5672831E-02 -1.6121592E-02  1.9431160E-02
  2.0799350E+02  2.9338788E-02  8.4866869E-02 -3.2310077E-02 -1.4209124E-02  1.7948459E-02
  2.0799350E+02  3.1008816E-02  7.6339544E-02 -2.8943051E-02 -1.2278922E-02  1.6502576E-02
  2.0799350E+02  3.2053008E-02  6.7954358E-02 -2.5671999E-02 -1.0408536E-02  1.5121981E-02
  2.0799350E+02  3.2395435E-02  5.9891911E-02 -2.2570892E-02 -8.6555676E-03  1.3820040E-02
  2.0799350E+02  3.2034279E-02  5.2396009E-02 -1.9722790E-02 -7.0653606E-03  1.2618638E-02
  2.0799350E+02  3.1053611E-02  4.5569822E-02 -1.7131980E-02 -5.6163301E-03  1.1518506E-02
  2.0799350E+02  2.9583027E-02  3.9495900E-02 -1.4774627E-02 -4.2602420E-03  1.0521415E-02
  2.0799350E+02  2.7743512E-02  3.4268830E-02 -1.2643782E-02 -2.9898583E-03  9.6374331E-03
  2.0799350E+02  2.5440252E-02  2.9825702E-02 -1.0756119E-02 -1.9284856E-03  8.8553459E-03
  2.0799350E+02  2.2376251E-02  2.6073839E-02 -9.2754991E-03 -1.3582504E-03  8.1060587E-03
  2.0799350E+02  1.9377668E-02  2.2910545E-02 -8.0436536E-03 -7.6262628E-04  7.3801515E-03
  2.0799350E+02  1.6630339E-02  2.0351846E-02 -7.0315924E-03 -2.7600677E-04  6.7899475E-03
  2.0799350E+02  1.4135022E-02  1.8284539E-02 -6.1985573E-03  9.2182841E-05  6.2921075E-03
  2.0799350E+02  1.1856174E-02  1.6614130E-02 -5.5116969E-03  3.5519862E-04  5.8581041E-03
  2.0799350E+02  9.7676444E-03  1.5276770E-02 -4.9525515E-03  5.3096842E-04  5.4740231E-03
  2.0799350E+02  7.8218160E-03  1.4203411E-02 -4.5025039E-03  6.3674885E-04  5.1279572E-03
  2.0799350E+02  6.0060629E-03  1.3348741E-02 -4.1540399E-03  6.7997094E-04  4.8157266E-03
  2.0799350E+02  4.3226618E-03  1.2672499E-02 -3.9013414E-03  6.6098677E-04  4.5342987E-03
  2.0799350E+02  2.7941008E-03  1.2141670E-02 -3.7388048E-03  5.7715999E-04  4.2817889E-03
  2.0799350E+02  1.4489104E-03  1.1726591E-02 -3.6571357E-03  4.2941043E-04  4.0557301E-03
  2.0799350E+02  3.1355325E-04  1.1401613E-02 -3.6420357E-03  2.2824842E-04  3.8534494E-03
  2.0799350E+02 -5.9255740E-04  1.1146488E-02 -3.6735949E-03 -1.5487168E-06  3.6735037E-03
  2.0799350E+02 -1.2667639E-03  1.0946286E-02 -3.7270076E-03 -2.2238669E-04  3.5164405E-03
  2.0799350E+02 -1.7342907E-03  1.0789813E-02 -3.7779832E-03 -3.9958433E-04  3.3834365E-03
  2.0799350E+02 -2.0305185E-03  1.0673407E-02 -3.8111316E-03 -5.2686253E-04  3.2783617E-03
  2.0799350E+02 -2.1818576E-03  1.0600912E-02 -3.8347892E-03 -6.7722889E-04  3.2060138E-03
  2.0799350E+02 -2.1370479E-03  1.0565649E-02 -3.9085485E-03 -8.2606760E-04  3.1183609E-03
  2.0799350E+02 -1.9308796E-03  1.0532063E-02 -3.9440727E-03 -9.1639628E-04  3.0431263E-03
  2.0799350E+02 -1.6631285E-03  1.0477954E-02 -3.9493048E-03 -9.8425963E-04  2.9770852E-03
  2.0799350E+02 -1.3800038E-03  1.0393370E-02 -3.9380189E-03 -1.0399340E-03  2.9126433E-03
  2.0799350E+02 -1.0984875E-03  1.0276749E-02 -3.9179135E-03 -1.0856842E-03  2.8466008E-03
  2.0799350E+02 -8.2289382E-04  1.0131515E-02 -3.8920127E-03 -1.1205916E-03  2.7789675E-03
  2.0799350E+02 -5.5424249E-04  9.9624058E-03 -3.8599017E-03 -1.1435792E-03  2.7114292E-03
  2.0799350E+02 -2.9772535E-04  9.7741086E-03 -3.8192644E-03 -1.1543654E-03  2.6466256E-03
  2.0799350E+02 -6.4505851E-05  9.5705976E-03 -3.7674151E-03 -1.1535281E-03  2.5872528E-03
  2.0799350E+02  1.3288930E-04  9.3524863E-03 -3.7019426E-03 -1.1416552E-03  2.5345931E-03
  2.0799350E+02  2.8190371E-04  9.1194706E-03 -3.6220145E-03 -1.1181674E-03  2.4886909E-03
  2.0799350E+02  3.7570334E-04  8.8716089E-03 -3.5289944E-03 -1.0809030E-03  2.4480356E-03
  2.0799350E+02  4.1835702E-04  8.6083362E-03 -3.4251963E-03 -1.0263904E-03  2.4093597E-03
  2.0799350E+02  4.2443588E-04  8.3341272E-03 -3.3140933E-03 -9.5321879E-04  2.3690099E-03
  2.0799350E+02  4.1542689E-04  8.0577244E-03 -3.1969481E-03 -8.6742803E-04  2.3238383E-03
  2.0799350E+02  4.0715760E-04  7.7965949E-03 -3.0701707E-03 -7.9319652E-04  2.2735831E-03
  2.0799350E+02  3.8002508E-04  7.5703449E-03 -2.9410119E-03 -7.5933213E-04  2.2159751E-03
  2.0799350E+02  3.0116565E-04  7.3256370E-03 -2.8330714E-03 -7.0152477E-04  2.1413731E-03
  2.0799350E+02  2.2150553E-04  7.0602845E-03 -2.7219752E-03 -6.5406844E-04  2.0725259E-03
  2.0799350E+02  1.6971924E-04  6.7889102E-03 -2.6233485E-03 -6.1859084E-04  2.0126599E-03
  2.0799350E+02  1.5741557E-04  6.5212598E-03 -2.5416395E-03 -5.9307614E-04  1.9597299E-03
  2.0799350E+02  1.8256066E-04  6.2636652E-03 -2.4754481E-03 -5.7531208E-04  1.9099158E-03
  2.0799350E+02  2.3275516E-04  6.0218768E-03 -2.4213687E-03 -5.6443741E-04  1.8600723E-03
  2.0799350E+02  2.9015326E-04  5.7973403E-03 -2.3750785E-03 -5.6080842E-04  1.8080646E-03
  2.0799350E+02  3.3634958E-04  5.5898564E-03 -2.3331429E-03 -5.6542845E-04  1.7535282E-03
  2.0799350E+02  3.5705953E-04  5.3972976E-03 -2.2931999E-03 -5.7868636E-04  1.6974217E-03
  2.0799350E+02  3.4576132E-04  5.2174038E-03 -2.2540048E-03 -5.9895060E-04  1.6417381E-03
  2.0799350E+02  3.0602674E-04  5.0464076E-03 -2.2144405E-03 -6.2186428E-04  1.5880755E-03
  2.0799350E+02  2.5113207E-04  4.8811841E-03 -2.1731517E-03 -6.4041216E-04  1.5372857E-03
  2.0799350E+02  2.0024181E-04  4.7183585E-03 -2.1276542E-03 -6.4682280E-04  1.4885387E-03
  2.0799350E+02  1.7150765E-04  4.5569700E-03 -2.0748527E-03 -6.3644157E-04  1.4400668E-03
  2.0799350E+02  1.6883292E-04  4.3961458E-03 -2.0109917E-03 -6.1469330E-04  1.3893123E-03
  2.0799350E+02  1.6426256E-04  4.2375135E-03 -1.9341411E-03 -6.0745662E-04  1.3357250E-03
  2.0799350E+02  1.2517536E-04  4.0768353E-03 -1.8749892E-03 -6.0916082E-04  1.2754915E-03
  2.0799350E+02  9.0195489E-05  3.9114049E-03 -1.8049318E-03 -5.9323979E-04  1.2145153E-03
  2.0799350E+02  6.2367993E-05  3.7513173E-03 -1.7268708E-03 -5.7717621E-04  1.1549981E-03
  2.0799350E+02  4.0366499E-05  3.5992103E-03 -1.6517319E-03 -5.6254721E-04  1.0965018E-03
  2.0799350E+02  2.1178141E-05  3.4552237E-03 -1.5837505E-03 -5.4982074E-04  1.0398922E-03
  2.0799350E+02  2.9707766E-06  3.3170614E-03 -1.5234705E-03 -5.3950461E-04  9.8595762E-04
  2.0799350E+02 -1.3506467E-05  3.1823203E-03 -1.4705732E-03 -5.3269525E-04  9.3536758E-04
  2.0799350E+02 -2.5151689E-05  3.0493057E-03 -1.4249036E-03 -5.3085387E-04  8.8844903E-04
  2.0799350E+02 -2.7791146E-05  2.9168330E-03 -1.3863985E-03 -5.3518027E-04  8.4493575E-04
  2.0799350E+02 -1.7877969E-05  2.7854179E-03 -1.3549836E-03 -5.4582785E-04  8.0445462E-04
  2.0799350E+02  5.8369615E-06  2.6553810E-03 -1.3294181E-03 -5.6133524E-04  7.6617299E-04
  2.0799350E+02  4.0807258E-05  2.5288198E-03 -1.3072176E-03 -5.7809989E-04  7.2973499E-04
  2.0799350E+02  8.0785850E-05  2.4067664E-03 -1.2839763E-03 -5.9091107E-04  6.9474674E-04
