          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02 -6.1539034E-06  1.5063217E-05 -5.5870218E-02  5.5558979E-02  0.0000000E+00
  2.0799350E+02  2.0030458E-04  1.2147830E-05 -5.5309490E-02  5.4744164E-02  3.1882631E-08
  2.0799350E+02  8.0827397E-04  5.1875950E-06 -5.3663589E-02  5.2343433E-02  1.3242748E-07
  2.0799350E+02  1.7850732E-03 -4.9999355E-07 -5.1037109E-02  4.8485270E-02  5.6245365E-07
  2.0799350E+02  3.0804239E-03  3.7546570E-06 -4.7592120E-02  4.3376799E-02  2.3605727E-06
  2.0799350E+02  4.6317396E-03  2.9503653E-05 -4.3530938E-02  3.7291633E-02  7.5877060E-06
  2.0799350E+02  6.3665325E-03  9.0212389E-05 -3.9083698E-02  3.0564227E-02  1.8651321E-05
  2.0799350E+02  8.2051924E-03  1.9969849E-04 -3.4493003E-02  2.3574806E-02  3.6340912E-05
  2.0799350E+02  1.0062275E-02  3.7018732E-04 -3.0003623E-02  1.6733118E-02  5.6801338E-05
  2.0799350E+02  1.1849080E-02  6.1066218E-04 -2.5853260E-02  1.0454224E-02  6.8444113E-05
  2.0799350E+02  1.3479517E-02  9.2684053E-04 -2.2259916E-02  5.1224632E-03  5.0511672E-05
  2.0799350E+02  1.4879650E-02  1.3248746E-03 -1.9399798E-02  1.0415055E-03 -2.4640068E-05
  2.0799350E+02  1.5996061E-02  1.8209831E-03 -1.7376170E-02 -1.6187935E-03 -1.8408143E-04
  2.0799350E+02  1.6793485E-02  2.4572881E-03 -1.6190275E-02 -2.8545945E-03 -4.4212507E-04
  2.0799350E+02  1.7236150E-02  3.3139532E-03 -1.5732156E-02 -2.8246273E-03 -7.8459577E-04
  2.0799350E+02  1.7288732E-02  4.5072611E-03 -1.5793712E-02 -1.8462773E-03 -1.1597900E-03
  2.0799350E+02  1.7024500E-02  6.1107170E-03 -1.6120909E-02 -5.0318427E-04 -1.4795697E-03
  2.0799350E+02  1.6508526E-02  8.0938801E-03 -1.6504964E-02  7.1783713E-04 -1.6304719E-03
  2.0799350E+02  1.5665313E-02  1.0402501E-02 -1.6721476E-02  1.6683627E-03 -1.4935516E-03
  2.0799350E+02  1.4680012E-02  1.2836107E-02 -1.6718467E-02  2.1195396E-03 -9.8185973E-04
  2.0799350E+02  1.3595297E-02  1.5211954E-02 -1.6524014E-02  2.1628176E-03 -3.7689696E-05
  2.0799350E+02  1.2463748E-02  1.7365317E-02 -1.6183521E-02  1.9046620E-03  1.3609972E-03
  2.0799350E+02  1.1347049E-02  1.9157374E-02 -1.5755176E-02  1.4578066E-03  3.1987656E-03
  2.0799350E+02  1.0306004E-02  2.0495671E-02 -1.5301273E-02  9.3038536E-04  5.4352810E-03
  2.0799350E+02  9.3981418E-03  2.1334419E-02 -1.4881016E-02  4.1667940E-04  8.0112544E-03
  2.0799350E+02  8.6703586E-03  2.1676843E-02 -1.4541817E-02 -1.3249709E-05  1.0864901E-02
  2.0799350E+02  8.1560946E-03  2.1564596E-02 -1.4313812E-02 -3.2076834E-04  1.3942999E-02
