          atime            tkk            imk        garbage        garbage        garbage
  2.0799350E+02  0.0000000E+00  0.0000000E+00 -6.1539034E-06  0.0000000E+00 -7.6248679E-06
  2.0799350E+02  3.7735833E-07  0.0000000E+00  2.0030458E-04  3.1878114E-08  4.8303455E-04
  2.0799350E+02  5.7669771E-06  0.0000000E+00  8.0827397E-04  1.3241478E-07  1.9256752E-03
  2.0799350E+02  2.8386564E-05  0.0000000E+00  1.7850732E-03  5.6244522E-07  4.2350810E-03
  2.0799350E+02  8.6800681E-05  0.0000000E+00  3.0804239E-03  2.3606073E-06  7.2770428E-03
  2.0799350E+02  2.0348461E-04  0.0000000E+00  4.6317396E-03  7.5878571E-06  1.0879744E-02
  2.0799350E+02  4.0170543E-04  0.0000000E+00  6.3665325E-03  1.8651700E-05  1.4840691E-02
  2.0799350E+02  7.0226617E-04  0.0000000E+00  8.2051924E-03  3.6341660E-05  1.8937166E-02
  2.0799350E+02  1.1204849E-03  0.0000000E+00  1.0062275E-02  5.6802603E-05  2.2934181E-02
  2.0799350E+02  1.6637998E-03  0.0000000E+00  1.1849080E-02  6.8446009E-05  2.6593572E-02
  2.0799350E+02  2.3302431E-03  0.0000000E+00  1.3479517E-02  5.0514228E-05  2.9686805E-02
  2.0799350E+02  3.1082459E-03  0.0000000E+00  1.4879650E-02 -2.4636956E-05  3.2013515E-02
  2.0799350E+02  3.9783997E-03  0.0000000E+00  1.5996061E-02 -1.8407799E-04  3.3420573E-02
  2.0799350E+02  4.9173120E-03  0.0000000E+00  1.6793485E-02 -4.4212155E-04  3.3808686E-02
  2.0799350E+02  5.8980952E-03  0.0000000E+00  1.7236150E-02 -7.8459236E-04  3.3123526E-02
  2.0799350E+02  6.9002638E-03  0.0000000E+00  1.7288732E-02 -1.1597870E-03  3.1355824E-02
  2.0799350E+02  7.9068399E-03  0.0000000E+00  1.7024500E-02 -1.4795686E-03  2.8650548E-02
  2.0799350E+02  8.9105152E-03  0.0000000E+00  1.6508526E-02 -1.6304762E-03  2.5189098E-02
  2.0799350E+02  9.9052740E-03  0.0000000E+00  1.5665313E-02 -1.4935699E-03  2.1041460E-02
  2.0799350E+02  1.0895333E-02  0.0000000E+00  1.4680012E-02 -9.8191143E-04  1.6517458E-02
  2.0799350E+02  1.1884387E-02  0.0000000E+00  1.3595297E-02 -3.7798038E-05  1.1789269E-02
  2.0799350E+02  1.2876898E-02  0.0000000E+00  1.2463748E-02  1.3608127E-03  7.0188778E-03
  2.0799350E+02  1.3874568E-02  0.0000000E+00  1.1347049E-02  3.1984964E-03  2.3649342E-03
  2.0799350E+02  1.4880337E-02  0.0000000E+00  1.0306004E-02  5.4349352E-03 -2.0429357E-03
  2.0799350E+02  1.5895547E-02  0.0000000E+00  9.3981418E-03  8.0108593E-03 -6.0940939E-03
  2.0799350E+02  1.6922312E-02  0.0000000E+00  8.6703586E-03  1.0864501E-02 -9.7083501E-03
  2.0799350E+02  1.7963427E-02  0.0000000E+00  8.1560946E-03  1.3942650E-02 -1.2834050E-02
  2.0799350E+02  1.9022240E-02  0.0000000E+00  7.8744759E-03  1.7207502E-02 -1.5446791E-02
  2.0799350E+02  2.0104358E-02  0.0000000E+00  7.8319818E-03  2.0644269E-02 -1.7552404E-02
  2.0799350E+02  2.1214615E-02  0.0000000E+00  8.0276233E-03  2.4248692E-02 -1.9178348E-02
  2.0799350E+02  2.2359515E-02  0.0000000E+00  8.4579061E-03  2.8028801E-02 -2.0374340E-02
  2.0799350E+02  2.3544167E-02  0.0000000E+00  9.1175844E-03  3.1993318E-02 -2.1195824E-02
  2.0799350E+02  2.4771275E-02  0.0000000E+00  9.9860883E-03  3.6164404E-02 -2.1679316E-02
  2.0799350E+02  2.6043680E-02  0.0000000E+00  1.1010705E-02  4.0620888E-02 -2.1849732E-02
  2.0799350E+02  2.7363509E-02  0.0000000E+00  1.2200306E-02  4.5346632E-02 -2.1941049E-02
