          atime            tkk            imk        garbage        garbage        garbage
  3.6000000E+02 -8.6666643E-21  0.0000000E+00 -1.8401967E-06 -2.9442386E-19 -6.9024664E-06
  3.6000000E+02  4.5027538E-03  0.0000000E+00  4.1028424E-06  1.2769824E-02  7.1000659E-03
  3.6000000E+02  1.3838063E-02  0.0000000E+00  3.1551486E-05  5.6169835E-02  5.8514136E-03
  3.6000000E+02  2.1229435E-02  0.0000000E+00  1.1235849E-05  7.2912910E-02  4.3848594E-03
  3.6000000E+02  2.5000556E-02  0.0000000E+00  2.3474388E-05  5.5196912E-02  2.9784315E-03
  3.6000000E+02  2.6618175E-02  0.0000000E+00  2.2355123E-05  3.2521361E-02  1.3554723E-03
  3.6000000E+02  2.7354211E-02  0.0000000E+00  2.7202460E-05  1.7666261E-02  4.6014138E-04
  3.6000000E+02  2.7751540E-02  0.0000000E+00  1.9987143E-05  8.8630686E-03  9.2936886E-04
  3.6000000E+02  2.8071242E-02  0.0000000E+00  2.1707296E-05  4.0744636E-03  2.5418463E-03
  3.6000000E+02  2.8403477E-02  0.0000000E+00  1.8021585E-05  1.3004876E-03  5.0805753E-03
  3.6000000E+02  2.8773017E-02  0.0000000E+00  2.0747546E-05 -3.3650718E-04  7.6957325E-03
  3.6000000E+02  2.9163188E-02  0.0000000E+00  2.9299692E-05 -1.2081508E-03  1.0006102E-02
  3.6000000E+02  2.9544860E-02  0.0000000E+00  3.8945094E-05 -1.4985340E-03  1.1658547E-02
  3.6000000E+02  2.9897598E-02  0.0000000E+00  4.7331514E-05 -1.3339392E-03  1.2485204E-02
  3.6000000E+02  3.0212784E-02  0.0000000E+00  5.3080409E-05 -8.2867075E-04  1.2532171E-02
  3.6000000E+02  3.0486530E-02  0.0000000E+00  5.2652478E-05 -1.0072852E-04  1.2004048E-02
  3.6000000E+02  3.0711390E-02  0.0000000E+00  4.2539452E-05  7.3793116E-04  1.1184842E-02
  3.6000000E+02  3.0875880E-02  0.0000000E+00  3.3835805E-05  1.6118014E-03  1.0395772E-02
  3.6000000E+02  3.0980620E-02  0.0000000E+00  5.1044493E-05  2.5517961E-03  9.8466165E-03
  3.6000000E+02  3.1022553E-02  0.0000000E+00  3.3150311E-05  3.4394539E-03  9.2021713E-03
  3.6000000E+02  3.1003680E-02  0.0000000E+00  3.7237684E-05  4.0893106E-03  8.7346838E-03
  3.6000000E+02  3.0925623E-02  0.0000000E+00  3.4879033E-05  4.5950117E-03  8.1560399E-03
  3.6000000E+02  3.0783071E-02  0.0000000E+00  2.4537775E-05  5.0295968E-03  7.3898553E-03
  3.6000000E+02  3.0573880E-02  0.0000000E+00  1.3213053E-05  5.4261743E-03  6.4605286E-03
  3.6000000E+02  3.0302749E-02  0.0000000E+00  6.6394806E-06  5.7798737E-03  5.4275509E-03
  3.6000000E+02  2.9980327E-02  0.0000000E+00  5.9158778E-06  6.0634700E-03  4.3540946E-03
  3.6000000E+02  2.9619634E-02  0.0000000E+00  8.4369456E-06  6.2490707E-03  3.2989029E-03
  3.6000000E+02  2.9231639E-02  0.0000000E+00  1.1001847E-05  6.3282599E-03  2.3205021E-03
  3.6000000E+02  2.8821887E-02  0.0000000E+00  1.2973655E-05  6.3230912E-03  1.4827586E-03
  3.6000000E+02  2.8390012E-02  0.0000000E+00  1.7363621E-05  6.2803221E-03  8.5080415E-04
  3.6000000E+02  2.7934034E-02  0.0000000E+00  2.7714241E-05  6.2412831E-03  4.6634827E-04
  3.6000000E+02  2.7462479E-02  0.0000000E+00  3.8109838E-05  6.1939376E-03  2.8482687E-04
  3.6000000E+02  2.6994333E-02  0.0000000E+00  3.6080574E-05  6.1821382E-03  1.8203290E-04
  3.6000000E+02  2.6530663E-02  0.0000000E+00  3.2850558E-05  6.0528200E-03  2.1916809E-04
  3.6000000E+02  2.6091548E-02  0.0000000E+00  2.8353261E-05  5.8431743E-03  3.4936887E-04
  3.6000000E+02  2.5686149E-02  0.0000000E+00  2.2862627E-05  5.5975912E-03  5.3843610E-04
  3.6000000E+02  2.5316177E-02  0.0000000E+00  1.6939776E-05  5.3567891E-03  7.6099282E-04
  3.6000000E+02  2.4978842E-02  0.0000000E+00  1.1302142E-05  5.1510663E-03  9.9727091E-04
  3.6000000E+02  2.4669260E-02  0.0000000E+00  6.6527285E-06  4.9970795E-03  1.2306019E-03
  3.6000000E+02  2.4382307E-02  0.0000000E+00  3.5071846E-06  4.8975517E-03  1.4456868E-03
  3.6000000E+02  2.4113895E-02  0.0000000E+00  2.0563806E-06  4.8433159E-03  1.6277203E-03
  3.6000000E+02  2.3861658E-02  0.0000000E+00  2.1021848E-06  4.8170952E-03  1.7624436E-03
  3.6000000E+02  2.3625028E-02  0.0000000E+00  3.1041282E-06  4.7984264E-03  1.8372023E-03
  3.6000000E+02  2.3404688E-02  0.0000000E+00  4.3746490E-06  4.7691296E-03  1.8430828E-03
  3.6000000E+02  2.3201377E-02  0.0000000E+00  5.4606096E-06  4.7187271E-03  1.7782035E-03
  3.6000000E+02  2.3014033E-02  0.0000000E+00  6.7487769E-06  4.6492178E-03  1.6522350E-03
  3.6000000E+02  2.2837262E-02  0.0000000E+00  1.0332957E-05  4.5786080E-03  1.4922252E-03
