          atime          uplus          yplus           Wshr          trash          trash
  3.6000000E+02  1.0553564E-14  1.0553564E-14  1.1296892E-02  5.0000000E-02  5.0000000E-02
  3.6000000E+02  2.2419358E+00  2.2862299E+00  1.1296892E-02  5.4500000E-02  5.4500000E-02
  3.6000000E+02  4.2094007E+00  4.5724598E+00  1.1296892E-02  5.9000000E-02  5.9000000E-02
  3.6000000E+02  5.6456378E+00  6.8586897E+00  1.1296892E-02  6.3500000E-02  6.3500000E-02
  3.6000000E+02  6.5428183E+00  9.1449197E+00  1.1296892E-02  6.8000000E-02  6.8000000E-02
  3.6000000E+02  7.0588154E+00  1.1431150E+01  1.1296892E-02  7.2500000E-02  7.2500000E-02
  3.6000000E+02  7.3513499E+00  1.3717379E+01  1.1296892E-02  7.7000000E-02  7.7000000E-02
  3.6000000E+02  7.5221402E+00  1.6003609E+01  1.1296892E-02  8.1500000E-02  8.1500000E-02
  3.6000000E+02  7.6279035E+00  1.8289839E+01  1.1296892E-02  8.6000000E-02  8.6000000E-02
  3.6000000E+02  7.6982258E+00  2.0576069E+01  1.1296892E-02  9.0500000E-02  9.0500000E-02
  3.6000000E+02  7.7490312E+00  2.2862299E+01  1.1296892E-02  9.5000000E-02  9.5000000E-02
  3.6000000E+02  7.7889002E+00  2.5148529E+01  1.1296892E-02  9.9500000E-02  9.9500000E-02
  3.6000000E+02  7.8230586E+00  2.7434759E+01  1.1296892E-02  1.0400000E-01  1.0400000E-01
  3.6000000E+02  7.8549136E+00  2.9720989E+01  1.1296892E-02  1.0850000E-01  1.0850000E-01
  3.6000000E+02  7.8867509E+00  3.2007219E+01  1.1296892E-02  1.1300000E-01  1.1300000E-01
  3.6000000E+02  7.9199423E+00  3.4293449E+01  1.1296892E-02  1.1750000E-01  1.1750000E-01
  3.6000000E+02  7.9550310E+00  3.6579679E+01  1.1296892E-02  1.2200000E-01  1.2200000E-01
  3.6000000E+02  7.9920657E+00  3.8865909E+01  1.1296892E-02  1.2650000E-01  1.2650000E-01
  3.6000000E+02  8.0312964E+00  4.1152138E+01  1.1296892E-02  1.3100000E-01  1.3100000E-01
  3.6000000E+02  8.0727656E+00  4.3438368E+01  1.1296892E-02  1.3550000E-01  1.3550000E-01
  3.6000000E+02  8.1159269E+00  4.5724598E+01  1.1296892E-02  1.4000000E-01  1.4000000E-01
  3.6000000E+02  8.1599026E+00  4.8010828E+01  1.1296892E-02  1.4450000E-01  1.4450000E-01
  3.6000000E+02  8.2044594E+00  5.0297058E+01  1.1296892E-02  1.4900000E-01  1.4900000E-01
  3.6000000E+02  8.2496004E+00  5.2583288E+01  1.1296892E-02  1.5350000E-01  1.5350000E-01
