          atime          uvari          vvari          wvari          pvari          tvari
  3.6000000E+02 -1.8717323E-20  5.9069806E-22  7.9329648E-22  5.4618555E-04  0.0000000E+00
  3.6000000E+02  6.3851124E-03  2.1079529E-05  2.5993156E-03  5.4360391E-04  0.0000000E+00
  3.6000000E+02  1.9541933E-02  2.2699761E-04  7.9071957E-03  5.4599181E-04  0.0000000E+00
  3.6000000E+02  2.8167129E-02  8.0316663E-04  1.3488575E-02  5.4850730E-04  0.0000000E+00
  3.6000000E+02  3.0359988E-02  1.7889595E-03  1.7852165E-02  5.5155881E-04  0.0000000E+00
  3.6000000E+02  2.9592077E-02  3.0916788E-03  2.0552595E-02  5.5703693E-04  0.0000000E+00
  3.6000000E+02  2.8324385E-02  4.5756566E-03  2.1808381E-02  5.6598648E-04  0.0000000E+00
  3.6000000E+02  2.7313371E-02  6.1169941E-03  2.2072715E-02  5.7817983E-04  0.0000000E+00
  3.6000000E+02  2.6748687E-02  7.6178399E-03  2.1775958E-02  5.9262155E-04  0.0000000E+00
  3.6000000E+02  2.6565301E-02  9.0066510E-03  2.1235002E-02  6.0750628E-04  0.0000000E+00
  3.6000000E+02  2.6674733E-02  1.0233045E-02  2.0638257E-02  6.2105068E-04  0.0000000E+00
  3.6000000E+02  2.6971576E-02  1.1272739E-02  2.0082061E-02  6.3220367E-04  0.0000000E+00
  3.6000000E+02  2.7362666E-02  1.2118893E-02  1.9608161E-02  6.4074515E-04  0.0000000E+00
  3.6000000E+02  2.7796409E-02  1.2777556E-02  1.9221231E-02  6.4707169E-04  0.0000000E+00
  3.6000000E+02  2.8254081E-02  1.3263166E-02  1.8908320E-02  6.5171004E-04  0.0000000E+00
  3.6000000E+02  2.8723016E-02  1.3594537E-02  1.8655507E-02  6.5481984E-04  0.0000000E+00
  3.6000000E+02  2.9173938E-02  1.3792039E-02  1.8456802E-02  6.5595514E-04  0.0000000E+00
  3.6000000E+02  2.9564743E-02  1.3876678E-02  1.8310340E-02  6.5435414E-04  0.0000000E+00
  3.6000000E+02  2.9891188E-02  1.3871236E-02  1.8198817E-02  6.4979253E-04  0.0000000E+00
  3.6000000E+02  3.0151917E-02  1.3793242E-02  1.8099947E-02  6.4237194E-04  0.0000000E+00
  3.6000000E+02  3.0358478E-02  1.3655446E-02  1.7993436E-02  6.3280053E-04  0.0000000E+00
  3.6000000E+02  3.0512651E-02  1.3468479E-02  1.7870116E-02  6.2142197E-04  0.0000000E+00
  3.6000000E+02  3.0595707E-02  1.3242362E-02  1.7728073E-02  6.0878780E-04  0.0000000E+00
  3.6000000E+02  3.0592955E-02  1.2987234E-02  1.7567572E-02  5.9541861E-04  0.0000000E+00
  3.6000000E+02  3.0502925E-02  1.2713452E-02  1.7389120E-02  5.8168399E-04  0.0000000E+00
  3.6000000E+02  3.0335860E-02  1.2431230E-02  1.7193564E-02  5.6777390E-04  0.0000000E+00
  3.6000000E+02  3.0106200E-02  1.2149993E-02  1.6983074E-02  5.5373344E-04  0.0000000E+00
  3.6000000E+02  2.9823753E-02  1.1877615E-02  1.6761910E-02  5.3953349E-04  0.0000000E+00
  3.6000000E+02  2.9488225E-02  1.1619713E-02  1.6535835E-02  5.2514943E-04  0.0000000E+00
  3.6000000E+02  2.9091801E-02  1.1379173E-02  1.6309050E-02  5.1062028E-04  0.0000000E+00
  3.6000000E+02  2.8634462E-02  1.1156071E-02  1.6077534E-02  4.9606050E-04  0.0000000E+00
  3.6000000E+02  2.8155373E-02  1.0947975E-02  1.5821610E-02  4.8158606E-04  0.0000000E+00
  3.6000000E+02  2.7670679E-02  1.0752806E-02  1.5565181E-02  4.6719590E-04  0.0000000E+00
