          atime           uavg           vavg           wavg         pm1avg           tavg
  7.8507600E+01  6.5221341E-07  1.5407520E-11  0.0000000E+00 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  5.1840375E-01  5.2392852E-02  0.0000000E+00 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  7.4169503E-01  9.0771240E-02  0.0000000E+00 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  7.9565496E-01  9.4868182E-02  0.0000000E+00 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  8.1157283E-01  8.9800952E-02  0.0000000E+00 -1.1106176E-01  0.0000000E+00
  7.8507600E+01  8.1905755E-01  8.2961400E-02  0.0000000E+00 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  8.2425643E-01  7.6210162E-02  0.0000000E+00 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  8.2890850E-01  6.9989779E-02  0.0000000E+00 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  8.3392917E-01  6.4274284E-02  0.0000000E+00 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  8.3940200E-01  5.9046702E-02  0.0000000E+00 -8.0317141E-02  0.0000000E+00
  7.8507600E+01  8.4509855E-01  5.4239897E-02  0.0000000E+00 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  8.5086358E-01  4.9747206E-02  0.0000000E+00 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  8.5656782E-01  4.5525253E-02  0.0000000E+00 -7.0759602E-02  0.0000000E+00
  7.8507600E+01  8.6221140E-01  4.1586332E-02  0.0000000E+00 -6.8142782E-02  0.0000000E+00
  7.8507600E+01  8.6805115E-01  3.7940798E-02  0.0000000E+00 -6.5718719E-02  0.0000000E+00
  7.8507600E+01  8.7441069E-01  3.4642014E-02  0.0000000E+00 -6.3448271E-02  0.0000000E+00
  7.8507600E+01  8.8143773E-01  3.1763560E-02  0.0000000E+00 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  8.8900351E-01  2.9287425E-02  0.0000000E+00 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  8.9682126E-01  2.7147551E-02  0.0000000E+00 -5.7294700E-02  0.0000000E+00
  7.8507600E+01  9.0466380E-01  2.5254413E-02  0.0000000E+00 -5.5378073E-02  0.0000000E+00
  7.8507600E+01  9.1245635E-01  2.3545741E-02  0.0000000E+00 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  9.2034849E-01  2.1974296E-02  0.0000000E+00 -5.1696233E-02  0.0000000E+00
  7.8507600E+01  9.2839406E-01  2.0474789E-02  0.0000000E+00 -4.9920196E-02  0.0000000E+00
  7.8507600E+01  9.3642215E-01  1.8991058E-02  0.0000000E+00 -4.8195321E-02  0.0000000E+00
  7.8507600E+01  9.4424674E-01  1.7497251E-02  0.0000000E+00 -4.6523736E-02  0.0000000E+00
  7.8507600E+01  9.5183063E-01  1.6018017E-02  0.0000000E+00 -4.4911274E-02  0.0000000E+00
  7.8507600E+01  9.5930279E-01  1.4624446E-02  0.0000000E+00 -4.3369966E-02  0.0000000E+00
  7.8507600E+01  9.6673224E-01  1.3367773E-02  0.0000000E+00 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  9.7402452E-01  1.2233798E-02  0.0000000E+00 -4.0480696E-02  0.0000000E+00
  7.8507600E+01  9.8107570E-01  1.1179186E-02  0.0000000E+00 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  9.8775975E-01  1.0183487E-02  0.0000000E+00 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  9.9404946E-01  9.2419668E-03  0.0000000E+00 -3.6546435E-02  0.0000000E+00
  7.8507600E+01  1.0000228E+00  8.3479985E-03  0.0000000E+00 -3.5340116E-02  0.0000000E+00
  7.8507600E+01  1.0057714E+00  7.4921505E-03  0.0000000E+00 -3.4194527E-02  0.0000000E+00
  7.8507600E+01  1.0113908E+00  6.6772417E-03  0.0000000E+00 -3.3102329E-02  0.0000000E+00
  7.8507600E+01  1.0169633E+00  5.9131563E-03  0.0000000E+00 -3.2052309E-02  0.0000000E+00
  7.8507600E+01  1.0225220E+00  5.2155051E-03  0.0000000E+00 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  1.0281313E+00  4.5947800E-03  0.0000000E+00 -3.0047644E-02  0.0000000E+00
  7.8507600E+01  1.0338662E+00  4.0548582E-03  0.0000000E+00 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  1.0397461E+00  3.5854418E-03  0.0000000E+00 -2.8138508E-02  0.0000000E+00
  7.8507600E+01  1.0457583E+00  3.1503161E-03  0.0000000E+00 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  1.0518630E+00  2.7085176E-03  0.0000000E+00 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.0580547E+00  2.2293189E-03  0.0000000E+00 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  1.0642895E+00  1.6921242E-03  0.0000000E+00 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  1.0705321E+00  1.0920501E-03  0.0000000E+00 -2.3852801E-02  0.0000000E+00
  7.8507600E+01  1.0767226E+00  4.5643906E-04  0.0000000E+00 -2.3080864E-02  0.0000000E+00
  7.8507600E+01  1.0827861E+00 -1.5257458E-04  0.0000000E+00 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.0887392E+00 -6.9153608E-04  0.0000000E+00 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  1.0946120E+00 -1.1459612E-03  0.0000000E+00 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  1.1003891E+00 -1.5177085E-03  0.0000000E+00 -2.0168793E-02  0.0000000E+00
  7.8507600E+01  1.1060955E+00 -1.8223076E-03  0.0000000E+00 -1.9477334E-02  0.0000000E+00
  7.8507600E+01  1.1117513E+00 -2.0779966E-03  0.0000000E+00 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  1.1173771E+00 -2.2990442E-03  0.0000000E+00 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  1.1229318E+00 -2.4915366E-03  0.0000000E+00 -1.7474148E-02  0.0000000E+00
  7.8507600E+01  1.1283714E+00 -2.6619638E-03  0.0000000E+00 -1.6831692E-02  0.0000000E+00
  7.8507600E+01  1.1336581E+00 -2.8136274E-03  0.0000000E+00 -1.6203437E-02  0.0000000E+00
  7.8507600E+01  1.1387520E+00 -2.9374680E-03  0.0000000E+00 -1.5595707E-02  0.0000000E+00
  7.8507600E+01  1.1436755E+00 -3.0221048E-03  0.0000000E+00 -1.5009786E-02  0.0000000E+00
  7.8507600E+01  1.1484649E+00 -3.0681220E-03  0.0000000E+00 -1.4446434E-02  0.0000000E+00
  7.8507600E+01  1.1531290E+00 -3.0893283E-03  0.0000000E+00 -1.3909066E-02  0.0000000E+00
