          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  7.8507600E+01  8.3905140E-07  8.5895641E-08 -1.2805759E-07 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -1.0709765E-01 -1.2933488E-02 -1.6122958E-01 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  1.2051252E-01  7.8765240E-04 -3.1267213E-01 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  2.6293964E-02  1.0047758E-02 -1.5526415E-01 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -4.8999027E-03  6.0665784E-03 -7.3397619E-02 -1.1106176E-01  0.0000000E+00
  7.8507600E+01 -1.2362273E-02  1.7835645E-03 -4.4770814E-02 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -1.8972980E-02 -2.5386114E-06 -3.2650264E-02 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -1.1569503E-02 -4.7597752E-03 -2.4819154E-02 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -8.6478002E-03 -1.2101012E-02 -2.1390352E-02 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -1.0749954E-02 -1.6264661E-02 -2.1390722E-02 -8.0317141E-02  0.0000000E+00
  7.8507600E+01 -1.3614702E-02 -1.7901619E-02 -2.3675813E-02 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -1.7807718E-02 -1.8362470E-02 -2.5362726E-02 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -2.1916692E-02 -1.7904836E-02 -2.4866857E-02 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -2.5009493E-02 -1.6642986E-02 -2.3066402E-02 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -2.6445537E-02 -1.5108930E-02 -2.0972819E-02 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -2.6339970E-02 -1.3803694E-02 -1.9175479E-02 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -2.6338452E-02 -1.2190869E-02 -1.7568859E-02 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -2.6110509E-02 -1.0015224E-02 -1.6536469E-02 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -2.5158362E-02 -7.5809434E-03 -1.6229173E-02 -5.7294700E-02  0.0000000E+00
  7.8507600E+01 -2.3865871E-02 -5.1003340E-03 -1.5851131E-02 -5.5378073E-02  0.0000000E+00
  7.8507600E+01 -2.1657726E-02 -3.0332238E-03 -1.4464478E-02 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -1.9072839E-02 -1.4875298E-03 -1.1976182E-02 -5.1696233E-02  0.0000000E+00
  7.8507600E+01 -1.6656896E-02 -2.3153918E-04 -8.7158881E-03 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -1.5060313E-02  8.5651961E-04 -5.7796412E-03 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -1.3468180E-02  1.6129808E-03 -3.6797911E-03 -4.6523736E-02  0.0000000E+00
  7.8507600E+01 -1.0348209E-02  1.5757080E-03 -1.3928435E-03 -4.4911274E-02  0.0000000E+00
  7.8507600E+01 -6.4054611E-03  1.0457218E-03  1.6384976E-03 -4.3369966E-02  0.0000000E+00
  7.8507600E+01 -4.1009860E-03  8.6850764E-04  3.2902362E-03 -4.1894826E-02  0.0000000E+00
  7.8507600E+01 -3.7946299E-03  1.3083450E-03  2.1301955E-03 -4.0480696E-02  0.0000000E+00
  7.8507600E+01 -5.5599673E-03  2.0607767E-03  4.6026919E-04 -3.9118191E-02  0.0000000E+00
  7.8507600E+01 -7.5782116E-03  2.6372391E-03  9.9373622E-04 -3.7807075E-02  0.0000000E+00
  7.8507600E+01 -8.4148611E-03  2.9650456E-03  2.4635390E-03 -3.6546435E-02  0.0000000E+00
  7.8507600E+01 -7.9967059E-03  3.1306851E-03  2.0333653E-03 -3.5340116E-02  0.0000000E+00
  7.8507600E+01 -6.0860267E-03  3.0961996E-03  5.7978182E-04 -3.4194527E-02  0.0000000E+00
  7.8507600E+01 -3.5349222E-03  2.9375832E-03 -3.5095256E-04 -3.3102329E-02  0.0000000E+00
  7.8507600E+01 -1.9193260E-03  2.7568338E-03 -2.5286024E-04 -3.2052309E-02  0.0000000E+00
  7.8507600E+01 -9.6390945E-04  2.6050783E-03  7.9672285E-05 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  3.3133507E-04  2.4426425E-03 -5.8530576E-05 -3.0047644E-02  0.0000000E+00
  7.8507600E+01  2.0408702E-03  2.2673385E-03 -4.6224303E-04 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  3.3074570E-03  2.2939892E-03 -1.3407069E-03 -2.8138508E-02  0.0000000E+00
  7.8507600E+01  2.8873487E-03  2.5317370E-03 -2.3197710E-03 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  2.2303803E-03  2.6044617E-03 -2.7822904E-03 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.3730207E-03  2.6381672E-03 -2.6419343E-03 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  3.5423425E-04  2.8673023E-03 -2.2453099E-03 -2.4647428E-02  0.0000000E+00
  7.8507600E+01 -3.9402713E-04  3.1737615E-03 -1.9928119E-03 -2.3852801E-02  0.0000000E+00
  7.8507600E+01 -6.3370997E-04  3.1046146E-03 -1.9145974E-03 -2.3080864E-02  0.0000000E+00
  7.8507600E+01 -7.1241877E-04  2.5496573E-03 -1.3832935E-03 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.9107986E-04  1.9444392E-03 -5.7338106E-04 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  4.3929468E-04  1.4523416E-03 -1.5263178E-04 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  5.3059900E-04  1.0871486E-03 -5.4694567E-05 -2.0168793E-02  0.0000000E+00
  7.8507600E+01  1.0409218E-03  8.3418528E-04 -4.4586543E-05 -1.9477334E-02  0.0000000E+00
  7.8507600E+01  1.7313091E-03  6.6963274E-04  1.1016525E-05 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  1.9271677E-03  5.7394562E-04  1.3153013E-04 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  1.3341152E-03  5.5084016E-04  2.8519993E-04 -1.7474148E-02  0.0000000E+00
  7.8507600E+01  6.3306698E-04  5.9632104E-04  4.2965925E-04 -1.6831692E-02  0.0000000E+00
  7.8507600E+01 -3.5549919E-04  6.0758191E-04  6.7354820E-04 -1.6203437E-02  0.0000000E+00
  7.8507600E+01 -5.8167973E-04  4.3787433E-04  1.0829362E-03 -1.5595707E-02  0.0000000E+00
  7.8507600E+01 -8.3617476E-04  1.8099964E-04  1.5232826E-03 -1.5009786E-02  0.0000000E+00
  7.8507600E+01 -1.3731119E-03 -3.8998432E-05  1.9009733E-03 -1.4446434E-02  0.0000000E+00
  7.8507600E+01 -1.6119790E-03 -1.8443512E-04  2.1922367E-03 -1.3909066E-02  0.0000000E+00
  7.8507600E+01 -1.3651882E-03 -2.9416035E-04  2.3570077E-03 -1.3396618E-02  0.0000000E+00
  7.8507600E+01 -1.3047484E-03 -4.1593771E-04  2.3053378E-03 -1.2907615E-02  0.0000000E+00
  7.8507600E+01 -7.0100377E-04 -5.6417410E-04  2.0594327E-03 -1.2438412E-02  0.0000000E+00
  7.8507600E+01 -5.5854553E-04 -6.9730007E-04  1.6892278E-03 -1.1986827E-02  0.0000000E+00
  7.8507600E+01 -4.0318378E-04 -8.1809786E-04  1.2718597E-03 -1.1549714E-02  0.0000000E+00
  7.8507600E+01 -3.1861662E-05 -8.8400932E-04  7.8283008E-04 -1.1125327E-02  0.0000000E+00
  7.8507600E+01  2.7054513E-04 -8.5353607E-04  2.6800454E-04 -1.0714640E-02  0.0000000E+00
  7.8507600E+01  3.1041736E-04 -7.3481843E-04 -1.6323175E-04 -1.0316112E-02  0.0000000E+00
  7.8507600E+01  1.4262850E-04 -5.9283283E-04 -4.2985489E-04 -9.9285214E-03  0.0000000E+00
  7.8507600E+01 -3.3742075E-06 -5.1159665E-04 -5.1985064E-04 -9.5532563E-03  0.0000000E+00
  7.8507600E+01  2.4436646E-04 -5.0636042E-04 -3.7583437E-04 -9.1893602E-03  0.0000000E+00
  7.8507600E+01  6.7197646E-05 -5.4285163E-04 -1.2074037E-04 -8.8362127E-03  0.0000000E+00
  7.8507600E+01  2.4816142E-04 -5.9587225E-04  1.6444894E-05 -8.4948570E-03  0.0000000E+00
  7.8507600E+01  3.8654676E-04 -6.1720656E-04  1.9014807E-05 -8.1637934E-03  0.0000000E+00
  7.8507600E+01  1.1193582E-04 -5.6323449E-04 -5.5009699E-05 -7.8416124E-03  0.0000000E+00
  7.8507600E+01 -1.1260888E-04 -4.2308883E-04 -1.7264001E-04 -7.5260094E-03  0.0000000E+00
  7.8507600E+01  5.5665652E-05 -2.2807778E-04 -3.2136668E-04 -7.2165007E-03  0.0000000E+00
  7.8507600E+01  2.3581254E-06 -3.9735585E-05 -4.6670192E-04 -6.9112545E-03  0.0000000E+00
  7.8507600E+01 -6.7033603E-04  7.6165691E-05 -5.3082427E-04 -6.6093084E-03  0.0000000E+00
  7.8507600E+01 -4.9709764E-05  9.4693986E-05 -4.4289275E-04 -6.3127650E-03  0.0000000E+00
  7.8507600E+01  2.8053057E-04  2.7014770E-05 -2.7398333E-04 -6.0223849E-03  0.0000000E+00
  7.8507600E+01  4.9246221E-04 -8.2543951E-05 -5.6732401E-05 -5.7392218E-03  0.0000000E+00
  7.8507600E+01  9.0294872E-04 -1.6786030E-04  1.9113381E-04 -5.4652731E-03  0.0000000E+00
  7.8507600E+01  1.0458147E-03 -1.9629842E-04  3.8967976E-04 -5.1998653E-03  0.0000000E+00
  7.8507600E+01  6.4736904E-04 -1.7232420E-04  4.4659580E-04 -4.9416270E-03  0.0000000E+00
  7.8507600E+01  5.2909479E-04 -1.1689581E-04  3.4691788E-04 -4.6876899E-03  0.0000000E+00
  7.8507600E+01  1.4924695E-03 -4.7896363E-05  1.8755546E-04 -4.4364169E-03  0.0000000E+00
  7.8507600E+01  1.5252691E-03  1.0399963E-05  7.4056000E-05 -4.1857184E-03  0.0000000E+00
  7.8507600E+01  1.2332985E-03  4.9756011E-05  6.6030368E-05 -3.9342871E-03  0.0000000E+00
  7.8507600E+01  9.2174460E-04  8.7527523E-05  9.4978315E-05 -3.6834694E-03  0.0000000E+00
  7.8507600E+01  7.4285886E-04  1.5037981E-04  1.1404410E-04 -3.4345100E-03  0.0000000E+00
  7.8507600E+01  5.2699580E-04  2.4401754E-04  1.3482603E-04 -3.1891542E-03  0.0000000E+00
  7.8507600E+01  3.7459825E-04  3.4462436E-04  1.8462731E-04 -2.9502336E-03  0.0000000E+00
  7.8507600E+01  3.5182839E-04  4.2149094E-04  2.5587902E-04 -2.7186796E-03  0.0000000E+00
  7.8507600E+01  1.7633125E-04  4.6254456E-04  2.8744579E-04 -2.4953575E-03  0.0000000E+00
  7.8507600E+01 -2.3784123E-04  4.8086218E-04  2.1809456E-04 -2.2799661E-03  0.0000000E+00
  7.8507600E+01 -5.5670855E-04  4.7959670E-04  9.6996572E-05 -2.0730143E-03  0.0000000E+00
  7.8507600E+01 -1.4494278E-04  4.5433539E-04  2.9449124E-06 -1.8739063E-03  0.0000000E+00
  7.8507600E+01 -5.7778914E-05  3.9973012E-04 -3.7635118E-05 -1.6823991E-03  0.0000000E+00
  7.8507600E+01 -3.0175180E-04  3.2382138E-04 -4.4410002E-05 -1.4990535E-03  0.0000000E+00
  7.8507600E+01  7.2804191E-08  5.2827671E-09  3.8194844E-08 -1.4789896E-01  0.0000000E+00
  7.8507600E+01 -1.0079099E-01  4.3302976E-03 -2.6958164E-02 -1.4364309E-01  0.0000000E+00
  7.8507600E+01 -4.9149170E-02  9.6574712E-03 -2.1664362E-01 -1.3512551E-01  0.0000000E+00
  7.8507600E+01  4.8583316E-02  9.9176234E-03 -2.0083498E-01 -1.2450815E-01  0.0000000E+00
  7.8507600E+01 -5.3790897E-04  4.7685195E-03 -1.0269602E-01 -1.1507912E-01  0.0000000E+00
  7.8507600E+01 -2.2874659E-02  3.3932083E-04 -6.0197841E-02 -1.0725832E-01  0.0000000E+00
  7.8507600E+01 -2.0723674E-02 -3.2325603E-03 -4.2297453E-02 -1.0065891E-01  0.0000000E+00
  7.8507600E+01 -1.8520011E-02 -6.3928736E-03 -3.2104930E-02 -9.5011091E-02  0.0000000E+00
  7.8507600E+01 -1.6837381E-02 -1.0299952E-02 -2.6251008E-02 -9.0120522E-02  0.0000000E+00
