          atime          uvcov          vwcov          wucov         pm1avg           tavg
  7.8507600E+01 -3.0160039E-14  0.0000000E+00  0.0000000E+00 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  1.5232730E-03  0.0000000E+00  0.0000000E+00 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  8.1173909E-04  0.0000000E+00  0.0000000E+00 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -1.0283253E-03  0.0000000E+00  0.0000000E+00 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -2.4710175E-03  0.0000000E+00  0.0000000E+00 -1.1106176E-01  0.0000000E+00
  7.8507600E+01 -3.6385498E-03  0.0000000E+00  0.0000000E+00 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -4.5742752E-03  0.0000000E+00  0.0000000E+00 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -5.3520156E-03  0.0000000E+00  0.0000000E+00 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -6.0807007E-03  0.0000000E+00  0.0000000E+00 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -6.7837720E-03  0.0000000E+00  0.0000000E+00 -8.0317141E-02  0.0000000E+00
  7.8507600E+01 -7.4440458E-03  0.0000000E+00  0.0000000E+00 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -8.0396230E-03  0.0000000E+00  0.0000000E+00 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -8.5473336E-03  0.0000000E+00  0.0000000E+00 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -8.9424900E-03  0.0000000E+00  0.0000000E+00 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -9.2318875E-03  0.0000000E+00  0.0000000E+00 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -9.4495469E-03  0.0000000E+00  0.0000000E+00 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -9.6308332E-03  0.0000000E+00  0.0000000E+00 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -9.8093344E-03  0.0000000E+00  0.0000000E+00 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -9.9883081E-03  0.0000000E+00  0.0000000E+00 -5.7294700E-02  0.0000000E+00
  7.8507600E+01 -1.0141044E-02  0.0000000E+00  0.0000000E+00 -5.5378073E-02  0.0000000E+00
  7.8507600E+01 -1.0233736E-02  0.0000000E+00  0.0000000E+00 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -1.0237486E-02  0.0000000E+00  0.0000000E+00 -5.1696233E-02  0.0000000E+00
  7.8507600E+01 -1.0149539E-02  0.0000000E+00  0.0000000E+00 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -9.9936716E-03  0.0000000E+00  0.0000000E+00 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -9.8130809E-03  0.0000000E+00  0.0000000E+00 -4.6523736E-02  0.0000000E+00
