          atime             vx             vy             vz             pr        garbage
  1.2200033E+02  5.1631286E-07 -9.6348156E-10  1.2688064E-07 -1.0871850E-01  0.0000000E+00
  1.2200033E+02  4.6626682E-01  6.0963931E-02  1.2916347E-01 -9.9982791E-02  0.0000000E+00
  1.2200033E+02  7.3865117E-01  1.0110065E-01  1.7319512E-01 -8.9889978E-02  0.0000000E+00
  1.2200033E+02  8.1408243E-01  7.5942522E-02  1.3388065E-01 -8.1529999E-02  0.0000000E+00
  1.2200033E+02  8.3478503E-01  5.1129826E-02  1.0471443E-01 -7.4535265E-02  0.0000000E+00
  1.2200033E+02  8.2573379E-01  2.4282443E-02  8.4386547E-02 -7.0644730E-02  0.0000000E+00
  1.2200033E+02  8.0255383E-01 -7.2528361E-03  6.3331104E-02 -6.8537940E-02  0.0000000E+00
  1.2200033E+02  7.7352627E-01 -3.9481796E-02  3.8210264E-02 -6.6011429E-02  0.0000000E+00
  1.2200033E+02  7.4593784E-01 -6.6914253E-02  1.0096355E-02 -6.1057789E-02  0.0000000E+00
  1.2200033E+02  7.2390108E-01 -8.7521029E-02 -1.7154407E-02 -5.3157689E-02  0.0000000E+00
  1.2200033E+02  7.1059752E-01 -1.0102469E-01 -3.8275078E-02 -4.2908633E-02  0.0000000E+00
  1.2200033E+02  7.0745762E-01 -1.0647900E-01 -5.0732309E-02 -3.1702276E-02  0.0000000E+00
  1.2200033E+02  7.1323367E-01 -1.0145514E-01 -5.3045860E-02 -2.1002085E-02  0.0000000E+00
  1.2200033E+02  7.2261627E-01 -8.4622768E-02 -4.2400724E-02 -1.2025371E-02  0.0000000E+00
  1.2200033E+02  7.2862031E-01 -5.9119892E-02 -1.6348853E-02 -5.5474438E-03  0.0000000E+00
  1.2200033E+02  7.2753314E-01 -3.2498528E-02  2.3152379E-02 -1.7480303E-03  0.0000000E+00
  1.2200033E+02  7.2321313E-01 -1.3420221E-02  6.7910889E-02 -1.8888724E-04  0.0000000E+00
  1.2200033E+02  7.2272381E-01 -6.2971799E-03  1.0854429E-01 -5.1502520E-05  0.0000000E+00
  1.2200033E+02  7.2824078E-01 -1.0364675E-02  1.3894400E-01 -8.5308133E-04  0.0000000E+00
  1.2200033E+02  7.4248289E-01 -2.1876948E-02  1.5569522E-01 -2.4112389E-03  0.0000000E+00
  1.2200033E+02  7.6848438E-01 -3.6164327E-02  1.5906083E-01 -4.3778139E-03  0.0000000E+00
  1.2200033E+02  8.0287673E-01 -4.8805621E-02  1.5470284E-01 -6.1585058E-03  0.0000000E+00
  1.2200033E+02  8.4007356E-01 -5.7188822E-02  1.4820937E-01 -7.4015520E-03  0.0000000E+00
  1.2200033E+02  8.7487468E-01 -6.1233789E-02  1.4316249E-01 -8.1840862E-03  0.0000000E+00
  1.2200033E+02  9.0494820E-01 -6.2159869E-02  1.4064094E-01 -8.5820991E-03  0.0000000E+00
  1.2200033E+02  9.3027469E-01 -6.0984779E-02  1.3984642E-01 -8.5797897E-03  0.0000000E+00
  1.2200033E+02  9.5091947E-01 -5.8338300E-02  1.3992488E-01 -8.2512128E-03  0.0000000E+00
  1.2200033E+02  9.6680749E-01 -5.5144442E-02  1.4060868E-01 -7.7543407E-03  0.0000000E+00
  1.2200033E+02  9.7823208E-01 -5.2419908E-02  1.4182099E-01 -7.2045728E-03  0.0000000E+00
  1.2200033E+02  9.8609516E-01 -5.0980119E-02  1.4348651E-01 -6.6687893E-03  0.0000000E+00
  1.2200033E+02  9.9169930E-01 -5.1342842E-02  1.4546824E-01 -6.1824378E-03  0.0000000E+00
  1.2200033E+02  9.9655863E-01 -5.3670951E-02  1.4751727E-01 -5.7513833E-03  0.0000000E+00
  1.2200033E+02  1.0019248E+00 -5.7835494E-02  1.4913469E-01 -5.3784038E-03  0.0000000E+00
  1.2200033E+02  1.0084472E+00 -6.3527795E-02  1.4952871E-01 -5.0768356E-03  0.0000000E+00
  1.2200033E+02  1.0163016E+00 -7.0427632E-02  1.4780226E-01 -4.8618363E-03  0.0000000E+00
  1.2200033E+02  1.0254278E+00 -7.8238481E-02  1.4344413E-01 -4.7477967E-03  0.0000000E+00
  1.2200033E+02  1.0355629E+00 -8.6711364E-02  1.3660453E-01 -4.7458801E-03  0.0000000E+00
  1.2200033E+02  1.0463941E+00 -9.5759591E-02  1.2792084E-01 -4.8570497E-03  0.0000000E+00
  1.2200033E+02  1.0575921E+00 -1.0535157E-01  1.1814398E-01 -5.0687312E-03  0.0000000E+00
  1.2200033E+02  1.0689247E+00 -1.1527983E-01  1.0771735E-01 -5.3507519E-03  0.0000000E+00
  1.2200033E+02  1.0805775E+00 -1.2514412E-01  9.6691620E-02 -5.6572601E-03  0.0000000E+00
  1.2200033E+02  1.0929044E+00 -1.3430597E-01  8.5051581E-02 -5.9237714E-03  0.0000000E+00
  1.2200033E+02  1.1062096E+00 -1.4203919E-01  7.2921176E-02 -6.0672361E-03  0.0000000E+00
  1.2200033E+02  1.1204853E+00 -1.4763754E-01  6.0604802E-02 -6.0042974E-03  0.0000000E+00
  1.2200033E+02  1.1355127E+00 -1.5063490E-01  4.8340959E-02 -5.6705042E-03  0.0000000E+00
  1.2200033E+02  1.1508335E+00 -1.5080815E-01  3.6272198E-02 -5.0267307E-03  0.0000000E+00
  1.2200033E+02  1.1657797E+00 -1.4818016E-01  2.4484407E-02 -4.0650504E-03  0.0000000E+00
  1.2200033E+02  1.1797698E+00 -1.4295570E-01  1.2949124E-02 -2.8023323E-03  0.0000000E+00
  1.2200033E+02  1.1923182E+00 -1.3545928E-01  1.6183855E-03 -1.2842592E-03  0.0000000E+00
  1.2200033E+02  1.2030396E+00 -1.2615473E-01 -9.4546347E-03  4.0737841E-04  0.0000000E+00
  1.2200033E+02  1.2118163E+00 -1.1550300E-01 -2.0235594E-02  2.1877760E-03  0.0000000E+00
  1.2200033E+02  1.2186919E+00 -1.0396120E-01 -3.0628477E-02  3.9736934E-03  0.0000000E+00
  1.2200033E+02  1.2238788E+00 -9.1905736E-02 -4.0534106E-02  5.7012018E-03  0.0000000E+00
  1.2200033E+02  1.2276781E+00 -7.9701925E-02 -4.9802814E-02  7.3174396E-03  0.0000000E+00
  1.2200033E+02  1.2304786E+00 -6.7571850E-02 -5.8367087E-02  8.7969595E-03  0.0000000E+00
  1.2200033E+02  1.2326633E+00 -5.5675812E-02 -6.6176564E-02  1.0130217E-02  0.0000000E+00
  1.2200033E+02  1.2345566E+00 -4.4193225E-02 -7.3158043E-02  1.1313958E-02  0.0000000E+00
  1.2200033E+02  1.2364101E+00 -3.3202497E-02 -7.9286820E-02  1.2361373E-02  0.0000000E+00
  1.2200033E+02  1.2383778E+00 -2.2760938E-02 -8.4522949E-02  1.3289354E-02  0.0000000E+00
  1.2200033E+02  1.2405064E+00 -1.2966656E-02 -8.8780367E-02  1.4110403E-02  0.0000000E+00
  1.2200033E+02  1.2427698E+00 -3.8449642E-03 -9.1985235E-02  1.4839492E-02  0.0000000E+00
  1.2200033E+02  1.2450786E+00  4.5691782E-03 -9.4041456E-02  1.5485537E-02  0.0000000E+00
  1.2200033E+02  1.2473170E+00  1.2263816E-02 -9.4855640E-02  1.6055004E-02  0.0000000E+00
  1.2200033E+02  1.2493517E+00  1.9191947E-02 -9.4354224E-02  1.6548659E-02  0.0000000E+00
  1.2200033E+02  1.2510803E+00  2.5358215E-02 -9.2506241E-02  1.6969459E-02  0.0000000E+00
  1.2200033E+02  1.2524384E+00  3.0769468E-02 -8.9329723E-02  1.7321554E-02  0.0000000E+00
  1.2200033E+02  1.2533992E+00  3.5414910E-02 -8.4922504E-02  1.7608179E-02  0.0000000E+00
  1.2200033E+02  1.2539858E+00  3.9329728E-02 -7.9421457E-02  1.7834106E-02  0.0000000E+00
  1.2200033E+02  1.2542551E+00  4.2558035E-02 -7.3002850E-02  1.8002248E-02  0.0000000E+00
  1.2200033E+02  1.2542931E+00  4.5137055E-02 -6.5914499E-02  1.8112578E-02  0.0000000E+00
  1.2200033E+02  1.2542091E+00  4.7125057E-02 -5.8386018E-02  1.8163635E-02  0.0000000E+00
  1.2200033E+02  1.2541264E+00  4.8568205E-02 -5.0652698E-02  1.8154387E-02  0.0000000E+00
  1.2200033E+02  1.2541779E+00  4.9496919E-02 -4.2995397E-02  1.8087723E-02  0.0000000E+00
  1.2200033E+02  1.2544939E+00  4.9959689E-02 -3.5632383E-02  1.7970352E-02  0.0000000E+00
  1.2200033E+02  1.2551805E+00  5.0013762E-02 -2.8745809E-02  1.7807852E-02  0.0000000E+00
