          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  7.8507600E+01 -8.9160427E-06  1.2660845E-04  1.3236836E-08 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -1.7382769E-01  3.5278151E-02  3.0635550E-03 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  7.6100685E-02 -9.7263480E-02 -3.3087331E-03 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  9.5245253E-02 -3.0052713E-02 -5.5490569E-03 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  9.4573757E-02  1.5394159E-03 -3.7743613E-03 -1.1106176E-01  0.0000000E+00
  7.8507600E+01  8.8312030E-02  1.4049499E-02 -4.2396209E-04 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  8.1600971E-02  1.5525888E-02  2.6565871E-03 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  7.1170948E-02  1.4453454E-02  2.8294391E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  6.0639696E-02  1.3999537E-02  2.9473052E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  5.3852844E-02  1.4662512E-02  3.4220619E-03 -8.0317141E-02  0.0000000E+00
  7.8507600E+01  4.8376198E-02  1.5210162E-02  4.4158155E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  4.3551741E-02  1.5220589E-02  5.0802018E-03 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  3.9483353E-02  1.3936023E-02  5.2384074E-03 -7.0759602E-02  0.0000000E+00
  7.8507600E+01  3.5771535E-02  1.0850202E-02  6.0627915E-03 -6.8142782E-02  0.0000000E+00
  7.8507600E+01  3.2595418E-02  6.7788299E-03  7.1161381E-03 -6.5718719E-02  0.0000000E+00
  7.8507600E+01  2.9942704E-02  3.2911363E-03  6.7095593E-03 -6.3448271E-02  0.0000000E+00
  7.8507600E+01  2.7529775E-02  1.1502762E-03  4.5973357E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  2.4924997E-02  2.2190353E-04  1.5918737E-03 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  2.1937698E-02 -8.2455505E-04 -8.2732245E-04 -5.7294700E-02  0.0000000E+00
  7.8507600E+01  1.8694079E-02 -3.2153326E-03 -1.5229869E-03 -5.5378073E-02  0.0000000E+00
  7.8507600E+01  1.5274539E-02 -5.7800888E-03 -1.1492135E-03 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  1.2126506E-02 -7.2269550E-03 -1.6977496E-04 -5.1696233E-02  0.0000000E+00
  7.8507600E+01  9.7263107E-03 -8.4300599E-03  1.2624276E-03 -4.9920196E-02  0.0000000E+00
