          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  7.8507600E+01  8.0279151E-11  7.5870390E-13  2.3820474E-15 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  3.5892199E-01  1.2958685E-02 -1.4068659E-03 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  1.6826538E-01 -9.7965726E-04 -9.8454875E-03 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -5.4433727E-03 -3.6879500E-03 -1.5069295E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -4.7568678E-02  1.2092219E-03 -1.4215775E-02 -1.1106176E-01  0.0000000E+00
  7.8507600E+01 -5.4947079E-02  5.6146252E-03 -1.2449998E-02 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -5.0096389E-02  7.8641464E-03 -1.0726123E-02 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -4.4427192E-02  9.2981152E-03 -8.8419647E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -3.7934317E-02  1.0226502E-02 -7.3972276E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -3.1685419E-02  1.0646172E-02 -6.5044559E-03 -8.0317141E-02  0.0000000E+00
  7.8507600E+01 -2.6667719E-02  1.0990972E-02 -6.0278302E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -2.2944489E-02  1.1288517E-02 -5.7174157E-03 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -1.9967561E-02  1.1327257E-02 -5.4414558E-03 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -1.6801301E-02  1.1017272E-02 -5.1129433E-03 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -1.2622935E-02  1.0204608E-02 -4.5025871E-03 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -7.2038114E-03  8.6960385E-03 -3.3605309E-03 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -1.8063728E-03  6.8134162E-03 -1.8691651E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  2.3640175E-03  5.0379170E-03 -4.3991015E-04 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  5.2553371E-03  3.6288896E-03  5.2559681E-04 -5.7294700E-02  0.0000000E+00
  7.8507600E+01  7.3787191E-03  2.6584120E-03  8.7866000E-04 -5.5378073E-02  0.0000000E+00
  7.8507600E+01  9.7829489E-03  1.9796826E-03  7.7891504E-04 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  1.2495683E-02  1.6154494E-03  3.2949064E-04 -5.1696233E-02  0.0000000E+00
  7.8507600E+01  1.4591747E-02  1.6907115E-03 -5.0599502E-04 -4.9920196E-02  0.0000000E+00
  7.8507600E+01  1.5312721E-02  2.0438467E-03 -1.4168873E-03 -4.8195321E-02  0.0000000E+00
  7.8507600E+01  1.4909488E-02  2.3639487E-03 -2.0033069E-03 -4.6523736E-02  0.0000000E+00
  7.8507600E+01  1.4731733E-02  2.3662868E-03 -2.1603806E-03 -4.4911274E-02  0.0000000E+00
  7.8507600E+01  1.5394455E-02  1.9509044E-03 -1.9063747E-03 -4.3369966E-02  0.0000000E+00
  7.8507600E+01  1.5672668E-02  1.4464510E-03 -1.4299155E-03 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  1.5249468E-02  1.1617474E-03 -1.0689113E-03 -4.0480696E-02  0.0000000E+00
  7.8507600E+01  1.4184701E-02  1.0592320E-03 -8.1322370E-04 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  1.2740765E-02  9.8438489E-04 -5.5075341E-04 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  1.1390621E-02  8.7992244E-04 -3.1258400E-04 -3.6546435E-02  0.0000000E+00
  7.8507600E+01  1.0632291E-02  8.1883121E-04 -2.4451792E-04 -3.5340116E-02  0.0000000E+00
  7.8507600E+01  1.0303355E-02  7.8635162E-04 -2.6740933E-04 -3.4194527E-02  0.0000000E+00
  7.8507600E+01  1.0318195E-02  7.0460522E-04 -2.5395826E-04 -3.3102329E-02  0.0000000E+00
  7.8507600E+01  1.0495868E-02  5.6461216E-04 -1.4691004E-04 -3.2052309E-02  0.0000000E+00
  7.8507600E+01  1.0782939E-02  3.6637353E-04  4.6831704E-05 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  1.1264194E-02  1.1650933E-04  2.6683821E-04 -3.0047644E-02  0.0000000E+00
  7.8507600E+01  1.1956254E-02 -1.3045843E-04  4.3893412E-04 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  1.2575319E-02 -2.6230720E-04  5.2341697E-04 -2.8138508E-02  0.0000000E+00
  7.8507600E+01  1.2898719E-02 -2.0329756E-04  4.6929473E-04 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  1.3073180E-02 -9.0690228E-06  2.9221098E-04 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.3190030E-02  2.8524202E-04 -1.1624018E-05 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  1.3220260E-02  6.3351377E-04 -4.0470226E-04 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  1.3089283E-02  9.2469120E-04 -7.5133433E-04 -2.3852801E-02  0.0000000E+00
  7.8507600E+01  1.2776838E-02  1.0030060E-03 -8.5341528E-04 -2.3080864E-02  0.0000000E+00
  7.8507600E+01  1.2420997E-02  8.1754431E-04 -6.5207444E-04 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.2145415E-02  5.2291257E-04 -3.3851900E-04 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  1.1872026E-02  2.1665527E-04  2.7608911E-06 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  1.1585590E-02 -3.6173501E-05  3.0817128E-04 -2.0168793E-02  0.0000000E+00
  7.8507600E+01  1.1328840E-02 -2.1096867E-04  5.2946442E-04 -1.9477334E-02  0.0000000E+00
  7.8507600E+01  1.1115392E-02 -3.1418604E-04  6.5318109E-04 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  1.0888091E-02 -3.7391597E-04  7.0721072E-04 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  1.0541938E-02 -4.1413584E-04  7.3749684E-04 -1.7474148E-02  0.0000000E+00
