          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  7.8507600E+01 -5.5821844E-07 -2.5854481E-08  2.8025889E-08 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  3.3191253E-02  3.8683720E-03 -5.3656898E-03 -1.5595039E-01  0.0000000E+00
  7.8507600E+01 -2.4221449E-02  9.7964493E-03 -5.7775424E-02 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -1.0824117E-02 -3.3785662E-03 -1.2470941E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -2.0923993E-02 -1.3465703E-02  1.2796530E-02 -1.1106176E-01  0.0000000E+00
  7.8507600E+01 -2.0242101E-02 -1.3492026E-02  1.2882138E-02 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -1.1293837E-02 -1.3388888E-02  1.0106924E-02 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -8.8760126E-03 -1.6581840E-02  7.6655373E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -6.8067090E-03 -2.1615394E-02  3.1459290E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -3.8783266E-03 -2.6189671E-02 -1.7380885E-03 -8.0317141E-02  0.0000000E+00
  7.8507600E+01 -5.6537543E-03 -2.9445779E-02 -7.4272449E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -9.2406708E-03 -3.1378907E-02 -1.1234661E-02 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -1.1650794E-02 -3.1281416E-02 -1.1277445E-02 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -1.3759373E-02 -2.8768808E-02 -9.6421300E-03 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -1.5068537E-02 -2.4777417E-02 -8.6661856E-03 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -1.6763672E-02 -2.0291456E-02 -8.3895888E-03 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -1.8935300E-02 -1.5314413E-02 -7.5088958E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -1.9080618E-02 -1.0574589E-02 -5.7792469E-03 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -1.7658490E-02 -6.5625279E-03 -5.1496306E-03 -5.7294700E-02  0.0000000E+00
  7.8507600E+01 -1.5187067E-02 -2.5817899E-03 -5.5066577E-03 -5.5378073E-02  0.0000000E+00
  7.8507600E+01 -1.1828937E-02  1.3826676E-03 -5.4186736E-03 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -8.6521582E-03  5.0613443E-03 -4.1253302E-03 -5.1696233E-02  0.0000000E+00
  7.8507600E+01 -7.3714015E-03  8.0740357E-03 -2.0018974E-03 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -7.2954882E-03  9.6140276E-03  3.0206650E-05 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -5.9033814E-03  9.3733928E-03  2.1071103E-03 -4.6523736E-02  0.0000000E+00
  7.8507600E+01 -3.2973166E-03  7.8832665E-03  5.0136832E-03 -4.4911274E-02  0.0000000E+00
  7.8507600E+01 -2.0767934E-03  6.0329158E-03  8.0128386E-03 -4.3369966E-02  0.0000000E+00
  7.8507600E+01 -1.1529047E-03  4.6849851E-03  9.2390354E-03 -4.1894826E-02  0.0000000E+00
