          atime           conv           prod        pres_tr        pres_df        garbage
  7.8507600E+01  4.6247357E-07  4.0515408E-11 -3.5623265E-08  5.8846204E-05  6.1442166E-05
  7.8507600E+01 -6.0844763E-02  1.8593139E-01 -3.6545044E-02 -6.9274772E-02 -3.2190730E-02
  7.8507600E+01  5.7453794E-02  8.3644711E-02  2.2477965E-02 -1.0581398E-02 -3.4109952E-02
  7.8507600E+01  1.3881218E-02 -4.5691377E-03  5.5148917E-02  3.2596270E-02 -2.2131788E-02
  7.8507600E+01 -3.8461395E-03 -2.3199643E-02  6.0139750E-02  4.8056586E-02 -1.1985205E-02
  7.8507600E+01 -9.6042062E-03 -2.4696042E-02  5.6148336E-02  5.1180765E-02 -4.9481872E-03
  7.8507600E+01 -1.3541498E-02 -2.1155283E-02  4.9701965E-02  4.8563429E-02 -1.0713264E-03
  7.8507600E+01 -1.1771581E-02 -1.7607264E-02  4.1893013E-02  4.2812201E-02  9.1656458E-04
  7.8507600E+01 -1.3630997E-02 -1.3885613E-02  3.5527666E-02  3.7319616E-02  1.7704089E-03
  7.8507600E+01 -1.6590889E-02 -1.0545210E-02  3.1810243E-02  3.4257678E-02  2.4590408E-03
  7.8507600E+01 -1.8824936E-02 -7.8631586E-03  2.8803221E-02  3.1793180E-02  2.9893862E-03
  7.8507600E+01 -2.1165418E-02 -5.8465730E-03  2.6056798E-02  2.9386165E-02  3.3328436E-03
  7.8507600E+01 -2.2962557E-02 -4.3166207E-03  2.3445053E-02  2.6709688E-02  3.2699509E-03
  7.8507600E+01 -2.3748707E-02 -2.8552015E-03  2.0651260E-02  2.3310869E-02  2.6706793E-03
  7.8507600E+01 -2.3348471E-02 -1.1440278E-03  1.7657743E-02  1.9687124E-02  2.0351433E-03
  7.8507600E+01 -2.1974297E-02  8.2639292E-04  1.4685540E-02  1.6616920E-02  1.9282325E-03
  7.8507600E+01 -2.0307754E-02  2.5904031E-03  1.2041105E-02  1.4340026E-02  2.2990624E-03
  7.8507600E+01 -1.8244117E-02  3.7852142E-03  9.7429243E-03  1.2573450E-02  2.8272684E-03
  7.8507600E+01 -1.5899001E-02  4.5141240E-03  7.3995741E-03  1.0556572E-02  3.1622327E-03
  7.8507600E+01 -1.3739072E-02  5.0724757E-03  4.6072962E-03  7.7393734E-03  3.1316993E-03
  7.8507600E+01 -1.1687690E-02  5.9126767E-03  1.5996626E-03  4.7472253E-03  3.1566709E-03
  7.8507600E+01 -9.9572892E-03  7.0614356E-03 -9.2884828E-04  2.4497754E-03  3.3674692E-03
  7.8507600E+01 -8.7283091E-03  8.1213969E-03 -2.7260079E-03  6.4812539E-04  3.3721898E-03
  7.8507600E+01 -8.0308510E-03  8.6385245E-03 -3.6982984E-03 -4.3005050E-04  3.2577106E-03
  7.8507600E+01 -7.2548909E-03  8.5865239E-03 -3.9347543E-03 -5.4695265E-04  3.3874262E-03
  7.8507600E+01 -5.7840348E-03  8.4962640E-03 -3.5377123E-03  1.7193732E-04  3.7013648E-03
  7.8507600E+01 -3.8246268E-03  8.6190106E-03 -2.6745059E-03  1.3493658E-03  4.0181264E-03
  7.8507600E+01 -2.3648451E-03  8.5108684E-03 -1.7823107E-03  2.3204679E-03  4.0986517E-03
  7.8507600E+01 -1.6706470E-03  8.1690464E-03 -1.2824896E-03  2.4726338E-03  3.7509905E-03
  7.8507600E+01 -1.9493633E-03  7.5975271E-03 -1.1619820E-03  2.0796789E-03  3.2377543E-03
  7.8507600E+01 -2.5130582E-03  6.8467942E-03 -1.1490509E-03  1.7313379E-03  2.8763563E-03
  7.8507600E+01 -2.6607806E-03  6.1250176E-03 -9.3385158E-04  1.8261386E-03  2.7594390E-03
  7.8507600E+01 -2.3277556E-03  5.7163550E-03 -5.9339504E-04  2.1949794E-03  2.7948118E-03
  7.8507600E+01 -1.3812845E-03  5.5329683E-03 -4.8657273E-04  2.5013629E-03  2.9848116E-03
  7.8507600E+01 -1.4007615E-04  5.4970669E-03 -7.2585489E-04  2.4684216E-03  3.1876094E-03
  7.8507600E+01  6.6458186E-04  5.5150661E-03 -1.2768244E-03  2.0807670E-03  3.3509917E-03
  7.8507600E+01  1.1856549E-03  5.5607984E-03 -1.9713997E-03  1.4917636E-03  3.4564570E-03
  7.8507600E+01  1.8759206E-03  5.6809384E-03 -2.6032582E-03  8.0259424E-04  3.4054887E-03
  7.8507600E+01  2.7220277E-03  5.9109040E-03 -3.0816177E-03 -5.8090605E-07  3.0780792E-03
  7.8507600E+01  3.3802262E-03  6.1603141E-03 -3.4319475E-03 -8.0064246E-04  2.6332836E-03
  7.8507600E+01  3.2236949E-03  6.3543132E-03 -3.6396540E-03 -1.3822599E-03  2.2490324E-03
  7.8507600E+01  2.8071409E-03  6.5372315E-03 -3.6659035E-03 -1.7218921E-03  1.9419230E-03
  7.8507600E+01  2.2153052E-03  6.7345124E-03 -3.5670785E-03 -1.8479074E-03  1.7203502E-03
  7.8507600E+01  1.6067618E-03  6.9105595E-03 -3.3981964E-03 -1.7148344E-03  1.6785458E-03
  7.8507600E+01  1.2056488E-03  6.9783132E-03 -3.2200667E-03 -1.3737374E-03  1.8422142E-03
  7.8507600E+01  9.9961495E-04  6.8550677E-03 -3.0789960E-03 -1.0239915E-03  2.0557812E-03
  7.8507600E+01  7.8703108E-04  6.5861906E-03 -2.9458888E-03 -7.4655077E-04  2.1975941E-03
  7.8507600E+01  1.1027651E-03  6.3079978E-03 -2.7536136E-03 -4.1886153E-04  2.3291431E-03
  7.8507600E+01  1.1570767E-03  6.0253268E-03 -2.5727846E-03 -1.3648377E-04  2.4365987E-03
  7.8507600E+01  1.1649155E-03  5.7601520E-03 -2.5496346E-03 -1.2755453E-04  2.4225878E-03
  7.8507600E+01  1.3815306E-03  5.5449910E-03 -2.6922084E-03 -4.1900166E-04  2.2621577E-03
  7.8507600E+01  1.6746985E-03  5.3836653E-03 -2.8813705E-03 -8.3073039E-04  2.0394603E-03
  7.8507600E+01  1.7208746E-03  5.2347844E-03 -2.9834548E-03 -1.1138992E-03  1.8683029E-03
  7.8507600E+01  1.4049619E-03  5.0355894E-03 -2.9439775E-03 -1.1428527E-03  1.7919822E-03
  7.8507600E+01  1.0764628E-03  4.7681286E-03 -2.7855841E-03 -1.0038873E-03  1.7828160E-03
  7.8507600E+01  6.1281106E-04  4.4563569E-03 -2.5393758E-03 -7.0247844E-04  1.8340880E-03
  7.8507600E+01  4.7783866E-04  4.1428823E-03 -2.2987443E-03 -3.3314575E-04  1.9619094E-03
  7.8507600E+01  3.0065966E-04  3.8628932E-03 -2.1076775E-03  3.9841428E-05  2.1439288E-03
  7.8507600E+01 -2.0651977E-05  3.6400092E-03 -1.9593282E-03  3.7439640E-04  2.3301613E-03
  7.8507600E+01 -2.0344924E-04  3.4806826E-03 -1.8413721E-03  6.3242661E-04  2.4716789E-03
  7.8507600E+01 -1.7393939E-04  3.3669691E-03 -1.7636418E-03  7.7564695E-04  2.5387095E-03
  7.8507600E+01 -2.6852529E-04  3.2658997E-03 -1.7576215E-03  7.6667522E-04  2.5215628E-03
  7.8507600E+01 -1.0511179E-04  3.1593081E-03 -1.8427858E-03  5.8458109E-04  2.4269430E-03
  7.8507600E+01 -1.5836133E-04  3.0378455E-03 -1.9446348E-03  3.3785352E-04  2.2785750E-03
  7.8507600E+01 -1.9119065E-04  2.9228548E-03 -2.0085410E-03  7.6288873E-05  2.0830719E-03
  7.8507600E+01 -8.8482286E-05  2.8292840E-03 -2.0024684E-03 -1.5565873E-04  1.8456318E-03
  7.8507600E+01  2.0615955E-05  2.7558692E-03 -1.9050260E-03 -3.1417345E-04  1.5868489E-03
  7.8507600E+01  3.4590869E-05  2.6868520E-03 -1.7150260E-03 -3.7715115E-04  1.3339892E-03
  7.8507600E+01 -4.2884424E-05  2.5982010E-03 -1.4555033E-03 -3.4779682E-04  1.1076030E-03
  7.8507600E+01 -1.2515882E-04  2.4700791E-03 -1.1736973E-03 -2.5696486E-04  9.1503251E-04
  7.8507600E+01 -2.8129650E-05  2.3088243E-03 -9.2772074E-04 -1.6567328E-04  7.6003877E-04
  7.8507600E+01 -1.5005673E-04  2.1484687E-03 -7.5530312E-04 -1.1143552E-04  6.4314333E-04
  7.8507600E+01 -9.6133412E-05  2.0062073E-03 -6.8112830E-04 -1.6018268E-04  5.1953370E-04
  7.8507600E+01 -4.5577866E-05  1.8841860E-03 -6.9243484E-04 -2.8887427E-04  4.0124338E-04
  7.8507600E+01 -1.6102620E-04  1.7787387E-03 -7.6093483E-04 -4.3498337E-04  3.2391738E-04
  7.8507600E+01 -2.0509553E-04  1.6857104E-03 -8.5668355E-04 -5.5046485E-04  3.0432120E-04
  7.8507600E+01 -2.4270630E-05  1.6008938E-03 -9.4436716E-04 -6.1160105E-04  3.2993940E-04
  7.8507600E+01  3.9226609E-05  1.5187748E-03 -9.8324852E-04 -6.0886415E-04  3.7162621E-04
  7.8507600E+01 -2.4810250E-04  1.4389735E-03 -9.4545228E-04 -5.3328045E-04  4.1133946E-04
