          atime        pres_st        turb_df           diss        visc_df        garbage
  7.8507600E+01  6.1442166E-05 -2.7802352E-07 -3.3938581E-01  3.3968893E-01  4.0520119E-11
  7.8507600E+01 -3.2190730E-02  1.5846967E-02 -1.5420651E-01 -1.0959921E-01  1.8523690E-01
  7.8507600E+01 -3.4109952E-02 -3.6100212E-02 -4.9598996E-02 -7.6847004E-02  7.8720117E-02
  7.8507600E+01 -2.2131788E-02 -1.3336812E-02 -3.7490562E-02 -6.3148095E-03 -1.2100309E-02
  7.8507600E+01 -1.1985205E-02 -1.0796583E-02 -3.1688093E-02  2.6827751E-04 -3.0287615E-02
  7.8507600E+01 -4.9481872E-03 -1.0425995E-02 -2.7222524E-02  1.5824876E-04 -3.0891226E-02
  7.8507600E+01 -1.0713264E-03 -7.2879003E-03 -2.4393990E-02  8.9294946E-04 -2.6479183E-02
  7.8507600E+01  9.1656458E-04 -8.8961575E-03 -2.2409764E-02  1.5873385E-03 -2.1985521E-02
  7.8507600E+01  1.7704089E-03 -1.2638087E-02 -2.0834176E-02  1.4076601E-03 -1.7552521E-02
  7.8507600E+01  2.4590408E-03 -1.5903043E-02 -1.9756083E-02  1.6142219E-03 -1.3771852E-02
  7.8507600E+01  2.9893862E-03 -2.1263389E-02 -1.8866348E-02  1.9232714E-03 -1.0852288E-02
  7.8507600E+01  3.3328436E-03 -2.5927120E-02 -1.7887738E-02  8.2585267E-04 -8.6866939E-03
  7.8507600E+01  3.2699509E-03 -2.7104827E-02 -1.7091585E-02 -8.0228344E-05 -7.0408796E-03
  7.8507600E+01  2.6706793E-03 -2.6085155E-02 -1.6466783E-02 -3.7294920E-04 -5.4484861E-03
  7.8507600E+01  2.0351433E-03 -2.4256070E-02 -1.6026433E-02 -3.7528007E-04 -3.4604569E-03
  7.8507600E+01  1.9282325E-03 -2.2722358E-02 -1.5807138E-02  3.6700314E-05 -9.3415188E-04
  7.8507600E+01  2.2990624E-03 -2.0879304E-02 -1.5435535E-02 -7.6978150E-05  1.5689392E-03
  7.8507600E+01  2.8272684E-03 -1.7717227E-02 -1.4920169E-02 -2.1894539E-04  3.4810122E-03
  7.8507600E+01  3.1622327E-03 -1.4685324E-02 -1.4380258E-02  1.2100593E-04  4.7049118E-03
  7.8507600E+01  3.1316993E-03 -1.1637757E-02 -1.3656164E-02  1.7721782E-04  5.4578956E-03
  7.8507600E+01  3.1566709E-03 -7.9324715E-03 -1.3039138E-02  7.8250982E-05  6.2707732E-03
  7.8507600E+01  3.3674692E-03 -3.8580720E-03 -1.2685462E-02 -7.4755429E-05  7.2203118E-03
  7.8507600E+01  3.3721898E-03 -6.4963159E-04 -1.2461535E-02  5.6778981E-05  7.8882318E-03
  7.8507600E+01  3.2577106E-03  1.1743731E-03 -1.2052104E-02  3.0205679E-05  7.9698400E-03
  7.8507600E+01  3.3874262E-03  2.7885609E-03 -1.1418275E-02 -5.9764509E-04  7.6350650E-03
  7.8507600E+01  3.7013648E-03  4.7998165E-03 -1.0983242E-02 -1.0974879E-03  7.4688195E-03
  7.8507600E+01  4.0181264E-03  5.9844805E-03 -1.0834130E-02 -5.2141133E-04  7.7194925E-03
  7.8507600E+01  4.0986517E-03  6.3855579E-03 -1.0581314E-02 -1.0457822E-04  7.8446020E-03
  7.8507600E+01  3.7509905E-03  5.4960729E-03 -1.0302536E-02  2.6705404E-04  7.6711522E-03
  7.8507600E+01  3.2377543E-03  3.8539244E-03 -9.9304805E-03  4.2526708E-04  7.2153546E-03
  7.8507600E+01  2.8763563E-03  3.2035931E-03 -9.5011066E-03  2.5476775E-04  6.5871981E-03
  7.8507600E+01  2.7594390E-03  3.8882381E-03 -9.0812792E-03  9.4681936E-06  5.9789799E-03
  7.8507600E+01  2.7948118E-03  3.8177704E-03 -8.6145842E-03  2.3740440E-05  5.6033022E-03
  7.8507600E+01  2.9848116E-03  3.6018077E-03 -8.1516466E-03  2.8434584E-05  5.4111488E-03
  7.8507600E+01  3.1876094E-03  4.0735888E-03 -7.7962074E-03  1.2889741E-05  5.3844209E-03
  7.8507600E+01  3.3509917E-03  5.1007246E-03 -7.5424496E-03  5.8124937E-06  5.4567852E-03
  7.8507600E+01  3.4564570E-03  6.0809892E-03 -7.3080828E-03 -5.5569304E-05  5.5980721E-03
  7.8507600E+01  3.4054887E-03  6.5713326E-03 -7.0737794E-03 -1.5066570E-04  5.8237709E-03
  7.8507600E+01  3.0780792E-03  6.9574193E-03 -6.8682547E-03 -3.9012207E-05  6.1323647E-03
  7.8507600E+01  2.6332836E-03  6.8321004E-03 -6.6525753E-03  2.2997774E-04  6.4182144E-03
  7.8507600E+01  2.2490324E-03  5.6602780E-03 -6.4096488E-03  2.5523066E-04  6.5823581E-03
  7.8507600E+01  1.9419230E-03  4.5074773E-03 -6.2146438E-03  1.4075610E-04  6.6781609E-03
  7.8507600E+01  1.7203502E-03  3.7643991E-03 -6.0135381E-03 -7.5488600E-05  6.7318238E-03
  7.8507600E+01  1.6785458E-03  3.2489769E-03 -5.8200873E-03 -2.1843474E-04  6.7245356E-03
  7.8507600E+01  1.8422142E-03  2.8755014E-03 -5.6782513E-03 -1.6729101E-04  6.6313199E-03
  7.8507600E+01  2.0557812E-03  2.8387831E-03 -5.5396855E-03 -3.5374699E-05  6.4632142E-03
  7.8507600E+01  2.1975941E-03  2.6934291E-03 -5.3627141E-03 -1.1290457E-04  6.2932336E-03
  7.8507600E+01  2.3291431E-03  3.3592056E-03 -5.2344891E-03 -7.3058392E-05  6.1649042E-03
  7.8507600E+01  2.4365987E-03  3.2170260E-03 -5.1032636E-03  2.0857785E-06  6.0457210E-03
  7.8507600E+01  2.4225878E-03  2.8739440E-03 -4.9750649E-03  2.4443593E-05  5.9287939E-03
  7.8507600E+01  2.2621577E-03  2.9947487E-03 -4.8551836E-03  1.6096158E-05  5.8236680E-03
  7.8507600E+01  2.0394603E-03  3.3726262E-03 -4.7455432E-03  3.0751778E-05  5.7271934E-03
  7.8507600E+01  1.8683029E-03  3.5300444E-03 -4.6413977E-03  9.2734218E-05  5.6106930E-03
  7.8507600E+01  1.7919822E-03  3.3185079E-03 -4.5204906E-03  1.9444172E-04  5.4326497E-03
  7.8507600E+01  1.7828160E-03  2.8246335E-03 -4.3629922E-03  3.0136866E-04  5.1852188E-03
  7.8507600E+01  1.8340880E-03  2.4094404E-03 -4.1781642E-03  3.3906383E-04  4.9080123E-03
