          atime            tkk            imk        garbage        garbage        garbage
  7.8507600E+01 -1.1347564E-13  0.0000000E+00  6.1442166E-05  4.0520119E-11  5.8852822E-05
  7.8507600E+01  1.7678425E-02  0.0000000E+00 -3.2190730E-02  1.8523690E-01 -6.7742994E-02
  7.8507600E+01  3.0643189E-02  0.0000000E+00 -3.4109952E-02  7.8720117E-02 -1.2235764E-02
  7.8507600E+01  3.2129144E-02  0.0000000E+00 -2.2131788E-02 -1.2100309E-02  2.9821742E-02
  7.8507600E+01  3.2187150E-02  0.0000000E+00 -1.1985205E-02 -3.0287615E-02  4.6169406E-02
  7.8507600E+01  3.2218895E-02  0.0000000E+00 -4.9481872E-03 -3.0891226E-02  5.0968784E-02
  7.8507600E+01  3.2237481E-02  0.0000000E+00 -1.0713264E-03 -2.6479183E-02  4.9891723E-02
  7.8507600E+01  3.2246599E-02  0.0000000E+00  9.1656458E-04 -2.1985521E-02  4.4226920E-02
  7.8507600E+01  3.2311847E-02  0.0000000E+00  1.7704089E-03 -1.7552521E-02  3.8793269E-02
  7.8507600E+01  3.2435775E-02  0.0000000E+00  2.4590408E-03 -1.3771852E-02  3.5968709E-02
  7.8507600E+01  3.2625347E-02  0.0000000E+00  2.9893862E-03 -1.0852288E-02  3.4001087E-02
  7.8507600E+01  3.2904054E-02  0.0000000E+00  3.3328436E-03 -8.6866939E-03  3.1926265E-02
  7.8507600E+01  3.3205253E-02  0.0000000E+00  3.2699509E-03 -7.0408796E-03  2.9328891E-02
  7.8507600E+01  3.3455063E-02  0.0000000E+00  2.6706793E-03 -5.4484861E-03  2.6342264E-02
  7.8507600E+01  3.3615749E-02  0.0000000E+00  2.0351433E-03 -3.4604569E-03  2.3245193E-02
  7.8507600E+01  3.3679567E-02  0.0000000E+00  1.9282325E-03 -9.3415188E-04  1.9971700E-02
  7.8507600E+01  3.3680840E-02  0.0000000E+00  2.2990624E-03  1.5689392E-03  1.6638694E-02
  7.8507600E+01  3.3620450E-02  0.0000000E+00  2.8272684E-03  3.4810122E-03  1.3369387E-02
  7.8507600E+01  3.3487609E-02  0.0000000E+00  3.1622327E-03  4.7049118E-03  1.0142910E-02
  7.8507600E+01  3.3296059E-02  0.0000000E+00  3.1316993E-03  5.4578956E-03  6.9778800E-03
  7.8507600E+01  3.3032747E-02  0.0000000E+00  3.1566709E-03  6.2707732E-03  4.1726185E-03
  7.8507600E+01  3.2676228E-02  0.0000000E+00  3.3674692E-03  7.2203118E-03  2.3648879E-03
  7.8507600E+01  3.2236943E-02  0.0000000E+00  3.3721898E-03  7.8882318E-03  1.2793392E-03
  7.8507600E+01  3.1769849E-02  0.0000000E+00  3.2577106E-03  7.9698400E-03  5.6940614E-04
  7.8507600E+01  3.1303966E-02  0.0000000E+00  3.3874262E-03  7.6350650E-03  1.3045739E-04
  7.8507600E+01  3.0796515E-02  0.0000000E+00  3.7013648E-03  7.4688195E-03  2.0367963E-04
  7.8507600E+01  3.0220986E-02  0.0000000E+00  4.0181264E-03  7.7194925E-03  7.9494958E-04
  7.8507600E+01  2.9624379E-02  0.0000000E+00  4.0986517E-03  7.8446020E-03  1.5974598E-03
  7.8507600E+01  2.9043954E-02  0.0000000E+00  3.7509905E-03  7.6711522E-03  2.1239026E-03
  7.8507600E+01  2.8503073E-02  0.0000000E+00  3.2377543E-03  7.2153546E-03  2.2992496E-03
  7.8507600E+01  2.8002998E-02  0.0000000E+00  2.8763563E-03  6.5871981E-03  2.4099169E-03
  7.8507600E+01  2.7519863E-02  0.0000000E+00  2.7594390E-03  5.9789799E-03  2.6434647E-03
  7.8507600E+01  2.7038656E-02  0.0000000E+00  2.7948118E-03  5.6033022E-03  2.6442346E-03
  7.8507600E+01  2.6568451E-02  0.0000000E+00  2.9848116E-03  5.4111488E-03  2.3158232E-03
  7.8507600E+01  2.6109202E-02  0.0000000E+00  3.1876094E-03  5.3844209E-03  1.8105785E-03
  7.8507600E+01  2.5660100E-02  0.0000000E+00  3.3509917E-03  5.4567852E-03  1.1929425E-03
  7.8507600E+01  2.5227138E-02  0.0000000E+00  3.4564570E-03  5.5980721E-03  5.3879180E-04
  7.8507600E+01  2.4805063E-02  0.0000000E+00  3.4054887E-03  5.8237709E-03 -3.2623626E-05
  7.8507600E+01  2.4379343E-02  0.0000000E+00  3.0780792E-03  6.1323647E-03 -4.5036953E-04
  7.8507600E+01  2.3962084E-02  0.0000000E+00  2.6332836E-03  6.4182144E-03 -7.6624455E-04
  7.8507600E+01  2.3574923E-02  0.0000000E+00  2.2490324E-03  6.5823581E-03 -8.8331360E-04
  7.8507600E+01  2.3219181E-02  0.0000000E+00  1.9419230E-03  6.6781609E-03 -8.1924925E-04
  7.8507600E+01  2.2883997E-02  0.0000000E+00  1.7203502E-03  6.7318238E-03 -6.6340942E-04
  7.8507600E+01  2.2549283E-02  0.0000000E+00  1.6785458E-03  6.7245356E-03 -5.5939812E-04
  7.8507600E+01  2.2197814E-02  0.0000000E+00  1.8422142E-03  6.6313199E-03 -6.1169047E-04
  7.8507600E+01  2.1831622E-02  0.0000000E+00  2.0557812E-03  6.4632142E-03 -7.4673400E-04
  7.8507600E+01  2.1464334E-02  0.0000000E+00  2.1975941E-03  6.2932336E-03 -8.0774958E-04
  7.8507600E+01  2.1091576E-02  0.0000000E+00  2.3291431E-03  6.1649042E-03 -7.5369787E-04
  7.8507600E+01  2.0711626E-02  0.0000000E+00  2.4365987E-03  6.0457210E-03 -6.2894306E-04
  7.8507600E+01  2.0327561E-02  0.0000000E+00  2.4225878E-03  5.9287939E-03 -5.7902675E-04
  7.8507600E+01  1.9936818E-02  0.0000000E+00  2.2621577E-03  5.8236680E-03 -6.5666593E-04
  7.8507600E+01  1.9537937E-02  0.0000000E+00  2.0394603E-03  5.7271934E-03 -8.2846961E-04
  7.8507600E+01  1.9134658E-02  0.0000000E+00  1.8683029E-03  5.6106930E-03 -9.9880420E-04
  7.8507600E+01  1.8741698E-02  0.0000000E+00  1.7919822E-03  5.4326497E-03 -1.0696198E-03
  7.8507600E+01  1.8374462E-02  0.0000000E+00  1.7828160E-03  5.1852188E-03 -1.0478454E-03
  7.8507600E+01  1.8039057E-02  0.0000000E+00  1.8340880E-03  4.9080123E-03 -9.3212564E-04
  7.8507600E+01  1.7732599E-02  0.0000000E+00  1.9619094E-03  4.6589862E-03 -8.4842798E-04
  7.8507600E+01  1.7451155E-02  0.0000000E+00  2.1439288E-03  4.4546953E-03 -8.2432686E-04
  7.8507600E+01  1.7188842E-02  0.0000000E+00  2.3301613E-03  4.2875406E-03 -8.2869299E-04
  7.8507600E+01  1.6937417E-02  0.0000000E+00  2.4716789E-03  4.1443006E-03 -8.3446861E-04
  7.8507600E+01  1.6685746E-02  0.0000000E+00  2.5387095E-03  4.0115690E-03 -8.4481674E-04
  7.8507600E+01  1.6428101E-02  0.0000000E+00  2.5215628E-03  3.8793028E-03 -8.9546593E-04
  7.8507600E+01  1.6170683E-02  0.0000000E+00  2.4269430E-03  3.7458690E-03 -1.0382455E-03
  7.8507600E+01  1.5921863E-02  0.0000000E+00  2.2785750E-03  3.6019870E-03 -1.2010354E-03
  7.8507600E+01  1.5681568E-02  0.0000000E+00  2.0830719E-03  3.4711584E-03 -1.3506139E-03
  7.8507600E+01  1.5449365E-02  0.0000000E+00  1.8456318E-03  3.3641409E-03 -1.4389010E-03
  7.8507600E+01  1.5226848E-02  0.0000000E+00  1.5868489E-03  3.2731462E-03 -1.4350835E-03
  7.8507600E+01  1.5014537E-02  0.0000000E+00  1.3339892E-03  3.1795223E-03 -1.3374431E-03
  7.8507600E+01  1.4812334E-02  0.0000000E+00  1.1076030E-03  3.0633418E-03 -1.1549977E-03
  7.8507600E+01  1.4619380E-02  0.0000000E+00  9.1503251E-04  2.9141798E-03 -9.0200435E-04
  7.8507600E+01  1.4429995E-02  0.0000000E+00  7.6003877E-04  2.7434779E-03 -6.2934779E-04
  7.8507600E+01  1.4232226E-02  0.0000000E+00  6.4314333E-04  2.5802615E-03 -3.8572980E-04
  7.8507600E+01  1.4023610E-02  0.0000000E+00  5.1953370E-04  2.4369985E-03 -2.1031978E-04
  7.8507600E+01  1.3807556E-02  0.0000000E+00  4.0124338E-04  2.3145860E-03 -1.1609586E-04
  7.8507600E+01  1.3587209E-02  0.0000000E+00  3.2391738E-04  2.2091482E-03 -1.0328133E-04
  7.8507600E+01  1.3361623E-02  0.0000000E+00  3.0432120E-04  2.1157925E-03 -1.6222876E-04
  7.8507600E+01  1.3128441E-02  0.0000000E+00  3.2993940E-04  2.0288139E-03 -2.6496150E-04
  7.8507600E+01  1.2884478E-02  0.0000000E+00  3.7162621E-04  1.9411987E-03 -3.6349773E-04
  7.8507600E+01  1.2630310E-02  0.0000000E+00  4.1133946E-04  1.8524642E-03 -4.0904028E-04
  7.8507600E+01  1.2370364E-02  0.0000000E+00  4.5046264E-04  1.7700413E-03 -3.8763421E-04
  7.8507600E+01  1.2105664E-02  0.0000000E+00  4.8201265E-04  1.7000697E-03 -3.1900481E-04
