          atime          uplus          yplus           Wshr          trash          trash
  7.8507600E+01  4.3107105E-06  4.3107106E-06  2.2891894E-02  1.3125000E-01  1.3125000E-01
  7.8507600E+01  3.4263153E+00  3.8330556E+00  2.2891894E-02  1.3655000E-01  1.3655000E-01
  7.8507600E+01  4.9021272E+00  7.6733390E+00  2.2891894E-02  1.4186000E-01  1.4186000E-01
  7.8507600E+01  5.2587676E+00  1.1506390E+01  2.2891894E-02  1.4716000E-01  1.4716000E-01
  7.8507600E+01  5.3639744E+00  1.5339442E+01  2.2891894E-02  1.5246000E-01  1.5246000E-01
  7.8507600E+01  5.4134436E+00  1.9179725E+01  2.2891894E-02  1.5777000E-01  1.5777000E-01
  7.8507600E+01  5.4478047E+00  2.3012776E+01  2.2891894E-02  1.6307000E-01  1.6307000E-01
  7.8507600E+01  5.4785519E+00  2.6845828E+01  2.2891894E-02  1.6837000E-01  1.6837000E-01
  7.8507600E+01  5.5117352E+00  3.0678879E+01  2.2891894E-02  1.7367000E-01  1.7367000E-01
  7.8507600E+01  5.5479071E+00  3.4519162E+01  2.2891894E-02  1.7898000E-01  1.7898000E-01
  7.8507600E+01  5.5855575E+00  3.8352214E+01  2.2891894E-02  1.8428000E-01  1.8428000E-01
  7.8507600E+01  5.6236606E+00  4.2185265E+01  2.2891894E-02  1.8958000E-01  1.8958000E-01
  7.8507600E+01  5.6613620E+00  4.6025548E+01  2.2891894E-02  1.9489000E-01  1.9489000E-01
  7.8507600E+01  5.6986624E+00  4.9858600E+01  2.2891894E-02  2.0019000E-01  2.0019000E-01
  7.8507600E+01  5.7372593E+00  5.3691651E+01  2.2891894E-02  2.0549000E-01  2.0549000E-01
  7.8507600E+01  5.7792917E+00  5.7531934E+01  2.2891894E-02  2.1080000E-01  2.1080000E-01
  7.8507600E+01  5.8257359E+00  6.1364985E+01  2.2891894E-02  2.1610000E-01  2.1610000E-01
  7.8507600E+01  5.8757408E+00  6.5198037E+01  2.2891894E-02  2.2140000E-01  2.2140000E-01
  7.8507600E+01  5.9274111E+00  6.9031088E+01  2.2891894E-02  2.2670000E-01  2.2670000E-01
  7.8507600E+01  5.9792452E+00  7.2871371E+01  2.2891894E-02  2.3201000E-01  2.3201000E-01
  7.8507600E+01  6.0307489E+00  7.6704423E+01  2.2891894E-02  2.3731000E-01  2.3731000E-01
  7.8507600E+01  6.0829109E+00  8.0537474E+01  2.2891894E-02  2.4261000E-01  2.4261000E-01
  7.8507600E+01  6.1360869E+00  8.4377757E+01  2.2891894E-02  2.4792000E-01  2.4792000E-01
  7.8507600E+01  6.1891474E+00  8.8210809E+01  2.2891894E-02  2.5322000E-01  2.5322000E-01
  7.8507600E+01  6.2408629E+00  9.2043860E+01  2.2891894E-02  2.5852000E-01  2.5852000E-01
  7.8507600E+01  6.2909875E+00  9.5884143E+01  2.2891894E-02  2.6383000E-01  2.6383000E-01
  7.8507600E+01  6.3403737E+00  9.9717195E+01  2.2891894E-02  2.6913000E-01  2.6913000E-01
  7.8507600E+01  6.3894775E+00  1.0355025E+02  2.2891894E-02  2.7443000E-01  2.7443000E-01
  7.8507600E+01  6.4376748E+00  1.0738330E+02  2.2891894E-02  2.7973000E-01  2.7973000E-01
  7.8507600E+01  6.4842785E+00  1.1122358E+02  2.2891894E-02  2.8504000E-01  2.8504000E-01
  7.8507600E+01  6.5284558E+00  1.1505663E+02  2.2891894E-02  2.9034000E-01  2.9034000E-01
  7.8507600E+01  6.5700267E+00  1.1888968E+02  2.2891894E-02  2.9564000E-01  2.9564000E-01
  7.8507600E+01  6.6095070E+00  1.2272997E+02  2.2891894E-02  3.0095000E-01  3.0095000E-01
  7.8507600E+01  6.6475014E+00  1.2656302E+02  2.2891894E-02  3.0625000E-01  3.0625000E-01
  7.8507600E+01  6.6846419E+00  1.3039607E+02  2.2891894E-02  3.1155000E-01  3.1155000E-01
  7.8507600E+01  6.7214726E+00  1.3423635E+02  2.2891894E-02  3.1686000E-01  3.1686000E-01
