          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  7.8507600E+01  5.1541101E-01  1.5493298E-05  1.6395137E-01 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -2.8952067E-01  8.8659315E-03  6.1456323E-02 -1.5595039E-01  0.0000000E+00
  7.8507600E+01 -4.6901345E-02  7.0941748E-03 -1.1388684E-01 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  1.8084684E-02  3.7591544E-04 -3.1090219E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  4.7311338E-03 -1.8914707E-03 -2.3031081E-03 -1.1106176E-01  0.0000000E+00
  7.8507600E+01  1.9903836E-03 -2.3083380E-03  6.3445195E-04 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  2.1475443E-03 -1.2504663E-03  8.8882091E-04 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  2.3171181E-03 -1.9914050E-04  1.0566994E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  1.3069410E-03  1.3183121E-04  1.3765480E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  1.0230227E-03  2.0483769E-04  2.0005834E-03 -8.0317141E-02  0.0000000E+00
  7.8507600E+01  1.6995501E-03  5.6900258E-05  2.0900924E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  9.7968748E-04 -3.5437529E-04  1.0263932E-03 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  1.9495929E-04 -6.4542769E-04  2.9001171E-04 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -1.8363080E-04 -6.0027958E-04  3.8011989E-05 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -5.4446967E-04 -2.8275222E-04  7.6661744E-05 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -3.6963166E-05 -1.2569222E-04  2.3605601E-04 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -9.5553883E-05 -2.2578799E-04  1.6738557E-04 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -4.0413645E-04 -1.0659550E-04  7.2841166E-05 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -1.5589836E-04  2.9937984E-04  9.8530378E-05 -5.7294700E-02  0.0000000E+00
  7.8507600E+01 -4.8166131E-04  8.9234265E-04 -5.6245696E-05 -5.5378073E-02  0.0000000E+00
  7.8507600E+01 -9.6882621E-04  1.4286238E-03 -3.0329562E-04 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -1.2272479E-03  1.3878710E-03 -3.1013406E-04 -5.1696233E-02  0.0000000E+00
  7.8507600E+01 -7.5105218E-04  9.1040344E-04 -4.5793306E-05 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -3.8752224E-04  3.1577078E-04  1.3216282E-04 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -1.1850365E-03 -2.5545817E-05  1.5292130E-05 -4.6523736E-02  0.0000000E+00
  7.8507600E+01 -1.9118842E-03  2.0181334E-05 -3.0327294E-04 -4.4911274E-02  0.0000000E+00
  7.8507600E+01 -9.3779875E-04  2.5165841E-05 -1.3018974E-04 -4.3369966E-02  0.0000000E+00
  7.8507600E+01 -3.9489662E-04 -5.0739565E-05  2.3647974E-04 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  1.6100123E-04 -1.3563154E-04  5.0873839E-04 -4.0480696E-02  0.0000000E+00
  7.8507600E+01  8.1509942E-04 -1.7852124E-04  2.1395597E-04 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  9.0020798E-04 -1.6057753E-04 -2.3009494E-04 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  2.1005393E-04 -8.6884018E-05 -1.0423353E-04 -3.6546435E-02  0.0000000E+00
  7.8507600E+01 -4.8704375E-04  1.0053135E-04  4.3399329E-04 -3.5340116E-02  0.0000000E+00
  7.8507600E+01 -9.6638761E-04  2.8112968E-04  7.4212709E-04 -3.4194527E-02  0.0000000E+00
  7.8507600E+01 -9.1136451E-04  2.8666574E-04  6.5047825E-04 -3.3102329E-02  0.0000000E+00
  7.8507600E+01 -4.9905594E-04  1.8480639E-04  3.2587455E-04 -3.2052309E-02  0.0000000E+00
  7.8507600E+01 -3.3473793E-04  1.3066633E-04  9.2932989E-05 -3.1037261E-02  0.0000000E+00
  7.8507600E+01 -5.4504714E-04  1.5860212E-04  8.5113628E-05 -3.0047644E-02  0.0000000E+00
  7.8507600E+01 -4.6001630E-04  1.4745752E-04  2.3453437E-04 -2.9080180E-02  0.0000000E+00
  7.8507600E+01 -1.0472989E-05  8.1587290E-05  3.8884119E-04 -2.8138508E-02  0.0000000E+00
  7.8507600E+01  2.5628319E-04  6.0532197E-05  1.9364593E-04 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  3.1912709E-04  1.0020959E-04 -1.3782449E-04 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  2.0245584E-04  8.9046771E-05 -4.4247981E-04 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  9.0109215E-05  6.2702094E-05 -5.8968079E-04 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  5.1444321E-05  1.2397015E-04 -5.0999649E-04 -2.3852801E-02  0.0000000E+00
  7.8507600E+01 -1.6801349E-05  2.4384546E-04 -2.9779351E-04 -2.3080864E-02  0.0000000E+00
  7.8507600E+01 -2.0040386E-04  2.4364420E-04 -2.6904948E-04 -2.2329793E-02  0.0000000E+00
  7.8507600E+01 -2.4401215E-04  1.9249213E-04 -9.4596765E-05 -2.1594725E-02  0.0000000E+00
