          atime          uvcov          vwcov          wucov         pm1avg           tavg
  2.4000000E+02 -2.2739645E-21 -9.6016359E-24  7.6696705E-23 -1.7086508E-01  0.0000000E+00
  2.4000000E+02  1.3628073E-03 -1.8897951E-05 -2.3322175E-04 -1.6358890E-01  0.0000000E+00
  2.4000000E+02  2.3286549E-03 -1.4745223E-04 -5.3982717E-04 -1.4838331E-01  0.0000000E+00
  2.4000000E+02  4.5158268E-04 -3.2899125E-04 -4.1941631E-04 -1.3362474E-01  0.0000000E+00
  2.4000000E+02 -1.3720537E-03 -4.9975423E-04 -2.7792791E-04 -1.2177357E-01  0.0000000E+00
  2.4000000E+02 -2.9540331E-03 -6.4087720E-04 -2.3049914E-04 -1.1262709E-01  0.0000000E+00
  2.4000000E+02 -4.3441485E-03 -7.7787246E-04 -2.6373863E-04 -1.0538494E-01  0.0000000E+00
  2.4000000E+02 -5.5482107E-03 -9.1434343E-04 -3.3337030E-04 -9.9472600E-02  0.0000000E+00
  2.4000000E+02 -6.5462354E-03 -1.0295512E-03 -3.9962611E-04 -9.4568634E-02  0.0000000E+00
  2.4000000E+02 -7.3882220E-03 -1.1081781E-03 -4.4799808E-04 -9.0444452E-02  0.0000000E+00
  2.4000000E+02 -8.1222676E-03 -1.1510786E-03 -5.2400176E-04 -8.6896027E-02  0.0000000E+00
  2.4000000E+02 -8.7595410E-03 -1.1772917E-03 -6.6261950E-04 -8.3782882E-02  0.0000000E+00
  2.4000000E+02 -9.3234972E-03 -1.1938833E-03 -8.5328018E-04 -8.1009788E-02  0.0000000E+00
  2.4000000E+02 -9.8330277E-03 -1.1877500E-03 -1.0558254E-03 -7.8500011E-02  0.0000000E+00
  2.4000000E+02 -1.0288259E-02 -1.1434250E-03 -1.2308643E-03 -7.6193839E-02  0.0000000E+00
  2.4000000E+02 -1.0683554E-02 -1.0581456E-03 -1.3663820E-03 -7.4044841E-02  0.0000000E+00
  2.4000000E+02 -1.1013405E-02 -9.4155241E-04 -1.4814640E-03 -7.2015353E-02  0.0000000E+00
  2.4000000E+02 -1.1280518E-02 -8.0987596E-04 -1.5996258E-03 -7.0075636E-02  0.0000000E+00
  2.4000000E+02 -1.1497896E-02 -6.7834961E-04 -1.7168723E-03 -6.8204884E-02  0.0000000E+00
  2.4000000E+02 -1.1675921E-02 -5.6125022E-04 -1.8196228E-03 -6.6392192E-02  0.0000000E+00
