          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.4000000E+02 -1.6802660E-11  2.2263916E-04  5.7682869E-17 -1.7086508E-01  0.0000000E+00
  2.4000000E+02 -3.3978701E-01  1.7857335E-01 -6.8368176E-03 -1.6358890E-01  0.0000000E+00
  2.4000000E+02  1.7027417E-02 -1.2248878E-01 -5.6310862E-03 -1.4838331E-01  0.0000000E+00
  2.4000000E+02  1.1020634E-01 -8.9387641E-02  2.8704072E-03 -1.3362474E-01  0.0000000E+00
  2.4000000E+02  1.2067718E-01 -4.1628645E-02  9.4295812E-03 -1.2177357E-01  0.0000000E+00
  2.4000000E+02  1.1641674E-01 -1.1985379E-02  1.0878408E-02 -1.1262709E-01  0.0000000E+00
  2.4000000E+02  1.0947336E-01  6.9247581E-03  8.6024117E-03 -1.0538494E-01  0.0000000E+00
  2.4000000E+02  1.0523728E-01  1.6120453E-02  4.8511578E-03 -9.9472600E-02  0.0000000E+00
  2.4000000E+02  1.0223438E-01  1.8021621E-02  1.4457940E-03 -9.4568634E-02  0.0000000E+00
  2.4000000E+02  9.0202333E-02  1.9031589E-02 -1.1886457E-03 -9.0444452E-02  0.0000000E+00
  2.4000000E+02  7.8379577E-02  1.9677193E-02 -2.6045758E-03 -8.6896027E-02  0.0000000E+00
  2.4000000E+02  7.1313465E-02  1.9456263E-02 -2.8963917E-03 -8.3782882E-02  0.0000000E+00
  2.4000000E+02  6.5881152E-02  1.8760704E-02 -2.6971653E-03 -8.1009788E-02  0.0000000E+00
  2.4000000E+02  6.0362651E-02  1.7280986E-02 -1.3677618E-03 -7.8500011E-02  0.0000000E+00
  2.4000000E+02  5.4821853E-02  1.4569070E-02  1.4268244E-03 -7.6193839E-02  0.0000000E+00
  2.4000000E+02  5.0020421E-02  1.1380752E-02  4.2142693E-03 -7.4044841E-02  0.0000000E+00
  2.4000000E+02  4.6083014E-02  8.1156641E-03  5.9641694E-03 -7.2015353E-02  0.0000000E+00
  2.4000000E+02  4.2848323E-02  5.5989339E-03  6.7874361E-03 -7.0075636E-02  0.0000000E+00
  2.4000000E+02  3.9968872E-02  3.8633244E-03  6.7373388E-03 -6.8204884E-02  0.0000000E+00
  2.4000000E+02  3.7223084E-02  2.5636868E-03  6.0877785E-03 -6.6392192E-02  0.0000000E+00
  2.4000000E+02  3.4543200E-02  1.3998380E-03  5.2032957E-03 -6.4633143E-02  0.0000000E+00
  2.4000000E+02  3.1961626E-02  3.1174293E-04  4.2660083E-03 -6.2924630E-02  0.0000000E+00
  2.4000000E+02  2.9387381E-02 -4.9546306E-04  3.2967735E-03 -6.1263934E-02  0.0000000E+00
  2.4000000E+02  2.6658888E-02 -5.9990680E-04  2.3518381E-03 -5.9648596E-02  0.0000000E+00
  2.4000000E+02  2.3966330E-02 -6.7122169E-05  1.1336060E-03 -5.8074630E-02  0.0000000E+00
  2.4000000E+02  2.1513037E-02  4.5737712E-04 -2.1996609E-04 -5.6536074E-02  0.0000000E+00
  2.4000000E+02  1.9362359E-02  6.6997923E-04 -1.5031557E-03 -5.5029537E-02  0.0000000E+00
  2.4000000E+02  1.7467791E-02  5.1376115E-04 -2.4309397E-03 -5.3552917E-02  0.0000000E+00
  2.4000000E+02  1.5779866E-02  6.5632991E-05 -2.7529127E-03 -5.2104477E-02  0.0000000E+00
  2.4000000E+02  1.4291420E-02 -5.4042944E-04 -2.3932084E-03 -5.0683851E-02  0.0000000E+00
  2.4000000E+02  1.3021509E-02 -1.1479540E-03 -1.5331936E-03 -4.9293164E-02  0.0000000E+00
  2.4000000E+02  1.1938269E-02 -1.5642336E-03 -5.5370395E-04 -4.7936507E-02  0.0000000E+00
  2.4000000E+02  1.0885191E-02 -1.6272569E-03  2.6057255E-04 -4.6617048E-02  0.0000000E+00
  2.4000000E+02  9.7980539E-03 -1.5161214E-03  6.2868864E-04 -4.5340950E-02  0.0000000E+00
  2.4000000E+02  8.8883506E-03 -1.1382714E-03  2.9464935E-04 -4.4111345E-02  0.0000000E+00
  2.4000000E+02  8.2478448E-03 -8.5589147E-04 -4.7480971E-04 -4.2929718E-02  0.0000000E+00
  2.4000000E+02  7.8071783E-03 -9.5282288E-04 -1.2961949E-03 -4.1794359E-02  0.0000000E+00
  2.4000000E+02  7.4639982E-03 -1.4424817E-03 -1.8875144E-03 -4.0700429E-02  0.0000000E+00
  2.4000000E+02  7.1453208E-03 -2.1182569E-03 -2.1485788E-03 -3.9641701E-02  0.0000000E+00
  2.4000000E+02  6.8218656E-03 -2.7214485E-03 -2.1399004E-03 -3.8612889E-02  0.0000000E+00
  2.4000000E+02  6.4920922E-03 -3.1018042E-03 -1.9967511E-03 -3.7611466E-02  0.0000000E+00
  2.4000000E+02  6.1536738E-03 -3.2457141E-03 -1.8149340E-03 -3.6637880E-02  0.0000000E+00
  2.4000000E+02  5.7801390E-03 -3.0471221E-03 -1.5448306E-03 -3.5693089E-02  0.0000000E+00
  2.4000000E+02  5.2538425E-03 -2.7741338E-03 -1.3362213E-03 -3.4780705E-02  0.0000000E+00
  2.4000000E+02  4.6188170E-03 -2.6708744E-03 -8.9095695E-04 -3.3898960E-02  0.0000000E+00
  2.4000000E+02  4.0166872E-03 -2.5759903E-03 -4.6447847E-04 -3.3050257E-02  0.0000000E+00
  2.4000000E+02  3.4720554E-03 -2.6206595E-03 -1.3971286E-04 -3.2232345E-02  0.0000000E+00
  2.4000000E+02  2.9757670E-03 -2.8550509E-03  1.3014967E-04 -3.1439955E-02  0.0000000E+00
  2.4000000E+02  2.5250837E-03 -3.1981776E-03  3.6423619E-04 -3.0667914E-02  0.0000000E+00
  2.4000000E+02  2.1373088E-03 -3.4838482E-03  5.1370892E-04 -2.9912431E-02  0.0000000E+00
  2.4000000E+02  1.8445720E-03 -3.5532560E-03  4.9732646E-04 -2.9171212E-02  0.0000000E+00
  2.4000000E+02  1.6774844E-03 -3.3447408E-03  2.7155425E-04 -2.8443056E-02  0.0000000E+00
  2.4000000E+02  1.6453714E-03 -2.9312631E-03 -1.0606970E-04 -2.7727563E-02  0.0000000E+00
  2.4000000E+02  1.7207931E-03 -2.4561264E-03 -4.6160811E-04 -2.7025618E-02  0.0000000E+00
  2.4000000E+02  1.8360614E-03 -1.9174855E-03 -5.7873069E-04 -2.6341289E-02  0.0000000E+00
  2.4000000E+02  1.8290994E-03 -1.4497427E-03 -6.5401179E-04 -2.5672949E-02  0.0000000E+00
  2.4000000E+02  1.8612078E-03 -1.0050897E-03 -7.3521852E-04 -2.5023826E-02  0.0000000E+00
  2.4000000E+02  1.8377409E-03 -6.7874777E-04 -6.9751115E-04 -2.4392490E-02  0.0000000E+00
  2.4000000E+02  1.7641404E-03 -5.0124240E-04 -5.3273081E-04 -2.3777602E-02  0.0000000E+00
  2.4000000E+02  1.6737302E-03 -4.5894196E-04 -2.9177918E-04 -2.3178022E-02  0.0000000E+00
  2.4000000E+02  1.5855658E-03 -5.1933199E-04 -4.3389445E-05 -2.2592705E-02  0.0000000E+00
  2.4000000E+02  1.4957100E-03 -6.4365592E-04  1.5529426E-04 -2.2020774E-02  0.0000000E+00
  2.4000000E+02  1.3889705E-03 -7.9194859E-04  2.7607832E-04 -2.1461658E-02  0.0000000E+00
  2.4000000E+02  1.2581302E-03 -9.2548926E-04  3.2477158E-04 -2.0915216E-02  0.0000000E+00
