          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.4000000E+02 -7.6150730E-16  8.1511477E-18 -1.3024758E-16 -1.7086508E-01  0.0000000E+00
  2.4000000E+02 -8.5186167E-02 -2.6148528E-02 -5.5496233E-02 -1.6358890E-01  0.0000000E+00
  2.4000000E+02  1.4710927E-03 -2.5176031E-02 -8.8476608E-02 -1.4838331E-01  0.0000000E+00
  2.4000000E+02  7.8648822E-02  1.4734659E-02 -7.1475823E-02 -1.3362474E-01  0.0000000E+00
  2.4000000E+02  1.0800854E-01  3.1702163E-02 -5.0660882E-02 -1.2177357E-01  0.0000000E+00
  2.4000000E+02  1.0851070E-01  3.9578742E-02 -3.2859486E-02 -1.1262709E-01  0.0000000E+00
  2.4000000E+02  1.0260119E-01  4.2193249E-02 -1.9406125E-02 -1.0538494E-01  0.0000000E+00
  2.4000000E+02  9.7948106E-02  4.0180644E-02 -1.0801766E-02 -9.9472600E-02  0.0000000E+00
  2.4000000E+02  9.2795879E-02  3.5694038E-02 -5.8039232E-03 -9.4568634E-02  0.0000000E+00
  2.4000000E+02  7.8804596E-02  3.2685726E-02 -3.0112565E-03 -9.0444452E-02  0.0000000E+00
  2.4000000E+02  6.5981504E-02  3.1197380E-02 -1.2885000E-03 -8.6896027E-02  0.0000000E+00
  2.4000000E+02  5.8335383E-02  2.9993514E-02  2.1613777E-06 -8.3782882E-02  0.0000000E+00
  2.4000000E+02  5.2421907E-02  2.8728178E-02  1.2228650E-03 -8.1009788E-02  0.0000000E+00
  2.4000000E+02  4.6477770E-02  2.6996493E-02  3.1225255E-03 -7.8500011E-02  0.0000000E+00
  2.4000000E+02  4.0735839E-02  2.4355606E-02  5.9389265E-03 -7.6193839E-02  0.0000000E+00
  2.4000000E+02  3.5839219E-02  2.1046530E-02  8.8433119E-03 -7.4044841E-02  0.0000000E+00
  2.4000000E+02  3.1773121E-02  1.7665227E-02  1.0903965E-02 -7.2015353E-02  0.0000000E+00
  2.4000000E+02  2.8319649E-02  1.4767542E-02  1.2211607E-02 -7.0075636E-02  0.0000000E+00
  2.4000000E+02  2.5156641E-02  1.2395435E-02  1.2935739E-02 -6.8204884E-02  0.0000000E+00
  2.4000000E+02  2.2138962E-02  1.0430775E-02  1.3196943E-02 -6.6392192E-02  0.0000000E+00
  2.4000000E+02  1.9249447E-02  8.7406859E-03  1.3114192E-02 -6.4633143E-02  0.0000000E+00
  2.4000000E+02  1.6488463E-02  7.2264943E-03  1.2854721E-02 -6.2924630E-02  0.0000000E+00
  2.4000000E+02  1.3736374E-02  5.8889673E-03  1.2587758E-02 -6.1263934E-02  0.0000000E+00
  2.4000000E+02  1.0981008E-02  5.1086371E-03  1.2226372E-02 -5.9648596E-02  0.0000000E+00
  2.4000000E+02  8.2401200E-03  4.9217853E-03  1.1622416E-02 -5.8074630E-02  0.0000000E+00
  2.4000000E+02  5.5262882E-03  5.0537127E-03  1.0882779E-02 -5.6536074E-02  0.0000000E+00
  2.4000000E+02  2.9330668E-03  5.3077115E-03  1.0058676E-02 -5.5029537E-02  0.0000000E+00
  2.4000000E+02  5.7612251E-04  5.5168960E-03  9.2948684E-03 -5.3552917E-02  0.0000000E+00
  2.4000000E+02 -1.4202571E-03  5.5828795E-03  8.7999922E-03 -5.2104477E-02  0.0000000E+00
  2.4000000E+02 -2.9761793E-03  5.5086056E-03  8.7120259E-03 -5.0683851E-02  0.0000000E+00
  2.4000000E+02 -4.1068946E-03  5.3905835E-03  8.9673338E-03 -4.9293164E-02  0.0000000E+00
  2.4000000E+02 -4.9294877E-03  5.3357796E-03  9.2816874E-03 -4.7936507E-02  0.0000000E+00
  2.4000000E+02 -5.5123520E-03  5.2849044E-03  9.4171219E-03 -4.6617048E-02  0.0000000E+00
  2.4000000E+02 -6.1398882E-03  5.2800294E-03  9.3572230E-03 -4.5340950E-02  0.0000000E+00
  2.4000000E+02 -6.7208420E-03  5.3863217E-03  8.9536186E-03 -4.4111345E-02  0.0000000E+00
  2.4000000E+02 -7.1575519E-03  5.4377871E-03  8.3265045E-03 -4.2929718E-02  0.0000000E+00
  2.4000000E+02 -7.5301551E-03  5.3218577E-03  7.6164587E-03 -4.1794359E-02  0.0000000E+00
  2.4000000E+02 -7.8936978E-03  5.0640707E-03  6.9207831E-03 -4.0700429E-02  0.0000000E+00
  2.4000000E+02 -8.2230705E-03  4.7774189E-03  6.2894865E-03 -3.9641701E-02  0.0000000E+00
  2.4000000E+02 -8.4510872E-03  4.5605720E-03  5.7519638E-03 -3.8612889E-02  0.0000000E+00
  2.4000000E+02 -8.5450287E-03  4.4291661E-03  5.3454235E-03 -3.7611466E-02  0.0000000E+00
  2.4000000E+02 -8.5669711E-03  4.3643622E-03  5.1161175E-03 -3.6637880E-02  0.0000000E+00
  2.4000000E+02 -8.6632179E-03  4.5628704E-03  5.0644261E-03 -3.5693089E-02  0.0000000E+00
  2.4000000E+02 -8.9382461E-03  4.7146996E-03  5.0722904E-03 -3.4780705E-02  0.0000000E+00
  2.4000000E+02 -9.2579527E-03  4.8860143E-03  5.1219032E-03 -3.3898960E-02  0.0000000E+00
  2.4000000E+02 -9.5824756E-03  5.0746982E-03  5.1772058E-03 -3.3050257E-02  0.0000000E+00
  2.4000000E+02 -9.9145017E-03  5.1071417E-03  5.2512097E-03 -3.2232345E-02  0.0000000E+00
  2.4000000E+02 -1.0242259E-02  4.9434070E-03  5.3515299E-03 -3.1439955E-02  0.0000000E+00
  2.4000000E+02 -1.0528175E-02  4.6266764E-03  5.4559393E-03 -3.0667914E-02  0.0000000E+00
  2.4000000E+02 -1.0717151E-02  4.2425195E-03  5.5217349E-03 -2.9912431E-02  0.0000000E+00
  2.4000000E+02 -1.0756368E-02  3.8863719E-03  5.5123924E-03 -2.9171212E-02  0.0000000E+00
  2.4000000E+02 -1.0618533E-02  3.6376139E-03  5.4249884E-03 -2.8443056E-02  0.0000000E+00
  2.4000000E+02 -1.0320456E-02  3.5386420E-03  5.3018661E-03 -2.7727563E-02  0.0000000E+00
  2.4000000E+02 -9.9288885E-03  3.5773246E-03  5.2100232E-03 -2.7025618E-02  0.0000000E+00
  2.4000000E+02 -9.5455172E-03  3.6712306E-03  5.1716978E-03 -2.6341289E-02  0.0000000E+00
  2.4000000E+02 -9.2197334E-03  3.8628690E-03  5.1187614E-03 -2.5672949E-02  0.0000000E+00
  2.4000000E+02 -8.9460183E-03  4.1490483E-03  4.9369325E-03 -2.5023826E-02  0.0000000E+00
  2.4000000E+02 -8.7332300E-03  4.5015684E-03  4.6973868E-03 -2.4392490E-02  0.0000000E+00
  2.4000000E+02 -8.5713488E-03  4.8563836E-03  4.4493730E-03 -2.3777602E-02  0.0000000E+00
  2.4000000E+02 -8.4460014E-03  5.1451932E-03  4.2201811E-03 -2.3178022E-02  0.0000000E+00
  2.4000000E+02 -8.3456447E-03  5.3188836E-03  4.0225049E-03 -2.2592705E-02  0.0000000E+00
  2.4000000E+02 -8.2634367E-03  5.3582278E-03  3.8618085E-03 -2.2020774E-02  0.0000000E+00
  2.4000000E+02 -8.1959074E-03  5.2742612E-03  3.7424930E-03 -2.1461658E-02  0.0000000E+00
  2.4000000E+02 -8.1405435E-03  5.1007569E-03  3.6716554E-03 -2.0915216E-02  0.0000000E+00
  2.4000000E+02 -8.0943996E-03  4.8812168E-03  3.6592351E-03 -2.0381717E-02  0.0000000E+00
  2.4000000E+02 -8.0558501E-03  4.6528019E-03  3.7133410E-03 -1.9861591E-02  0.0000000E+00
  2.4000000E+02 -8.0315939E-03  4.4296208E-03  3.8295533E-03 -1.9354842E-02  0.0000000E+00
  2.4000000E+02 -8.0188049E-03  4.1686993E-03  3.9798563E-03 -1.8860541E-02  0.0000000E+00
  2.4000000E+02 -7.9380535E-03  3.8028309E-03  4.1300047E-03 -1.8377839E-02  0.0000000E+00
  2.4000000E+02 -7.8457864E-03  3.3688561E-03  4.2626703E-03 -1.7904014E-02  0.0000000E+00
  2.4000000E+02 -7.7366465E-03  2.9075043E-03  4.3602973E-03 -1.7437025E-02  0.0000000E+00
  2.4000000E+02 -7.6133229E-03  2.4934023E-03  4.3956299E-03 -1.6975187E-02  0.0000000E+00
  2.4000000E+02 -7.4782133E-03  2.1897416E-03  4.3513249E-03 -1.6517868E-02  0.0000000E+00
  2.4000000E+02 -7.3307393E-03  2.0261282E-03  4.2280814E-03 -1.6065616E-02  0.0000000E+00
  2.4000000E+02 -7.1685712E-03  1.9943277E-03  4.0441705E-03 -1.5619877E-02  0.0000000E+00
  2.4000000E+02 -6.9910155E-03  2.0566141E-03  3.8292510E-03 -1.5182485E-02  0.0000000E+00
  2.4000000E+02 -6.8028214E-03  2.1614360E-03  3.6153556E-03 -1.4755065E-02  0.0000000E+00
  2.4000000E+02 -6.6166603E-03  2.2611097E-03  3.4279324E-03 -1.4338540E-02  0.0000000E+00
  2.4000000E+02 -6.4525342E-03  2.3262508E-03  3.2798264E-03 -1.3932886E-02  0.0000000E+00
  2.4000000E+02 -6.3323671E-03  2.3516561E-03  3.1710864E-03 -1.3537315E-02  0.0000000E+00
  2.4000000E+02 -6.2680351E-03  2.3483455E-03  3.0974811E-03 -1.3151047E-02  0.0000000E+00
  2.4000000E+02 -6.2002590E-03  2.2228043E-03  3.0856679E-03 -1.2771908E-02  0.0000000E+00
  2.4000000E+02 -6.1499617E-03  2.1177047E-03  3.0840991E-03 -1.2400435E-02  0.0000000E+00
  2.4000000E+02 -6.0858060E-03  1.9898406E-03  3.0944937E-03 -1.2035146E-02  0.0000000E+00
  2.4000000E+02 -5.9999010E-03  1.8174253E-03  3.1205425E-03 -1.1675480E-02  0.0000000E+00
  2.4000000E+02 -5.8999890E-03  1.6113997E-03  3.1620264E-03 -1.1321540E-02  0.0000000E+00
  2.4000000E+02 -5.7970365E-03  1.3995806E-03  3.2158028E-03 -1.0973618E-02  0.0000000E+00
  2.4000000E+02 -5.6986351E-03  1.2129756E-03  3.2763753E-03 -1.0631927E-02  0.0000000E+00
  2.4000000E+02 -5.6068716E-03  1.0750753E-03  3.3363060E-03 -1.0296500E-02  0.0000000E+00
  2.4000000E+02 -5.5193290E-03  9.9492939E-04  3.3867328E-03 -9.9671945E-03  0.0000000E+00
  2.4000000E+02 -5.4318761E-03  9.6481952E-04  3.4182500E-03 -9.6437698E-03  0.0000000E+00
  2.4000000E+02 -5.3419077E-03  9.6333547E-04  3.4224146E-03 -9.3259716E-03  0.0000000E+00
  2.4000000E+02 -5.2506946E-03  9.6466592E-04  3.3941367E-03 -9.0135906E-03  0.0000000E+00
  2.4000000E+02 -5.1635026E-03  9.5491256E-04  3.3352164E-03 -8.7064384E-03  0.0000000E+00
  2.4000000E+02 -5.0861421E-03  9.5623697E-04  3.2592861E-03 -8.4041954E-03  0.0000000E+00
  2.4000000E+02 -4.9613860E-03  8.1364136E-04  3.1148032E-03 -8.1075249E-03  0.0000000E+00
  2.4000000E+02 -4.8453476E-03  7.0534032E-04  2.9635285E-03 -7.8141601E-03  0.0000000E+00
  2.4000000E+02 -4.7237537E-03  5.9934725E-04  2.8174362E-03 -7.5247595E-03  0.0000000E+00
  2.4000000E+02 -4.5947207E-03  5.0196347E-04  2.6856258E-03 -7.2391838E-03  0.0000000E+00
  2.4000000E+02 -4.4623957E-03  4.3252057E-04  2.5695893E-03 -6.9572729E-03  0.0000000E+00
  2.4000000E+02 -4.3316659E-03  4.0543506E-04  2.4628632E-03 -6.6792333E-03  0.0000000E+00
  2.4000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -1.4987137E-01  0.0000000E+00
  2.4000000E+02 -2.0290205E-01  3.9690302E-03 -1.4900204E-02 -1.4674819E-01  0.0000000E+00
  2.4000000E+02 -3.0458076E-01  1.6620447E-02 -5.0090452E-02 -1.4096271E-01  0.0000000E+00
  2.4000000E+02 -1.8478643E-01  3.3338858E-02 -5.8835859E-02 -1.3257173E-01  0.0000000E+00
