          atime           conv           prod        pres_tr        pres_df        garbage
  2.4000000E+02  2.8013909E-05 -2.8991443E-19 -4.4180186E-16  1.1131957E-04  1.1715781E-04
  2.4000000E+02 -1.2992578E-01  1.6138281E-01 -8.3415464E-02 -8.4025239E-02 -7.2870609E-04
  2.4000000E+02 -1.7670757E-01  1.8235647E-01 -5.6090773E-02 -5.5546226E-02  2.4225539E-04
  2.4000000E+02 -8.9632048E-02  3.6865226E-02  1.0953829E-02  1.1844552E-02 -1.2687559E-04
  2.4000000E+02 -6.3904229E-02 -1.5910542E-02  4.4524910E-02  4.4239059E-02  8.3892834E-05
  2.4000000E+02 -3.7711774E-02 -3.1550245E-02  5.7614980E-02  5.7654884E-02  1.5937638E-04
  2.4000000E+02 -3.0834412E-02 -3.4235453E-02  6.2694155E-02  6.2500267E-02  5.5144104E-05
  2.4000000E+02 -3.4308630E-02 -3.1480331E-02  6.3663492E-02  6.3104447E-02  5.8351810E-05
  2.4000000E+02 -3.6553962E-02 -2.8318530E-02  6.1342997E-02  6.0850900E-02  1.2630898E-04
  2.4000000E+02 -2.8429579E-02 -2.6014797E-02  5.4239533E-02  5.4022638E-02  1.1618783E-04
  2.4000000E+02 -2.4945190E-02 -2.2760168E-02  4.7945192E-02  4.7726097E-02  9.4811029E-05
  2.4000000E+02 -2.5195123E-02 -1.9368173E-02  4.4165529E-02  4.3936668E-02  9.7160510E-05
  2.4000000E+02 -2.4846223E-02 -1.6567819E-02  4.1186475E-02  4.0972346E-02  9.5821944E-05
  2.4000000E+02 -2.3774045E-02 -1.4305774E-02  3.8298394E-02  3.8137938E-02  8.7649414E-05
  2.4000000E+02 -2.2946518E-02 -1.2249982E-02  3.5515186E-02  3.5408874E-02  7.3021010E-05
  2.4000000E+02 -2.2831332E-02 -1.0097898E-02  3.2864530E-02  3.2807721E-02  5.9066255E-05
  2.4000000E+02 -2.3363446E-02 -8.0144142E-03  3.0171156E-02  3.0081424E-02  4.1664452E-05
  2.4000000E+02 -2.4300474E-02 -6.1669931E-03  2.7649399E-02  2.7617346E-02  2.8104291E-05
  2.4000000E+02 -2.5137365E-02 -4.4655055E-03  2.5243907E-02  2.5284768E-02  2.3745589E-05
  2.4000000E+02 -2.5519202E-02 -2.8031210E-03  2.2883340E-02  2.2937275E-02  2.9713154E-05
  2.4000000E+02 -2.5482354E-02 -1.2051853E-03  2.0552163E-02  2.0573167E-02  4.0537770E-05
  2.4000000E+02 -2.5342681E-02  1.8399253E-04  1.8284839E-02  1.8269689E-02  4.6680617E-05
  2.4000000E+02 -2.5166694E-02  1.2799747E-03  1.6106550E-02  1.6094345E-02  4.2138310E-05
  2.4000000E+02 -2.4472906E-02  2.2170169E-03  1.4158009E-02  1.4205410E-02  3.1412600E-05
  2.4000000E+02 -2.3479225E-02  3.1174866E-03  1.2392161E-02  1.2516407E-02  2.0302075E-05
  2.4000000E+02 -2.2163151E-02  3.8809752E-03  1.0731390E-02  1.0875224E-02  1.3840763E-05
  2.4000000E+02 -2.0337185E-02  4.5617631E-03  9.1497270E-03  9.2645912E-03  6.5609771E-06
  2.4000000E+02 -1.8105621E-02  5.2765415E-03  7.6939434E-03  7.7753062E-03 -3.0181012E-06
  2.4000000E+02 -1.5838102E-02  6.0885010E-03  6.4813073E-03  6.5462934E-03 -1.1201030E-05
  2.4000000E+02 -1.3857337E-02  6.9579330E-03  5.6222261E-03  5.6788913E-03 -1.4852443E-05
  2.4000000E+02 -1.2174861E-02  7.7582926E-03  5.1255114E-03  5.1701808E-03 -1.5106947E-05
  2.4000000E+02 -1.0608777E-02  8.3566651E-03  4.8439897E-03  4.9101656E-03 -1.0100387E-05
  2.4000000E+02 -9.3062579E-03  8.8072639E-03  4.5948371E-03  4.7592533E-03  1.5808918E-06
  2.4000000E+02 -8.1101661E-03  9.1010234E-03  4.2486821E-03  4.4553106E-03  5.3545119E-06
  2.4000000E+02 -7.5009316E-03  9.1538011E-03  3.8095492E-03  4.0223643E-03  1.5562037E-05
  2.4000000E+02 -7.2182837E-03  9.0799997E-03  3.3033698E-03  3.4585718E-03  1.8771650E-05
  2.4000000E+02 -6.8341647E-03  8.9512829E-03  2.7040806E-03  2.7790802E-03  1.7998660E-05
  2.4000000E+02 -6.0716622E-03  8.7972627E-03  2.0455780E-03  2.0670010E-03  1.7687633E-05
  2.4000000E+02 -4.9066144E-03  8.6227474E-03  1.4219174E-03  1.4392426E-03  1.8984630E-05
  2.4000000E+02 -3.5247317E-03  8.4310122E-03  9.3072433E-04  9.8025832E-04  2.0934316E-05
