          atime            tkk            imk        garbage        garbage        garbage
  2.4000000E+02 -7.2243336E-21  0.0000000E+00  1.1715781E-04 -2.8991443E-19  1.1131957E-04
  2.4000000E+02  1.4077225E-02  0.0000000E+00 -7.2870609E-04  1.6138281E-01 -8.4025239E-02
  2.4000000E+02  3.4654784E-02  0.0000000E+00  2.4225539E-04  1.8235647E-01 -5.5546226E-02
  2.4000000E+02  3.9055641E-02  0.0000000E+00 -1.2687559E-04  3.6865226E-02  1.1844552E-02
  2.4000000E+02  3.9301153E-02  0.0000000E+00  8.3892834E-05 -1.5910542E-02  4.4239059E-02
  2.4000000E+02  3.9071460E-02  0.0000000E+00  1.5937638E-04 -3.1550245E-02  5.7654884E-02
  2.4000000E+02  3.8985269E-02  0.0000000E+00  5.5144104E-05 -3.4235453E-02  6.2500267E-02
  2.4000000E+02  3.9067640E-02  0.0000000E+00  5.8351810E-05 -3.1480331E-02  6.3104447E-02
  2.4000000E+02  3.9209051E-02  0.0000000E+00  1.2630898E-04 -2.8318530E-02  6.0850900E-02
  2.4000000E+02  3.9290227E-02  0.0000000E+00  1.1618783E-04 -2.6014797E-02  5.4022638E-02
  2.4000000E+02  3.9328175E-02  0.0000000E+00  9.4811029E-05 -2.2760168E-02  4.7726097E-02
  2.4000000E+02  3.9357556E-02  0.0000000E+00  9.7160510E-05 -1.9368173E-02  4.3936668E-02
  2.4000000E+02  3.9402919E-02  0.0000000E+00  9.5821944E-05 -1.6567819E-02  4.0972346E-02
  2.4000000E+02  3.9476170E-02  0.0000000E+00  8.7649414E-05 -1.4305774E-02  3.8137938E-02
  2.4000000E+02  3.9561851E-02  0.0000000E+00  7.3021010E-05 -1.2249982E-02  3.5408874E-02
  2.4000000E+02  3.9626201E-02  0.0000000E+00  5.9066255E-05 -1.0097898E-02  3.2807721E-02
  2.4000000E+02  3.9658018E-02  0.0000000E+00  4.1664452E-05 -8.0144142E-03  3.0081424E-02
  2.4000000E+02  3.9671605E-02  0.0000000E+00  2.8104291E-05 -6.1669931E-03  2.7617346E-02
  2.4000000E+02  3.9683918E-02  0.0000000E+00  2.3745589E-05 -4.4655055E-03  2.5284768E-02
  2.4000000E+02  3.9684748E-02  0.0000000E+00  2.9713154E-05 -2.8031210E-03  2.2937275E-02
  2.4000000E+02  3.9651135E-02  0.0000000E+00  4.0537770E-05 -1.2051853E-03  2.0573167E-02
  2.4000000E+02  3.9576828E-02  0.0000000E+00  4.6680617E-05  1.8399253E-04  1.8269689E-02
  2.4000000E+02  3.9478919E-02  0.0000000E+00  4.2138310E-05  1.2799747E-03  1.6094345E-02
  2.4000000E+02  3.9363673E-02  0.0000000E+00  3.1412600E-05  2.2170169E-03  1.4205410E-02
  2.4000000E+02  3.9234544E-02  0.0000000E+00  2.0302075E-05  3.1174866E-03  1.2516407E-02
  2.4000000E+02  3.9088738E-02  0.0000000E+00  1.3840763E-05  3.8809752E-03  1.0875224E-02
  2.4000000E+02  3.8913780E-02  0.0000000E+00  6.5609771E-06  4.5617631E-03  9.2645912E-03
  2.4000000E+02  3.8700313E-02  0.0000000E+00 -3.0181012E-06  5.2765415E-03  7.7753062E-03
  2.4000000E+02  3.8447441E-02  0.0000000E+00 -1.1201030E-05  6.0885010E-03  6.5462934E-03
  2.4000000E+02  3.8160795E-02  0.0000000E+00 -1.4852443E-05  6.9579330E-03  5.6788913E-03
  2.4000000E+02  3.7846480E-02  0.0000000E+00 -1.5106947E-05  7.7582926E-03  5.1701808E-03
  2.4000000E+02  3.7504032E-02  0.0000000E+00 -1.0100387E-05  8.3566651E-03  4.9101656E-03
  2.4000000E+02  3.7125611E-02  0.0000000E+00  1.5808918E-06  8.8072639E-03  4.7592533E-03
  2.4000000E+02  3.6709663E-02  0.0000000E+00  5.3545119E-06  9.1010234E-03  4.4553106E-03
  2.4000000E+02  3.6274159E-02  0.0000000E+00  1.5562037E-05  9.1538011E-03  4.0223643E-03
  2.4000000E+02  3.5830441E-02  0.0000000E+00  1.8771650E-05  9.0799997E-03  3.4585718E-03
  2.4000000E+02  3.5380602E-02  0.0000000E+00  1.7998660E-05  8.9512829E-03  2.7790802E-03
  2.4000000E+02  3.4925985E-02  0.0000000E+00  1.7687633E-05  8.7972627E-03  2.0670010E-03
  2.4000000E+02  3.4469586E-02  0.0000000E+00  1.8984630E-05  8.6227474E-03  1.4392426E-03
  2.4000000E+02  3.4014886E-02  0.0000000E+00  2.0934316E-05  8.4310122E-03  9.8025832E-04
  2.4000000E+02  3.3563655E-02  0.0000000E+00  2.3236707E-05  8.2425521E-03  6.9676849E-04
  2.4000000E+02  3.3115235E-02  0.0000000E+00  2.6198334E-05  8.0987789E-03  5.4651285E-04
  2.4000000E+02  3.2669851E-02  0.0000000E+00  2.3512568E-05  8.0401233E-03  5.9409315E-04
  2.4000000E+02  3.2232936E-02  0.0000000E+00  2.1379458E-05  8.0361848E-03  5.7174370E-04
  2.4000000E+02  3.1801367E-02  0.0000000E+00  2.1497471E-05  7.9773943E-03  5.2849282E-04
  2.4000000E+02  3.1378031E-02  0.0000000E+00  2.1250577E-05  7.9017672E-03  4.8810922E-04
  2.4000000E+02  3.0962421E-02  0.0000000E+00  2.0355901E-05  7.8327539E-03  3.5584154E-04
  2.4000000E+02  3.0553109E-02  0.0000000E+00  1.7600510E-05  7.7659824E-03  1.2543286E-04
  2.4000000E+02  3.0150110E-02  0.0000000E+00  1.3402987E-05  7.6814978E-03 -1.5442884E-04
  2.4000000E+02  2.9755794E-02  0.0000000E+00  9.5803476E-06  7.5596797E-03 -4.1641524E-04
  2.4000000E+02  2.9374583E-02  0.0000000E+00  7.7246429E-06  7.3953325E-03 -6.0567874E-04
  2.4000000E+02  2.9011662E-02  0.0000000E+00  7.5936040E-06  7.2044485E-03 -6.9785104E-04
  2.4000000E+02  2.8670955E-02  0.0000000E+00  6.9196668E-06  7.0181408E-03 -6.9598070E-04
  2.4000000E+02  2.8352616E-02  0.0000000E+00  4.0417293E-06  6.8582428E-03 -5.9847069E-04
  2.4000000E+02  2.8050248E-02  0.0000000E+00  4.7639875E-06  6.6890738E-03 -3.3007738E-04
  2.4000000E+02  2.7763466E-02  0.0000000E+00 -1.0314687E-06  6.4604822E-03 -1.3732755E-04
  2.4000000E+02  2.7486521E-02  0.0000000E+00 -1.6732274E-06  6.2909529E-03  6.0449792E-05
  2.4000000E+02  2.7218346E-02  0.0000000E+00 -6.3846564E-07  6.2021292E-03  2.3074100E-04
  2.4000000E+02  2.6951621E-02  0.0000000E+00  2.9964276E-07  6.1731349E-03  3.6508357E-04
  2.4000000E+02  2.6678839E-02  0.0000000E+00  9.3083261E-07  6.1681075E-03  4.6150454E-04
  2.4000000E+02  2.6395635E-02  0.0000000E+00  1.5454441E-06  6.1542990E-03  5.1142219E-04
  2.4000000E+02  2.6101486E-02  0.0000000E+00  2.3879293E-06  6.1126360E-03  5.0367417E-04
  2.4000000E+02  2.5798692E-02  0.0000000E+00  3.4792605E-06  6.0414735E-03  4.3655009E-04
  2.4000000E+02  2.5490536E-02  0.0000000E+00  4.6613289E-06  5.9542839E-03  3.2870626E-04
  2.4000000E+02  2.5179561E-02  0.0000000E+00  5.7164266E-06  5.8720183E-03  2.1984050E-04
  2.4000000E+02  2.4866850E-02  0.0000000E+00  6.4149015E-06  5.8108792E-03  1.5200483E-04
  2.4000000E+02  2.4553241E-02  0.0000000E+00  6.3440756E-06  5.7662431E-03  1.2243384E-04
  2.4000000E+02  2.4243595E-02  0.0000000E+00  4.8207466E-06  5.7075745E-03  6.3857711E-05
  2.4000000E+02  2.3941711E-02  0.0000000E+00  2.8215839E-06  5.6794239E-03  2.9781198E-06
  2.4000000E+02  2.3654667E-02  0.0000000E+00  1.3913799E-06  5.6465325E-03 -1.2266504E-04
  2.4000000E+02  2.3383053E-02  0.0000000E+00  1.2514839E-06  5.5937992E-03 -2.4743786E-04
  2.4000000E+02  2.3120753E-02  0.0000000E+00  2.0758799E-06  5.5248292E-03 -3.5414442E-04
  2.4000000E+02  2.2861233E-02  0.0000000E+00  3.1849861E-06  5.4505795E-03 -4.4082046E-04
  2.4000000E+02  2.2600550E-02  0.0000000E+00  3.9755232E-06  5.3814771E-03 -5.0497495E-04
  2.4000000E+02  2.2337941E-02  0.0000000E+00  4.1336910E-06  5.3227205E-03 -5.4036341E-04
  2.4000000E+02  2.2074835E-02  0.0000000E+00  3.6788958E-06  5.2724763E-03 -5.4137675E-04
  2.4000000E+02  2.1813130E-02  0.0000000E+00  2.8852671E-06  5.2226816E-03 -5.1012939E-04
  2.4000000E+02  2.1553606E-02  0.0000000E+00  2.1282065E-06  5.1621625E-03 -4.6133055E-04
  2.4000000E+02  2.1295292E-02  0.0000000E+00  1.7032088E-06  5.0817817E-03 -4.2002244E-04
  2.4000000E+02  2.1036665E-02  0.0000000E+00  1.6641954E-06  4.9813242E-03 -4.0726911E-04
  2.4000000E+02  2.0779513E-02  0.0000000E+00  1.7286016E-06  4.8778331E-03 -4.0887988E-04
  2.4000000E+02  2.0524474E-02  0.0000000E+00  1.9262836E-06  4.7611457E-03 -4.5160904E-04
  2.4000000E+02  2.0269560E-02  0.0000000E+00  2.3363455E-06  4.6346165E-03 -4.8192612E-04
  2.4000000E+02  2.0011849E-02  0.0000000E+00  2.2962004E-06  4.5148131E-03 -5.0400162E-04
  2.4000000E+02  1.9751622E-02  0.0000000E+00  1.7593826E-06  4.4080041E-03 -5.2764913E-04
  2.4000000E+02  1.9491126E-02  0.0000000E+00  9.8106740E-07  4.3155144E-03 -5.5361655E-04
  2.4000000E+02  1.9232969E-02  0.0000000E+00  2.7682252E-07  4.2356845E-03 -5.7601916E-04
  2.4000000E+02  1.8978996E-02  0.0000000E+00 -1.2713040E-07  4.1656258E-03 -5.8638022E-04
  2.4000000E+02  1.8729637E-02  0.0000000E+00 -1.6342678E-07  4.1026188E-03 -5.7811854E-04
  2.4000000E+02  1.8483678E-02  0.0000000E+00  7.5876286E-08  4.0450009E-03 -5.5032218E-04
  2.4000000E+02  1.8238462E-02  0.0000000E+00  3.9640013E-07  3.9923909E-03 -5.0964785E-04
  2.4000000E+02  1.7990476E-02  0.0000000E+00  6.0492805E-07  3.9450977E-03 -4.6918504E-04
  2.4000000E+02  1.7736320E-02  0.0000000E+00  6.4799055E-07  3.9025590E-03 -4.4312452E-04
  2.4000000E+02  1.7474012E-02  0.0000000E+00  7.7427103E-07  3.8606597E-03 -4.3607027E-04
  2.4000000E+02  1.7204636E-02  0.0000000E+00  1.7095502E-06  3.8077732E-03 -4.2583431E-04
  2.4000000E+02  1.6928753E-02  0.0000000E+00  1.0772975E-07  3.7378846E-03 -5.1699820E-04
  2.4000000E+02  1.6649400E-02  0.0000000E+00 -4.3094641E-07  3.6419222E-03 -5.9076961E-04
  2.4000000E+02  1.6368138E-02  0.0000000E+00 -6.2619228E-07  3.5297043E-03 -6.5300164E-04
  2.4000000E+02  1.6087935E-02  0.0000000E+00 -7.8136912E-07  3.4102966E-03 -6.9998582E-04
  2.4000000E+02  1.5811431E-02  0.0000000E+00 -9.2483407E-07  3.2903051E-03 -7.2631260E-04
  2.4000000E+02  1.5540074E-02  0.0000000E+00 -9.8628148E-07  3.1734404E-03 -7.3055676E-04
  2.4000000E+02  0.0000000E+00  0.0000000E+00  4.5652866E-05  0.0000000E+00  4.4434389E-05
  2.4000000E+02  6.5351895E-03  0.0000000E+00 -3.3998803E-05  7.6865813E-02 -1.0704582E-01
  2.4000000E+02  2.5554248E-02  0.0000000E+00  7.8005167E-05  2.7874617E-01 -1.6893102E-01
  2.4000000E+02  3.6138801E-02  0.0000000E+00  4.2739254E-05  1.8093500E-01 -1.0508309E-01
  2.4000000E+02  3.8326745E-02  0.0000000E+00  4.8908678E-05  6.4026954E-02 -4.5033109E-02
  2.4000000E+02  3.8527255E-02  0.0000000E+00  4.7340445E-05  1.5496769E-02 -7.8443061E-03
  2.4000000E+02  3.8513029E-02  0.0000000E+00  5.1696805E-05 -3.9242324E-03  1.5299330E-02
  2.4000000E+02  3.8557998E-02  0.0000000E+00  5.4061225E-05 -1.2543906E-02  2.8160544E-02
  2.4000000E+02  3.8686909E-02  0.0000000E+00  6.9462128E-05 -1.6022789E-02  3.4420760E-02
  2.4000000E+02  3.8845999E-02  0.0000000E+00  7.5669880E-05 -1.6819499E-02  3.6892446E-02
  2.4000000E+02  3.8952511E-02  0.0000000E+00  7.8556174E-05 -1.6460343E-02  3.6978135E-02
  2.4000000E+02  3.9009845E-02  0.0000000E+00  8.0664739E-05 -1.5359259E-02  3.6020948E-02
  2.4000000E+02  3.9061792E-02  0.0000000E+00  8.0680078E-05 -1.3898654E-02  3.4572748E-02
  2.4000000E+02  3.9138870E-02  0.0000000E+00  7.6371189E-05 -1.2449423E-02  3.2994903E-02
  2.4000000E+02  3.9238485E-02  0.0000000E+00  6.2509801E-05 -1.1081663E-02  3.1543774E-02
  2.4000000E+02  3.9326869E-02  0.0000000E+00  5.2488968E-05 -9.6180572E-03  3.0047384E-02
  2.4000000E+02  3.9376690E-02  0.0000000E+00  4.0212056E-05 -7.9351741E-03  2.8126159E-02
  2.4000000E+02  3.9392546E-02  0.0000000E+00  2.8254047E-05 -6.2356395E-03  2.6363813E-02
  2.4000000E+02  3.9399158E-02  0.0000000E+00  1.9291943E-05 -4.6149398E-03  2.4659642E-02
  2.4000000E+02  3.9400541E-02  0.0000000E+00  2.2454195E-05 -3.0419495E-03  2.2800435E-02
  2.4000000E+02  3.9379256E-02  0.0000000E+00  3.4953973E-05 -1.5085164E-03  2.0785650E-02
  2.4000000E+02  3.9319576E-02  0.0000000E+00  4.2724502E-05 -1.0781750E-04  1.8709782E-02
  2.4000000E+02  3.9228359E-02  0.0000000E+00  4.2506188E-05  1.0284340E-03  1.6696187E-02
  2.4000000E+02  3.9123772E-02  0.0000000E+00  2.8708929E-05  1.9123376E-03  1.4877360E-02
  2.4000000E+02  3.9008091E-02  0.0000000E+00  1.9325323E-05  2.7605184E-03  1.3293097E-02
  2.4000000E+02  3.8880035E-02  0.0000000E+00  1.3588383E-05  3.5241368E-03  1.1714960E-02
  2.4000000E+02  3.8731467E-02  0.0000000E+00  6.4837158E-06  4.2062043E-03  1.0090755E-02
  2.4000000E+02  3.8551704E-02  0.0000000E+00 -1.5931404E-06  4.8850221E-03  8.5169699E-03
  2.4000000E+02  3.8333207E-02  0.0000000E+00 -9.1317243E-06  5.6397139E-03  7.1383553E-03
  2.4000000E+02  3.8075698E-02  0.0000000E+00 -1.4378821E-05  6.4789067E-03  6.0865071E-03
  2.4000000E+02  3.7784763E-02  0.0000000E+00 -1.5082398E-05  7.3120293E-03  5.4219030E-03
  2.4000000E+02  3.7465845E-02  0.0000000E+00 -9.4255210E-06  7.9895903E-03  5.0520522E-03
  2.4000000E+02  3.7109683E-02  0.0000000E+00 -3.1274928E-06  8.5084024E-03  4.8355510E-03
  2.4000000E+02  3.6713904E-02  0.0000000E+00  3.2912723E-06  8.9079334E-03  4.6585899E-03
  2.4000000E+02  3.6289897E-02  0.0000000E+00  1.0244456E-05  9.0798093E-03  4.3052788E-03
  2.4000000E+02  3.5851068E-02  0.0000000E+00  1.4513607E-05  9.0801589E-03  3.8342008E-03
  2.4000000E+02  3.5404463E-02  0.0000000E+00  1.6111795E-05  8.9874413E-03  3.2470011E-03
  2.4000000E+02  3.4955277E-02  0.0000000E+00  1.6089563E-05  8.8551120E-03  2.5805450E-03
  2.4000000E+02  3.4507816E-02  0.0000000E+00  1.5923709E-05  8.7032430E-03  1.9205104E-03
  2.4000000E+02  3.4064566E-02  0.0000000E+00  1.7352039E-05  8.5337652E-03  1.3693869E-03
  2.4000000E+02  3.3625058E-02  0.0000000E+00  2.1517225E-05  8.3539987E-03  1.0018477E-03
  2.4000000E+02  3.3186162E-02  0.0000000E+00  2.6282923E-05  8.1931387E-03  8.4046727E-04
  2.4000000E+02  3.2744473E-02  0.0000000E+00  2.0541933E-05  8.0962404E-03  8.8512348E-04
