          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  2.4000000E+02  6.0254945E-01 -1.5718047E-04  2.1496300E-01 -1.7086508E-01  0.0000000E+00
  2.4000000E+02 -4.0355365E-02  1.4313339E-02  1.8144105E-01 -1.6358890E-01  0.0000000E+00
  2.4000000E+02 -2.3010730E-01  8.5454682E-03 -1.4617930E-01 -1.4838331E-01  0.0000000E+00
  2.4000000E+02  1.0253198E-02  5.5783862E-03 -9.4741136E-02 -1.3362474E-01  0.0000000E+00
  2.4000000E+02  1.3144137E-02  1.6504324E-03 -2.3006509E-02 -1.2177357E-01  0.0000000E+00
  2.4000000E+02  3.6643654E-03 -1.2355585E-03 -1.2353017E-04 -1.1262709E-01  0.0000000E+00
  2.4000000E+02  5.0641725E-04 -2.2225939E-03  3.3849253E-03 -1.0538494E-01  0.0000000E+00
  2.4000000E+02  2.2227986E-04 -2.4278167E-03  2.8619174E-03 -9.9472600E-02  0.0000000E+00
  2.4000000E+02 -5.7578069E-05 -1.9167408E-03  5.8586072E-04 -9.4568634E-02  0.0000000E+00
  2.4000000E+02  1.7388660E-03 -2.0355271E-03 -6.4363412E-04 -9.0444452E-02  0.0000000E+00
  2.4000000E+02  2.7353473E-03 -2.4264750E-03 -3.1931245E-04 -8.6896027E-02  0.0000000E+00
  2.4000000E+02  3.3271633E-03 -2.5744736E-03  3.6202305E-04 -8.3782882E-02  0.0000000E+00
  2.4000000E+02  3.5164075E-03 -2.3595527E-03  6.9930245E-04 -8.1009788E-02  0.0000000E+00
  2.4000000E+02  2.8080890E-03 -1.9975199E-03  5.4748482E-04 -7.8500011E-02  0.0000000E+00
  2.4000000E+02  1.2528623E-03 -1.6200512E-03  3.5753752E-04 -7.6193839E-02  0.0000000E+00
  2.4000000E+02  2.4248820E-04 -1.1910140E-03  6.3200977E-04 -7.4044841E-02  0.0000000E+00
  2.4000000E+02  1.6090286E-04 -7.6874653E-04  9.1848178E-04 -7.2015353E-02  0.0000000E+00
  2.4000000E+02  1.3404548E-04 -4.0982188E-04  1.3921959E-03 -7.0075636E-02  0.0000000E+00
  2.4000000E+02  4.9715708E-05 -2.0035300E-04  1.2856018E-03 -6.8204884E-02  0.0000000E+00
  2.4000000E+02  2.0439069E-04 -5.7037383E-05  4.9019808E-04 -6.6392192E-02  0.0000000E+00
  2.4000000E+02  7.2677722E-04  1.3718154E-04 -4.0949114E-04 -6.4633143E-02  0.0000000E+00
  2.4000000E+02  1.0814728E-03  3.5753010E-04 -7.2246974E-04 -6.2924630E-02  0.0000000E+00
  2.4000000E+02  3.1141862E-04  4.6862670E-04 -3.8062086E-04 -6.1263934E-02  0.0000000E+00
  2.4000000E+02 -3.5409245E-04  4.8670733E-04 -5.8933163E-05 -5.9648596E-02  0.0000000E+00
  2.4000000E+02 -5.3866426E-04  3.5962962E-04  5.2164218E-05 -5.8074630E-02  0.0000000E+00
  2.4000000E+02 -5.9316874E-04  3.1390813E-04 -2.4158292E-06 -5.6536074E-02  0.0000000E+00
  2.4000000E+02 -4.6395291E-04  3.3133374E-04 -9.6411068E-05 -5.5029537E-02  0.0000000E+00
  2.4000000E+02 -2.8811943E-04  3.1672589E-04 -1.0009947E-04 -5.3552917E-02  0.0000000E+00
  2.4000000E+02 -2.3940472E-04  2.2188348E-04  2.4636644E-05 -5.2104477E-02  0.0000000E+00
  2.4000000E+02 -3.5379067E-04  7.9999239E-05  1.7145287E-04 -5.0683851E-02  0.0000000E+00
  2.4000000E+02 -5.0016732E-04 -2.4470061E-05  1.5979137E-04 -4.9293164E-02  0.0000000E+00
  2.4000000E+02 -6.6136374E-04 -2.5485418E-05  9.1358664E-06 -4.7936507E-02  0.0000000E+00
  2.4000000E+02 -1.0243537E-03  5.9215950E-05  9.1506064E-05 -4.6617048E-02  0.0000000E+00
  2.4000000E+02 -4.3869985E-04  1.9980277E-04 -1.5044378E-04 -4.5340950E-02  0.0000000E+00
  2.4000000E+02 -2.5487295E-04  2.8132640E-04 -1.6202533E-04 -4.4111345E-02  0.0000000E+00
  2.4000000E+02 -3.7143566E-04  2.5725563E-04 -4.8811867E-05 -4.2929718E-02  0.0000000E+00
  2.4000000E+02 -3.8530040E-04  1.5257227E-04 -1.3176282E-05 -4.1794359E-02  0.0000000E+00
  2.4000000E+02 -1.5041515E-04  3.2000110E-05 -1.2176993E-04 -4.0700429E-02  0.0000000E+00
  2.4000000E+02  1.6768651E-04 -3.8705443E-05 -2.8795161E-04 -3.9641701E-02  0.0000000E+00
  2.4000000E+02  3.1594867E-04 -2.7416760E-05 -3.7345791E-04 -3.8612889E-02  0.0000000E+00
  2.4000000E+02  2.3094756E-04  4.4748050E-05 -3.1360632E-04 -3.7611466E-02  0.0000000E+00
  2.4000000E+02  1.4361487E-04  1.0983897E-04 -1.7032227E-04 -3.6637880E-02  0.0000000E+00
  2.4000000E+02  2.8600759E-04  9.6510075E-05 -1.7281499E-05 -3.5693089E-02  0.0000000E+00
  2.4000000E+02  4.1143271E-04  2.6062845E-05 -3.2832135E-05 -3.4780705E-02  0.0000000E+00
  2.4000000E+02  5.6697476E-04 -9.2871223E-05 -1.4543533E-05 -3.3898960E-02  0.0000000E+00
  2.4000000E+02  3.6898760E-04 -1.3805853E-04  9.2153181E-05 -3.3050257E-02  0.0000000E+00
  2.4000000E+02 -1.0720824E-05 -1.0964200E-04  1.7836601E-04 -3.2232345E-02  0.0000000E+00
  2.4000000E+02 -2.7300341E-04 -6.4779022E-05  1.9120922E-04 -3.1439955E-02  0.0000000E+00
  2.4000000E+02 -2.6838092E-04 -5.2151197E-05  1.4716067E-04 -3.0667914E-02  0.0000000E+00
  2.4000000E+02 -5.5167933E-05 -8.3813498E-05  1.0308336E-04 -2.9912431E-02  0.0000000E+00
  2.4000000E+02  1.8290627E-04 -1.3569915E-04  1.0848436E-04 -2.9171212E-02  0.0000000E+00
  2.4000000E+02  2.8120554E-04 -1.6809667E-04  1.6258430E-04 -2.8443056E-02  0.0000000E+00
  2.4000000E+02  2.2244751E-04 -1.5741537E-04  1.9977056E-04 -2.7727563E-02  0.0000000E+00
  2.4000000E+02  1.7034073E-04 -1.3055587E-04  1.2700738E-04 -2.7025618E-02  0.0000000E+00
  2.4000000E+02  3.3022227E-04 -1.9320177E-04 -6.3223998E-05 -2.6341289E-02  0.0000000E+00
  2.4000000E+02  1.6540083E-04 -1.5105427E-04  8.8391040E-05 -2.5672949E-02  0.0000000E+00
  2.4000000E+02  1.0431362E-04 -1.9343269E-04  7.6391994E-05 -2.5023826E-02  0.0000000E+00
  2.4000000E+02  2.9913818E-05 -2.7457894E-04  4.3995229E-06 -2.4392490E-02  0.0000000E+00
  2.4000000E+02 -5.0798203E-05 -3.3576155E-04 -6.2133705E-05 -2.3777602E-02  0.0000000E+00
  2.4000000E+02 -9.5072184E-05 -3.4845703E-04 -1.0096142E-04 -2.3178022E-02  0.0000000E+00
  2.4000000E+02 -8.7588888E-05 -3.1573794E-04 -1.1153848E-04 -2.2592705E-02  0.0000000E+00
  2.4000000E+02 -5.1000148E-05 -2.6040027E-04 -1.0206149E-04 -2.2020774E-02  0.0000000E+00
  2.4000000E+02 -2.4352158E-05 -2.0727882E-04 -8.2787283E-05 -2.1461658E-02  0.0000000E+00
  2.4000000E+02 -2.9916066E-05 -1.6719947E-04 -6.3361374E-05 -2.0915216E-02  0.0000000E+00
  2.4000000E+02 -4.8949946E-05 -1.3001694E-04 -5.1888311E-05 -2.0381717E-02  0.0000000E+00
  2.4000000E+02 -2.6916211E-05 -7.4186770E-05 -5.3476028E-05 -1.9861591E-02  0.0000000E+00
  2.4000000E+02  7.1321460E-05 -3.2039743E-07 -6.5986191E-05 -1.9354842E-02  0.0000000E+00
  2.4000000E+02  1.4666753E-04  3.1956469E-05 -6.7187746E-06 -1.8860541E-02  0.0000000E+00
