          atime           uavg           vavg           wavg         pm1avg           tavg
  2.0799350E+02  2.4868461E-05  2.5831179E-10 -2.2734547E-08 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  2.9175221E-01  5.0990010E-03  2.2623557E-04 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  5.2819628E-01  1.4747578E-02  8.9934340E-04 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  6.7557576E-01  2.2608411E-02  1.2981527E-03 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  7.5316385E-01  2.6956058E-02  1.1872217E-03 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  7.9246905E-01  2.8666547E-02  6.9043653E-04 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  8.1354994E-01  2.8867802E-02 -9.1825970E-05 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  8.2608920E-01  2.8310775E-02 -1.1184715E-03 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  8.3468028E-01  2.7414512E-02 -2.2375366E-03 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  8.4157743E-01  2.6386345E-02 -3.2904848E-03 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  8.4793634E-01  2.5329997E-02 -4.1884197E-03 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  8.5425809E-01  2.4291809E-02 -4.8879566E-03 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  8.6067505E-01  2.3294144E-02 -5.3868121E-03 -6.4535137E-02  0.0000000E+00
  2.0799350E+02  8.6716390E-01  2.2359647E-02 -5.7170449E-03 -6.2559026E-02  0.0000000E+00
  2.0799350E+02  8.7369319E-01  2.1510382E-02 -5.9039106E-03 -6.0563377E-02  0.0000000E+00
  2.0799350E+02  8.8029880E-01  2.0741790E-02 -5.8821711E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  8.8701575E-01  2.0043270E-02 -5.5930493E-03 -5.6602816E-02  0.0000000E+00
  2.0799350E+02  8.9379725E-01  1.9419784E-02 -5.0975606E-03 -5.4656926E-02  0.0000000E+00
  2.0799350E+02  9.0056769E-01  1.8855573E-02 -4.5554377E-03 -5.2745672E-02  0.0000000E+00
  2.0799350E+02  9.0726787E-01  1.8320393E-02 -4.1003282E-03 -5.0877670E-02  0.0000000E+00
  2.0799350E+02  9.1387085E-01  1.7789400E-02 -3.7854890E-03 -4.9058430E-02  0.0000000E+00
  2.0799350E+02  9.2038791E-01  1.7251420E-02 -3.5868308E-03 -4.7290626E-02  0.0000000E+00
  2.0799350E+02  9.2686350E-01  1.6708247E-02 -3.4399438E-03 -4.5575487E-02  0.0000000E+00
  2.0799350E+02  9.3335808E-01  1.6167666E-02 -3.2877304E-03 -4.3914070E-02  0.0000000E+00
  2.0799350E+02  9.3991777E-01  1.5632867E-02 -3.1152765E-03 -4.2307157E-02  0.0000000E+00
  2.0799350E+02  9.4652966E-01  1.5090919E-02 -2.9485867E-03 -4.0752531E-02  0.0000000E+00
  2.0799350E+02  9.5311666E-01  1.4540940E-02 -2.8070053E-03 -3.9246318E-02  0.0000000E+00
  2.0799350E+02  9.5958875E-01  1.3995066E-02 -2.7026084E-03 -3.7791355E-02  0.0000000E+00
  2.0799350E+02  9.6591768E-01  1.3443876E-02 -2.6700261E-03 -3.6376289E-02  0.0000000E+00
  2.0799350E+02  9.7204547E-01  1.2883912E-02 -2.7101536E-03 -3.5009424E-02  0.0000000E+00
  2.0799350E+02  9.7794619E-01  1.2312503E-02 -2.8019418E-03 -3.3699519E-02  0.0000000E+00
  2.0799350E+02  9.8362848E-01  1.1733573E-02 -2.9194012E-03 -3.2452893E-02  0.0000000E+00
  2.0799350E+02  9.8913361E-01  1.1157398E-02 -3.0433314E-03 -3.1271077E-02  0.0000000E+00
  2.0799350E+02  9.9452249E-01  1.0597204E-02 -3.1677537E-03 -3.0150842E-02  0.0000000E+00
  2.0799350E+02  9.9985708E-01  1.0064450E-02 -3.3007911E-03 -2.9085790E-02  0.0000000E+00
  2.0799350E+02  1.0051817E+00  9.5647173E-03 -3.4597365E-03 -2.8068657E-02  0.0000000E+00
  2.0799350E+02  1.0105094E+00  9.0960404E-03 -3.6600506E-03 -2.7093501E-02  0.0000000E+00
  2.0799350E+02  1.0158196E+00  8.6515986E-03 -3.8980333E-03 -2.6156944E-02  0.0000000E+00
  2.0799350E+02  1.0210713E+00  8.2286190E-03 -4.1269094E-03 -2.5257619E-02  0.0000000E+00
  2.0799350E+02  1.0262466E+00  7.8259271E-03 -4.2836378E-03 -2.4394622E-02  0.0000000E+00
  2.0799350E+02  1.0313904E+00  7.4385051E-03 -4.3311917E-03 -2.3563779E-02  0.0000000E+00
  2.0799350E+02  1.0364858E+00  7.0636729E-03 -4.2700768E-03 -2.2762374E-02  0.0000000E+00
  2.0799350E+02  1.0415276E+00  6.6962945E-03 -4.1262082E-03 -2.1989609E-02  0.0000000E+00
  2.0799350E+02  1.0465227E+00  6.3383555E-03 -3.9105092E-03 -2.1244587E-02  0.0000000E+00
  2.0799350E+02  1.0514805E+00  5.9943616E-03 -3.6279709E-03 -2.0526181E-02  0.0000000E+00
  2.0799350E+02  1.0564070E+00  5.6680995E-03 -3.2845679E-03 -1.9832933E-02  0.0000000E+00
  2.0799350E+02  1.0613019E+00  5.3606554E-03 -2.8919453E-03 -1.9162985E-02  0.0000000E+00
  2.0799350E+02  1.0661584E+00  5.0695889E-03 -2.4697850E-03 -1.8514094E-02  0.0000000E+00
  2.0799350E+02  1.0709644E+00  4.7891556E-03 -2.0457637E-03 -1.7883733E-02  0.0000000E+00
  2.0799350E+02  1.0757055E+00  4.5114776E-03 -1.6530140E-03 -1.7269336E-02  0.0000000E+00
  2.0799350E+02  1.0803680E+00  4.2285552E-03 -1.3249992E-03 -1.6668676E-02  0.0000000E+00
  2.0799350E+02  1.0849425E+00  3.9350179E-03 -1.0877125E-03 -1.6080447E-02  0.0000000E+00
  2.0799350E+02  1.0894259E+00  3.6315095E-03 -9.4911339E-04 -1.5505037E-02  0.0000000E+00
  2.0799350E+02  1.0938231E+00  3.3286039E-03 -8.8570983E-04 -1.4945549E-02  0.0000000E+00
  2.0799350E+02  1.0981312E+00  3.0374571E-03 -8.5649729E-04 -1.4403164E-02  0.0000000E+00
  2.0799350E+02  1.1023769E+00  2.7683993E-03 -8.6526418E-04 -1.3879610E-02  0.0000000E+00
  2.0799350E+02  1.1066068E+00  2.5320511E-03 -8.7674628E-04 -1.3373855E-02  0.0000000E+00
  2.0799350E+02  1.1108082E+00  2.3311730E-03 -8.7872339E-04 -1.2885140E-02  0.0000000E+00
  2.0799350E+02  1.1149681E+00  2.1664967E-03 -8.7341854E-04 -1.2412852E-02  0.0000000E+00
  2.0799350E+02  1.1190735E+00  2.0364818E-03 -8.7064614E-04 -1.1956793E-02  0.0000000E+00
  2.0799350E+02  1.1231164E+00  1.9371530E-03 -8.8265421E-04 -1.1516748E-02  0.0000000E+00
  2.0799350E+02  1.1270958E+00  1.8624075E-03 -9.2046813E-04 -1.1092292E-02  0.0000000E+00
  2.0799350E+02  1.1310172E+00  1.8046610E-03 -9.9153986E-04 -1.0682756E-02  0.0000000E+00
  2.0799350E+02  1.1348902E+00  1.7557044E-03 -1.0985064E-03 -1.0287306E-02  0.0000000E+00
  2.0799350E+02  1.1387258E+00  1.7076394E-03 -1.2388615E-03 -9.9050745E-03  0.0000000E+00
  2.0799350E+02  1.1425320E+00  1.6537651E-03 -1.4053443E-03 -9.5352792E-03  0.0000000E+00
  2.0799350E+02  1.1463111E+00  1.5892839E-03 -1.5868494E-03 -9.1772813E-03  0.0000000E+00
  2.0799350E+02  1.1500569E+00  1.5116987E-03 -1.7696610E-03 -8.8305170E-03  0.0000000E+00
  2.0799350E+02  1.1537533E+00  1.4207696E-03 -1.9388166E-03 -8.4942474E-03  0.0000000E+00
  2.0799350E+02  1.1573757E+00  1.3179026E-03 -2.0794031E-03 -8.1670671E-03  0.0000000E+00
  2.0799350E+02  1.1609014E+00  1.2021107E-03 -2.1853877E-03 -7.8474938E-03  0.0000000E+00
  2.0799350E+02  1.1643342E+00  1.0728903E-03 -2.2756149E-03 -7.5357236E-03  0.0000000E+00
  2.0799350E+02  1.1676744E+00  9.3666020E-04 -2.3297325E-03 -7.2294167E-03  0.0000000E+00
  2.0799350E+02  1.1709322E+00  7.9392910E-04 -2.3488885E-03 -6.9290749E-03  0.0000000E+00
  2.0799350E+02  1.1741117E+00  6.4827524E-04 -2.3410382E-03 -6.6347323E-03  0.0000000E+00
  2.0799350E+02  1.1772125E+00  5.0456947E-04 -2.3155647E-03 -6.3464076E-03  0.0000000E+00
  2.0799350E+02  1.1802325E+00  3.6769135E-04 -2.2800591E-03 -6.0643260E-03  0.0000000E+00
  2.0799350E+02  1.1831691E+00  2.4168233E-04 -2.2388676E-03 -5.7889623E-03  0.0000000E+00
  2.0799350E+02  1.1860206E+00  1.2927977E-04 -2.1930172E-03 -5.5209547E-03  0.0000000E+00
  2.0799350E+02  1.1887872E+00  3.1776229E-05 -2.1411273E-03 -5.2609416E-03  0.0000000E+00
  2.0799350E+02  1.1914717E+00 -5.0852240E-05 -2.0809185E-03 -5.0093725E-03  0.0000000E+00
  2.0799350E+02  1.1940788E+00 -1.1960447E-04 -2.0109268E-03 -4.7663417E-03  0.0000000E+00
  2.0799350E+02  1.1966146E+00 -1.7595534E-04 -1.9320331E-03 -4.5314992E-03  0.0000000E+00
  2.0799350E+02  1.1990808E+00 -2.2118278E-04 -1.8485695E-03 -4.3044927E-03  0.0000000E+00
  2.0799350E+02  1.2014904E+00 -2.5603235E-04 -1.7676862E-03 -4.0835439E-03  0.0000000E+00
  2.0799350E+02  1.2038378E+00 -2.7959114E-04 -1.6989179E-03 -3.8683631E-03  0.0000000E+00
  2.0799350E+02  1.2061130E+00 -2.8906552E-04 -1.6504616E-03 -3.6592063E-03  0.0000000E+00
  2.0799350E+02  1.2082957E+00 -2.8510323E-04 -1.6223748E-03 -3.4563490E-03  0.0000000E+00
  2.0799350E+02  1.2103718E+00 -2.7652494E-04 -1.6004637E-03 -3.2587992E-03  0.0000000E+00
  2.0799350E+02  1.2123525E+00 -2.6350277E-04 -1.5823878E-03 -3.0690020E-03  0.0000000E+00
  2.0799350E+02  1.2142462E+00 -2.4879906E-04 -1.5666687E-03 -2.8869868E-03  0.0000000E+00
  2.0799350E+02  1.2160530E+00 -2.3194285E-04 -1.5518640E-03 -2.7126887E-03  0.0000000E+00
  2.0799350E+02  1.2177681E+00 -2.1133198E-04 -1.5371822E-03 -2.5458677E-03  0.0000000E+00
  2.0799350E+02  1.2193850E+00 -1.8557885E-04 -1.5228386E-03 -2.3860951E-03  0.0000000E+00
  2.0799350E+02  1.2208974E+00 -1.5422258E-04 -1.5101700E-03 -2.2327900E-03  0.0000000E+00
  2.0799350E+02  1.2223002E+00 -1.1793023E-04 -1.5015261E-03 -2.0852873E-03  0.0000000E+00
  2.0799350E+02  1.2235901E+00 -7.8309601E-05 -1.4999572E-03 -1.9429229E-03  0.0000000E+00
  2.0799350E+02  1.2247657E+00 -3.7456437E-05 -1.5087148E-03 -1.8051161E-03  0.0000000E+00
  2.0799350E+02  1.2258270E+00  2.6414260E-06 -1.5305844E-03 -1.6714337E-03  0.0000000E+00
  2.0799350E+02  1.2267753E+00  4.0720290E-05 -1.5670683E-03 -1.5416186E-03  0.0000000E+00
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -8.3892981E-02  0.0000000E+00
  2.0799350E+02  2.7508112E-01  3.9737929E-04 -4.1726263E-05 -8.3303684E-02  0.0000000E+00
  2.0799350E+02  5.0950951E-01  7.0689323E-03  5.6080225E-04 -8.2133832E-02  0.0000000E+00
  2.0799350E+02  6.6292275E-01  1.3918543E-02  1.0421331E-03 -8.0400565E-02  0.0000000E+00
  2.0799350E+02  7.4673693E-01  1.8380329E-02  1.0306604E-03 -7.8487764E-02  0.0000000E+00
  2.0799350E+02  7.8998510E-01  2.0589493E-02  5.8926741E-04 -7.6651018E-02  0.0000000E+00
  2.0799350E+02  8.1323078E-01  2.1358530E-02 -1.6405552E-04 -7.4957375E-02  0.0000000E+00
  2.0799350E+02  8.2689455E-01  2.1345983E-02 -1.1705796E-03 -7.3367038E-02  0.0000000E+00
  2.0799350E+02  8.3605881E-01  2.0950793E-02 -2.2827444E-03 -7.1811491E-02  0.0000000E+00
  2.0799350E+02  8.4322141E-01  2.0379873E-02 -3.3423163E-03 -7.0228141E-02  0.0000000E+00
  2.0799350E+02  8.4966022E-01  1.9738368E-02 -4.2497466E-03 -6.8569926E-02  0.0000000E+00
  2.0799350E+02  8.5595043E-01  1.9071275E-02 -4.9515315E-03 -6.6813275E-02  0.0000000E+00
  2.0799350E+02  8.6227617E-01  1.8398726E-02 -5.4427466E-03 -6.4961944E-02  0.0000000E+00
  2.0799350E+02  8.6864650E-01  1.7745269E-02 -5.7614471E-03 -6.3044196E-02  0.0000000E+00
  2.0799350E+02  8.7504365E-01  1.7141158E-02 -5.9436084E-03 -6.1099534E-02  0.0000000E+00
  2.0799350E+02  8.8151254E-01  1.6591363E-02 -5.9302958E-03 -5.9154842E-02  0.0000000E+00
  2.0799350E+02  8.8809081E-01  1.6088692E-02 -5.6622095E-03 -5.7225209E-02  0.0000000E+00
  2.0799350E+02  8.9474632E-01  1.5645754E-02 -5.1865097E-03 -5.5316534E-02  0.0000000E+00
  2.0799350E+02  9.0141233E-01  1.5254435E-02 -4.6536180E-03 -5.3437873E-02  0.0000000E+00
  2.0799350E+02  9.0802882E-01  1.4887276E-02 -4.1969962E-03 -5.1597584E-02  0.0000000E+00
  2.0799350E+02  9.1456154E-01  1.4518843E-02 -3.8746634E-03 -4.9800966E-02  0.0000000E+00
  2.0799350E+02  9.2101285E-01  1.4136458E-02 -3.6675817E-03 -4.8050553E-02  0.0000000E+00
  2.0799350E+02  9.2742155E-01  1.3741844E-02 -3.5130714E-03 -4.6347686E-02  0.0000000E+00
  2.0799350E+02  9.3384899E-01  1.3345167E-02 -3.3514182E-03 -4.4694015E-02  0.0000000E+00
  2.0799350E+02  9.4034897E-01  1.2953020E-02 -3.1638336E-03 -4.3091564E-02  0.0000000E+00
  2.0799350E+02  9.4693050E-01  1.2551085E-02 -2.9796280E-03 -4.1537229E-02  0.0000000E+00
  2.0799350E+02  9.5349413E-01  1.2129981E-02 -2.8223582E-03 -4.0033328E-02  0.0000000E+00
  2.0799350E+02  9.5995560E-01  1.1700935E-02 -2.7018668E-03 -3.8576918E-02  0.0000000E+00
  2.0799350E+02  9.6626387E-01  1.1260820E-02 -2.6527812E-03 -3.7160465E-02  0.0000000E+00
  2.0799350E+02  9.7238293E-01  1.0807590E-02 -2.6755343E-03 -3.5788103E-02  0.0000000E+00
  2.0799350E+02  9.7829267E-01  1.0339105E-02 -2.7522448E-03 -3.4468282E-02  0.0000000E+00
  2.0799350E+02  9.8399929E-01  9.8583549E-03 -2.8601736E-03 -3.3208106E-02  0.0000000E+00
  2.0799350E+02  9.8953465E-01  9.3739993E-03 -2.9816927E-03 -3.2010559E-02  0.0000000E+00
  2.0799350E+02  9.9494798E-01  8.8978691E-03 -3.1102209E-03 -3.0873965E-02  0.0000000E+00
  2.0799350E+02  1.0002929E+00  8.4410600E-03 -3.2515819E-03 -2.9793024E-02  0.0000000E+00
  2.0799350E+02  1.0056134E+00  8.0102540E-03 -3.4202386E-03 -2.8760751E-02  0.0000000E+00
  2.0799350E+02  1.0109314E+00  7.6059025E-03 -3.6298594E-03 -2.7770672E-02  0.0000000E+00
