          atime          uvcov          vwcov          wucov         pm1avg           tavg
  2.0799350E+02  1.6414243E-11  9.2268686E-13  1.1392259E-11 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -1.1468780E-04 -6.9950509E-06  3.0393693E-04 -8.3523519E-02  0.0000000E+00
  2.0799350E+02 -7.4890984E-04 -2.1842785E-06  1.0186792E-03 -8.2266432E-02  0.0000000E+00
  2.0799350E+02 -1.5712640E-03  3.0432541E-05  1.6416644E-03 -8.0429800E-02  0.0000000E+00
  2.0799350E+02 -2.2754292E-03  6.0218988E-05  1.9215727E-03 -7.8449917E-02  0.0000000E+00
  2.0799350E+02 -2.9544444E-03  6.3699619E-05  1.9710662E-03 -7.6577742E-02  0.0000000E+00
  2.0799350E+02 -3.7174567E-03  3.4269388E-05  1.9495210E-03 -7.4857711E-02  0.0000000E+00
  2.0799350E+02 -4.5633188E-03 -9.7704280E-06  1.9049267E-03 -7.3235418E-02  0.0000000E+00
  2.0799350E+02 -5.4397739E-03 -4.5295711E-05  1.8238241E-03 -7.1635461E-02  0.0000000E+00
  2.0799350E+02 -6.2809829E-03 -6.4477296E-05  1.7205506E-03 -6.9996317E-02  0.0000000E+00
  2.0799350E+02 -7.0368311E-03 -7.2334875E-05  1.6041710E-03 -6.8274457E-02  0.0000000E+00
  2.0799350E+02 -7.6761035E-03 -7.3860782E-05  1.4830427E-03 -6.6451041E-02  0.0000000E+00
  2.0799350E+02 -8.1889215E-03 -6.9273937E-05  1.3685159E-03 -6.4535137E-02  0.0000000E+00
  2.0799350E+02 -8.5858462E-03 -5.5592361E-05  1.2694795E-03 -6.2559026E-02  0.0000000E+00
  2.0799350E+02 -8.8904813E-03 -3.2342927E-05  1.1803535E-03 -6.0563377E-02  0.0000000E+00
  2.0799350E+02 -9.1242121E-03 -8.2859360E-06  1.0745952E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02 -9.2929141E-03  3.9740841E-06  9.3471087E-04 -5.6602816E-02  0.0000000E+00
  2.0799350E+02 -9.3956469E-03  6.8798977E-06  7.7868134E-04 -5.4656926E-02  0.0000000E+00
  2.0799350E+02 -9.4324663E-03  5.3616934E-06  6.3024396E-04 -5.2745672E-02  0.0000000E+00
  2.0799350E+02 -9.4068882E-03  3.1913215E-06  4.9737432E-04 -5.0877670E-02  0.0000000E+00
  2.0799350E+02 -9.3269095E-03  3.1696262E-06  3.7621898E-04 -4.9058430E-02  0.0000000E+00
  2.0799350E+02 -9.2032233E-03  7.2941682E-06  2.5991442E-04 -4.7290626E-02  0.0000000E+00
  2.0799350E+02 -9.0463720E-03  1.6960578E-05  1.4737241E-04 -4.5575487E-02  0.0000000E+00
  2.0799350E+02 -8.8645783E-03  3.3250774E-05  4.7111838E-05 -4.3914070E-02  0.0000000E+00
  2.0799350E+02 -8.6639936E-03  5.7361299E-05 -2.8783052E-05 -4.2307157E-02  0.0000000E+00
  2.0799350E+02 -8.4531069E-03  9.1224991E-05 -8.5497679E-05 -4.0752531E-02  0.0000000E+00
  2.0799350E+02 -8.2392970E-03  1.2376739E-04 -1.6048277E-04 -3.9246318E-02  0.0000000E+00
  2.0799350E+02 -8.0195736E-03  1.4513064E-04 -2.2184703E-04 -3.7791355E-02  0.0000000E+00
  2.0799350E+02 -7.7959082E-03  1.5341451E-04 -2.7382998E-04 -3.6376289E-02  0.0000000E+00
  2.0799350E+02 -7.5747272E-03  1.5163309E-04 -3.1603102E-04 -3.5009424E-02  0.0000000E+00
  2.0799350E+02 -7.3633144E-03  1.4642522E-04 -3.4301766E-04 -3.3699519E-02  0.0000000E+00
  2.0799350E+02 -7.1670396E-03  1.4296283E-04 -3.5020095E-04 -3.2452893E-02  0.0000000E+00
  2.0799350E+02 -6.9880945E-03  1.4294224E-04 -3.3655651E-04 -3.1271077E-02  0.0000000E+00
  2.0799350E+02 -6.8256561E-03  1.4477917E-04 -3.0497108E-04 -3.0150842E-02  0.0000000E+00
  2.0799350E+02 -6.6769989E-03  1.4517641E-04 -2.6112036E-04 -2.9085790E-02  0.0000000E+00
  2.0799350E+02 -6.5390793E-03  1.4123268E-04 -2.1178414E-04 -2.8068657E-02  0.0000000E+00
  2.0799350E+02 -6.4101148E-03  1.3226162E-04 -1.6350428E-04 -2.7093501E-02  0.0000000E+00
  2.0799350E+02 -6.2906801E-03  1.2048970E-04 -1.2249162E-04 -2.6156944E-02  0.0000000E+00
  2.0799350E+02 -6.1838444E-03  1.0980170E-04 -9.6687377E-05 -2.5257619E-02  0.0000000E+00
  2.0799350E+02 -6.0889912E-03  1.0233600E-04 -8.7561880E-05 -2.4394622E-02  0.0000000E+00
  2.0799350E+02 -5.9945764E-03  1.0113759E-04 -9.8114427E-05 -2.3563779E-02  0.0000000E+00
  2.0799350E+02 -5.9034921E-03  1.0084728E-04 -1.1699766E-04 -2.2762374E-02  0.0000000E+00
  2.0799350E+02 -5.8158338E-03  9.7570912E-05 -1.3475646E-04 -2.1989609E-02  0.0000000E+00
  2.0799350E+02 -5.7303251E-03  9.0585373E-05 -1.5187567E-04 -2.1244587E-02  0.0000000E+00
  2.0799350E+02 -5.6456988E-03  8.1277997E-05 -1.7181185E-04 -2.0526181E-02  0.0000000E+00
  2.0799350E+02 -5.5613636E-03  7.2094415E-05 -1.9699020E-04 -1.9832933E-02  0.0000000E+00
  2.0799350E+02 -5.4775314E-03  6.5573091E-05 -2.2715114E-04 -1.9162985E-02  0.0000000E+00
  2.0799350E+02 -5.3949837E-03  6.3544751E-05 -2.5943072E-04 -1.8514094E-02  0.0000000E+00
  2.0799350E+02 -5.3146499E-03  6.6574932E-05 -2.8955941E-04 -1.7883733E-02  0.0000000E+00
  2.0799350E+02 -5.2371769E-03  7.3727868E-05 -3.1356367E-04 -1.7269336E-02  0.0000000E+00
  2.0799350E+02 -5.1626638E-03  8.2729916E-05 -3.2935442E-04 -1.6668676E-02  0.0000000E+00
  2.0799350E+02 -5.0907384E-03  9.0610761E-05 -3.3758718E-04 -1.6080447E-02  0.0000000E+00
  2.0799350E+02 -5.0211520E-03  9.4900595E-05 -3.4117792E-04 -1.5505037E-02  0.0000000E+00
  2.0799350E+02 -4.9550685E-03  9.5461509E-05 -3.4285918E-04 -1.4945549E-02  0.0000000E+00
  2.0799350E+02 -4.8939934E-03  9.5815438E-05 -3.4231868E-04 -1.4403164E-02  0.0000000E+00
  2.0799350E+02 -4.8322284E-03  9.4326535E-05 -3.3876904E-04 -1.3879610E-02  0.0000000E+00
  2.0799350E+02 -4.7686899E-03  9.5250177E-05 -3.2916014E-04 -1.3373855E-02  0.0000000E+00
  2.0799350E+02 -4.7031889E-03  9.9630793E-05 -3.1286380E-04 -1.2885140E-02  0.0000000E+00
  2.0799350E+02 -4.6354278E-03  1.0552715E-04 -2.9087688E-04 -1.2412852E-02  0.0000000E+00
  2.0799350E+02 -4.5648496E-03  1.1018604E-04 -2.6517161E-04 -1.1956793E-02  0.0000000E+00
  2.0799350E+02 -4.4906121E-03  1.1142105E-04 -2.3817234E-04 -1.1516748E-02  0.0000000E+00
  2.0799350E+02 -4.4117337E-03  1.0832484E-04 -2.1234902E-04 -1.1092292E-02  0.0000000E+00
  2.0799350E+02 -4.3273418E-03  1.0144158E-04 -1.8991576E-04 -1.0682756E-02  0.0000000E+00
  2.0799350E+02 -4.2369586E-03  9.2526102E-05 -1.7262255E-04 -1.0287306E-02  0.0000000E+00
  2.0799350E+02 -4.1407552E-03  8.4016302E-05 -1.6162832E-04 -9.9050745E-03  0.0000000E+00
  2.0799350E+02 -4.0397094E-03  7.8345526E-05 -1.5744354E-04 -9.5352792E-03  0.0000000E+00
  2.0799350E+02 -3.9355974E-03  7.7221412E-05 -1.5993052E-04 -9.1772813E-03  0.0000000E+00
  2.0799350E+02 -3.8307553E-03  8.0997827E-05 -1.6834960E-04 -8.8305170E-03  0.0000000E+00
  2.0799350E+02 -3.7275411E-03  8.8266501E-05 -1.8143932E-04 -8.4942474E-03  0.0000000E+00
  2.0799350E+02 -3.6274309E-03  9.5794928E-05 -1.9751888E-04 -8.1670671E-03  0.0000000E+00
  2.0799350E+02 -3.5299918E-03  9.8880531E-05 -2.1313293E-04 -7.8474938E-03  0.0000000E+00
  2.0799350E+02 -3.4378790E-03  9.7345356E-05 -2.2780366E-04 -7.5357236E-03  0.0000000E+00
  2.0799350E+02 -3.3502199E-03  9.3657950E-05 -2.4458999E-04 -7.2294167E-03  0.0000000E+00
  2.0799350E+02 -3.2651641E-03  8.8386168E-05 -2.6136387E-04 -6.9290749E-03  0.0000000E+00
  2.0799350E+02 -3.1817957E-03  8.1923379E-05 -2.7720860E-04 -6.6347323E-03  0.0000000E+00
  2.0799350E+02 -3.0996888E-03  7.4646513E-05 -2.9201094E-04 -6.3464076E-03  0.0000000E+00
  2.0799350E+02 -3.0186187E-03  6.6979991E-05 -3.0611771E-04 -6.0643260E-03  0.0000000E+00
  2.0799350E+02 -2.9384018E-03  5.9387686E-05 -3.2005314E-04 -5.7889623E-03  0.0000000E+00
  2.0799350E+02 -2.8588346E-03  5.2315060E-05 -3.3429342E-04 -5.5209547E-03  0.0000000E+00
  2.0799350E+02 -2.7797040E-03  4.6103626E-05 -3.4909472E-04 -5.2609416E-03  0.0000000E+00
  2.0799350E+02 -2.7008414E-03  4.0899873E-05 -3.6437116E-04 -5.0093725E-03  0.0000000E+00
  2.0799350E+02 -2.6221916E-03  3.6580815E-05 -3.7961898E-04 -4.7663417E-03  0.0000000E+00
  2.0799350E+02 -2.5438683E-03  3.2718293E-05 -3.9388339E-04 -4.5314992E-03  0.0000000E+00
  2.0799350E+02 -2.4663096E-03  2.8612398E-05 -4.0574600E-04 -4.3044927E-03  0.0000000E+00
  2.0799350E+02 -2.3896592E-03  2.3369751E-05 -4.1344893E-04 -4.0835439E-03  0.0000000E+00
  2.0799350E+02 -2.3144621E-03  1.6158942E-05 -4.1483329E-04 -3.8683631E-03  0.0000000E+00
  2.0799350E+02 -2.2408203E-03  6.5234021E-06 -4.0753406E-04 -3.6592063E-03  0.0000000E+00
  2.0799350E+02 -2.1684178E-03 -4.9083889E-06 -3.9087212E-04 -3.4563490E-03  0.0000000E+00
  2.0799350E+02 -2.0963169E-03 -1.5822356E-05 -3.7035387E-04 -3.2587992E-03  0.0000000E+00
  2.0799350E+02 -2.0223667E-03 -2.6130437E-05 -3.4642610E-04 -3.0690020E-03  0.0000000E+00
  2.0799350E+02 -1.9459950E-03 -3.5324507E-05 -3.1979471E-04 -2.8869868E-03  0.0000000E+00
  2.0799350E+02 -1.8675036E-03 -4.2494238E-05 -2.9100717E-04 -2.7126887E-03  0.0000000E+00
  2.0799350E+02 -1.7875662E-03 -4.6774477E-05 -2.6066106E-04 -2.5458677E-03  0.0000000E+00
  2.0799350E+02 -1.7069085E-03 -4.7624874E-05 -2.2948213E-04 -2.3860951E-03  0.0000000E+00
  2.0799350E+02 -1.6261355E-03 -4.4967184E-05 -1.9830503E-04 -2.2327900E-03  0.0000000E+00
  2.0799350E+02 -1.5456739E-03 -3.9205677E-05 -1.6799023E-04 -2.0852873E-03  0.0000000E+00
  2.0799350E+02 -1.4657916E-03 -3.1156091E-05 -1.3931052E-04 -1.9429229E-03  0.0000000E+00
  2.0799350E+02 -1.3866630E-03 -2.1908565E-05 -1.1284048E-04 -1.8051161E-03  0.0000000E+00
  2.0799350E+02 -1.3084430E-03 -1.2649975E-05 -8.8882304E-05 -1.6714337E-03  0.0000000E+00
  2.0799350E+02 -1.2313170E-03 -4.4711206E-06 -6.7461421E-05 -1.5416186E-03  0.0000000E+00
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -8.3892981E-02  0.0000000E+00
  2.0799350E+02 -2.3682189E-04 -9.7438300E-06  2.4002507E-04 -8.3303684E-02  0.0000000E+00
  2.0799350E+02 -1.0081148E-03 -9.8573393E-06  8.6911746E-04 -8.2133832E-02  0.0000000E+00
  2.0799350E+02 -1.8331119E-03  2.0055284E-05  1.5001047E-03 -8.0400565E-02  0.0000000E+00
  2.0799350E+02 -2.4639659E-03  4.6673887E-05  1.8333650E-03 -7.8487764E-02  0.0000000E+00
  2.0799350E+02 -3.0439322E-03  4.5158670E-05  1.9249861E-03 -7.6651018E-02  0.0000000E+00
  2.0799350E+02 -3.7105106E-03  1.0555415E-05  1.9248604E-03 -7.4957375E-02  0.0000000E+00
  2.0799350E+02 -4.4763543E-03 -3.7310057E-05  1.8884567E-03 -7.3367038E-02  0.0000000E+00
  2.0799350E+02 -5.2956335E-03 -7.3359875E-05  1.8118642E-03 -7.1811491E-02  0.0000000E+00
