          atime             vx             vy             vz             pr        garbage
  2.0799350E+02  2.4440160E-05  3.6231284E-11 -7.5048790E-08 -8.4485320E-02  0.0000000E+00
  2.0799350E+02  2.8646466E-01  5.1489413E-03 -1.5273380E-04 -8.3895121E-02  0.0000000E+00
  2.0799350E+02  5.1929066E-01  1.5110890E-02  6.7948107E-04 -8.2663247E-02  0.0000000E+00
  2.0799350E+02  6.6554332E-01  2.3614959E-02  1.7291000E-03 -8.0875151E-02  0.0000000E+00
  2.0799350E+02  7.4323697E-01  2.8731574E-02  2.5471554E-03 -7.8975387E-02  0.0000000E+00
  2.0799350E+02  7.8294850E-01  3.1138001E-02  2.8873736E-03 -7.7216928E-02  0.0000000E+00
  2.0799350E+02  8.0437024E-01  3.1910829E-02  2.6204313E-03 -7.5631381E-02  0.0000000E+00
  2.0799350E+02  8.1717138E-01  3.1824583E-02  1.7685981E-03 -7.4145081E-02  0.0000000E+00
  2.0799350E+02  8.2596644E-01  3.1282778E-02  4.9387782E-04 -7.2656425E-02  0.0000000E+00
  2.0799350E+02  8.3306803E-01  3.0411803E-02 -9.4556938E-04 -7.1085738E-02  0.0000000E+00
  2.0799350E+02  8.3968944E-01  2.9249348E-02 -2.2747683E-03 -6.9385181E-02  0.0000000E+00
  2.0799350E+02  8.4633672E-01  2.7815603E-02 -3.3385845E-03 -6.7541993E-02  0.0000000E+00
  2.0799350E+02  8.5310418E-01  2.6169959E-02 -4.1301208E-03 -6.5576310E-02  0.0000000E+00
  2.0799350E+02  8.5991709E-01  2.4448300E-02 -4.7311186E-03 -6.3530198E-02  0.0000000E+00
  2.0799350E+02  8.6672173E-01  2.2828039E-02 -5.2006770E-03 -6.1454321E-02  0.0000000E+00
  2.0799350E+02  8.7362212E-01  2.1420250E-02 -5.4516915E-03 -5.9387402E-02  0.0000000E+00
  2.0799350E+02  8.8075564E-01  2.0248832E-02 -5.5068780E-03 -5.7350328E-02  0.0000000E+00
  2.0799350E+02  8.8812949E-01  1.9335985E-02 -5.3667445E-03 -5.5352346E-02  0.0000000E+00
  2.0799350E+02  8.9563804E-01  1.8649155E-02 -5.1836029E-03 -5.3399174E-02  0.0000000E+00
  2.0799350E+02  9.0313536E-01  1.8106555E-02 -5.1497174E-03 -5.1502397E-02  0.0000000E+00
  2.0799350E+02  9.1050125E-01  1.7637995E-02 -5.3524622E-03 -4.9671583E-02  0.0000000E+00
  2.0799350E+02  9.1767228E-01  1.7211204E-02 -5.7305904E-03 -4.7911456E-02  0.0000000E+00
  2.0799350E+02  9.2464458E-01  1.6830895E-02 -6.1065280E-03 -4.6222048E-02  0.0000000E+00
