          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  2.0799350E+02 -7.3997864E-07  1.3534652E-05  0.0000000E+00 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  3.9031841E-03  1.0689955E-02  0.0000000E+00 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  1.4316436E-02 -1.6029259E-03  0.0000000E+00 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  1.6002069E-02 -1.0273631E-02  0.0000000E+00 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  1.2813524E-02 -1.5730093E-02  0.0000000E+00 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  1.0109669E-02 -1.9919920E-02  0.0000000E+00 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  8.9794688E-03 -2.2290464E-02  0.0000000E+00 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  8.8888805E-03 -2.2703527E-02  0.0000000E+00 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  9.2652481E-03 -2.1684886E-02  0.0000000E+00 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  9.8728223E-03 -2.0026718E-02  0.0000000E+00 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  1.0517980E-02 -1.8180031E-02  0.0000000E+00 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  1.1158663E-02 -1.6189930E-02  0.0000000E+00 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  1.1820391E-02 -1.4091920E-02  0.0000000E+00 -6.4535137E-02  0.0000000E+00
  2.0799350E+02  1.2422584E-02 -1.2143647E-02  0.0000000E+00 -6.2559026E-02  0.0000000E+00
  2.0799350E+02  1.2763470E-02 -1.0704558E-02  0.0000000E+00 -6.0563377E-02  0.0000000E+00
  2.0799350E+02  1.2858767E-02 -9.5577535E-03  0.0000000E+00 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  1.2865385E-02 -8.5510411E-03  0.0000000E+00 -5.6602816E-02  0.0000000E+00
  2.0799350E+02  1.3010052E-02 -8.0287035E-03  0.0000000E+00 -5.4656926E-02  0.0000000E+00
  2.0799350E+02  1.3263178E-02 -8.0026338E-03  0.0000000E+00 -5.2745672E-02  0.0000000E+00
  2.0799350E+02  1.3470054E-02 -8.3094743E-03  0.0000000E+00 -5.0877670E-02  0.0000000E+00
  2.0799350E+02  1.3500681E-02 -8.6771950E-03  0.0000000E+00 -4.9058430E-02  0.0000000E+00
  2.0799350E+02  1.3306433E-02 -8.8348565E-03  0.0000000E+00 -4.7290626E-02  0.0000000E+00
  2.0799350E+02  1.2913292E-02 -8.6217887E-03  0.0000000E+00 -4.5575487E-02  0.0000000E+00
  2.0799350E+02  1.2381355E-02 -8.0524154E-03  0.0000000E+00 -4.3914070E-02  0.0000000E+00
  2.0799350E+02  1.1760357E-02 -7.2929554E-03  0.0000000E+00 -4.2307157E-02  0.0000000E+00
  2.0799350E+02  1.1070917E-02 -6.5062304E-03  0.0000000E+00 -4.0752531E-02  0.0000000E+00
  2.0799350E+02  1.0410937E-02 -5.6475078E-03  0.0000000E+00 -3.9246318E-02  0.0000000E+00
  2.0799350E+02  9.8121104E-03 -4.8755964E-03  0.0000000E+00 -3.7791355E-02  0.0000000E+00
  2.0799350E+02  9.3250794E-03 -4.4485409E-03  0.0000000E+00 -3.6376289E-02  0.0000000E+00
  2.0799350E+02  8.9361258E-03 -4.3305349E-03  0.0000000E+00 -3.5009424E-02  0.0000000E+00
  2.0799350E+02  8.5964339E-03 -4.3625440E-03  0.0000000E+00 -3.3699519E-02  0.0000000E+00
  2.0799350E+02  8.2753813E-03 -4.3984786E-03  0.0000000E+00 -3.2452893E-02  0.0000000E+00
  2.0799350E+02  7.9738564E-03 -4.3630803E-03  0.0000000E+00 -3.1271077E-02  0.0000000E+00
  2.0799350E+02  7.7124347E-03 -4.2548681E-03  0.0000000E+00 -3.0150842E-02  0.0000000E+00
  2.0799350E+02  7.5080977E-03 -4.1158839E-03  0.0000000E+00 -2.9085790E-02  0.0000000E+00
  2.0799350E+02  7.3531785E-03 -3.9899753E-03  0.0000000E+00 -2.8068657E-02  0.0000000E+00
  2.0799350E+02  7.2102146E-03 -3.8913562E-03  0.0000000E+00 -2.7093501E-02  0.0000000E+00
  2.0799350E+02  7.0363937E-03 -3.8051817E-03  0.0000000E+00 -2.6156944E-02  0.0000000E+00
  2.0799350E+02  6.8512736E-03 -3.7418781E-03  0.0000000E+00 -2.5257619E-02  0.0000000E+00
  2.0799350E+02  6.6904008E-03 -3.7060206E-03  0.0000000E+00 -2.4394622E-02  0.0000000E+00
  2.0799350E+02  6.5041731E-03 -3.5509043E-03  0.0000000E+00 -2.3563779E-02  0.0000000E+00
  2.0799350E+02  6.3677922E-03 -3.3703865E-03  0.0000000E+00 -2.2762374E-02  0.0000000E+00
  2.0799350E+02  6.2436837E-03 -3.1754783E-03  0.0000000E+00 -2.1989609E-02  0.0000000E+00
  2.0799350E+02  6.0955144E-03 -2.9638237E-03  0.0000000E+00 -2.1244587E-02  0.0000000E+00
  2.0799350E+02  5.9049801E-03 -2.7387344E-03  0.0000000E+00 -2.0526181E-02  0.0000000E+00
  2.0799350E+02  5.6763212E-03 -2.5159634E-03  0.0000000E+00 -1.9832933E-02  0.0000000E+00
  2.0799350E+02  5.4319546E-03 -2.3214955E-03  0.0000000E+00 -1.9162985E-02  0.0000000E+00
  2.0799350E+02  5.2026131E-03 -2.1836286E-03  0.0000000E+00 -1.8514094E-02  0.0000000E+00
  2.0799350E+02  5.0153837E-03 -2.1226269E-03  0.0000000E+00 -1.7883733E-02  0.0000000E+00
  2.0799350E+02  4.8830335E-03 -2.1412194E-03  0.0000000E+00 -1.7269336E-02  0.0000000E+00
  2.0799350E+02  4.7980158E-03 -2.2192227E-03  0.0000000E+00 -1.6668676E-02  0.0000000E+00
  2.0799350E+02  4.7345452E-03 -2.3155658E-03  0.0000000E+00 -1.6080447E-02  0.0000000E+00
  2.0799350E+02  4.6621336E-03 -2.3809908E-03  0.0000000E+00 -1.5505037E-02  0.0000000E+00
  2.0799350E+02  4.5739767E-03 -2.3847109E-03  0.0000000E+00 -1.4945549E-02  0.0000000E+00
  2.0799350E+02  4.4918111E-03 -2.3523496E-03  0.0000000E+00 -1.4403164E-02  0.0000000E+00
  2.0799350E+02  4.3744983E-03 -2.2885777E-03  0.0000000E+00 -1.3879610E-02  0.0000000E+00
  2.0799350E+02  4.2501325E-03 -2.2085182E-03  0.0000000E+00 -1.3373855E-02  0.0000000E+00
  2.0799350E+02  4.1345023E-03 -2.1378849E-03  0.0000000E+00 -1.2885140E-02  0.0000000E+00
  2.0799350E+02  4.0322101E-03 -2.0978572E-03  0.0000000E+00 -1.2412852E-02  0.0000000E+00
  2.0799350E+02  3.9415478E-03 -2.1029265E-03  0.0000000E+00 -1.1956793E-02  0.0000000E+00
  2.0799350E+02  3.8577707E-03 -2.1589942E-03  0.0000000E+00 -1.1516748E-02  0.0000000E+00
  2.0799350E+02  3.7752309E-03 -2.2621455E-03  0.0000000E+00 -1.1092292E-02  0.0000000E+00
  2.0799350E+02  3.6886396E-03 -2.3984393E-03  0.0000000E+00 -1.0682756E-02  0.0000000E+00
  2.0799350E+02  3.5937300E-03 -2.5450559E-03  0.0000000E+00 -1.0287306E-02  0.0000000E+00
  2.0799350E+02  3.4875880E-03 -2.6731411E-03  0.0000000E+00 -9.9050745E-03  0.0000000E+00
  2.0799350E+02  3.3689236E-03 -2.7526886E-03  0.0000000E+00 -9.5352792E-03  0.0000000E+00
  2.0799350E+02  3.2385510E-03 -2.7598013E-03  0.0000000E+00 -9.1772813E-03  0.0000000E+00
  2.0799350E+02  3.1003489E-03 -2.6866698E-03  0.0000000E+00 -8.8305170E-03  0.0000000E+00
  2.0799350E+02  2.9629702E-03 -2.5546122E-03  0.0000000E+00 -8.4942474E-03  0.0000000E+00
