          atime           conv           prod        pres_tr        pres_df        garbage
  2.0799350E+02 -7.8225205E-08 -5.4894546E-09  3.8833020E-07  4.0103524E-06  6.3973365E-06
  2.0799350E+02 -9.9639398E-04  2.0384340E-02 -3.4032811E-04  6.9553818E-03  7.2965695E-03
  2.0799350E+02  7.9601362E-04  6.7847048E-02 -1.2151690E-03  5.1298690E-03  6.3567552E-03
  2.0799350E+02  7.1901808E-03  6.2366676E-02  5.8393931E-04  3.4592286E-03  2.8642190E-03
  2.0799350E+02  8.6072719E-03  3.4657265E-02  2.9734102E-03  1.5189116E-03 -1.4582846E-03
  2.0799350E+02  2.9043620E-03  1.6346389E-02  5.6900127E-03  7.8226320E-04 -4.9051252E-03
  2.0799350E+02 -4.3202428E-03  6.7176982E-03  8.9462301E-03  2.2852499E-03 -6.6554974E-03
  2.0799350E+02 -1.0948479E-02  2.1698066E-03  1.2055562E-02  5.1260046E-03 -6.9073232E-03
  2.0799350E+02 -1.6011535E-02  1.0857826E-04  1.4289836E-02  8.0875746E-03 -6.2098190E-03
  2.0799350E+02 -1.9288581E-02 -4.1427888E-04  1.5262346E-02  1.0184645E-02 -5.0769476E-03
  2.0799350E+02 -2.1060613E-02  2.1405376E-05  1.5327987E-02  1.1483992E-02 -3.8310256E-03
  2.0799350E+02 -2.1836214E-02  8.9601877E-04  1.4980750E-02  1.2479403E-02 -2.5156334E-03
  2.0799350E+02 -2.2048589E-02  1.8087078E-03  1.4497447E-02  1.3387412E-02 -1.1357647E-03
  2.0799350E+02 -2.1771722E-02  2.5864889E-03  1.3752833E-02  1.3874253E-02  1.3946860E-04
  2.0799350E+02 -2.0828594E-02  3.3044964E-03  1.2350870E-02  1.3359207E-02  1.0294560E-03
  2.0799350E+02 -1.9537061E-02  4.1143949E-03  1.0292861E-02  1.1893214E-02  1.6505065E-03
  2.0799350E+02 -1.7929807E-02  4.8589814E-03  7.9141735E-03  1.0060965E-02  2.1571718E-03
  2.0799350E+02 -1.5967446E-02  5.4074566E-03  5.6150110E-03  8.1260355E-03  2.4906744E-03
  2.0799350E+02 -1.4007513E-02  5.7754607E-03  3.6198112E-03  6.2355459E-03  2.6302723E-03
  2.0799350E+02 -1.2276249E-02  6.0146297E-03  1.9372601E-03  4.5004854E-03  2.5802901E-03
  2.0799350E+02 -1.0742909E-02  6.1943255E-03  5.5042815E-04  2.9933352E-03  2.4117429E-03
  2.0799350E+02 -9.2281146E-03  6.3799166E-03 -5.1737096E-04  1.7797172E-03  2.2357884E-03
  2.0799350E+02 -7.6024191E-03  6.6112989E-03 -1.2212681E-03  9.4255319E-04  2.1457516E-03
  2.0799350E+02 -5.9312658E-03  6.8853468E-03 -1.5583410E-03  5.5721680E-04  2.1644696E-03
  2.0799350E+02 -4.4225215E-03  7.1459836E-03 -1.6361995E-03  5.7616079E-04  2.2337006E-03
  2.0799350E+02 -3.0327570E-03  7.2855619E-03 -1.7069233E-03  5.8150264E-04  2.2823434E-03
  2.0799350E+02 -1.6417884E-03  7.1730875E-03 -1.6880548E-03  7.1693445E-04  2.3817144E-03
  2.0799350E+02 -9.6407115E-05  6.9727454E-03 -2.0842739E-03  3.8984469E-04  2.4682570E-03
  2.0799350E+02  1.2637894E-03  6.6954998E-03 -2.5518016E-03 -1.6407573E-04  2.4382693E-03
  2.0799350E+02  2.0877183E-03  6.3392789E-03 -2.7550513E-03 -4.9656857E-04  2.3027954E-03
  2.0799350E+02  2.3560377E-03  5.9367201E-03 -2.6447470E-03 -5.2003507E-04  2.1169449E-03
  2.0799350E+02  2.2457166E-03  5.5403694E-03 -2.3225959E-03 -3.2825169E-04  1.9384513E-03
  2.0799350E+02  2.0017870E-03  5.2037655E-03 -1.9367509E-03 -6.6253368E-05  1.8053881E-03
  2.0799350E+02  1.8275682E-03  4.9629763E-03 -1.6086019E-03  1.5341982E-04  1.7287833E-03
  2.0799350E+02  1.8072248E-03  4.8228406E-03 -1.3916978E-03  2.9104269E-04  1.6961069E-03
  2.0799350E+02  1.8745222E-03  4.7521718E-03 -1.2636030E-03  3.7952214E-04  1.6816016E-03
  2.0799350E+02  1.8416429E-03  4.6921730E-03 -1.1514918E-03  4.8664176E-04  1.6594292E-03
  2.0799350E+02  1.5019248E-03  4.5823213E-03 -9.9228404E-04  6.4266405E-04  1.6156060E-03
  2.0799350E+02  8.2038646E-04  4.4079723E-03 -8.2812420E-04  7.3622078E-04  1.5546977E-03
  2.0799350E+02  9.7651313E-05  4.3005856E-03 -7.7677878E-04  6.9235476E-04  1.4921901E-03
  2.0799350E+02 -5.4726633E-04  4.2208689E-03 -7.7755171E-04  6.9696055E-04  1.4766344E-03
  2.0799350E+02 -1.0375062E-03  4.1234367E-03 -8.2726802E-04  6.6774823E-04  1.4987028E-03
  2.0799350E+02 -1.3478485E-03  4.0305360E-03 -8.7051832E-04  6.5502490E-04  1.5341027E-03
  2.0799350E+02 -1.4917461E-03  3.9512201E-03 -8.7748641E-04  6.7971981E-04  1.5658453E-03
  2.0799350E+02 -1.5087555E-03  3.8854157E-03 -8.4366772E-04  7.3638793E-04  1.5831229E-03
  2.0799350E+02 -1.4513219E-03  3.8277334E-03 -7.8433722E-04  8.0098466E-04  1.5801789E-03
  2.0799350E+02 -1.3720468E-03  3.7708272E-03 -7.2567694E-04  8.4144495E-04  1.5552296E-03
  2.0799350E+02 -1.3125645E-03  3.7081104E-03 -6.9447338E-04  8.2910000E-04  1.5094922E-03
  2.0799350E+02 -1.2951561E-03  3.6356324E-03 -7.0829529E-04  7.4896489E-04  1.4463784E-03
  2.0799350E+02 -1.3182288E-03  3.5529236E-03 -7.6806210E-04  6.0693045E-04  1.3709071E-03
  2.0799350E+02 -1.3567879E-03  3.4626146E-03 -8.5491318E-04  4.3189247E-04  1.2893965E-03
  2.0799350E+02 -1.3690287E-03  3.3686350E-03 -9.3328854E-04  2.7085172E-04  1.2094897E-03
  2.0799350E+02 -1.3101779E-03  3.2727993E-03 -9.6213099E-04  1.7501792E-04  1.1405714E-03
  2.0799350E+02 -1.1547098E-03  3.1695846E-03 -9.1612032E-04  1.7495097E-04  1.0946329E-03
  2.0799350E+02 -8.7803409E-04  3.0694023E-03 -8.5817060E-04  2.1072052E-04  1.0697308E-03
  2.0799350E+02 -5.9874723E-04  3.0074283E-03 -7.8746964E-04  2.5197567E-04  1.0429603E-03
  2.0799350E+02 -3.9485159E-04  2.9476860E-03 -7.2803458E-04  2.8194239E-04  1.0208072E-03
  2.0799350E+02 -2.5376763E-04  2.8766845E-03 -7.1507752E-04  2.7110285E-04  9.9830868E-04
  2.0799350E+02 -1.5138555E-04  2.7930734E-03 -7.5058876E-04  2.1020206E-04  9.6717644E-04
  2.0799350E+02 -6.5159018E-05  2.7022082E-03 -8.2067500E-04  1.0142024E-04  9.1931066E-04
  2.0799350E+02  1.9483404E-05  2.6118726E-03 -9.0684723E-04 -4.6760553E-05  8.4938827E-04
  2.0799350E+02  1.0743928E-04  2.5291906E-03 -9.9247236E-04 -2.2204546E-04  7.5654270E-04
  2.0799350E+02  1.9554885E-04  2.4586284E-03 -1.0655082E-03 -4.0916781E-04  6.4510016E-04
  2.0799350E+02  2.7613019E-04  2.4009893E-03 -1.1186413E-03 -5.9007832E-04  5.2433706E-04
  2.0799350E+02  3.4103624E-04  2.3533008E-03 -1.1479477E-03 -7.4447884E-04  4.0722349E-04
  2.0799350E+02  3.8483657E-04  2.3094975E-03 -1.1511954E-03 -8.5169673E-04  3.0811747E-04
  2.0799350E+02  4.0572721E-04  2.2617992E-03 -1.1269091E-03 -8.9489639E-04  2.3937485E-04
  2.0799350E+02  4.0277154E-04  2.2026872E-03 -1.0753162E-03 -8.6862391E-04  2.0683956E-04
  2.0799350E+02  3.6807535E-04  2.1273786E-03 -1.0022941E-03 -7.9068140E-04  2.0417900E-04
  2.0799350E+02  2.7249924E-04  2.0367014E-03 -9.2743788E-04 -7.1932697E-04  2.0602949E-04
  2.0799350E+02  4.9351150E-05  1.9387276E-03 -8.9446472E-04 -7.2332306E-04  1.8060728E-04
  2.0799350E+02 -1.2568972E-04  1.8453533E-03 -8.7023380E-04 -7.0861977E-04  1.5727688E-04
  2.0799350E+02 -1.9666120E-04  1.7607938E-03 -8.3649196E-04 -7.1728181E-04  1.2201250E-04
  2.0799350E+02 -2.1437276E-04  1.6810909E-03 -7.9976019E-04 -7.1671297E-04  9.1980881E-05
  2.0799350E+02 -2.0428753E-04  1.6025684E-03 -7.5898992E-04 -6.9037940E-04  7.6762632E-05
  2.0799350E+02 -1.7708213E-04  1.5227336E-03 -7.1181845E-04 -6.3436613E-04  7.9850547E-05
  2.0799350E+02 -1.3629892E-04  1.4406505E-03 -6.5800003E-04 -5.5378811E-04  1.0019828E-04
  2.0799350E+02 -8.3483530E-05  1.3568905E-03 -6.0058481E-04 -4.5923796E-04  1.3375090E-04
  2.0799350E+02 -2.1200522E-05  1.2731715E-03 -5.4541811E-04 -3.6345270E-04  1.7488898E-04
  2.0799350E+02  4.5680303E-05  1.1917920E-03 -4.9953235E-04 -2.7838142E-04  2.1771782E-04
  2.0799350E+02  1.1003400E-04  1.1149688E-03 -4.6900404E-04 -2.1283623E-04  2.5713333E-04
