          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02  6.3973365E-06 -1.4708845E-05 -7.1943298E-02  7.2612837E-02 -5.4894546E-09
  2.0799350E+02  7.2965695E-03  8.0047889E-03 -5.3878391E-02  2.6531123E-02  2.0384340E-02
  2.0799350E+02  6.3567552E-03  2.0126129E-03 -2.5404446E-02 -3.8466878E-02  6.7847048E-02
  2.0799350E+02  2.8642190E-03 -8.7592574E-03 -1.8324104E-02 -2.1071764E-02  6.2366676E-02
  2.0799350E+02 -1.4582846E-03 -4.1306300E-03 -1.4307218E-02 -2.2354610E-03  3.4657265E-02
  2.0799350E+02 -4.9051252E-03 -1.8397184E-03 -1.0697913E-02  2.4666823E-03  1.6346389E-02
  2.0799350E+02 -6.6554974E-03 -5.0114716E-03 -8.8142120E-03  2.1119700E-03  6.7176982E-03
  2.0799350E+02 -6.9073232E-03 -1.0363770E-02 -7.8796626E-03  6.2491283E-04  2.1698066E-03
  2.0799350E+02 -6.2098190E-03 -1.5510343E-02 -7.4710970E-03  1.1700105E-04  1.0857826E-04
  2.0799350E+02 -5.0769476E-03 -1.8788180E-02 -7.2716943E-03 -2.1687858E-04 -4.1427888E-04
  2.0799350E+02 -3.8310256E-03 -2.0297043E-02 -7.1926422E-03 -2.5642867E-04  2.1405376E-05
  2.0799350E+02 -2.5156334E-03 -2.1017355E-02 -7.1415242E-03 -2.3776372E-04  8.9601877E-04
  2.0799350E+02 -1.1357647E-03 -2.1463594E-02 -7.0304851E-03 -3.1788915E-04  1.8087078E-03
  2.0799350E+02  1.3946860E-04 -2.1254698E-02 -6.8715040E-03 -4.4664391E-04  2.5864889E-03
  2.0799350E+02  1.0294560E-03 -1.9934808E-02 -6.7899524E-03 -4.4298461E-04  3.3044964E-03
  2.0799350E+02  1.6505065E-03 -1.8438123E-02 -6.7881462E-03 -3.1801830E-04  4.1143949E-03
  2.0799350E+02  2.1571718E-03 -1.5952165E-02 -6.6270085E-03 -1.6861297E-04  4.8589814E-03
  2.0799350E+02  2.4906744E-03 -1.3051716E-02 -6.3710243E-03 -1.0126794E-04  5.4074566E-03
  2.0799350E+02  2.6302723E-03 -1.0210155E-02 -6.1008997E-03 -1.2018789E-04  5.7754607E-03
  2.0799350E+02  2.5802901E-03 -7.6046195E-03 -5.8549596E-03 -1.3070716E-04  6.0146297E-03
  2.0799350E+02  2.4117429E-03 -5.1938326E-03 -5.6394976E-03 -1.1447971E-04  6.1943255E-03
  2.0799350E+02  2.2357884E-03 -2.9113291E-03 -5.4454277E-03 -1.3258564E-04  6.3799166E-03
  2.0799350E+02  2.1457516E-03 -8.4327718E-04 -5.2645939E-03 -2.4026721E-04  6.6112989E-03
  2.0799350E+02  2.1644696E-03  7.3989098E-04 -5.0990931E-03 -3.9700773E-04  6.8853468E-03
  2.0799350E+02  2.2337006E-03  1.6288322E-03 -4.9569695E-03 -4.5566662E-04  7.1459836E-03
  2.0799350E+02  2.2823434E-03  2.3284232E-03 -4.8276352E-03 -3.1438379E-04  7.2855619E-03
  2.0799350E+02  2.3817144E-03  3.2214768E-03 -4.6277377E-03 -3.4172564E-04  7.1730875E-03
  2.0799350E+02  2.4682570E-03  5.0875975E-03 -4.4039473E-03 -3.6776892E-04  6.9727454E-03
  2.0799350E+02  2.4382693E-03  6.9175653E-03 -4.1880710E-03 -2.3362003E-04  6.6954998E-03
  2.0799350E+02  2.3027954E-03  7.9094269E-03 -3.9810812E-03 -3.4862113E-05  6.3392789E-03
  2.0799350E+02  2.1169449E-03  8.0561805E-03 -3.7832530E-03  1.2266937E-04  5.9367201E-03
  2.0799350E+02  1.9384513E-03  7.6944247E-03 -3.5969756E-03  1.8710528E-04  5.5403694E-03
  2.0799350E+02  1.8053881E-03  7.1972461E-03 -3.4265725E-03  1.7275291E-04  5.2037655E-03
  2.0799350E+02  1.7287833E-03  6.7942614E-03 -3.2765750E-03  1.3774629E-04  4.9629763E-03
  2.0799350E+02  1.6961069E-03  6.5041028E-03 -3.1494808E-03  1.4438229E-04  4.8228406E-03
  2.0799350E+02  1.6816016E-03  6.1646379E-03 -3.0440314E-03  2.1938815E-04  4.7521718E-03
  2.0799350E+02  1.6594292E-03  5.5462153E-03 -2.9550395E-03  3.3136617E-04  4.6921730E-03
  2.0799350E+02  1.6156060E-03  4.5332251E-03 -2.8757992E-03  4.0266120E-04  4.5823213E-03
  2.0799350E+02  1.5546977E-03  3.3592662E-03 -2.8041120E-03  3.7289653E-04  4.4079723E-03
  2.0799350E+02  1.4921901E-03  2.4097677E-03 -2.7033904E-03  2.7915739E-04  4.3005856E-03
  2.0799350E+02  1.4766344E-03  1.6538891E-03 -2.5589510E-03  1.8134397E-04  4.2208689E-03
  2.0799350E+02  1.4987028E-03  1.1312373E-03 -2.4280127E-03  1.1114098E-04  4.1234367E-03
  2.0799350E+02  1.5341027E-03  7.0269182E-04 -2.3182840E-03  6.9399467E-05  4.0305360E-03
  2.0799350E+02  1.5658453E-03  3.0317466E-04 -2.2290543E-03  5.2509120E-05  3.9512201E-03
  2.0799350E+02  1.5831229E-03 -8.3335748E-05 -2.1563744E-03  5.3610202E-05  3.8854157E-03
  2.0799350E+02  1.5801789E-03 -4.4307906E-04 -2.0959886E-03  6.4278556E-05  3.8277334E-03
  2.0799350E+02  1.5552296E-03 -7.4715576E-04 -2.0445561E-03  7.6354342E-05  3.7708272E-03
  2.0799350E+02  1.5094922E-03 -9.6261775E-04 -1.9996954E-03  8.3585121E-05  3.7081104E-03
  2.0799350E+02  1.4463784E-03 -1.0610862E-03 -1.9593866E-03  8.2753904E-05  3.6356324E-03
  2.0799350E+02  1.3709071E-03 -1.0259765E-03 -1.9212680E-03  7.3962798E-05  3.5529236E-03
  2.0799350E+02  1.2893965E-03 -8.5940952E-04 -1.8823606E-03  5.9742875E-05  3.4626146E-03
  2.0799350E+02  1.2094897E-03 -5.8988951E-04 -1.8397561E-03  4.2660875E-05  3.3686350E-03
  2.0799350E+02  1.1405714E-03 -2.8182700E-04 -1.7928044E-03  2.1093389E-05  3.2727993E-03
  2.0799350E+02  1.0946329E-03 -4.7987590E-05 -1.7473341E-03 -1.7160878E-05  3.1695846E-03
  2.0799350E+02  1.0697308E-03  1.9320792E-04 -1.6994394E-03 -7.6013869E-05  3.0694023E-03
  2.0799350E+02  1.0429603E-03  4.6536846E-04 -1.6514343E-03 -1.0048599E-04  3.0074283E-03
  2.0799350E+02  1.0208072E-03  6.5197594E-04 -1.6038364E-03 -1.0573696E-04  2.9476860E-03
  2.0799350E+02  9.9830868E-04  7.9911449E-04 -1.5510843E-03 -1.0548037E-04  2.8766845E-03
  2.0799350E+02  9.6717644E-04  9.3049186E-04 -1.4951318E-03 -1.0711921E-04  2.7930734E-03
  2.0799350E+02  9.1931066E-04  1.0571034E-03 -1.4404748E-03 -1.1192482E-04  2.7022082E-03
  2.0799350E+02  8.4938827E-04  1.1833649E-03 -1.3911228E-03 -1.1660368E-04  2.6118726E-03
  2.0799350E+02  7.5654270E-04  1.3100537E-03 -1.3491939E-03 -1.1565194E-04  2.5291906E-03
  2.0799350E+02  6.4510016E-04  1.4350156E-03 -1.3147195E-03 -1.0397051E-04  2.4586284E-03
  2.0799350E+02  5.2433706E-04  1.5525937E-03 -1.2862386E-03 -7.9213420E-05  2.4009893E-03
  2.0799350E+02  4.0722349E-04  1.6527367E-03 -1.2617681E-03 -4.3342281E-05  2.3533008E-03
  2.0799350E+02  3.0811747E-04  1.7207425E-03 -1.2397296E-03 -2.8596221E-06  2.3094975E-03
  2.0799350E+02  2.3937485E-04  1.7385947E-03 -1.2194184E-03  3.2806192E-05  2.2617992E-03
  2.0799350E+02  2.0683956E-04  1.6888487E-03 -1.2005962E-03  5.5291633E-05  2.2026872E-03
  2.0799350E+02  2.0417900E-04  1.5620238E-03 -1.1817918E-03  6.4191520E-05  2.1273786E-03
  2.0799350E+02  2.0602949E-04  1.3684586E-03 -1.1568924E-03  7.7382594E-05  2.0367014E-03
  2.0799350E+02  1.8060728E-04  1.0959541E-03 -1.1138078E-03  1.0882678E-04  1.9387276E-03
  2.0799350E+02  1.5727688E-04  9.0694853E-04 -1.0693417E-03  8.2311751E-05  1.8453533E-03
  2.0799350E+02  1.2201250E-04  9.1496147E-04 -1.0299615E-03  6.7756525E-05  1.7607938E-03
  2.0799350E+02  9.1980881E-05  9.8413823E-04 -9.9597576E-04  6.5575845E-05  1.6810909E-03
  2.0799350E+02  7.6762632E-05  1.0488210E-03 -9.6558214E-04  6.9083313E-05  1.6025684E-03
  2.0799350E+02  7.9850547E-05  1.0866602E-03 -9.3680437E-04  7.0871324E-05  1.5227336E-03
  2.0799350E+02  1.0019828E-04  1.0986524E-03 -9.0853324E-04  6.6356448E-05  1.4406505E-03
  2.0799350E+02  1.3375090E-04  1.0951981E-03 -8.8085699E-04  5.5055176E-05  1.3568905E-03
  2.0799350E+02  1.7488898E-04  1.0872736E-03 -8.5486557E-04  4.0154997E-05  1.2731715E-03
  2.0799350E+02  2.1771782E-04  1.0818095E-03 -8.3211350E-04  2.6945730E-05  1.1917920E-03
  2.0799350E+02  2.5713333E-04  1.0803702E-03 -8.1392609E-04  2.0676060E-05  1.1149688E-03
  2.0799350E+02  2.8959626E-04  1.0802276E-03 -8.0073360E-04  2.4400219E-05  1.0441877E-03
  2.0799350E+02  3.1354644E-04  1.0769232E-03 -7.9161810E-04  3.7379755E-05  9.7967445E-04
