          atime            tkk            imk        garbage        garbage        garbage
  2.0799350E+02 -1.4301485E-10  0.0000000E+00  6.3973365E-06 -5.4894546E-09  4.0103524E-06
  2.0799350E+02  4.6555162E-03  0.0000000E+00  7.2965695E-03  2.0384340E-02  6.9553818E-03
  2.0799350E+02  1.2702330E-02  0.0000000E+00  6.3567552E-03  6.7847048E-02  5.1298690E-03
  2.0799350E+02  1.6349348E-02  0.0000000E+00  2.8642190E-03  6.2366676E-02  3.4592286E-03
  2.0799350E+02  1.6910340E-02  0.0000000E+00 -1.4582846E-03  3.4657265E-02  1.5189116E-03
  2.0799350E+02  1.6945983E-02  0.0000000E+00 -4.9051252E-03  1.6346389E-02  7.8226320E-04
  2.0799350E+02  1.7245527E-02  0.0000000E+00 -6.6554974E-03  6.7176982E-03  2.2852499E-03
  2.0799350E+02  1.7825814E-02  0.0000000E+00 -6.9073232E-03  2.1698066E-03  5.1260046E-03
  2.0799350E+02  1.8525709E-02  0.0000000E+00 -6.2098190E-03  1.0857826E-04  8.0875746E-03
  2.0799350E+02  1.9254025E-02  0.0000000E+00 -5.0769476E-03 -4.1427888E-04  1.0184645E-02
  2.0799350E+02  1.9946099E-02  0.0000000E+00 -3.8310256E-03  2.1405376E-05  1.1483992E-02
  2.0799350E+02  2.0563423E-02  0.0000000E+00 -2.5156334E-03  8.9601877E-04  1.2479403E-02
  2.0799350E+02  2.1085974E-02  0.0000000E+00 -1.1357647E-03  1.8087078E-03  1.3387412E-02
  2.0799350E+02  2.1497627E-02  0.0000000E+00  1.3946860E-04  2.5864889E-03  1.3874253E-02
  2.0799350E+02  2.1782545E-02  0.0000000E+00  1.0294560E-03  3.3044964E-03  1.3359207E-02
  2.0799350E+02  2.1949545E-02  0.0000000E+00  1.6505065E-03  4.1143949E-03  1.1893214E-02
  2.0799350E+02  2.2014573E-02  0.0000000E+00  2.1571718E-03  4.8589814E-03  1.0060965E-02
  2.0799350E+02  2.2001417E-02  0.0000000E+00  2.4906744E-03  5.4074566E-03  8.1260355E-03
  2.0799350E+02  2.1926407E-02  0.0000000E+00  2.6302723E-03  5.7754607E-03  6.2355459E-03
  2.0799350E+02  2.1797855E-02  0.0000000E+00  2.5802901E-03  6.0146297E-03  4.5004854E-03
  2.0799350E+02  2.1622716E-02  0.0000000E+00  2.4117429E-03  6.1943255E-03  2.9933352E-03
  2.0799350E+02  2.1406988E-02  0.0000000E+00  2.2357884E-03  6.3799166E-03  1.7797172E-03
  2.0799350E+02  2.1153421E-02  0.0000000E+00  2.1457516E-03  6.6112989E-03  9.4255319E-04
  2.0799350E+02  2.0860084E-02  0.0000000E+00  2.1644696E-03  6.8853468E-03  5.5721680E-04
  2.0799350E+02  2.0523357E-02  0.0000000E+00  2.2337006E-03  7.1459836E-03  5.7616079E-04
  2.0799350E+02  2.0148892E-02  0.0000000E+00  2.2823434E-03  7.2855619E-03  5.8150264E-04
  2.0799350E+02  1.9754784E-02  0.0000000E+00  2.3817144E-03  7.1730875E-03  7.1693445E-04
  2.0799350E+02  1.9331808E-02  0.0000000E+00  2.4682570E-03  6.9727454E-03  3.8984469E-04
  2.0799350E+02  1.8881938E-02  0.0000000E+00  2.4382693E-03  6.6954998E-03 -1.6407573E-04
  2.0799350E+02  1.8422983E-02  0.0000000E+00  2.3027954E-03  6.3392789E-03 -4.9656857E-04
  2.0799350E+02  1.7972527E-02  0.0000000E+00  2.1169449E-03  5.9367201E-03 -5.2003507E-04
  2.0799350E+02  1.7541191E-02  0.0000000E+00  1.9384513E-03  5.5403694E-03 -3.2825169E-04
  2.0799350E+02  1.7131344E-02  0.0000000E+00  1.8053881E-03  5.2037655E-03 -6.6253368E-05
  2.0799350E+02  1.6739891E-02  0.0000000E+00  1.7287833E-03  4.9629763E-03  1.5341982E-04
  2.0799350E+02  1.6363055E-02  0.0000000E+00  1.6961069E-03  4.8228406E-03  2.9104269E-04
  2.0799350E+02  1.6001052E-02  0.0000000E+00  1.6816016E-03  4.7521718E-03  3.7952214E-04
  2.0799350E+02  1.5660556E-02  0.0000000E+00  1.6594292E-03  4.6921730E-03  4.8664176E-04
  2.0799350E+02  1.5352870E-02  0.0000000E+00  1.6156060E-03  4.5823213E-03  6.4266405E-04
  2.0799350E+02  1.5085687E-02  0.0000000E+00  1.5546977E-03  4.4079723E-03  7.3622078E-04
  2.0799350E+02  1.4858033E-02  0.0000000E+00  1.4921901E-03  4.3005856E-03  6.9235476E-04
  2.0799350E+02  1.4664630E-02  0.0000000E+00  1.4766344E-03  4.2208689E-03  6.9696055E-04
  2.0799350E+02  1.4490331E-02  0.0000000E+00  1.4987028E-03  4.1234367E-03  6.6774823E-04
  2.0799350E+02  1.4327142E-02  0.0000000E+00  1.5341027E-03  4.0305360E-03  6.5502490E-04
  2.0799350E+02  1.4168911E-02  0.0000000E+00  1.5658453E-03  3.9512201E-03  6.7971981E-04
  2.0799350E+02  1.4011496E-02  0.0000000E+00  1.5831229E-03  3.8854157E-03  7.3638793E-04
  2.0799350E+02  1.3852709E-02  0.0000000E+00  1.5801789E-03  3.8277334E-03  8.0098466E-04
  2.0799350E+02  1.3692098E-02  0.0000000E+00  1.5552296E-03  3.7708272E-03  8.4144495E-04
  2.0799350E+02  1.3530573E-02  0.0000000E+00  1.5094922E-03  3.7081104E-03  8.2910000E-04
  2.0799350E+02  1.3369924E-02  0.0000000E+00  1.4463784E-03  3.6356324E-03  7.4896489E-04
  2.0799350E+02  1.3212234E-02  0.0000000E+00  1.3709071E-03  3.5529236E-03  6.0693045E-04
  2.0799350E+02  1.3059248E-02  0.0000000E+00  1.2893965E-03  3.4626146E-03  4.3189247E-04
  2.0799350E+02  1.2911700E-02  0.0000000E+00  1.2094897E-03  3.3686350E-03  2.7085172E-04
  2.0799350E+02  1.2768640E-02  0.0000000E+00  1.1405714E-03  3.2727993E-03  1.7501792E-04
  2.0799350E+02  1.2626786E-02  0.0000000E+00  1.0946329E-03  3.1695846E-03  1.7495097E-04
  2.0799350E+02  1.2484889E-02  0.0000000E+00  1.0697308E-03  3.0694023E-03  2.1072052E-04
  2.0799350E+02  1.2337075E-02  0.0000000E+00  1.0429603E-03  3.0074283E-03  2.5197567E-04
  2.0799350E+02  1.2181066E-02  0.0000000E+00  1.0208072E-03  2.9476860E-03  2.8194239E-04
  2.0799350E+02  1.2017311E-02  0.0000000E+00  9.9830868E-04  2.8766845E-03  2.7110285E-04
  2.0799350E+02  1.1844252E-02  0.0000000E+00  9.6717644E-04  2.7930734E-03  2.1020206E-04
  2.0799350E+02  1.1660368E-02  0.0000000E+00  9.1931066E-04  2.7022082E-03  1.0142024E-04
  2.0799350E+02  1.1465139E-02  0.0000000E+00  8.4938827E-04  2.6118726E-03 -4.6760553E-05
  2.0799350E+02  1.1259388E-02  0.0000000E+00  7.5654270E-04  2.5291906E-03 -2.2204546E-04
  2.0799350E+02  1.1045149E-02  0.0000000E+00  6.4510016E-04  2.4586284E-03 -4.0916781E-04
  2.0799350E+02  1.0825219E-02  0.0000000E+00  5.2433706E-04  2.4009893E-03 -5.9007832E-04
  2.0799350E+02  1.0602575E-02  0.0000000E+00  4.0722349E-04  2.3533008E-03 -7.4447884E-04
  2.0799350E+02  1.0379812E-02  0.0000000E+00  3.0811747E-04  2.3094975E-03 -8.5169673E-04
  2.0799350E+02  1.0158760E-02  0.0000000E+00  2.3937485E-04  2.2617992E-03 -8.9489639E-04
  2.0799350E+02  9.9404551E-03  0.0000000E+00  2.0683956E-04  2.2026872E-03 -8.6862391E-04
  2.0799350E+02  9.7256284E-03  0.0000000E+00  2.0417900E-04  2.1273786E-03 -7.9068140E-04
  2.0799350E+02  9.5158662E-03  0.0000000E+00  2.0602949E-04  2.0367014E-03 -7.1932697E-04
  2.0799350E+02  9.3150218E-03  0.0000000E+00  1.8060728E-04  1.9387276E-03 -7.2332306E-04
  2.0799350E+02  9.1253327E-03  0.0000000E+00  1.5727688E-04  1.8453533E-03 -7.0861977E-04
  2.0799350E+02  8.9441547E-03  0.0000000E+00  1.2201250E-04  1.7607938E-03 -7.1728181E-04
  2.0799350E+02  8.7692296E-03  0.0000000E+00  9.1980881E-05  1.6810909E-03 -7.1671297E-04
  2.0799350E+02  8.5997524E-03  0.0000000E+00  7.6762632E-05  1.6025684E-03 -6.9037940E-04
  2.0799350E+02  8.4352490E-03  0.0000000E+00  7.9850547E-05  1.5227336E-03 -6.3436613E-04
  2.0799350E+02  8.2749700E-03  0.0000000E+00  1.0019828E-04  1.4406505E-03 -5.5378811E-04
  2.0799350E+02  8.1176916E-03  0.0000000E+00  1.3375090E-04  1.3568905E-03 -4.5923796E-04
  2.0799350E+02  7.9618195E-03  0.0000000E+00  1.7488898E-04  1.2731715E-03 -3.6345270E-04
  2.0799350E+02  7.8056881E-03  0.0000000E+00  2.1771782E-04  1.1917920E-03 -2.7838142E-04
  2.0799350E+02  7.6479484E-03  0.0000000E+00  2.5713333E-04  1.1149688E-03 -2.1283623E-04
  2.0799350E+02  7.4879394E-03  0.0000000E+00  2.8959626E-04  1.0441877E-03 -1.7090864E-04
  2.0799350E+02  7.3259349E-03  0.0000000E+00  3.1354644E-04  9.7967445E-04 -1.5133340E-04
  2.0799350E+02  7.1634561E-03  0.0000000E+00  3.2936597E-04  9.2019994E-04 -1.4797890E-04
  2.0799350E+02  7.0017676E-03  0.0000000E+00  3.3896689E-04  8.6269685E-04 -1.5166185E-04
  2.0799350E+02  6.8428942E-03  0.0000000E+00  3.4454924E-04  8.0338281E-04 -1.5345231E-04
  2.0799350E+02  6.6871263E-03  0.0000000E+00  3.4701942E-04  7.3835974E-04 -1.4960914E-04
  2.0799350E+02  6.5330182E-03  0.0000000E+00  3.4296802E-04  6.6590139E-04 -1.4722440E-04
  2.0799350E+02  6.3820455E-03  0.0000000E+00  3.3185273E-04  6.0366273E-04 -1.4331141E-04
  2.0799350E+02  6.2326656E-03  0.0000000E+00  3.1643192E-04  5.5118472E-04 -1.4552231E-04
  2.0799350E+02  6.0850318E-03  0.0000000E+00  2.9829981E-04  5.0208583E-04 -1.5823369E-04
  2.0799350E+02  5.9397934E-03  0.0000000E+00  2.7962512E-04  4.5300947E-04 -1.7832665E-04
  2.0799350E+02  5.7976974E-03  0.0000000E+00  2.6236170E-04  4.0283499E-04 -1.9940867E-04
  2.0799350E+02  5.6593425E-03  0.0000000E+00  2.4779858E-04  3.5194930E-04 -2.1485999E-04
  2.0799350E+02  5.5250586E-03  0.0000000E+00  2.3638972E-04  3.0159493E-04 -2.1983116E-04
  2.0799350E+02  5.3948902E-03  0.0000000E+00  2.2780389E-04  2.5331035E-04 -2.1231801E-04
  2.0799350E+02  5.2686613E-03  0.0000000E+00  2.2113500E-04  2.0847845E-04 -1.9344067E-04
  2.0799350E+02  5.1460954E-03  0.0000000E+00  2.1521332E-04  1.6799891E-04 -1.6705303E-04
  2.0799350E+02  5.0269715E-03  0.0000000E+00  2.0895790E-04  1.3210040E-04 -1.3880909E-04
  2.0799350E+02  4.9112883E-03  0.0000000E+00  2.0171056E-04  1.0030845E-04 -1.1481278E-04
  2.0799350E+02  0.0000000E+00  0.0000000E+00  1.7168810E-06  0.0000000E+00 -9.3596755E-07
  2.0799350E+02  4.3560075E-03  0.0000000E+00  6.9177105E-03  1.8795468E-02  4.7806166E-03
  2.0799350E+02  1.2369114E-02  0.0000000E+00  6.1124123E-03  6.8098174E-02  1.6048558E-03
  2.0799350E+02  1.6347513E-02  0.0000000E+00  2.9789096E-03  6.8274512E-02 -7.3750293E-05
  2.0799350E+02  1.7027244E-02  0.0000000E+00 -1.0293539E-03  4.1134328E-02 -1.3761579E-03
  2.0799350E+02  1.6989313E-02  0.0000000E+00 -4.3791322E-03  2.1101544E-02 -1.7927850E-03
  2.0799350E+02  1.7175241E-02  0.0000000E+00 -6.2038228E-03  1.0108537E-02 -2.4547761E-04
  2.0799350E+02  1.7660732E-02  0.0000000E+00 -6.5881230E-03  4.6617404E-03  2.6117451E-03
  2.0799350E+02  1.8294901E-02  0.0000000E+00 -5.9875063E-03  2.0138269E-03  5.7578213E-03
  2.0799350E+02  1.8984099E-02  0.0000000E+00 -4.9436891E-03  1.0563342E-03  8.1119691E-03
  2.0799350E+02  1.9659453E-02  0.0000000E+00 -3.8108343E-03  1.1634921E-03  9.6252764E-03
  2.0799350E+02  2.0275027E-02  0.0000000E+00 -2.6160692E-03  1.8182565E-03  1.0759133E-02
  2.0799350E+02  2.0803895E-02  0.0000000E+00 -1.3161216E-03  2.6053784E-03  1.1806083E-02
  2.0799350E+02  2.1227803E-02  0.0000000E+00 -4.6148310E-05  3.3047310E-03  1.2544135E-02
  2.0799350E+02  2.1532329E-02  0.0000000E+00  8.8654874E-04  3.9443137E-03  1.2398048E-02
  2.0799350E+02  2.1721949E-02  0.0000000E+00  1.5069604E-03  4.6763454E-03  1.1274353E-02
  2.0799350E+02  2.1811211E-02  0.0000000E+00  2.0337093E-03  5.3691682E-03  9.7181710E-03
  2.0799350E+02  2.1824087E-02  0.0000000E+00  2.3956365E-03  5.8930802E-03  7.9439943E-03
  2.0799350E+02  2.1774729E-02  0.0000000E+00  2.5440122E-03  6.2415483E-03  6.1425757E-03
  2.0799350E+02  2.1669615E-02  0.0000000E+00  2.4845505E-03  6.4556603E-03  4.4414588E-03
  2.0799350E+02  2.1515805E-02  0.0000000E+00  2.3040004E-03  6.6001263E-03  2.9257739E-03
  2.0799350E+02  2.1320697E-02  0.0000000E+00  2.1289752E-03  6.7408112E-03  1.6786740E-03
  2.0799350E+02  2.1088134E-02  0.0000000E+00  2.0571884E-03  6.9243894E-03  8.0435066E-04
  2.0799350E+02  2.0815653E-02  0.0000000E+00  2.1012662E-03  7.1607175E-03  3.9656898E-04
  2.0799350E+02  2.0497705E-02  0.0000000E+00  2.1853044E-03  7.4085158E-03  4.1566155E-04
  2.0799350E+02  2.0138986E-02  0.0000000E+00  2.2344220E-03  7.5650604E-03  4.3638720E-04
  2.0799350E+02  1.9760524E-02  0.0000000E+00  2.2890428E-03  7.4662187E-03  5.3693500E-04
  2.0799350E+02  1.9353416E-02  0.0000000E+00  2.3927175E-03  7.2480629E-03  2.9310348E-04
  2.0799350E+02  1.8918657E-02  0.0000000E+00  2.4082031E-03  6.9658397E-03 -2.0630689E-04
  2.0799350E+02  1.8469595E-02  0.0000000E+00  2.3063579E-03  6.6241354E-03 -5.6875303E-04
  2.0799350E+02  1.8022552E-02  0.0000000E+00  2.1365721E-03  6.2413767E-03 -6.6615325E-04
  2.0799350E+02  1.7589262E-02  0.0000000E+00  1.9639411E-03  5.8524994E-03 -5.3392511E-04
  2.0799350E+02  1.7174693E-02  0.0000000E+00  1.8344318E-03  5.5007245E-03 -2.8284783E-04
  2.0799350E+02  1.6778560E-02  0.0000000E+00  1.7620763E-03  5.2235603E-03 -2.8479918E-05
  2.0799350E+02  1.6398848E-02  0.0000000E+00  1.7322278E-03  5.0381507E-03  1.5713758E-04
  2.0799350E+02  1.6035632E-02  0.0000000E+00  1.7149126E-03  4.9310879E-03  2.6676153E-04
  2.0799350E+02  1.5693536E-02  0.0000000E+00  1.6823137E-03  4.8578099E-03  3.4748043E-04
  2.0799350E+02  1.5381096E-02  0.0000000E+00  1.6244176E-03  4.7566998E-03  4.5377079E-04
  2.0799350E+02  1.5105384E-02  0.0000000E+00  1.5568627E-03  4.5830088E-03  5.5934557E-04
  2.0799350E+02  1.4868618E-02  0.0000000E+00  1.4813487E-03  4.4327186E-03  5.6144241E-04
  2.0799350E+02  1.4667555E-02  0.0000000E+00  1.4585309E-03  4.3401382E-03  5.9769815E-04
  2.0799350E+02  1.4488000E-02  0.0000000E+00  1.4872727E-03  4.2384382E-03  6.2732767E-04
  2.0799350E+02  1.4321441E-02  0.0000000E+00  1.5300405E-03  4.1366207E-03  6.5305913E-04
  2.0799350E+02  1.4161344E-02  0.0000000E+00  1.5657083E-03  4.0424166E-03  6.8671431E-04
  2.0799350E+02  1.4003192E-02  0.0000000E+00  1.5838195E-03  3.9595577E-03  7.3227480E-04
  2.0799350E+02  1.3844406E-02  0.0000000E+00  1.5804567E-03  3.8871976E-03  7.8018396E-04
  2.0799350E+02  1.3684136E-02  0.0000000E+00  1.5554729E-03  3.8208695E-03  8.0989776E-04
  2.0799350E+02  1.3522948E-02  0.0000000E+00  1.5108385E-03  3.7543697E-03  7.9769763E-04
  2.0799350E+02  1.3362398E-02  0.0000000E+00  1.4498563E-03  3.6819532E-03  7.2677874E-04
  2.0799350E+02  1.3204508E-02  0.0000000E+00  1.3769992E-03  3.6002307E-03  5.9662674E-04
  2.0799350E+02  1.3051161E-02  0.0000000E+00  1.2981238E-03  3.5091550E-03  4.2869615E-04
  2.0799350E+02  1.2903406E-02  0.0000000E+00  1.2208133E-03  3.4114841E-03  2.6540387E-04
  2.0799350E+02  1.2760688E-02  0.0000000E+00  1.1546033E-03  3.3101098E-03  1.5945062E-04
  2.0799350E+02  1.2620023E-02  0.0000000E+00  1.1108443E-03  3.2026393E-03  1.5048389E-04
  2.0799350E+02  1.2480343E-02  0.0000000E+00  1.0801624E-03  3.0972858E-03  1.7983014E-04
  2.0799350E+02  1.2334628E-02  0.0000000E+00  1.0460885E-03  3.0310491E-03  2.1668597E-04
  2.0799350E+02  1.2180227E-02  0.0000000E+00  1.0205993E-03  2.9701353E-03  2.5156508E-04
  2.0799350E+02  1.2017357E-02  0.0000000E+00  9.9748376E-04  2.8986437E-03  2.5074963E-04
  2.0799350E+02  1.1844777E-02  0.0000000E+00  9.6740645E-04  2.8141796E-03  2.0070082E-04
  2.0799350E+02  1.1661298E-02  0.0000000E+00  9.2137835E-04  2.7218489E-03  1.0047297E-04
  2.0799350E+02  1.1466621E-02  0.0000000E+00  8.5334573E-04  2.6296348E-03 -4.2981304E-05
  2.0799350E+02  1.1261629E-02  0.0000000E+00  7.6186709E-04  2.5450501E-03 -2.1741664E-04
  2.0799350E+02  1.1048279E-02  0.0000000E+00  6.5084823E-04  2.4729560E-03 -4.0661271E-04
  2.0799350E+02  1.0829220E-02  0.0000000E+00  5.2930526E-04  2.4144409E-03 -5.9120601E-04
  2.0799350E+02  1.0607288E-02  0.0000000E+00  4.1012551E-04  2.3666513E-03 -7.4983745E-04
  2.0799350E+02  1.0385008E-02  0.0000000E+00  3.0779621E-04  2.3234669E-03 -8.6141726E-04
  2.0799350E+02  1.0164238E-02  0.0000000E+00  2.3507090E-04  2.2769126E-03 -9.0930897E-04
  2.0799350E+02  9.9461037E-03  0.0000000E+00  1.9854348E-04  2.2191999E-03 -8.8823430E-04
  2.0799350E+02  9.7313443E-03  0.0000000E+00  1.9309979E-04  2.1452898E-03 -8.1470035E-04
  2.0799350E+02  9.5212247E-03  0.0000000E+00  1.9521668E-04  2.0558695E-03 -7.4175111E-04
  2.0799350E+02  9.3186902E-03  0.0000000E+00  1.7373771E-04  1.9588932E-03 -7.3488056E-04
  2.0799350E+02  9.1273038E-03  0.0000000E+00  1.5254090E-04  1.8641443E-03 -7.2293014E-04
  2.0799350E+02  8.9451352E-03  0.0000000E+00  1.1940385E-04  1.7770436E-03 -7.3293238E-04
  2.0799350E+02  8.7697436E-03  0.0000000E+00  9.0860338E-05  1.6949226E-03 -7.3175502E-04
  2.0799350E+02  8.6001530E-03  0.0000000E+00  7.6403992E-05  1.6145541E-03 -7.0318726E-04
  2.0799350E+02  8.4357600E-03  0.0000000E+00  7.9706491E-05  1.5334395E-03 -6.4402496E-04
  2.0799350E+02  8.2757344E-03  0.0000000E+00  9.9972692E-05  1.4504493E-03 -5.6015102E-04
  2.0799350E+02  8.1188121E-03  0.0000000E+00  1.3335202E-04  1.3659452E-03 -4.6277407E-04
  2.0799350E+02  7.9633801E-03  0.0000000E+00  1.7432540E-04  1.2815088E-03 -3.6498881E-04
  2.0799350E+02  7.8074693E-03  0.0000000E+00  2.1706270E-04  1.1992576E-03 -2.7868105E-04
  2.0799350E+02  7.6502525E-03  0.0000000E+00  2.5620600E-04  1.1217593E-03 -2.1282214E-04
  2.0799350E+02  7.4907113E-03  0.0000000E+00  2.8817864E-04  1.0504391E-03 -1.7101006E-04
  2.0799350E+02  7.3290103E-03  0.0000000E+00  3.1134792E-04  9.8560638E-04 -1.5161946E-04
  2.0799350E+02  7.1662523E-03  0.0000000E+00  3.2615627E-04  9.2596440E-04 -1.4824958E-04
  2.0799350E+02  7.0042040E-03  0.0000000E+00  3.3466608E-04  8.6863724E-04 -1.5164338E-04
  2.0799350E+02  6.8446108E-03  0.0000000E+00  3.3951508E-04  8.0968982E-04 -1.5307086E-04
  2.0799350E+02  6.6879991E-03  0.0000000E+00  3.4220165E-04  7.4526676E-04 -1.4933974E-04
  2.0799350E+02  6.5332100E-03  0.0000000E+00  3.3995651E-04  6.7274692E-04 -1.4652169E-04
  2.0799350E+02  6.3816791E-03  0.0000000E+00  3.2996772E-04  6.0853023E-04 -1.4177022E-04
  2.0799350E+02  6.2320965E-03  0.0000000E+00  3.1495322E-04  5.5446129E-04 -1.4469507E-04
  2.0799350E+02  6.0844392E-03  0.0000000E+00  2.9712912E-04  5.0445447E-04 -1.5851053E-04
  2.0799350E+02  5.9392356E-03  0.0000000E+00  2.7880590E-04  4.5505989E-04 -1.7958708E-04
  2.0799350E+02  5.7971697E-03  0.0000000E+00  2.6186242E-04  4.0490567E-04 -2.0140864E-04
  2.0799350E+02  5.6588266E-03  0.0000000E+00  2.4746825E-04  3.5412074E-04 -2.1741987E-04
  2.0799350E+02  5.5245577E-03  0.0000000E+00  2.3601016E-04  3.0376735E-04 -2.2288348E-04
  2.0799350E+02  5.3944461E-03  0.0000000E+00  2.2717828E-04  2.5531265E-04 -2.1586714E-04
  2.0799350E+02  5.2683509E-03  0.0000000E+00  2.2016785E-04  2.1016847E-04 -1.9747999E-04
  2.0799350E+02  5.1460112E-03  0.0000000E+00  2.1395203E-04  1.6932862E-04 -1.7147838E-04
  2.0799350E+02  5.0271884E-03  0.0000000E+00  2.0758164E-04  1.3313290E-04 -1.4336063E-04
  2.0799350E+02  4.9118272E-03  0.0000000E+00  2.0046743E-04  1.0118713E-04 -1.1907071E-04
  2.0799350E+02  0.0000000E+00  0.0000000E+00 -1.8065025E-07  0.0000000E+00 -2.8511157E-06
  2.0799350E+02  4.0351527E-03  0.0000000E+00  6.6701061E-03  1.7046670E-02  3.0838300E-03
  2.0799350E+02  1.1959277E-02  0.0000000E+00  6.0652651E-03  6.7366021E-02 -1.3352823E-03
